sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:58:11_601 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3313999114,-0.451417,0.364429,0.165900,-0.797428,-0.175850,-0.070160,-0.316666
2,3314032448,-0.450112,0.358976,0.162366,-0.801356,0.028847,-0.222635,-0.336497
3,3314065782,-0.447741,0.353767,0.160573,-0.805353,0.048489,-0.350133,-0.669703
4,3314099116,-0.444382,0.347160,0.160444,-0.810100,-0.175718,-0.377605,-0.965586
5,3314132450,-0.439897,0.341111,0.160230,-0.815144,-0.038797,-0.415769,-1.361557
6,3314165784,-0.434355,0.335722,0.159360,-0.820506,0.224412,-0.182959,-1.249399
7,3314199118,-0.428652,0.328233,0.159120,-0.826560,0.065260,0.036803,-1.506742
8,3314232452,-0.423767,0.320765,0.158886,-0.832037,0.358229,0.323707,-1.300046
9,3314265786,-0.419369,0.315778,0.157343,-0.836455,0.202840,0.240019,-1.554824
10,3314299120,-0.414595,0.311837,0.156653,-0.840434,-0.048265,0.024850,-1.844542
11,3314332454,-0.410655,0.306705,0.158958,-0.843817,-0.227826,0.430862,-1.420754
12,3314365788,-0.407799,0.302972,0.162306,-0.845910,0.002179,-0.227225,-1.300413
13,3314399122,-0.404069,0.298520,0.166426,-0.848479,0.045102,0.418964,-1.005713
14,3314432456,-0.399882,0.293013,0.169826,-0.851702,0.150690,0.470041,-1.023228
15,3314465790,-0.394831,0.287269,0.172062,-0.855558,-0.008136,0.023499,-1.525424
16,3314499124,-0.389266,0.279470,0.176020,-0.859875,0.441591,0.522911,-2.512635
17,3314532458,-0.383094,0.270898,0.183488,-0.863820,-0.177716,0.319297,-2.481432
18,3314565792,-0.375811,0.263298,0.194943,-0.866855,0.297220,0.158371,-1.467672
19,3314599126,-0.369456,0.253623,0.211344,-0.868626,-0.972670,0.678453,-2.566844
20,3314632460,-0.366159,0.247094,0.228268,-0.867620,-0.920429,0.154016,-1.152522
21,3314665794,-0.364373,0.234753,0.250047,-0.865794,-0.562934,0.920302,-0.757799
22,3314699128,-0.361919,0.220996,0.275699,-0.862650,-1.168576,0.918774,1.531093
23,3314732462,-0.360574,0.210569,0.299865,-0.857746,0.142659,1.304934,1.924664
24,3314765796,-0.360535,0.202172,0.318151,-0.853183,-1.068360,0.806094,3.470011
25,3314799130,-0.366211,0.200629,0.326464,-0.847972,-0.533256,0.911338,2.508486
26,3314832464,-0.373516,0.198615,0.328767,-0.844363,-0.316228,0.963272,1.582325
27,3314865798,-0.378445,0.194538,0.328540,-0.843205,-0.075947,0.910234,1.743043
28,3314899132,-0.381942,0.189201,0.328987,-0.842668,1.044180,1.161282,1.834473
29,3314932466,-0.384168,0.183285,0.330237,-0.842475,0.768035,0.651004,2.145177
30,3314965800,-0.385351,0.178808,0.330683,-0.842722,0.782526,-0.243381,2.574884
31,3314999134,-0.386288,0.172597,0.332499,-0.842873,0.898508,0.142300,2.250636
32,3315032468,-0.388146,0.169703,0.333225,-0.842321,0.672968,-0.504821,2.334791
33,3315065802,-0.390091,0.167373,0.334859,-0.841240,0.477140,-0.395721,1.765759
34,3315099136,-0.392369,0.166521,0.337148,-0.839433,0.460593,-0.227369,1.379686
35,3315132470,-0.393088,0.164577,0.340434,-0.838153,-0.260148,-0.770088,1.144142
36,3315165804,-0.391398,0.158621,0.344735,-0.838334,-0.091587,-0.373785,0.833596
37,3315199138,-0.390123,0.153083,0.347698,-0.838734,0.119538,0.160257,0.265675
38,3315232472,-0.391987,0.153254,0.347840,-0.837775,0.194126,0.190885,1.124530
39,3315265806,-0.398815,0.161819,0.343443,-0.834750,-0.065720,0.159531,0.733461
40,3315299140,-0.406697,0.175370,0.336329,-0.831099,0.362417,-0.132490,1.026456
41,3315332474,-0.412908,0.185437,0.330568,-0.828157,0.360968,-0.551042,0.696753
42,3315365808,-0.418501,0.198294,0.325708,-0.824288,-0.285715,-0.835130,0.642056
43,3315399142,-0.426214,0.217714,0.322751,-0.816562,-0.306667,1.404972,-2.080091
44,3315432476,-0.430753,0.225874,0.325674,-0.810783,0.287176,-0.702014,1.722419
45,3315465810,-0.434200,0.230553,0.324630,-0.808041,-0.209227,-1.146878,2.126410
46,3315499144,-0.435304,0.231625,0.320442,-0.808812,-0.255740,-0.721718,1.074677
47,3315532478,-0.433134,0.232445,0.313748,-0.812358,0.441075,-0.757052,0.839010
48,3315565812,-0.427408,0.230370,0.308402,-0.818009,0.347745,-0.430943,-0.048930
49,3315599146,-0.419920,0.227894,0.304519,-0.824014,0.181298,-0.063986,0.010645
50,3315632480,-0.413235,0.227160,0.300423,-0.829084,-0.183699,0.121426,0.393709
51,3315665814,-0.408680,0.225907,0.296404,-0.833121,-0.188953,0.086578,0.044775
52,3315699148,-0.404981,0.222491,0.294091,-0.836659,-0.079513,0.629039,-0.289990
53,3315732482,-0.402880,0.220346,0.292233,-0.838889,-0.133242,0.893914,-0.018668
54,3315765816,-0.402201,0.220455,0.290439,-0.839809,0.009384,0.948073,-0.078639
55,3315799150,-0.401785,0.220830,0.289201,-0.840336,-0.104776,0.900954,0.065574
56,3315832484,-0.401062,0.218928,0.289176,-0.841188,-0.134481,0.655005,-0.057748
57,3315865818,-0.400886,0.217762,0.290114,-0.841251,-0.401861,0.590130,-0.247692
58,3315899152,-0.401771,0.218221,0.291551,-0.840212,-0.540287,0.405536,-0.228621
59,3315932486,-0.403135,0.217655,0.294070,-0.838827,-0.420920,0.019620,-0.193472
60,3315965820,-0.404504,0.216268,0.298100,-0.837102,-0.489183,-0.187870,0.041387
61,3315999154,-0.404986,0.214184,0.302856,-0.835697,-0.857031,-0.842525,0.794426
62,3316032488,-0.403083,0.207484,0.308109,-0.836387,-0.636939,-0.960661,1.388577
63,3316065822,-0.398999,0.195659,0.313686,-0.839117,0.049220,-0.355859,1.192599
64,3316099156,-0.396194,0.187503,0.316945,-0.841081,0.132515,0.289848,1.955630
65,3316132490,-0.396368,0.186135,0.318049,-0.840886,0.476819,0.789691,2.255106
66,3316165824,-0.398638,0.192028,0.318112,-0.838461,1.142504,1.132212,2.805309
67,3316199158,-0.402323,0.202839,0.319140,-0.833752,0.776988,0.631300,3.291052
68,3316232492,-0.404507,0.209858,0.323579,-0.829234,0.803242,0.180179,3.304653
69,3316265826,-0.404536,0.212607,0.331375,-0.825432,0.967119,0.596648,2.273693
70,3316299160,-0.403608,0.214117,0.339998,-0.821983,0.047869,-0.081835,1.551465
71,3316332494,-0.402127,0.214034,0.346727,-0.819917,0.361067,-0.515860,1.293891
72,3316365828,-0.401549,0.214655,0.351854,-0.817851,-0.479723,0.589410,0.068372
73,3316399162,-0.400474,0.212342,0.356714,-0.816876,-0.553675,-0.648451,0.431219
74,3316432496,-0.399375,0.207799,0.360525,-0.816909,-0.492142,-0.057426,0.118481
75,3316465830,-0.402568,0.208374,0.361942,-0.814565,0.419991,1.005890,-0.341736
