sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:58:11_593 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3313999114,0.801797,-0.429662,-0.030105,-0.414261,0.528124,-0.035269,0.264579
2,3314032448,0.805244,-0.420236,-0.028115,-0.417373,0.101221,-0.175308,0.569093
3,3314065782,0.808132,-0.410908,-0.028004,-0.421070,0.167239,0.090605,0.027430
4,3314099116,0.810502,-0.401374,-0.029382,-0.425592,0.435999,-0.004373,-0.443081
5,3314132450,0.812385,-0.390677,-0.031199,-0.431781,0.374696,0.182686,-1.229320
6,3314165784,0.813775,-0.380129,-0.033944,-0.438324,0.554916,-0.030112,-1.688161
7,3314199118,0.814454,-0.369984,-0.035178,-0.445585,0.199977,-0.129738,-1.837984
8,3314232452,0.814757,-0.361027,-0.036439,-0.452228,0.125202,-0.571603,-1.706718
9,3314265786,0.814937,-0.352926,-0.036406,-0.458259,-0.008756,-0.994539,-1.629649
10,3314299120,0.814742,-0.346068,-0.035783,-0.463852,-0.205440,-0.682108,-2.250941
11,3314332454,0.814079,-0.341497,-0.033753,-0.468533,-0.179125,-0.895981,-1.923944
12,3314365788,0.813313,-0.338670,-0.031115,-0.472086,-0.325396,0.083699,-2.174988
13,3314399122,0.812865,-0.338423,-0.030274,-0.473086,-0.233197,0.059115,-2.032621
14,3314432456,0.812404,-0.339653,-0.029611,-0.473040,-0.094285,-0.300680,-1.525879
15,3314465790,0.811553,-0.341053,-0.029543,-0.473497,-0.014678,-0.166011,-1.437461
16,3314499124,0.810139,-0.341560,-0.028349,-0.475622,0.199658,-0.236009,-1.486208
17,3314532458,0.808155,-0.341678,-0.024606,-0.479106,0.059185,-0.393440,-1.431491
18,3314565792,0.805437,-0.343926,-0.020971,-0.482239,0.787809,0.532123,-0.934299
19,3314599126,0.803115,-0.345377,-0.019481,-0.485127,0.540966,0.177270,-0.201499
20,3314632460,0.801148,-0.344975,-0.017252,-0.488737,-0.155181,-1.539785,-0.563772
21,3314665794,0.797612,-0.345072,-0.008920,-0.494640,-0.502441,-1.307437,0.199332
22,3314699128,0.792736,-0.346864,0.001419,-0.501259,-1.339959,-1.200281,0.099368
23,3314732462,0.787484,-0.351033,0.013312,-0.506433,-2.011751,-0.661580,0.918986
24,3314765796,0.782481,-0.357040,0.021161,-0.509711,-1.448240,-0.263093,0.681233
25,3314799130,0.777380,-0.363465,0.030465,-0.512496,-1.103464,0.200237,-0.004202
26,3314832464,0.773736,-0.368300,0.040671,-0.513850,-0.821734,0.855035,0.746995
27,3314865798,0.769781,-0.372727,0.046433,-0.516103,-0.309278,1.607653,1.362043
28,3314899132,0.766687,-0.373591,0.054378,-0.519299,-0.807169,0.573145,1.307838
29,3314932466,0.764620,-0.371237,0.066984,-0.522551,-0.572048,0.669507,3.480140
30,3314965800,0.764049,-0.370300,0.074869,-0.522981,-0.360397,0.480408,3.349800
31,3314999134,0.764217,-0.372734,0.076498,-0.520766,0.236334,-0.496558,3.104295
32,3315032468,0.764922,-0.373558,0.075523,-0.519280,-0.007754,-0.166392,3.494466
33,3315065802,0.766686,-0.374836,0.068491,-0.516727,-0.953546,-0.848617,1.928991
34,3315099136,0.769316,-0.375597,0.060325,-0.513272,-0.998856,-0.126355,1.929354
35,3315132470,0.771751,-0.375310,0.050723,-0.510859,-0.200773,-0.180498,0.858557
36,3315165804,0.773624,-0.373837,0.042361,-0.509867,-0.540155,-0.002375,0.110000
37,3315199138,0.775009,-0.371792,0.035454,-0.509786,-0.439054,-0.460554,-0.216548
38,3315232472,0.775339,-0.369443,0.035607,-0.510979,-0.771222,-0.497352,0.803251
39,3315265806,0.775294,-0.367928,0.038754,-0.511911,-0.372496,-0.075250,1.037752
40,3315299140,0.775172,-0.368846,0.039915,-0.511347,-0.013443,0.248220,1.925056
41,3315332474,0.775439,-0.372696,0.033837,-0.508580,-0.264511,0.071198,0.888296
42,3315365808,0.775036,-0.379434,0.025352,-0.504692,0.038296,-1.139031,-0.391418
43,3315399142,0.773184,-0.387260,0.023421,-0.501672,-0.318267,-2.899155,-2.309525
44,3315432476,0.769986,-0.389810,0.037775,-0.503735,0.096625,-0.615752,-0.456388
45,3315465810,0.768543,-0.387055,0.054645,-0.506509,-1.171440,2.931023,1.891647
46,3315499144,0.769925,-0.389099,0.053723,-0.502929,0.198920,2.599247,2.378086
47,3315532478,0.771997,-0.390369,0.045856,-0.499537,-0.352946,2.228221,1.951236
48,3315565812,0.774591,-0.390255,0.034943,-0.496483,0.577189,0.786855,0.629874
49,3315599146,0.776989,-0.384377,0.035419,-0.497287,0.492326,-0.078976,1.185678
50,3315632480,0.780705,-0.372198,0.043454,-0.500086,-0.699307,0.803836,0.953798
51,3315665814,0.786302,-0.361488,0.045126,-0.499025,-1.074569,0.373709,0.266303
52,3315699148,0.792369,-0.353660,0.040163,-0.495449,-0.909371,-0.822772,-0.386650
