sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:58:11_602 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3313999114,0.746030,-0.665125,0.011027,-0.030493,0.138070,0.211051,0.228644
2,3314032448,0.746969,-0.664222,0.009629,-0.027531,0.505776,-0.015708,0.453297
3,3314065782,0.748915,-0.662096,0.008474,-0.026206,0.979427,0.030479,-0.039390
4,3314099116,0.752089,-0.658428,0.009631,-0.027291,0.613988,0.543244,-0.009383
5,3314132450,0.757038,-0.652677,0.010525,-0.028265,0.089435,0.879889,0.144254
6,3314165784,0.764138,-0.644313,0.010236,-0.029176,0.697541,1.761737,-0.013121
7,3314199118,0.774346,-0.631846,0.009665,-0.032679,0.292100,1.045408,-0.105247
8,3314232452,0.785983,-0.617072,0.010226,-0.036757,-0.081840,0.728663,-0.723297
9,3314265786,0.797478,-0.601850,0.012318,-0.040693,-0.526342,0.484174,-0.635818
10,3314299120,0.808396,-0.586924,0.014334,-0.042580,-0.780045,0.111525,-0.735544
11,3314332454,0.820115,-0.570534,0.012471,-0.041834,-0.420186,0.105347,-0.292582
12,3314365788,0.832337,-0.552700,0.008860,-0.040760,0.491921,0.489963,-1.102421
13,3314399122,0.844028,-0.534697,0.005743,-0.041047,1.168591,0.921084,-1.460373
14,3314432456,0.854421,-0.517733,0.005265,-0.043497,1.121045,0.167842,-1.264636
15,3314465790,0.864431,-0.500404,0.008137,-0.047867,0.514484,-0.451447,-0.671962
16,3314499124,0.874659,-0.481950,0.010085,-0.050954,-1.396640,-1.850715,-0.092393
17,3314532458,0.885754,-0.461455,0.005601,-0.049704,-1.487497,-1.101769,-0.048738
18,3314565792,0.897404,-0.438836,-0.003137,-0.045638,-0.197866,-0.906420,0.083063
19,3314599126,0.908770,-0.414948,-0.008545,-0.043429,0.679433,-1.444857,-0.328600
20,3314632460,0.918737,-0.392287,-0.010705,-0.043831,0.382058,-1.860745,-0.113234
21,3314665794,0.928310,-0.368892,-0.014885,-0.044042,1.644427,-1.556817,1.324601
22,3314699128,0.937111,-0.345292,-0.019575,-0.047073,0.225509,-2.496594,2.032099
23,3314732462,0.944353,-0.323666,-0.026138,-0.052518,-1.504086,-1.558004,1.038000
24,3314765796,0.950924,-0.301416,-0.042068,-0.055908,-0.827482,-0.818105,0.005295
25,3314799130,0.956743,-0.278890,-0.057083,-0.060065,-0.080818,0.820237,-0.227183
26,3314832464,0.962636,-0.255692,-0.062928,-0.063214,0.149135,-0.159569,-0.132873
27,3314865798,0.967883,-0.232567,-0.068033,-0.067007,1.641438,-0.431560,-0.409373
28,3314899132,0.971930,-0.211855,-0.069985,-0.074663,1.024598,0.258729,-0.453024
29,3314932466,0.974678,-0.193728,-0.076214,-0.081648,-0.928862,-0.859245,1.539221
30,3314965800,0.976505,-0.176712,-0.086086,-0.088330,-0.524440,-0.261062,0.771024
31,3314999134,0.977721,-0.163140,-0.093332,-0.093484,0.761295,-0.317578,1.009829
32,3315032468,0.979076,-0.150571,-0.096505,-0.097103,-0.186522,-1.146584,2.341679
33,3315065802,0.980487,-0.138404,-0.097476,-0.099953,-1.258796,-0.022600,0.626811
34,3315099136,0.981592,-0.128268,-0.099746,-0.100384,-0.223440,-0.135566,-0.096357
35,3315132470,0.982773,-0.119087,-0.100483,-0.099405,-0.019397,-0.204302,0.535898
36,3315165804,0.983556,-0.110934,-0.103073,-0.098433,0.266257,-0.021674,0.550595
37,3315199138,0.984438,-0.102715,-0.103920,-0.097646,0.642743,-0.002777,-0.565881
38,3315232472,0.985313,-0.096045,-0.103192,-0.096378,-0.317020,-0.006589,-0.143041
39,3315265806,0.985722,-0.091281,-0.105380,-0.094434,0.040955,-0.271936,0.557618
40,3315299140,0.986214,-0.086606,-0.106177,-0.092795,0.612362,-0.203742,0.120214
41,3315332474,0.986591,-0.082964,-0.106530,-0.091706,0.557310,-0.285499,-0.128584
42,3315365808,0.986739,-0.080194,-0.107129,-0.091880,0.551250,-0.229235,0.185341
43,3315399142,0.986765,-0.078036,-0.107439,-0.093085,0.207333,-0.153870,0.184592
44,3315432476,0.986620,-0.076799,-0.108821,-0.094040,-0.630388,0.167195,-0.205664
45,3315465810,0.986470,-0.076334,-0.111072,-0.093357,-0.675008,-0.112425,0.376051
46,3315499144,0.986425,-0.075166,-0.113948,-0.091288,-0.448763,-0.455954,0.466049
47,3315532478,0.986420,-0.073907,-0.117161,-0.088261,0.285536,-0.349599,-0.107239
48,3315565812,0.986381,-0.072928,-0.120225,-0.085336,0.775019,-0.527334,0.260226
49,3315599146,0.986172,-0.072217,-0.123993,-0.082934,0.830240,-0.882521,0.484770
50,3315632480,0.986013,-0.071595,-0.126484,-0.081594,0.868542,-0.478251,-0.018229
51,3315665814,0.986144,-0.070240,-0.126196,-0.081637,0.979028,-0.448481,0.102130
52,3315699148,0.986264,-0.068743,-0.125717,-0.082191,-0.223789,-0.256196,0.072968
53,3315732482,0.986153,-0.068211,-0.126851,-0.082231,-0.019591,-0.121653,0.244763
54,3315765816,0.986314,-0.067486,-0.126399,-0.081585,0.288460,-0.218406,0.195496
55,3315799150,0.986490,-0.067348,-0.126009,-0.080162,0.105578,-0.076493,-0.074707
56,3315832484,0.986663,-0.067946,-0.125384,-0.078496,0.559609,-0.124234,0.104946
57,3315865818,0.986970,-0.068194,-0.123903,-0.076751,0.651526,-0.405529,0.252430
58,3315899152,0.987606,-0.067153,-0.120563,-0.074778,-0.046204,-0.432314,0.092974
59,3315932486,0.987820,-0.066849,-0.120220,-0.072750,-0.013599,-0.506306,0.055582
60,3315965820,0.988004,-0.066163,-0.120133,-0.071005,0.593287,-0.714937,0.032119
61,3315999154,0.988359,-0.064766,-0.118869,-0.069463,0.249932,-0.686779,-0.002321
62,3316032488,0.988296,-0.064050,-0.120367,-0.068435,0.065071,-0.558388,0.135530
63,3316065822,0.988161,-0.063409,-0.122122,-0.067866,0.668332,-0.245923,0.173270
64,3316099156,0.987919,-0.063830,-0.124254,-0.067117,0.238581,-0.379614,0.536791
65,3316132490,0.987848,-0.066014,-0.124500,-0.065585,0.096372,-0.139658,1.703335
66,3316165824,0.987644,-0.074845,-0.123078,-0.061740,-0.779077,-0.391770,2.995085
67,3316199158,0.987280,-0.087753,-0.120909,-0.054426,-0.118733,-0.489079,2.799469
68,3316232492,0.986390,-0.104568,-0.118011,-0.046647,0.833018,-0.308612,1.252351
69,3316265826,0.984850,-0.124754,-0.113306,-0.040881,1.687438,-0.097559,0.657897
70,3316299160,0.982613,-0.147505,-0.106437,-0.037244,0.542070,-0.064013,0.400949
71,3316332494,0.979429,-0.171280,-0.100967,-0.034501,0.382570,-0.064287,-0.059448
72,3316365828,0.975728,-0.194498,-0.095246,-0.032497,0.874148,-0.212996,-0.935017
73,3316399162,0.971487,-0.218213,-0.087394,-0.031004,-0.942411,-0.073670,-0.614464
74,3316432496,0.966350,-0.241575,-0.083767,-0.028173,-0.382862,-0.186979,-0.054309
75,3316465830,0.960866,-0.263964,-0.079933,-0.025963,0.315355,-0.179623,-0.565145
76,3316499164,0.955029,-0.286379,-0.072807,-0.024660,0.044853,0.234691,-0.172651
77,3316532498,0.948520,-0.308555,-0.067431,-0.023632,0.846438,-0.395152,0.413196
78,3316565832,0.941555,-0.330453,-0.060783,-0.024141,0.762755,-0.449798,0.417792
79,3316599166,0.934300,-0.351832,-0.051129,-0.026215,0.045978,-0.676206,0.509948
80,3316632500,0.925654,-0.375024,-0.041504,-0.028315,-0.226404,-0.765516,0.409697
