sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:55:52_441 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3174829664,-0.352635,0.360758,0.474867,-0.721112,0.457883,0.390839,0.146711
2,3174862998,-0.356185,0.355668,0.481948,-0.717187,0.511402,0.095940,0.281717
3,3174896332,-0.356295,0.349080,0.489843,-0.715017,0.330463,-0.108635,0.404724
4,3174929666,-0.354182,0.342876,0.496573,-0.714427,0.099152,-0.048785,0.476007
5,3174963000,-0.352476,0.339952,0.500293,-0.714072,-0.060487,-0.010669,0.369592
6,3174996334,-0.352723,0.341613,0.500523,-0.712995,-0.076882,-0.062283,0.133718
7,3175029668,-0.354712,0.346546,0.498269,-0.711204,0.035891,-0.261706,0.004467
8,3175063002,-0.357174,0.351974,0.495157,-0.709478,0.083669,-0.404213,-0.083143
9,3175096336,-0.359305,0.356005,0.492363,-0.708335,0.085589,-0.403073,-0.072425
10,3175129670,-0.361310,0.358563,0.490054,-0.707625,0.063425,-0.248083,-0.060966
11,3175163004,-0.363600,0.360547,0.487876,-0.706949,0.025704,-0.119781,0.043260
12,3175196338,-0.366231,0.362871,0.485520,-0.706023,-0.003293,-0.065202,0.162084
13,3175229672,-0.368541,0.365348,0.483176,-0.705151,-0.086109,-0.157304,0.182545
14,3175263006,-0.370265,0.367391,0.480883,-0.704754,-0.161311,-0.196516,0.108638
15,3175296340,-0.371953,0.368900,0.478363,-0.704793,-0.257282,-0.178191,0.082948
16,3175329674,-0.374468,0.370799,0.474887,-0.704814,-0.274677,-0.072945,-0.196287
17,3175363008,-0.378130,0.374056,0.470240,-0.704253,-0.148034,0.149035,-0.189429
18,3175396342,-0.382897,0.378857,0.465108,-0.702518,0.018232,0.294298,0.004179
19,3175429676,-0.388125,0.384122,0.460567,-0.699776,0.144795,0.426448,0.004648
20,3175463010,-0.393444,0.389642,0.457197,-0.695954,0.299583,0.633092,0.078406
21,3175496344,-0.398225,0.394765,0.456116,-0.691039,0.320867,0.413686,0.074686
22,3175529678,-0.401568,0.397643,0.458350,-0.685957,0.280553,0.114518,0.086645
23,3175563012,-0.403269,0.397566,0.463682,-0.681405,0.110283,-0.061990,-0.076151
24,3175596346,-0.404083,0.395691,0.470726,-0.677172,-0.040951,-0.209831,-0.211519
25,3175629680,-0.405014,0.393186,0.477811,-0.673101,-0.215692,-0.356726,0.029286
26,3175663014,-0.407129,0.390919,0.483254,-0.669248,-0.343251,-0.439708,0.457038
27,3175696348,-0.411481,0.389970,0.485701,-0.665357,-0.280617,-0.253753,0.504793
28,3175729682,-0.418302,0.391935,0.484699,-0.660664,-0.252456,-0.409368,0.613956
29,3175763016,-0.426393,0.395758,0.481157,-0.655783,-0.034494,-0.604372,0.700644
30,3175796350,-0.434198,0.399877,0.476232,-0.651746,0.083820,-0.669908,0.112619
31,3175829684,-0.440224,0.403604,0.471134,-0.649106,0.161698,-0.732790,-0.335998
32,3175863018,-0.443967,0.406265,0.467007,-0.647877,0.246999,-0.736572,-0.277624
33,3175896352,-0.445929,0.406907,0.464490,-0.647936,0.269108,-0.743635,-0.104310
34,3175929686,-0.447018,0.405563,0.463230,-0.648930,0.392765,-0.561837,-0.060074
35,3175963020,-0.447912,0.403889,0.461958,-0.650264,0.389965,-0.328252,-0.055363
36,3175996354,-0.448974,0.403992,0.459290,-0.651356,0.354098,-0.177445,0.011887
37,3176029688,-0.449723,0.406174,0.455085,-0.652433,0.404964,-0.171859,0.042908
38,3176063022,-0.449753,0.409099,0.450195,-0.653975,0.436241,-0.096097,0.124891
39,3176096356,-0.449214,0.412031,0.445095,-0.655993,0.281366,0.105653,0.169059
40,3176129690,-0.448596,0.415691,0.439415,-0.657933,0.149706,0.268362,0.078817
