sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:55:52_442 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3174829664,0.629207,-0.767966,-0.027520,0.116504,-0.043645,0.090744,0.117548
2,3174862998,0.629632,-0.767263,-0.029644,0.118299,0.176544,-0.040697,0.126331
3,3174896332,0.630233,-0.766561,-0.030854,0.119336,0.155738,-0.090829,0.145020
4,3174929666,0.630826,-0.766001,-0.031377,0.119666,0.086483,-0.231514,0.104495
5,3174963000,0.631605,-0.765333,-0.031565,0.119782,0.079862,-0.170201,0.145151
6,3174996334,0.632613,-0.764554,-0.031269,0.119510,0.086691,-0.127869,0.128971
7,3175029668,0.633896,-0.763639,-0.030501,0.118761,0.082080,0.035469,0.128782
8,3175063002,0.635379,-0.762633,-0.029230,0.117613,0.003998,0.162267,0.115784
9,3175096336,0.636796,-0.761764,-0.027425,0.116004,0.037695,0.056056,0.113456
10,3175129670,0.637682,-0.761390,-0.025404,0.114040,0.023643,0.020800,0.115244
11,3175163004,0.638298,-0.761214,-0.023590,0.112136,-0.048376,0.170894,0.156767
12,3175196338,0.639077,-0.760889,-0.021835,0.110246,-0.022388,0.197450,0.103518
13,3175229672,0.639750,-0.760677,-0.019970,0.108138,-0.219114,0.168145,0.145935
14,3175263006,0.640273,-0.760572,-0.018048,0.106101,-0.306962,0.144267,0.122399
15,3175296340,0.640407,-0.760593,-0.017580,0.105214,-0.270745,-0.141202,0.103560
16,3175329674,0.640106,-0.760802,-0.018522,0.105370,-0.115515,-0.200523,-0.027435
17,3175363008,0.639357,-0.761287,-0.020688,0.106015,0.009740,0.124160,0.160308
18,3175396342,0.638960,-0.761437,-0.023264,0.106797,-0.118676,0.310823,0.302546
19,3175429676,0.639474,-0.761006,-0.024402,0.106537,-0.023641,0.205529,0.185134
20,3175463010,0.640691,-0.760211,-0.023819,0.105028,0.019391,-0.014965,0.133218
21,3175496344,0.642043,-0.759408,-0.022760,0.102784,-0.271211,-0.436097,0.217234
22,3175529678,0.643263,-0.758644,-0.021879,0.100972,-0.205927,-0.466553,0.021201
23,3175563012,0.644010,-0.758152,-0.022063,0.099870,-0.184416,-0.307221,-0.006896
24,3175596346,0.644412,-0.757893,-0.022954,0.099035,-0.191572,0.390877,0.127226
25,3175629680,0.644991,-0.757493,-0.023824,0.098109,0.074216,0.542811,0.054162
26,3175663014,0.645129,-0.757680,-0.023600,0.095784,-0.114105,0.444510,0.142928
27,3175696348,0.645205,-0.758107,-0.022526,0.092085,-0.267157,0.602416,0.280999
28,3175729682,0.645448,-0.758466,-0.020699,0.087758,-0.578571,0.410211,0.246832
29,3175763016,0.646140,-0.758328,-0.019322,0.084090,-0.479863,0.263913,0.212378
30,3175796350,0.647120,-0.757866,-0.018391,0.080865,0.056850,0.143939,0.032619
31,3175829684,0.647818,-0.757688,-0.017172,0.077124,0.242174,0.037926,0.021220
32,3175863018,0.647980,-0.758037,-0.015411,0.072580,-0.042933,-0.033896,-0.072292
33,3175896352,0.647868,-0.758637,-0.013439,0.067524,-0.188566,0.176503,0.196107
34,3175929686,0.647869,-0.759087,-0.011727,0.062602,-0.227822,0.278336,0.194911
35,3175963020,0.648327,-0.759103,-0.010144,0.057756,-0.092772,0.333727,0.143596
36,3175996354,0.649128,-0.758802,-0.008673,0.052731,-0.086750,0.471960,0.141602
37,3176029688,0.650628,-0.757831,-0.008028,0.048100,-0.125743,0.537053,0.093555
38,3176063022,0.652709,-0.756335,-0.007734,0.043263,-0.292142,0.508693,0.139230
39,3176096356,0.655443,-0.754239,-0.007386,0.038275,-0.175340,0.713750,0.154455
40,3176129690,0.659137,-0.751300,-0.006097,0.032428,-0.014178,1.070666,0.048828
41,3176163024,0.664370,-0.746978,-0.003700,0.025025,-0.038455,1.079817,0.001397
42,3176196358,0.671593,-0.740734,-0.000800,0.016698,-0.119209,1.121726,-0.084064
43,3176229692,0.680470,-0.732734,0.001247,0.007874,0.410908,1.530617,-0.173057
44,3176263026,0.691808,-0.722073,0.002936,-0.002570,1.284758,1.209798,-0.524555
