sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:56:40_435 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3222830624,-0.050119,0.616439,-0.227721,-0.752086,0.095406,0.376490,-0.066442
2,3222863958,-0.048348,0.617061,-0.224831,-0.752561,0.068753,0.497676,-0.206393
3,3222897292,-0.045715,0.618624,-0.221079,-0.752554,0.063662,0.705041,-0.471066
4,3222930626,-0.042055,0.622029,-0.215283,-0.751640,0.559343,0.615468,-0.924428
5,3222963960,-0.036966,0.627306,-0.204675,-0.750485,0.374312,0.821407,-0.662384
6,3222997294,-0.034004,0.625797,-0.189498,-0.755851,0.037744,1.707772,0.197236
7,3223030628,-0.032824,0.615993,-0.172265,-0.767983,-0.857858,1.131112,0.225480
8,3223063962,-0.033383,0.601947,-0.155639,-0.782509,-0.825892,-0.357981,1.368994
9,3223097296,-0.034805,0.590871,-0.142110,-0.793388,-0.130467,-3.199222,0.662760
10,3223130630,-0.033640,0.580281,-0.133191,-0.802746,0.099519,-3.356101,2.217115
11,3223163964,-0.029478,0.568033,-0.133420,-0.811583,-0.924629,-3.359477,2.940142
12,3223197298,-0.022948,0.560936,-0.144668,-0.814797,-0.713902,-2.711509,2.005027
13,3223230632,-0.013704,0.560266,-0.162615,-0.812078,0.173832,-2.135728,0.738004
14,3223263966,-0.001987,0.568869,-0.182970,-0.801814,-0.887805,-1.551068,-0.511167
15,3223297300,0.009003,0.586650,-0.201633,-0.784286,-0.126027,-0.426329,-1.156219
16,3223330634,0.018712,0.609213,-0.214631,-0.763179,1.161782,0.357899,-0.846827
17,3223363968,0.020794,0.618482,-0.221787,-0.753563,0.618292,2.552540,0.185748
18,3223397302,0.015942,0.611919,-0.224896,-0.758104,0.931100,1.995048,-1.785072
19,3223430636,0.014677,0.612578,-0.222347,-0.758349,1.075484,1.281353,-3.482003
20,3223463970,0.016326,0.623164,-0.215220,-0.751718,1.053355,3.559165,-1.168772
21,3223497304,0.014022,0.619843,-0.205678,-0.757161,1.737590,3.670824,-1.883407
22,3223530638,0.009852,0.607556,-0.192186,-0.770611,0.587491,3.433230,-3.352021
23,3223563972,0.005193,0.594743,-0.174343,-0.784766,0.292400,3.123084,-3.309137
24,3223597306,0.000809,0.594687,-0.152716,-0.789318,1.026881,1.882429,-4.384267
25,3223630640,-0.008545,0.602545,-0.129705,-0.787428,0.108674,2.209148,-0.425924
26,3223663974,-0.025485,0.611347,-0.113418,-0.782777,-0.400150,0.828125,0.515813
27,3223697308,-0.046975,0.621943,-0.105426,-0.774509,-1.085196,-0.485949,1.041273
28,3223730642,-0.070196,0.634908,-0.106603,-0.761971,-1.625287,-0.182869,2.125516
29,3223763976,-0.093223,0.649917,-0.116608,-0.745197,-1.060830,-0.036879,1.205106
30,3223797310,-0.114840,0.671405,-0.136671,-0.719269,-2.906357,0.403814,2.101340
31,3223830644,-0.138578,0.691521,-0.168194,-0.688698,-2.486033,1.786241,2.137710
32,3223863978,-0.163906,0.705078,-0.208418,-0.657693,-2.529802,2.234372,2.088415
33,3223897312,-0.190423,0.711293,-0.255335,-0.626582,-2.372562,2.495773,1.029269
34,3223930646,-0.215830,0.714613,-0.308326,-0.589644,-1.363880,2.421010,0.043226
35,3223963980,-0.240265,0.712701,-0.364999,-0.548731,-0.784706,2.590683,-0.034781
36,3223997314,-0.275627,0.692814,-0.414414,-0.521823,1.151548,2.068945,0.952063
37,3224030648,-0.327144,0.655967,-0.443397,-0.515832,2.235974,0.260039,-0.878400
38,3224063982,-0.381814,0.619334,-0.452539,-0.515608,2.959507,0.203357,-1.774866
39,3224097316,-0.422679,0.598859,-0.453709,-0.506810,2.830312,-1.136017,-2.462532
40,3224130650,-0.449140,0.596183,-0.449941,-0.490297,3.290273,-2.682202,-0.795711
41,3224163984,-0.475536,0.596226,-0.432136,-0.481287,2.252212,-2.636176,0.325795
42,3224197318,-0.504472,0.593388,-0.404118,-0.479673,0.924313,-1.760090,0.081833
43,3224230652,-0.526956,0.594677,-0.381525,-0.472350,-0.051067,-1.378210,0.137144
44,3224263986,-0.542451,0.599624,-0.368471,-0.458722,-0.787200,-2.029129,0.007903
45,3224297320,-0.554269,0.602004,-0.362795,-0.445821,-2.534440,-0.423102,1.043129
46,3224330654,-0.564073,0.601307,-0.365202,-0.432294,-3.138142,-0.124326,1.363935
47,3224363988,-0.573509,0.595932,-0.372128,-0.421275,-3.254159,0.175299,1.123440
48,3224397322,-0.582557,0.586795,-0.383283,-0.411572,-3.103092,1.044590,0.858250
49,3224430656,-0.591595,0.575106,-0.397237,-0.401834,-2.564781,1.194731,0.765381
50,3224463990,-0.603472,0.559829,-0.408419,-0.394469,-2.120839,1.222158,0.411909
51,3224497324,-0.621315,0.539475,-0.411615,-0.391799,-1.728246,1.714687,0.043512
52,3224530658,-0.644357,0.516235,-0.405073,-0.392708,-0.774564,1.231153,-1.087787
53,3224563992,-0.667833,0.495174,-0.391361,-0.394510,-0.015028,-0.038507,-0.492612
54,3224597326,-0.691519,0.477418,-0.370130,-0.396077,0.876910,1.901828,-0.258554
55,3224630660,-0.707086,0.467985,-0.352895,-0.395581,0.299712,-0.926261,-3.447428
56,3224663994,-0.714464,0.473815,-0.342854,-0.384045,-0.690277,-0.439693,-3.409043
57,3224697328,-0.722264,0.485585,-0.326797,-0.368436,1.235918,-2.208886,-2.209148
58,3224730662,-0.729875,0.494678,-0.302807,-0.361777,1.193199,-2.506603,3.051789
59,3224763996,-0.735929,0.498149,-0.278051,-0.364614,1.529811,-2.396843,1.027903
60,3224797330,-0.736228,0.503461,-0.262644,-0.368121,0.830971,-1.729837,0.312794
61,3224830664,-0.735588,0.508756,-0.247854,-0.372350,0.041872,-1.097036,0.200549
62,3224863998,-0.733988,0.513984,-0.232965,-0.377901,0.227339,-0.881723,0.043133
63,3224897332,-0.729741,0.520994,-0.220705,-0.383838,-0.297106,-1.021951,0.577594
64,3224930666,-0.723863,0.527691,-0.207334,-0.393163,-0.978967,-1.687872,1.771461
65,3224964000,-0.715510,0.531759,-0.192635,-0.410084,-1.401753,-2.319477,3.149323
66,3224997334,-0.702141,0.533371,-0.181214,-0.435517,-1.592743,-2.768570,3.500793
67,3225030668,-0.681920,0.531927,-0.175530,-0.470348,-1.302264,-3.407052,5.242051
68,3225064002,-0.653664,0.526126,-0.177518,-0.514199,-0.146604,-3.144088,4.972795
69,3225097336,-0.612217,0.520689,-0.193071,-0.562846,1.946993,-3.382756,6.021687
70,3225130670,-0.555521,0.516940,-0.217437,-0.613914,2.926010,-1.847010,3.488898
71,3225164004,-0.484621,0.518615,-0.247389,-0.659529,2.633288,0.483828,2.181467
72,3225197338,-0.399542,0.532141,-0.282738,-0.690833,1.635414,-0.015890,0.117770
73,3225230672,-0.307413,0.550667,-0.314000,-0.709695,0.458119,-0.036163,1.099855
74,3225264006,-0.221402,0.555795,-0.335859,-0.727510,-0.343949,1.097703,1.736794
75,3225297340,-0.153755,0.537735,-0.351180,-0.750915,0.583229,1.577306,0.472518
76,3225330674,-0.104146,0.502928,-0.366677,-0.775735,0.289625,2.150052,-2.040977
77,3225364008,-0.065517,0.474298,-0.384958,-0.789022,-0.966941,0.804001,-4.361779
78,3225397342,-0.036027,0.462058,-0.402855,-0.789248,0.211382,1.163676,-4.731866
79,3225430676,-0.025483,0.452767,-0.420523,-0.785820,-1.035958,4.163409,-5.136880
80,3225464010,-0.025137,0.449159,-0.435467,-0.779739,0.535886,1.093476,-6.912421
81,3225497344,-0.028126,0.459430,-0.440307,-0.770884,3.267353,2.983976,-5.551531
82,3225530678,-0.049661,0.457190,-0.430689,-0.776542,3.368462,1.341499,-7.036233
83,3225564012,-0.076181,0.455147,-0.403850,-0.789900,2.722786,0.770600,-6.851180
84,3225597346,-0.093462,0.471905,-0.364988,-0.797091,1.160812,1.882385,-5.231335
85,3225630680,-0.100322,0.509639,-0.325474,-0.790107,-0.206238,2.038799,-0.338027
86,3225664014,-0.102636,0.552454,-0.296328,-0.772301,0.290216,1.316318,3.505167
87,3225697348,-0.096676,0.590593,-0.283941,-0.749153,-1.744517,0.762172,8.997665
88,3225730682,-0.085238,0.613451,-0.290876,-0.729249,-2.950134,-0.618747,9.650658
89,3225764016,-0.068270,0.620473,-0.313058,-0.715783,-3.365703,-0.328367,9.135962
90,3225797350,-0.051595,0.608163,-0.345135,-0.712992,-2.786254,1.196179,6.422953
91,3225830684,-0.038157,0.580932,-0.383895,-0.716719,-2.397575,1.635181,3.437208
92,3225864018,-0.032052,0.543353,-0.424514,-0.723552,-0.783949,0.609384,0.750691
93,3225897352,-0.030316,0.506444,-0.461921,-0.727477,-0.274719,0.679007,-2.037283
94,3225930686,-0.038641,0.470791,-0.492219,-0.731151,-0.407969,-0.237122,-3.789804
95,3225964020,-0.048897,0.448361,-0.515641,-0.728488,0.335448,-0.045651,-5.841610
96,3225997354,-0.057800,0.441532,-0.532389,-0.719909,1.607426,0.664361,-5.297081
97,3226030688,-0.073728,0.440980,-0.540841,-0.712454,0.358452,2.237345,-6.998838
98,3226064022,-0.088449,0.446866,-0.539422,-0.708174,2.413426,1.477378,-4.379624
99,3226097356,-0.107019,0.452461,-0.526382,-0.711862,2.318321,0.041024,-3.260392
100,3226130690,-0.124458,0.462303,-0.505376,-0.717900,0.607157,-1.611193,-1.118496
101,3226164024,-0.138897,0.467534,-0.489066,-0.723141,0.355058,0.167692,3.052356
102,3226197358,-0.146810,0.462155,-0.488070,-0.725704,-1.695401,0.706936,4.745590
103,3226230692,-0.144423,0.460864,-0.503695,-0.716265,-3.983217,3.239259,4.627645
104,3226264026,-0.139041,0.460096,-0.527090,-0.700825,-2.305344,-0.034786,2.198161
105,3226297360,-0.121405,0.471393,-0.550403,-0.678310,-0.743976,1.244756,0.373054
106,3226330694,-0.112328,0.475053,-0.571048,-0.660008,0.837202,2.198217,-1.506267
107,3226364028,-0.123283,0.462288,-0.584606,-0.655230,1.172606,1.195322,-3.424367
108,3226397362,-0.150645,0.441236,-0.587207,-0.661668,0.639314,0.098667,-5.928701
109,3226430696,-0.179185,0.428481,-0.580945,-0.668431,1.022855,1.695351,-6.459556
110,3226464030,-0.205242,0.426721,-0.569909,-0.671556,2.444930,3.368326,-6.031916
111,3226497364,-0.232676,0.431084,-0.554930,-0.672369,1.496470,1.007564,-6.410519
112,3226530698,-0.265867,0.437827,-0.535766,-0.671250,2.794568,1.532605,-4.331328
113,3226564032,-0.304622,0.443720,-0.515180,-0.667013,2.314342,3.257382,-2.612315
114,3226597366,-0.348134,0.452354,-0.496982,-0.653595,1.369294,1.985823,-2.431528
115,3226630700,-0.385810,0.476953,-0.486177,-0.622332,1.286405,0.713875,-1.417899
116,3226664034,-0.426017,0.504343,-0.476210,-0.580836,1.927251,0.597459,2.160250
117,3226697368,-0.489027,0.508128,-0.446243,-0.550931,-0.718860,0.357374,4.487466
118,3226730702,-0.565639,0.495753,-0.394250,-0.528060,-1.570835,-1.052609,0.211474
119,3226764036,-0.632447,0.492178,-0.334844,-0.495631,-3.021770,1.236695,-0.016109
120,3226797370,-0.688088,0.498711,-0.276093,-0.448993,-1.018240,2.767512,2.412043
121,3226830704,-0.731658,0.508319,-0.232527,-0.390153,-0.163335,1.736840,5.195012
122,3226864038,-0.761236,0.519468,-0.201525,-0.331754,-0.693393,-2.220337,5.892982
123,3226897372,-0.780284,0.525843,-0.174778,-0.289996,-2.018543,-3.373023,6.720226
124,3226930706,-0.792308,0.523430,-0.154444,-0.272791,-2.652818,-2.873465,4.909421
125,3226964040,-0.796376,0.519227,-0.150270,-0.271307,-2.546332,-2.231265,3.671283
126,3226997374,-0.796756,0.512356,-0.156675,-0.279504,-3.069844,-1.869358,3.564232
127,3227030708,-0.796227,0.500380,-0.166893,-0.296292,-1.970061,-1.023616,3.126546
128,3227064042,-0.793540,0.484628,-0.187272,-0.316795,-1.242960,-2.095738,2.648005
129,3227097376,-0.791295,0.460161,-0.202046,-0.348254,-1.548461,-2.497286,1.700459
130,3227130710,-0.787204,0.431469,-0.213792,-0.385275,-1.960453,-1.590554,1.040802
131,3227164044,-0.776252,0.407224,-0.235610,-0.419630,-1.968543,-2.134163,2.041576
132,3227197378,-0.754416,0.388321,-0.269969,-0.455169,-2.568012,-3.858708,3.611617
133,3227230712,-0.720843,0.371703,-0.308705,-0.496914,-2.201482,-4.181997,3.750655
134,3227264046,-0.673446,0.356208,-0.349263,-0.545529,0.469145,-4.503475,4.570971
135,3227297380,-0.609490,0.344749,-0.392706,-0.596197,-0.511211,-2.782814,1.600322
136,3227330714,-0.525309,0.350386,-0.442093,-0.637050,-0.009304,-2.631944,1.061167
137,3227364048,-0.430125,0.368007,-0.483597,-0.667606,1.490061,-1.940487,1.424703
138,3227397382,-0.341670,0.380673,-0.509991,-0.691562,3.283250,1.059806,0.566597
139,3227430716,-0.269950,0.384489,-0.526625,-0.708492,2.082629,0.753663,-3.591286
140,3227464050,-0.214310,0.387067,-0.537626,-0.717780,1.856658,1.168929,-4.555947
141,3227497384,-0.171420,0.392943,-0.548054,-0.718225,1.409415,0.451285,-5.057837
142,3227530718,-0.134861,0.409725,-0.556402,-0.710179,2.101887,-0.023541,-5.693058
143,3227564052,-0.103509,0.434443,-0.559855,-0.697931,3.122844,1.427364,-5.086214
144,3227597386,-0.089521,0.453560,-0.557309,-0.689692,1.114136,7.515847,-5.405431
145,3227630720,-0.098641,0.451828,-0.549551,-0.695783,1.830151,3.302542,-4.305608
146,3227664054,-0.101924,0.459563,-0.534553,-0.701901,3.111880,0.540076,-3.349627
147,3227697388,-0.111468,0.466248,-0.509376,-0.714649,2.726811,-1.784492,-0.718522
148,3227730722,-0.130303,0.451011,-0.482971,-0.739154,0.964170,1.529303,0.151869
149,3227764056,-0.146502,0.433427,-0.463251,-0.758997,-1.062056,1.181088,-0.238792
150,3227797390,-0.155451,0.426003,-0.448818,-0.770012,-1.413766,-0.123791,-1.094016
151,3227830724,-0.153080,0.436372,-0.438976,-0.770354,-1.634591,0.480321,0.933567
152,3227864058,-0.149101,0.450244,-0.433169,-0.766429,-0.574000,0.608266,2.504318
153,3227897392,-0.147723,0.456837,-0.430375,-0.764365,-0.037003,0.045000,2.743215
154,3227930726,-0.144363,0.461242,-0.430060,-0.762537,0.026011,-0.373909,2.571170
155,3227964060,-0.134871,0.467135,-0.432251,-0.759442,0.280334,-0.438423,2.762429
156,3227997394,-0.121269,0.472596,-0.437508,-0.755336,-0.502217,0.944077,2.362960
157,3228030728,-0.108490,0.472988,-0.446813,-0.751578,-0.231182,0.754693,1.662307
158,3228064062,-0.092592,0.475594,-0.456590,-0.746164,0.849900,0.370880,0.136354
159,3228097396,-0.076131,0.477837,-0.465064,-0.741344,0.417766,1.010084,-0.324982
160,3228130730,-0.066402,0.473472,-0.473023,-0.740043,0.201069,1.685463,-1.555091
161,3228164064,-0.065797,0.462455,-0.478152,-0.743758,0.585419,0.703782,-2.589932
162,3228197398,-0.073559,0.448992,-0.477198,-0.751849,0.060964,1.435645,-3.517733
163,3228230732,-0.086835,0.437930,-0.471939,-0.760230,-0.381677,2.704891,-4.354570
164,3228264066,-0.095931,0.435266,-0.459942,-0.767980,0.815079,-0.345594,-3.914333
165,3228297400,-0.110204,0.427889,-0.441360,-0.781003,1.100407,1.390082,-1.254337
166,3228330734,-0.126175,0.412939,-0.424250,-0.795973,-0.633851,0.227508,-0.316267
167,3228364068,-0.135191,0.406147,-0.415525,-0.802563,-1.330226,0.814803,1.725639
168,3228397402,-0.135362,0.409594,-0.418268,-0.799351,-0.459020,0.197167,3.626554
169,3228430736,-0.128052,0.414822,-0.427685,-0.792850,-0.188687,0.107371,4.236875
170,3228464070,-0.114635,0.418464,-0.440654,-0.785856,0.182465,-0.792099,3.748958
171,3228497404,-0.097805,0.420671,-0.453807,-0.779441,0.377746,-1.294851,2.630115
172,3228530738,-0.080159,0.420426,-0.466155,-0.774284,-0.105080,-1.480362,1.415916
173,3228564072,-0.065196,0.417057,-0.477527,-0.770571,0.188954,-1.544062,0.267858
174,3228597406,-0.055075,0.410146,-0.485852,-0.769866,0.214771,-1.328956,-0.614102
175,3228630740,-0.052575,0.397780,-0.490930,-0.773301,-0.319346,-1.041142,-2.230164
176,3228664074,-0.055100,0.385476,-0.490256,-0.779757,0.495566,-1.121561,-3.779871
177,3228697408,-0.059484,0.378083,-0.482740,-0.787703,-0.382555,-0.172613,-3.934436
178,3228730742,-0.069105,0.372135,-0.469023,-0.797970,-0.037768,0.880152,-4.050484
179,3228764076,-0.085138,0.362974,-0.448416,-0.812357,-0.789521,0.091809,-5.221028
180,3228797410,-0.097752,0.359290,-0.426203,-0.824443,-0.782660,1.432277,-2.961087
181,3228830744,-0.105841,0.363847,-0.405993,-0.831614,0.285905,1.578011,-0.292923
182,3228864078,-0.115864,0.365023,-0.388001,-0.838324,-0.216325,2.420667,-0.506550
183,3228897412,-0.123276,0.372135,-0.372745,-0.841058,-0.058786,1.715187,-0.001132
184,3228930746,-0.129085,0.380525,-0.356721,-0.843378,0.476594,2.294725,-0.406809
185,3228964080,-0.135193,0.386473,-0.341636,-0.845958,0.288610,3.918968,-1.216691
186,3228997414,-0.140832,0.393848,-0.329640,-0.846396,0.125739,4.035887,-2.684396
187,3229030748,-0.146788,0.406721,-0.320235,-0.842900,-0.727640,3.805757,-3.778303
188,3229064082,-0.154193,0.431350,-0.311371,-0.832592,-0.510199,4.306249,-3.076632
189,3229097416,-0.169786,0.460752,-0.303085,-0.816712,0.001355,4.173728,-3.780632
190,3229130750,-0.195077,0.496694,-0.295299,-0.792488,-0.266121,3.572489,-2.294724
191,3229164084,-0.231452,0.537042,-0.287250,-0.758619,0.670200,4.213430,-1.974351
192,3229197418,-0.277647,0.581184,-0.284261,-0.710164,0.896113,4.128238,0.005432
193,3229230752,-0.336816,0.610753,-0.280387,-0.659483,1.888555,3.377765,4.361629
194,3229264086,-0.410376,0.613986,-0.269059,-0.618239,0.870856,2.410313,5.099401
195,3229297420,-0.483240,0.608768,-0.257624,-0.574030,0.655703,0.090204,4.211680
196,3229330754,-0.550267,0.599143,-0.247039,-0.526502,-0.403389,-0.930498,3.628116
197,3229364088,-0.602798,0.598143,-0.254510,-0.462691,0.322518,-1.722824,1.649143
198,3229397422,-0.633100,0.608510,-0.292899,-0.378297,0.378278,-3.724836,2.434228
199,3229430756,-0.652473,0.608105,-0.339877,-0.298280,-1.910360,-3.913679,5.400295
200,3229464090,-0.679000,0.590443,-0.359357,-0.247383,-1.541399,-3.820165,1.654884
201,3229497424,-0.700490,0.574992,-0.370155,-0.204163,-0.059665,-1.084965,1.333457
202,3229530758,-0.704977,0.568904,-0.391761,-0.160867,-0.913209,-4.182041,-0.695199
203,3229564092,-0.700424,0.572979,-0.406630,-0.125505,-1.892176,-3.242177,1.828606
204,3229597426,-0.702349,0.577082,-0.401143,-0.112983,-0.827726,-2.291395,1.137377
205,3229630760,-0.705609,0.579137,-0.392799,-0.111462,-0.091495,-1.676965,0.077125
206,3229664094,-0.703325,0.582185,-0.392683,-0.110425,-0.798872,-1.806929,0.089291
207,3229697428,-0.697737,0.588420,-0.392337,-0.113997,-1.492499,-1.716427,0.168705
208,3229730762,-0.693746,0.597182,-0.382253,-0.126380,-1.638167,-2.031958,0.864842
209,3229764096,-0.691202,0.606739,-0.362996,-0.149466,-1.547574,-2.345344,1.515663
210,3229797430,-0.686507,0.614554,-0.344249,-0.180340,-1.590485,-2.301636,1.992724
211,3229830764,-0.676961,0.620112,-0.332613,-0.215760,-1.571859,-2.895477,1.825741
212,3229864098,-0.660346,0.625188,-0.328335,-0.255494,-1.454534,-3.045358,2.469910
213,3229897432,-0.637609,0.629225,-0.325761,-0.302341,-1.629714,-2.324972,1.967380
214,3229930766,-0.608162,0.631628,-0.322900,-0.356257,-0.987682,-2.647786,2.925297
215,3229964100,-0.568520,0.634264,-0.324605,-0.411247,-0.635853,-2.398806,1.490725
216,3229997434,-0.515951,0.641721,-0.336414,-0.456961,-0.880122,-1.068824,0.256148
217,3230030768,-0.455080,0.654596,-0.359458,-0.484969,-1.280913,-1.180431,-1.632107
218,3230064102,-0.391608,0.672960,-0.387292,-0.493733,-0.142725,-2.007330,-0.513565
219,3230097436,-0.337539,0.684900,-0.407412,-0.500993,0.489069,-0.672361,-1.901308
220,3230130770,-0.291678,0.696796,-0.424443,-0.499246,2.028301,0.209686,-2.478101
221,3230164104,-0.262821,0.703421,-0.429929,-0.501283,3.460126,2.490411,0.439798
222,3230197438,-0.268385,0.688655,-0.412521,-0.532493,3.583195,5.331262,-0.268352
