sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:56:40_427 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3222830624,0.573702,-0.289963,-0.584181,-0.495506,-0.042876,0.327228,0.336325
2,3222863958,0.570181,-0.289275,-0.586585,-0.497131,-0.076549,0.573831,0.791034
3,3222897292,0.567710,-0.285986,-0.588356,-0.499761,0.093014,0.863980,0.626059
4,3222930626,0.565216,-0.280866,-0.591149,-0.502191,-0.005991,0.825853,0.786372
5,3222963960,0.559759,-0.274262,-0.598388,-0.503377,0.113600,0.906756,0.729232
6,3222997294,0.554473,-0.265469,-0.606502,-0.504230,-0.024422,1.099427,0.826528
7,3223030628,0.546921,-0.254953,-0.617103,-0.505041,-0.183310,0.681923,0.580308
8,3223063962,0.539129,-0.244141,-0.628524,-0.504678,-0.125151,-0.356016,0.550982
9,3223097296,0.535219,-0.231984,-0.635968,-0.505249,-0.048929,-0.756385,-1.003095
10,3223130630,0.535176,-0.222734,-0.638649,-0.506074,0.052520,-1.414179,-0.879113
11,3223163964,0.542328,-0.216693,-0.629601,-0.512381,-1.529972,-3.191885,-0.858299
12,3223197298,0.541915,-0.221721,-0.618620,-0.523913,0.128308,-3.520179,-2.101484
13,3223230632,0.538348,-0.235686,-0.602815,-0.539680,0.484900,-3.042911,-2.280817
14,3223263966,0.534472,-0.253213,-0.585983,-0.553944,-0.506594,-1.315025,-2.620802
15,3223297300,0.531649,-0.267042,-0.574329,-0.562310,-2.042318,1.536215,0.181920
16,3223330634,0.527259,-0.280218,-0.574481,-0.559869,-1.039369,3.060938,0.390450
17,3223363968,0.522398,-0.290825,-0.582127,-0.551051,-1.227947,2.598288,1.930737
18,3223397302,0.520526,-0.293614,-0.590104,-0.542796,-0.735430,2.771238,2.405121
19,3223430636,0.521019,-0.290477,-0.596651,-0.536821,-0.745223,2.826027,1.896115
20,3223463970,0.522943,-0.284134,-0.601721,-0.532670,0.308432,1.498180,1.648393
21,3223497304,0.523565,-0.275092,-0.608335,-0.529282,-0.485201,3.232691,0.956392
22,3223530638,0.519555,-0.265916,-0.620483,-0.523792,0.060286,1.877864,1.700704
23,3223563972,0.519292,-0.251274,-0.628177,-0.522109,1.485434,0.893928,1.624874
24,3223597306,0.519874,-0.235520,-0.633235,-0.522764,1.263813,1.270137,-0.135256
25,3223630640,0.516233,-0.225178,-0.640723,-0.521804,2.465791,-0.390492,-0.563145
26,3223663974,0.513699,-0.220334,-0.644525,-0.521691,2.533169,-1.127756,-1.502143
27,3223697308,0.510774,-0.222777,-0.645675,-0.522102,2.056390,-2.199540,-2.562672
28,3223730642,0.502916,-0.234427,-0.646359,-0.523781,2.620553,-3.769467,-2.495114
29,3223763976,0.491472,-0.258859,-0.641133,-0.529531,1.981245,-4.683810,-3.794788
30,3223797310,0.483603,-0.291937,-0.615774,-0.549300,0.205115,-8.549389,-0.277293
31,3223830644,0.478871,-0.329247,-0.567999,-0.582806,0.915851,-6.958154,-4.153878
32,3223863978,0.464954,-0.378296,-0.509305,-0.617515,-2.119313,-6.810321,-4.921444
33,3223897312,0.443420,-0.431787,-0.441398,-0.649703,-3.707476,-6.086798,-4.543346
34,3223930646,0.416190,-0.483701,-0.373979,-0.673028,-5.437250,0.150685,-0.822025
35,3223963980,0.386588,-0.534189,-0.320619,-0.680002,-1.368330,1.438716,1.089097
36,3223997314,0.357724,-0.574080,-0.275192,-0.683185,0.378993,2.583020,6.070041
37,3224030648,0.329115,-0.602784,-0.246167,-0.683918,3.215448,4.441673,5.575086
38,3224063982,0.301553,-0.625238,-0.231737,-0.681504,3.541114,3.304280,6.313507
39,3224097316,0.278153,-0.631448,-0.224824,-0.688016,3.243620,3.197892,4.700660
40,3224130650,0.258929,-0.631220,-0.227636,-0.694770,2.596689,2.217278,2.416558
41,3224163984,0.243088,-0.628995,-0.237070,-0.699341,1.334727,0.240564,2.009792
42,3224197318,0.227391,-0.624308,-0.248323,-0.704894,0.397291,-1.066971,0.363419
43,3224230652,0.210815,-0.619075,-0.258539,-0.710962,-0.535767,-1.718084,-0.178285
44,3224263986,0.193519,-0.612297,-0.265800,-0.719027,-0.932111,-2.509335,-1.024850
45,3224297320,0.175209,-0.607243,-0.267545,-0.727314,-1.863269,-3.067234,-1.637594
46,3224330654,0.158375,-0.601735,-0.262571,-0.737492,-1.919804,-3.116620,-2.133662
47,3224363988,0.144086,-0.598622,-0.250592,-0.747062,-2.495498,-2.784402,-3.510484
48,3224397322,0.131711,-0.597677,-0.234883,-0.755163,-2.038349,0.351540,-2.618454
49,3224430656,0.123812,-0.601906,-0.213803,-0.759391,-1.582847,-0.982525,-4.351094
50,3224463990,0.119402,-0.607453,-0.183164,-0.763677,-3.138538,-0.855157,-2.213955
51,3224497324,0.119639,-0.602715,-0.138742,-0.776646,-2.357644,0.578530,-3.538797
52,3224530658,0.122470,-0.600650,-0.085438,-0.785448,-1.118170,3.287576,-4.222193
53,3224563992,0.131427,-0.597872,-0.025522,-0.790336,-2.612520,3.262453,-0.468838
54,3224597326,0.137161,-0.572299,0.039916,-0.807511,-0.399307,5.281746,0.810137
55,3224630660,0.145951,-0.557555,0.092991,-0.811905,-1.028583,4.647513,0.978599
56,3224663994,0.157783,-0.555081,0.124954,-0.807084,0.633645,2.905298,8.577803
57,3224697328,0.163951,-0.562076,0.134838,-0.799385,1.593435,1.470614,4.571071
