sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:56:40_436 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3222863958,0.622674,-0.776746,0.094229,0.008125,-0.026812,-0.080378,0.157208
2,3222897292,0.622558,-0.776761,0.094901,0.007735,-0.055789,-0.068848,0.114462
3,3222930626,0.622488,-0.776744,0.095521,0.007376,-0.046022,-0.050967,0.122540
4,3222963960,0.622411,-0.776745,0.096046,0.007080,-0.106224,-0.005533,0.109712
5,3222997294,0.622401,-0.776717,0.096335,0.007040,-0.074266,0.075690,0.125727
6,3223030628,0.622403,-0.776717,0.096309,0.007237,-0.083469,0.147623,0.151984
7,3223063962,0.622472,-0.776675,0.096169,0.007599,0.115206,0.122275,0.140281
8,3223097296,0.622266,-0.776810,0.096420,0.007611,0.002178,0.123760,0.225871
9,3223130630,0.622474,-0.776603,0.096769,0.007253,0.174907,-0.075879,0.290445
10,3223163964,0.622972,-0.776147,0.097298,0.006123,0.520383,-0.540843,0.169267
11,3223197298,0.622953,-0.775954,0.099073,0.003417,0.125440,-0.443552,0.033821
12,3223230632,0.622727,-0.775857,0.101288,-0.000421,-0.279536,0.000574,0.183821
13,3223263966,0.622670,-0.775603,0.103464,-0.004376,-0.603245,0.175151,0.247512
14,3223297300,0.622946,-0.775015,0.105902,-0.008827,-0.444493,0.230015,0.184756
15,3223330634,0.623396,-0.774239,0.108325,-0.014107,-0.564463,0.193650,0.234062
16,3223363968,0.624164,-0.773226,0.110339,-0.019191,-0.498994,-0.083488,0.033565
17,3223397302,0.624521,-0.772548,0.111974,-0.024640,-0.621528,0.096738,0.083062
18,3223430636,0.625181,-0.771896,0.111702,-0.029158,-0.824616,0.284859,0.243390
19,3223463970,0.626819,-0.770660,0.110054,-0.032750,-0.583910,0.131536,0.197047
20,3223497304,0.628970,-0.769002,0.108197,-0.036448,-0.285106,0.260448,0.059424
21,3223530638,0.631295,-0.766961,0.107274,-0.041609,-0.315483,0.068854,-0.017579
22,3223563972,0.633748,-0.764382,0.108080,-0.049046,-0.599140,0.445829,0.040566
23,3223597306,0.636791,-0.761034,0.109789,-0.057209,-1.300989,0.953137,0.281416
24,3223630640,0.642291,-0.755912,0.109587,-0.063662,-1.410232,1.200467,0.516467
25,3223663974,0.652042,-0.747411,0.106878,-0.069267,-0.602121,1.282668,0.553224
26,3223697308,0.667215,-0.733547,0.103151,-0.078074,1.081103,-0.622121,0.167081
27,3223730642,0.682462,-0.718061,0.101184,-0.091645,2.562922,-3.013861,-0.265546
28,3223763976,0.691955,-0.705113,0.107596,-0.111529,1.022965,-2.917158,0.476228
29,3223797310,0.697642,-0.693447,0.119867,-0.134394,1.342997,-2.536557,0.757013
30,3223830644,0.701191,-0.682815,0.132833,-0.156373,0.367232,-1.997578,0.318514
31,3223863978,0.702708,-0.674197,0.144775,-0.175224,-0.283568,-1.276875,0.017306
32,3223897312,0.701629,-0.668177,0.155786,-0.192330,0.197847,-0.692339,-0.089659
33,3223930646,0.698038,-0.663441,0.168682,-0.210090,0.491833,-0.157808,-0.255169
34,3223963980,0.692468,-0.659230,0.182767,-0.229133,0.222987,-0.232276,-0.552863
35,3223997314,0.685316,-0.656420,0.195047,-0.247819,0.138839,-0.330559,-0.652020
36,3224030648,0.678208,-0.653911,0.204721,-0.265567,0.171119,-0.561099,-0.427608
37,3224063982,0.671318,-0.652500,0.211436,-0.280846,0.519227,-0.820272,-0.030160
38,3224097316,0.664025,-0.651364,0.217563,-0.295744,0.797068,-0.787598,0.345813
39,3224130650,0.655413,-0.649451,0.226704,-0.311856,0.863324,-1.141805,0.447991
40,3224163984,0.645462,-0.645581,0.239635,-0.330426,0.147700,-1.000719,0.005021
41,3224197318,0.634290,-0.641621,0.253844,-0.348662,-0.352824,0.036576,-0.211647
42,3224230652,0.622686,-0.639440,0.267228,-0.363277,0.225230,0.753564,0.051294
43,3224263986,0.612817,-0.637998,0.278305,-0.374115,0.457633,1.375919,-0.242261
44,3224297320,0.605042,-0.636522,0.288527,-0.381469,0.128421,1.985075,-0.325723
45,3224330654,0.601539,-0.634426,0.296879,-0.384084,0.236161,1.713196,-0.366665
46,3224363988,0.600668,-0.633414,0.304412,-0.381210,-0.228598,1.450532,-0.266742
47,3224397322,0.601327,-0.633925,0.311595,-0.373439,0.030381,1.043422,0.544571
48,3224430656,0.603736,-0.633570,0.319429,-0.363399,0.412042,1.358018,1.363627
49,3224463990,0.607659,-0.633902,0.322896,-0.353071,1.532123,-0.087828,1.291309
50,3224497324,0.611088,-0.635337,0.322079,-0.345233,0.904922,-1.640590,-0.447420
51,3224530658,0.611040,-0.637287,0.325369,-0.338576,-0.106294,-0.333022,-0.644269
52,3224563992,0.611647,-0.638121,0.331174,-0.330177,-1.190242,1.297405,0.846612
53,3224597326,0.614218,-0.639116,0.333500,-0.321010,-0.968515,0.738949,0.223921
54,3224630660,0.616861,-0.641116,0.332745,-0.312629,-0.485218,-0.124014,-0.032005
55,3224663994,0.621281,-0.643414,0.329377,-0.302560,-0.295216,-0.624145,-0.061120
56,3224697328,0.624178,-0.644282,0.329303,-0.294730,-0.402158,-0.492258,0.199765
57,3224730662,0.624872,-0.643840,0.332601,-0.290490,-0.832729,0.237099,0.171379
58,3224763996,0.626276,-0.643654,0.334410,-0.285764,-1.017333,0.550928,0.077938
59,3224797330,0.628928,-0.644787,0.332758,-0.279237,-0.860144,0.658721,0.151220
60,3224830664,0.631624,-0.646998,0.329551,-0.271742,-0.623421,0.748697,0.180356
61,3224863998,0.634584,-0.650000,0.324867,-0.263187,-0.557048,0.644606,0.131215
62,3224897332,0.638389,-0.652715,0.318726,-0.254634,-0.298723,0.210036,0.165886
63,3224930666,0.642315,-0.654142,0.313292,-0.247752,0.021610,-0.265851,-0.014153
64,3224964000,0.645348,-0.654561,0.310080,-0.242755,-0.176696,-0.073830,0.102382
65,3224997334,0.647196,-0.655062,0.308292,-0.238726,-0.240079,0.127971,0.312325
66,3225030668,0.648743,-0.656288,0.305458,-0.234770,-0.099160,-0.205136,0.063080
67,3225064002,0.649655,-0.658743,0.301767,-0.230099,-0.177703,-0.087098,0.055811
68,3225097336,0.649517,-0.662292,0.298072,-0.225059,-0.046179,0.256446,0.166952
69,3225130670,0.649288,-0.666161,0.293737,-0.219945,-0.026592,0.545121,0.125552
70,3225164004,0.649168,-0.669973,0.288993,-0.214948,0.041556,0.520055,0.106383
71,3225197338,0.648710,-0.673379,0.284966,-0.211028,-0.116711,0.517048,0.113287
72,3225230672,0.648081,-0.676832,0.281011,-0.207184,-0.143863,0.335295,0.179225
73,3225264006,0.646892,-0.680733,0.276999,-0.203489,-0.334572,0.256182,0.181433
74,3225297340,0.645417,-0.685452,0.271969,-0.199068,-0.594325,0.391669,0.042901
75,3225330674,0.644068,-0.691215,0.264914,-0.192928,-0.704967,0.513839,0.112331
76,3225364008,0.643036,-0.697611,0.255745,-0.185583,-0.528167,0.338691,0.135361
77,3225397342,0.642157,-0.704132,0.245494,-0.177672,-0.018785,0.277371,0.063018
78,3225430676,0.641309,-0.709904,0.235864,-0.170673,0.094743,0.266806,0.201737
79,3225464010,0.640623,-0.714503,0.227367,-0.165512,0.187804,0.068158,0.125325
80,3225497344,0.640149,-0.717921,0.220067,-0.162394,0.205132,0.032928,0.124521
81,3225530678,0.639914,-0.719798,0.214835,-0.162019,0.378940,-0.376893,-0.000732
82,3225564012,0.639009,-0.721141,0.211643,-0.163808,0.283163,-0.527397,0.069299
83,3225597346,0.637034,-0.721996,0.211071,-0.168405,0.077172,-0.450946,0.086901
84,3225630680,0.634804,-0.722217,0.212040,-0.174553,0.073342,-0.199664,0.213112
85,3225664014,0.633509,-0.721333,0.213283,-0.181267,0.032881,-0.688348,0.225080
86,3225697348,0.632616,-0.719223,0.215714,-0.189697,0.131927,-1.001030,0.176296
87,3225730682,0.631080,-0.716468,0.219860,-0.200189,-0.144504,-1.000117,0.294577
88,3225764016,0.628913,-0.713157,0.225630,-0.212061,-0.335855,-0.805247,0.128749
89,3225797350,0.626036,-0.709944,0.231864,-0.224277,-0.438724,-0.314793,0.203090
90,3225830684,0.622718,-0.707162,0.237662,-0.235933,-0.588357,0.060883,0.124243
91,3225864018,0.619631,-0.705275,0.241488,-0.245623,-0.441736,0.399441,0.061404
92,3225897352,0.617260,-0.704193,0.242805,-0.253280,-0.272249,0.587645,0.011111
93,3225930686,0.615686,-0.703354,0.242440,-0.259710,-0.190075,0.620497,0.002744
94,3225964020,0.614795,-0.702597,0.240957,-0.265192,0.058752,0.383670,0.101941
95,3225997354,0.614091,-0.701571,0.239548,-0.270760,0.395150,-0.188615,0.277045
96,3226030688,0.613055,-0.700279,0.239178,-0.276710,0.136276,-0.293835,0.254201
97,3226064022,0.611901,-0.698559,0.240070,-0.282774,0.094820,-0.409523,0.144653
98,3226097356,0.610708,-0.696599,0.241724,-0.288716,0.374653,-0.433832,0.099161
99,3226130690,0.609404,-0.694754,0.243548,-0.294332,0.228104,-0.257958,0.377981
100,3226164024,0.608647,-0.692247,0.245755,-0.299918,0.308020,-0.555658,0.415673
101,3226197358,0.608194,-0.688571,0.248937,-0.306600,0.281131,-0.556469,0.163956
102,3226230692,0.607612,-0.684261,0.252989,-0.313999,0.079793,-0.552181,0.099531
103,3226264026,0.607023,-0.679964,0.257125,-0.321032,-0.050221,-0.417498,0.262444
