sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:54:42_057 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3104461590,0.901415,-0.369793,0.054966,0.218361,0.015149,0.421784,0.248216
2,3104494924,0.901955,-0.369280,0.058080,0.216184,0.045075,0.238715,0.300615
3,3104528258,0.902306,-0.368690,0.059964,0.215208,-0.099702,0.299374,0.206159
4,3104561592,0.902666,-0.367875,0.060162,0.215038,0.050875,0.646836,0.550944
5,3104594926,0.903158,-0.366882,0.060887,0.214467,0.120023,-0.099398,0.186450
6,3104628260,0.903901,-0.365767,0.060992,0.213205,0.059832,0.624812,-0.061005
7,3104661594,0.904859,-0.364286,0.062440,0.211250,-0.343491,0.444383,0.129777
8,3104694928,0.905513,-0.362866,0.063876,0.210461,0.221904,0.358450,0.065554
9,3104728262,0.905662,-0.362156,0.064326,0.210902,0.058683,0.546591,0.296164
10,3104761596,0.905259,-0.362254,0.063481,0.212715,-0.025239,0.081582,0.360643
11,3104794930,0.904424,-0.362939,0.061754,0.215588,-0.054400,0.389031,0.125566
12,3104828264,0.903773,-0.363431,0.060437,0.217848,-0.210629,0.878103,0.774415
13,3104861598,0.903813,-0.362995,0.059680,0.218618,-0.456238,0.763332,0.043844
14,3104894932,0.903512,-0.362938,0.058339,0.220313,-0.501035,1.128815,0.413737
15,3104928266,0.903138,-0.362999,0.055889,0.222370,-0.117600,0.960063,0.348543
16,3104961600,0.902865,-0.363185,0.054703,0.223467,-0.382444,0.411966,0.442833
17,3104994934,0.903149,-0.363337,0.056790,0.221542,0.030175,0.408179,0.228748
18,3105028268,0.904007,-0.363162,0.061494,0.217031,-0.017958,0.247334,-0.145167
19,3105061602,0.904799,-0.361956,0.067185,0.214038,0.208544,1.093968,0.343290
20,3105094936,0.905939,-0.358817,0.072886,0.212630,0.173641,1.160213,-0.388190
21,3105128270,0.906730,-0.356417,0.076173,0.212143,0.061750,1.525191,0.209888
22,3105161604,0.907202,-0.354394,0.077318,0.213100,-0.025116,1.225158,0.166544
23,3105194938,0.907578,-0.352240,0.078149,0.214759,-0.449631,0.884236,1.031773
24,3105228272,0.907969,-0.350110,0.078635,0.216406,1.009050,1.925153,0.428292
25,3105261606,0.908408,-0.347817,0.079072,0.218094,-0.067929,1.092486,0.073049
26,3105294940,0.909232,-0.344212,0.079730,0.220129,-0.605950,0.163513,1.321397
27,3105328274,0.910589,-0.340281,0.080094,0.220500,0.041449,-0.184843,0.630766
28,3105361608,0.911227,-0.338549,0.080837,0.220259,0.209778,0.579094,-0.465805
29,3105394942,0.910366,-0.340107,0.081485,0.221180,-0.142683,-0.088968,0.587272
30,3105428276,0.908267,-0.343567,0.086171,0.222682,0.311476,-0.019964,0.833516
31,3105461610,0.905858,-0.348336,0.088595,0.224129,-0.062293,0.539601,-0.559487
32,3105494944,0.904527,-0.351683,0.086236,0.225195,-0.139900,-0.526946,0.243020
33,3105528278,0.904142,-0.353362,0.084011,0.224955,-0.853827,-0.505327,0.501422
34,3105561612,0.904696,-0.353694,0.080281,0.223562,0.112266,0.119340,-0.018289
35,3105594946,0.905042,-0.354162,0.075098,0.223222,-0.680769,0.483776,0.991305
36,3105628280,0.905069,-0.355270,0.067575,0.223754,-0.306827,-0.201449,0.676898
37,3105661614,0.904520,-0.357725,0.064293,0.223030,0.670343,1.013356,-0.489821
38,3105694948,0.903675,-0.361657,0.064086,0.220156,-0.167064,-0.494303,0.003616
39,3105728282,0.903197,-0.364554,0.061931,0.217942,-0.502522,-0.213227,-0.020526
40,3105761616,0.903469,-0.365730,0.060944,0.215107,0.142068,0.112664,-0.164449
41,3105794950,0.904724,-0.363963,0.063337,0.212116,-0.003083,0.362715,0.103715
42,3105828284,0.905833,-0.361482,0.065488,0.210969,0.113021,0.254582,-0.090311
43,3105861618,0.907048,-0.358655,0.067008,0.210093,-0.373930,0.310297,0.638073
44,3105894952,0.908231,-0.355298,0.069929,0.209735,-0.870093,0.193067,0.475933
45,3105928286,0.909296,-0.351381,0.071231,0.211277,0.432103,0.203085,0.533989
46,3105961620,0.909736,-0.349240,0.073478,0.212161,0.576270,-0.412748,-0.713670
47,3105994954,0.909504,-0.347494,0.076492,0.214937,-0.100681,0.201599,0.362839
48,3106028288,0.910104,-0.344957,0.079031,0.215566,0.713849,-0.192488,-0.466008
49,3106061622,0.911309,-0.340609,0.082920,0.215926,0.127234,-0.917740,0.646507
50,3106094956,0.912264,-0.336907,0.091018,0.214434,0.329152,-0.226251,-0.901206
51,3106128290,0.912914,-0.335344,0.095460,0.212177,-0.316158,-0.425244,1.980145
52,3106161624,0.912511,-0.337283,0.095890,0.210640,-1.301132,0.683369,1.865069
53,3106194958,0.911228,-0.342474,0.087487,0.211472,-0.172174,1.457969,0.764077
54,3106228292,0.909537,-0.347461,0.071798,0.216465,0.462057,0.674510,-0.417698
55,3106261626,0.907990,-0.350373,0.056313,0.222758,0.366975,-0.398278,-1.139690
56,3106294960,0.907295,-0.350524,0.045897,0.227687,-0.114003,-0.620211,0.231610
57,3106328294,0.907919,-0.349061,0.041819,0.228234,0.690422,-0.440904,-0.396380
58,3106361628,0.908813,-0.347995,0.041041,0.226435,-0.048907,-0.515292,0.616446
59,3106394962,0.909509,-0.347587,0.042167,0.224049,0.199265,0.150142,0.342537
60,3106428296,0.910299,-0.347904,0.045228,0.219710,-0.521094,0.286657,0.688942
61,3106461630,0.911065,-0.347315,0.046257,0.217236,-0.447243,0.488912,-0.264361
62,3106494964,0.911807,-0.346414,0.044666,0.215893,0.646981,0.906832,-0.040636
63,3106528298,0.912477,-0.345464,0.044244,0.214666,-0.656980,1.048284,0.431058
64,3106561632,0.913743,-0.341872,0.042227,0.215440,-0.731364,0.656298,1.390130
65,3106594966,0.914683,-0.338404,0.039877,0.217364,0.378932,0.342957,-0.348821
66,3106628300,0.914617,-0.336268,0.036430,0.221522,-0.680215,0.731157,0.253345
67,3106661634,0.914724,-0.333287,0.030953,0.226365,-0.249251,-0.065056,0.204059
68,3106694968,0.914473,-0.330091,0.026801,0.232509,0.206727,0.365622,0.201154
69,3106728302,0.914649,-0.325526,0.025955,0.238274,0.471498,0.835288,-0.207910
70,3106761636,0.914636,-0.321199,0.026814,0.244032,0.195625,-0.350089,0.035954
71,3106794970,0.914995,-0.315524,0.031148,0.249515,0.121686,-0.104666,0.960155
72,3106828304,0.914892,-0.311591,0.037832,0.253872,-0.349136,-0.853686,-0.651621
73,3106861638,0.913862,-0.309159,0.038399,0.260387,-0.131481,0.143690,1.889139
74,3106894972,0.912182,-0.311160,0.043026,0.263156,-0.974166,-0.341718,0.752986
75,3106928306,0.910248,-0.315838,0.043836,0.264146,0.442189,1.591755,0.812290
76,3106961640,0.907969,-0.321644,0.041915,0.265290,0.630623,-0.762678,0.252893
77,3106994974,0.905361,-0.326443,0.039224,0.268733,-0.158693,-0.213278,0.863256
78,3107028308,0.902578,-0.329692,0.033336,0.274854,-0.341897,-0.128172,-0.968641
79,3107061642,0.900002,-0.332137,0.026616,0.281018,0.459342,0.409733,0.702753
80,3107094976,0.898048,-0.334818,0.023309,0.284361,0.405136,0.018337,-0.109169
81,3107128310,0.896120,-0.337951,0.021452,0.286873,0.285208,0.042697,0.776150
82,3107161644,0.894578,-0.341449,0.020895,0.287587,0.565321,0.714694,-0.211351
83,3107194978,0.893816,-0.343335,0.018563,0.287870,1.171249,0.226064,-0.264927
84,3107228312,0.893194,-0.344810,0.017688,0.288091,-0.631823,0.297084,0.050081
85,3107261646,0.893003,-0.344387,0.018093,0.289162,0.617603,-0.882790,0.503240
86,3107294980,0.892920,-0.343524,0.021606,0.290203,0.358342,1.026009,0.210012
87,3107328314,0.893673,-0.341221,0.025940,0.290246,0.301257,-0.688029,-0.556853
88,3107361648,0.894486,-0.338925,0.027610,0.290277,0.227519,0.205069,-0.014552
89,3107394982,0.895743,-0.335126,0.029209,0.290657,0.238428,0.048420,0.939788
90,3107428316,0.897363,-0.330501,0.032185,0.290641,-0.231978,0.250257,1.053007
91,3107461650,0.899374,-0.325347,0.033712,0.290067,-0.245435,-0.521979,0.695461
92,3107494984,0.901688,-0.320220,0.038278,0.288014,0.032358,0.062868,0.347431
93,3107528318,0.903525,-0.317383,0.044024,0.284554,0.798974,-0.755197,-0.442204
94,3107561652,0.903773,-0.321081,0.048882,0.278768,-0.806845,-0.074040,1.108704
95,3107594986,0.903173,-0.326075,0.048643,0.274930,-1.350347,1.127826,2.135841
96,3107628320,0.902454,-0.330324,0.043074,0.273143,1.075182,0.706760,-0.993908
97,3107661654,0.901378,-0.332838,0.033101,0.275026,1.290276,-0.293247,-1.079318
98,3107694988,0.900300,-0.334248,0.025063,0.277685,0.104703,-0.985991,0.940660
99,3107728322,0.900889,-0.334849,0.023289,0.275196,-1.767542,-2.041486,0.663964
100,3107761656,0.903400,-0.332000,0.017642,0.270800,0.865035,0.176979,0.629082
101,3107794990,0.906158,-0.329582,0.014927,0.264632,2.383664,0.314379,-1.587081
102,3107828324,0.907667,-0.328344,0.014818,0.260979,-0.707526,1.364746,1.465866
103,3107861658,0.909037,-0.326654,0.014153,0.258356,0.402935,-0.822948,-0.463106
104,3107894992,0.909765,-0.325227,0.014717,0.257561,-0.503575,-0.251821,0.397772
105,3107928326,0.910438,-0.323446,0.016178,0.257338,0.172447,0.695518,0.255752
106,3107961660,0.910682,-0.322296,0.018321,0.257772,0.269443,-0.039839,-0.504354
107,3107994994,0.910356,-0.321254,0.018368,0.260211,0.634821,0.502602,0.272481
108,3108028328,0.909876,-0.320241,0.020385,0.262973,-0.029260,-0.405602,0.121614
109,3108061662,0.909504,-0.318658,0.022970,0.265952,0.000853,0.607389,0.296053
110,3108094996,0.909214,-0.316891,0.021769,0.269136,0.879988,-0.271978,-0.105201
111,3108128330,0.908690,-0.315368,0.022684,0.272600,0.313312,-0.093761,0.676704
112,3108161664,0.907811,-0.313938,0.025442,0.276902,0.250008,0.272506,0.353965
113,3108194998,0.906222,-0.312979,0.030198,0.282654,0.264387,-0.416083,0.549469
114,3108228332,0.903634,-0.314297,0.036065,0.288725,0.345868,-0.190098,0.239238
115,3108261666,0.900527,-0.317522,0.038193,0.294570,0.345662,-0.544171,0.297915
116,3108295000,0.897411,-0.322497,0.037985,0.298673,0.201656,0.632707,0.330841
117,3108328334,0.894974,-0.326800,0.036696,0.301455,0.467343,0.556970,-0.145099
118,3108361668,0.892632,-0.329546,0.033332,0.305769,1.079264,-0.523051,-0.373677
119,3108395002,0.889604,-0.332000,0.028967,0.312315,0.185289,-0.159245,0.613513
120,3108428336,0.887336,-0.333089,0.023769,0.317994,0.779467,-0.302694,0.212121
121,3108461670,0.885726,-0.334595,0.020524,0.321114,-0.152499,-1.059707,0.798861
122,3108495004,0.884491,-0.337002,0.016096,0.322251,-0.238218,-0.921009,0.028036
123,3108528338,0.883686,-0.340491,0.014458,0.320867,-0.441589,0.552808,0.940310
124,3108561672,0.883073,-0.344403,0.016164,0.318288,0.231646,-0.225028,-0.122271
125,3108595006,0.881385,-0.347303,0.015951,0.319821,0.393030,0.115058,-0.631882
126,3108628340,0.879888,-0.348382,0.015776,0.322764,-0.403642,0.738280,0.655054
127,3108661674,0.879862,-0.347401,0.017470,0.323804,-0.230094,0.617360,-0.169911
128,3108695008,0.879691,-0.345491,0.015489,0.326402,-0.266377,0.263151,-0.025216
129,3108728342,0.879508,-0.343736,0.012690,0.328861,-1.045938,0.472207,0.342583
130,3108761676,0.879571,-0.341494,0.011637,0.331060,-0.373474,0.477776,0.774850
131,3108795010,0.878790,-0.340757,0.011911,0.333871,-0.489583,-0.378370,-0.144362
132,3108828344,0.877979,-0.338995,0.011640,0.337786,-0.634265,0.058634,0.402148
133,3108861678,0.878364,-0.335715,0.013320,0.339991,0.198326,0.221698,0.402332
134,3108895012,0.878698,-0.334277,0.019921,0.340223,-0.085216,0.322651,-0.420880
135,3108928346,0.879417,-0.331939,0.025939,0.340247,-0.474115,-0.128926,0.480311
136,3108961680,0.879865,-0.330340,0.032416,0.340091,0.517348,0.043572,-0.264195
137,3108995014,0.880117,-0.330722,0.039527,0.338311,-0.445053,0.000275,0.584363
138,3109028348,0.880531,-0.333043,0.042269,0.334604,-0.346503,0.217640,1.218149
139,3109061682,0.881248,-0.336359,0.041062,0.329512,-1.147187,0.242052,1.341061
140,3109095016,0.882702,-0.338789,0.036336,0.323634,0.797702,0.330001,-0.573743
141,3109128350,0.883851,-0.340645,0.028955,0.319263,0.847957,0.154484,-0.682837
142,3109161684,0.885072,-0.339952,0.019233,0.317348,0.479941,-1.110929,0.087934
143,3109195018,0.886206,-0.339993,0.016075,0.314301,0.375382,0.007451,0.300467
144,3109228352,0.888770,-0.339365,0.017787,0.307574,0.216808,-0.605776,-0.099909
145,3109261686,0.891752,-0.337402,0.019575,0.300922,0.209007,-0.114115,0.514146
146,3109295020,0.894436,-0.334997,0.019809,0.295582,0.127157,0.173931,0.199546
147,3109328354,0.896237,-0.332841,0.019345,0.292575,0.243110,1.001910,0.533454
148,3109361688,0.897303,-0.330481,0.018632,0.292031,0.868146,-0.233557,-0.269353
149,3109395022,0.897199,-0.328117,0.017494,0.295069,0.092555,-0.343658,0.287143
150,3109428356,0.896179,-0.326760,0.016863,0.299676,0.033164,0.174293,-0.273943
151,3109461690,0.895515,-0.325015,0.016580,0.303549,0.275459,0.996634,0.838431
152,3109495024,0.895082,-0.322631,0.016629,0.307344,1.170178,-0.109208,-1.325624
153,3109528358,0.894101,-0.319718,0.016134,0.313214,-0.496237,0.210843,0.971859
154,3109561692,0.893930,-0.315191,0.018866,0.318098,0.697748,0.555153,0.201504
155,3109595026,0.893304,-0.311466,0.022911,0.323219,0.847076,0.452047,-0.124235
156,3109628360,0.892241,-0.308839,0.026116,0.328393,0.223453,-0.122108,0.083961
157,3109661694,0.889745,-0.308076,0.029396,0.335528,-0.898383,-0.235674,0.705784
158,3109695028,0.885779,-0.311129,0.032537,0.342834,-1.107283,-0.143242,1.431292
159,3109728362,0.881457,-0.316971,0.031634,0.348657,-0.184890,-0.656283,0.751344
160,3109761696,0.876951,-0.326713,0.031290,0.351050,-0.259435,-0.177909,0.934207
161,3109795030,0.873879,-0.333223,0.031181,0.352598,-0.436618,0.540262,0.087310
