sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:54:42_048 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3104494924,0.001598,0.153869,-0.268173,0.951006,0.801333,-0.202112,0.090010
2,3104528258,0.004311,0.153020,-0.267561,0.951307,0.282191,0.084091,-0.269583
3,3104561592,0.008283,0.150676,-0.266900,0.951840,0.273107,0.072040,0.151664
4,3104594926,0.012336,0.148531,-0.265536,0.952514,0.037230,-0.243267,0.121681
5,3104628260,0.016151,0.146033,-0.264897,0.953021,0.015653,-0.053385,0.323503
6,3104661594,0.018625,0.145055,-0.264049,0.953361,0.656901,0.439686,0.103233
7,3104694928,0.020480,0.145482,-0.262603,0.953657,0.237871,0.094643,0.378870
8,3104728262,0.022481,0.145500,-0.261231,0.953986,0.333126,0.253679,0.091060
9,3104761596,0.023291,0.146137,-0.259571,0.954322,0.731450,0.008948,0.243217
10,3104794930,0.022956,0.146912,-0.257837,0.954682,0.693155,-0.245427,0.111350
11,3104828264,0.021919,0.147459,-0.255853,0.955155,0.606003,-0.705644,0.671277
12,3104861598,0.020666,0.148386,-0.253771,0.955595,0.356358,0.076797,0.265134
13,3104894932,0.018464,0.148850,-0.252662,0.955862,0.267571,-0.629133,0.478073
14,3104928266,0.015003,0.150174,-0.251121,0.956121,0.066289,-0.943618,0.223636
15,3104961600,0.011490,0.151501,-0.248696,0.956594,0.364815,-0.592338,-0.313079
16,3104994934,0.009236,0.153107,-0.246680,0.956885,0.274953,-0.522938,-0.235258
17,3105028268,0.007765,0.155731,-0.244643,0.956997,0.640253,-0.124377,-0.025401
18,3105061602,0.006036,0.159637,-0.241826,0.957082,0.359676,-0.761672,0.759809
19,3105094936,0.004665,0.161904,-0.238488,0.957547,-0.429153,0.129946,0.017068
20,3105128270,0.003827,0.163119,-0.236090,0.957938,-1.125706,0.067824,0.002572
21,3105161604,0.003283,0.167090,-0.234782,0.957577,-0.164618,-0.930889,-0.306963
22,3105194938,0.005132,0.172151,-0.233165,0.957068,0.680892,0.145065,-0.259921
23,3105228272,0.010527,0.172665,-0.232742,0.957034,-1.052862,-0.924464,0.804274
24,3105261606,0.017113,0.172171,-0.232861,0.956999,0.114267,0.393560,0.009197
25,3105294940,0.020846,0.172993,-0.232397,0.956889,0.606691,0.171340,-0.015132
26,3105328274,0.021242,0.175862,-0.231893,0.956480,-0.262720,-0.531521,0.497505
27,3105361608,0.022004,0.176389,-0.232771,0.956152,0.684414,0.069487,0.835038
28,3105394942,0.022268,0.174942,-0.236050,0.955608,0.778668,0.535156,0.331856
29,3105428276,0.021752,0.171677,-0.240682,0.955057,1.101681,0.243632,-0.103593
30,3105461610,0.022821,0.167482,-0.246449,0.954305,-0.443933,0.507936,-0.119203
31,3105494944,0.022092,0.165702,-0.250633,0.953543,0.221552,1.316185,0.310238
32,3105528278,0.016807,0.169151,-0.252938,0.952436,-0.099372,1.004537,-0.550510
33,3105561612,0.009796,0.173460,-0.254351,0.951382,0.106656,0.043442,-0.146938
34,3105594946,0.003183,0.175494,-0.254904,0.950906,1.142909,0.755902,-0.301291
35,3105628280,-0.002297,0.177513,-0.255249,0.950441,0.386589,0.225807,-0.196765
36,3105661614,-0.004643,0.176768,-0.255182,0.950590,0.643364,-0.888022,1.113139
37,3105694948,-0.005406,0.176458,-0.256402,0.950315,0.115276,0.664213,-0.941940
38,3105728282,-0.003974,0.172676,-0.259225,0.950251,1.783935,0.168672,0.336263
39,3105761616,-0.003275,0.170478,-0.262133,0.949852,-0.052714,0.027710,0.471316
40,3105794950,-0.004069,0.171142,-0.263591,0.949326,-0.245218,0.459139,0.092620
41,3105828284,-0.005731,0.173167,-0.263827,0.948885,-0.114166,0.701197,-0.106817
42,3105861618,-0.008081,0.176536,-0.262346,0.948658,0.865558,0.052513,0.322645
43,3105894952,-0.011542,0.179164,-0.258532,0.949176,1.234489,0.782499,-0.021853
44,3105928286,-0.013814,0.180520,-0.253079,0.950358,0.271472,-0.085403,0.415212
45,3105961620,-0.013605,0.180495,-0.248309,0.951623,-0.005289,0.545963,-1.130975
46,3105994954,-0.013172,0.180198,-0.242663,0.953141,0.965413,-0.474778,0.539818
47,3106028288,-0.011036,0.180264,-0.236795,0.954630,-0.683915,0.275251,-0.270700
48,3106061622,-0.006766,0.179473,-0.230899,0.956262,1.892733,0.405826,0.569890
49,3106094956,-0.000769,0.176732,-0.225632,0.958051,0.224730,0.434091,0.077976
50,3106128290,0.004093,0.175162,-0.223724,0.958778,-0.073896,1.616853,0.510313
51,3106161624,0.003405,0.177250,-0.226281,0.957797,1.354627,0.129501,0.594859
52,3106194958,-0.000097,0.180051,-0.230386,0.956300,-0.461963,-0.137091,0.582535
53,3106228292,-0.002222,0.182812,-0.233993,0.954897,-0.790245,-0.304448,-0.367301
54,3106261626,0.000908,0.180591,-0.236871,0.954613,0.069353,-0.544749,0.088304
55,3106294960,0.006176,0.177872,-0.237947,0.954836,-0.329083,0.477782,0.204363
56,3106328294,0.011041,0.176461,-0.238204,0.954990,0.430651,0.380362,0.311505
57,3106361628,0.012540,0.177922,-0.239360,0.954411,0.385076,0.356779,0.640452
58,3106394962,0.012336,0.177894,-0.243448,0.953384,-1.058902,0.170367,0.272076
59,3106428296,0.012149,0.176182,-0.247806,0.952581,1.535069,-0.412796,-0.027762
60,3106461630,0.012075,0.173083,-0.250996,0.952315,-0.056037,0.251939,-0.597902
61,3106494964,0.013519,0.168743,-0.253095,0.952519,-0.438982,0.034233,-0.385191
62,3106528298,0.014371,0.163162,-0.252654,0.953595,1.320120,-0.704202,1.371716
63,3106561632,0.010559,0.162592,-0.249679,0.954526,-0.574253,0.047596,-0.279624
64,3106594966,0.006127,0.161890,-0.245742,0.955705,0.315828,-0.529922,0.381785
65,3106628300,-0.000150,0.162214,-0.241684,0.956704,-0.787197,-0.502068,0.971037
66,3106661634,-0.006399,0.162128,-0.237287,0.957797,1.162542,0.068386,-0.271979
67,3106694968,-0.011630,0.162660,-0.232800,0.958758,0.115526,-0.619704,0.536302
68,3106728302,-0.014429,0.160221,-0.227745,0.960344,-0.583305,-0.474456,-0.173131
69,3106761636,-0.014939,0.154375,-0.224766,0.961994,-1.376223,0.111537,0.204807
70,3106794970,-0.014692,0.144587,-0.221282,0.964324,0.466673,0.320991,0.381913
71,3106828304,-0.018150,0.141902,-0.218243,0.965355,1.130706,0.723782,0.013099
72,3106861638,-0.025918,0.143772,-0.218494,0.964845,-0.973385,0.069022,1.595024
73,3106894972,-0.033101,0.151142,-0.221907,0.962717,1.273705,0.299802,0.468582
74,3106928306,-0.038084,0.155137,-0.227701,0.960542,-0.011946,-0.944093,1.504869
75,3106961640,-0.041033,0.154135,-0.234590,0.958923,0.665328,0.551079,-0.462644
76,3106994974,-0.044353,0.152315,-0.239602,0.957826,1.085114,1.276841,-0.889678
77,3107028308,-0.047921,0.151693,-0.242095,0.957126,-0.966894,0.752897,-1.585900
78,3107061642,-0.050302,0.150233,-0.243780,0.956806,0.126238,-0.036675,0.848410
79,3107094976,-0.053697,0.152734,-0.243745,0.956234,-0.791239,0.175879,-0.359941
80,3107128310,-0.055706,0.153563,-0.244609,0.955766,0.044117,0.259135,0.659648
81,3107161644,-0.057446,0.156044,-0.244655,0.955249,-0.471972,-0.262333,0.217339
82,3107194978,-0.058500,0.157282,-0.244476,0.955028,-0.025867,-0.051041,-0.132581
83,3107228312,-0.060357,0.158859,-0.243977,0.954779,0.317620,0.045273,0.170125
84,3107261646,-0.064233,0.161284,-0.240914,0.954897,0.552123,0.532238,0.408771
85,3107294980,-0.065918,0.164794,-0.237515,0.955034,-1.102048,-0.271233,0.855043
86,3107328314,-0.066347,0.166449,-0.234677,0.955419,0.644031,0.613043,-0.241460
87,3107361648,-0.064459,0.166806,-0.233163,0.955857,-1.021177,0.069471,0.538271
88,3107394982,-0.059545,0.165186,-0.229922,0.957241,0.016120,0.191224,1.582021
89,3107428316,-0.053996,0.169326,-0.223536,0.958359,0.067782,0.585186,0.157771
90,3107461650,-0.046849,0.174443,-0.217106,0.959295,0.093854,0.588865,-0.522163
91,3107494984,-0.038163,0.175148,-0.211662,0.960767,0.808207,-0.333403,0.740635
92,3107528318,-0.031862,0.177959,-0.207098,0.961474,-0.198619,0.921239,-0.541640
93,3107561652,-0.024542,0.176874,-0.209865,0.961289,-0.400063,-0.493601,0.587716
94,3107594986,-0.017972,0.174014,-0.215298,0.960755,1.146373,-0.229913,1.964772
95,3107628320,-0.013074,0.176526,-0.220445,0.959207,-0.729108,0.650219,-0.351208
96,3107661654,-0.006260,0.177277,-0.227229,0.957553,-1.085616,0.713453,-0.921124
97,3107694988,0.002185,0.173203,-0.234501,0.956563,0.506567,0.715630,1.677595
98,3107728322,0.006970,0.170627,-0.239202,0.955838,1.568669,0.605487,-0.748793
99,3107761656,0.007885,0.168635,-0.243185,0.955180,-0.503238,0.049671,-0.075053
100,3107794990,0.009101,0.161184,-0.245676,0.955817,-1.567963,0.448082,-0.266463
101,3107828324,0.009557,0.159881,-0.246874,0.955723,-0.235209,0.121040,0.087270
102,3107861658,0.007947,0.162471,-0.246892,0.955296,0.104863,0.574652,-0.297784
103,3107894992,0.006125,0.164786,-0.246043,0.955132,0.298355,-0.035725,0.037525
104,3107928326,0.003406,0.166559,-0.244494,0.955236,-0.135683,-0.083158,0.491314
105,3107961660,0.000297,0.169000,-0.243023,0.955189,0.314371,0.648924,-0.533579
106,3107994994,-0.002822,0.171297,-0.241525,0.955155,-0.252633,0.221713,0.972060
