sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:54:42_058 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3104461590,-0.428141,0.434201,-0.522818,0.595675,-0.055279,0.084724,0.139297
2,3104494924,-0.428673,0.435094,-0.522267,0.595124,-0.160415,0.009929,0.160725
3,3104528258,-0.428845,0.435207,-0.521882,0.595255,-0.068233,-0.195779,0.058928
4,3104561592,-0.428203,0.434298,-0.521901,0.596363,0.038198,-0.314866,0.138188
5,3104594926,-0.427125,0.432553,-0.522168,0.598168,0.170291,-0.142393,0.164365
6,3104628260,-0.425809,0.429888,-0.522768,0.600499,0.007057,-0.075231,0.129552
7,3104661594,-0.424904,0.427691,-0.522860,0.602625,-0.163233,-0.176049,0.032986
8,3104694928,-0.424346,0.425778,-0.523175,0.604098,0.117520,0.309233,0.258193
9,3104728262,-0.424898,0.424355,-0.523047,0.604822,0.480940,0.646908,0.514707
10,3104761596,-0.427441,0.422844,-0.521692,0.605258,0.360934,0.624465,0.335531
11,3104794930,-0.431419,0.420680,-0.518963,0.606289,0.431101,0.149219,0.516249
12,3104828264,-0.436523,0.416818,-0.514965,0.608707,0.713641,-0.235441,0.791943
13,3104861598,-0.441221,0.411437,-0.510990,0.612320,0.137113,-0.594541,0.676888
14,3104894932,-0.444539,0.405734,-0.507914,0.616273,-0.448389,-0.391894,0.201297
15,3104928266,-0.447611,0.399630,-0.505032,0.620392,-0.642693,-0.273026,0.245607
16,3104961600,-0.451401,0.394792,-0.501122,0.623904,-0.448467,-0.446071,0.068744
17,3104994934,-0.454914,0.389417,-0.497957,0.627256,-0.194419,0.006367,0.088972
18,3105028268,-0.458305,0.384183,-0.494535,0.630712,0.107712,0.005972,0.049652
19,3105061602,-0.461785,0.378836,-0.491090,0.634091,0.170314,-0.213258,-0.551063
20,3105094936,-0.464617,0.373068,-0.488470,0.637457,0.634354,-0.123771,-0.363186
21,3105128270,-0.466067,0.367460,-0.487184,0.640632,0.901208,0.106376,-0.150159
22,3105161604,-0.466901,0.363819,-0.486162,0.642875,0.462149,-0.168350,-0.641044
23,3105194938,-0.468009,0.363684,-0.484327,0.643530,-0.285738,-0.701879,-1.118776
24,3105228272,-0.468482,0.368897,-0.483444,0.640877,-1.098825,-1.102710,-2.679966
25,3105261606,-0.464969,0.379255,-0.486419,0.635113,-0.948040,-2.131025,-3.749344
26,3105294940,-0.462910,0.374890,-0.489394,0.636921,5.549722,-1.329544,7.348087
27,3105328274,-0.456810,0.372988,-0.501729,0.632830,-3.763185,1.349162,2.815562
28,3105361608,-0.449377,0.363222,-0.514462,0.633610,-0.475729,1.538628,-2.837466
29,3105394942,-0.439860,0.363112,-0.530443,0.627140,-1.590465,2.275375,-1.287535
30,3105428276,-0.433875,0.369764,-0.543504,0.616144,-0.916073,0.595708,1.842521
31,3105461610,-0.434470,0.380453,-0.551385,0.602053,-0.953391,-1.450128,0.996150
32,3105494944,-0.430416,0.389053,-0.559925,0.591496,-1.420279,-1.490475,-1.222033
33,3105528278,-0.415772,0.389470,-0.577458,0.584801,-0.821224,0.771549,-0.286680
34,3105561612,-0.402763,0.387780,-0.595370,0.577015,-0.586159,1.149924,0.574432
35,3105594946,-0.393886,0.387969,-0.609261,0.568452,-0.563994,1.030868,0.678188
36,3105628280,-0.383808,0.387422,-0.621409,0.562539,-0.177032,0.626382,0.224881
37,3105661614,-0.370736,0.385634,-0.635972,0.556222,-0.674122,-0.903115,0.135615
38,3105694948,-0.355063,0.381567,-0.652060,0.550597,-0.870595,-0.339389,-0.044701
39,3105728282,-0.334481,0.375366,-0.670090,0.546081,-0.192999,0.373976,0.209141
40,3105761616,-0.316216,0.372388,-0.684366,0.541277,1.066365,1.190236,0.168649
41,3105794950,-0.304536,0.374504,-0.694483,0.533574,1.074945,1.750004,-0.075664
42,3105828284,-0.295653,0.376897,-0.703063,0.525589,1.502293,0.356642,0.354832
43,3105861618,-0.290447,0.382231,-0.708218,0.517658,1.955894,0.094866,-0.014796
44,3105894952,-0.287856,0.387829,-0.711994,0.509701,1.529181,-0.780984,-0.060586
45,3105928286,-0.284361,0.392956,-0.715885,0.502231,1.233359,-0.271225,0.151521
46,3105961620,-0.279946,0.397238,-0.719924,0.495524,0.530578,-0.525857,0.003263
47,3105994954,-0.272518,0.400211,-0.725263,0.489451,0.942069,-0.830720,0.042884
