sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:14:36_874 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,699246820,0.802978,-0.569926,-0.091619,-0.148393,-0.181282,0.317158,0.230988
2,699280154,0.803475,-0.569489,-0.093611,-0.146122,-0.024196,0.245902,0.368808
3,699313488,0.804044,-0.568776,-0.097279,-0.143346,0.078245,0.438478,0.673453
4,699346822,0.804642,-0.567456,-0.101886,-0.142014,0.451113,0.593829,0.788295
5,699380156,0.805479,-0.565163,-0.106517,-0.143008,0.275055,0.915218,0.613256
6,699413490,0.806560,-0.562071,-0.112470,-0.144537,0.300084,0.883614,0.104910
7,699446824,0.807550,-0.558838,-0.119032,-0.146283,0.629703,0.876195,-0.635834
8,699480158,0.808499,-0.555674,-0.123448,-0.149396,0.769603,0.797096,-1.131153
9,699513492,0.809448,-0.552584,-0.125214,-0.154177,0.720151,0.647541,-1.598272
10,699546826,0.810217,-0.549439,-0.125982,-0.160617,0.707531,0.709817,-2.246870
11,699580160,0.810668,-0.545875,-0.127815,-0.168833,0.610618,0.641314,-2.972738
12,699613494,0.810256,-0.542624,-0.131983,-0.177846,0.573700,0.451940,-2.746369
13,699646828,0.809036,-0.541042,-0.136062,-0.184998,0.152420,-0.036632,-1.361172
14,699680162,0.808611,-0.539664,-0.136986,-0.190128,0.241351,0.251024,-1.323872
15,699713496,0.809107,-0.536730,-0.136719,-0.196414,0.271796,0.438892,-1.428846
16,699746830,0.809514,-0.532796,-0.138849,-0.203814,-0.029282,0.500519,-0.964834
17,699780164,0.810482,-0.527338,-0.142031,-0.211815,0.022812,0.913534,-0.999395
18,699813498,0.812467,-0.519886,-0.143738,-0.221265,-0.275225,0.872251,-0.684273
19,699846832,0.814570,-0.511862,-0.149351,-0.228411,-1.053649,0.941894,-1.033819
20,699880166,0.816699,-0.503166,-0.160660,-0.232419,-0.344059,0.646642,-1.273260
21,699913500,0.818441,-0.495421,-0.171800,-0.234946,-0.507432,-0.107801,-0.659114
22,699946834,0.820499,-0.488200,-0.182406,-0.234891,-0.784001,0.166187,-0.751304
23,699980168,0.822508,-0.480980,-0.194839,-0.232766,-0.630461,-0.290869,-0.677442
24,700013502,0.823177,-0.475199,-0.212028,-0.227187,-0.994515,-0.916155,0.268561
25,700046836,0.824721,-0.468741,-0.228338,-0.219049,-0.789209,-0.754593,0.665756
26,700080170,0.828010,-0.459617,-0.242496,-0.210599,-1.714502,0.199412,0.786461
27,700113504,0.830788,-0.448984,-0.260875,-0.200380,-0.732548,-0.468308,1.927185
28,700146838,0.832607,-0.438795,-0.278057,-0.192127,0.936400,-1.927047,0.456813
29,700180172,0.831673,-0.434183,-0.290925,-0.187541,0.578937,-0.689258,1.547400
30,700213506,0.832685,-0.429497,-0.295284,-0.187028,-0.496933,-0.187940,1.620201
31,700246840,0.834298,-0.424415,-0.298300,-0.186651,0.470104,-0.969804,1.196437
32,700280174,0.835735,-0.420580,-0.299291,-0.187318,0.525252,-1.138207,1.413167
33,700313508,0.836160,-0.418165,-0.301357,-0.187517,0.288722,-0.709767,0.888297
34,700346842,0.837001,-0.416154,-0.301193,-0.188496,0.261363,-0.830602,1.043620
35,700380176,0.838779,-0.413267,-0.298869,-0.190633,-0.140178,0.004839,0.777024
36,700413510,0.840200,-0.410544,-0.297191,-0.192869,-0.087088,-0.570645,0.303870
37,700446844,0.839845,-0.410024,-0.298147,-0.194043,0.611163,-0.235279,0.410410
38,700480178,0.840144,-0.409685,-0.295440,-0.197576,0.038161,0.330076,-0.051453
39,700513512,0.840392,-0.409143,-0.293376,-0.200692,-0.373649,-0.220617,0.706917
40,700546846,0.840158,-0.408962,-0.293424,-0.201965,0.029114,-0.557610,0.629496
41,700580180,0.839672,-0.409033,-0.294746,-0.201917,-0.558253,-0.633288,1.429677
42,700613514,0.838765,-0.409883,-0.295923,-0.202245,0.894872,-0.872759,0.382730
43,700646848,0.838451,-0.410584,-0.290420,-0.209952,0.949638,-0.046747,2.094524
44,700680182,0.840151,-0.409684,-0.275201,-0.224886,0.574673,-0.483944,-1.729365
45,700713516,0.840646,-0.412348,-0.257151,-0.239081,-1.737399,0.717028,0.134701
46,700746850,0.840718,-0.414088,-0.250485,-0.242869,-1.614114,0.048664,0.801415
47,700780184,0.841219,-0.415400,-0.248218,-0.241218,0.627926,-1.469662,0.728674
48,700813518,0.841504,-0.416815,-0.246008,-0.240043,-0.320875,-0.326137,1.747405
49,700846852,0.840988,-0.417095,-0.249287,-0.237970,-0.189193,0.111685,1.438249
50,700880186,0.839840,-0.416817,-0.253799,-0.237743,0.195578,0.528634,1.919746
51,700913520,0.839113,-0.415532,-0.256830,-0.239302,0.293071,0.718851,0.005481
52,700946854,0.841141,-0.415831,-0.240049,-0.248891,1.184124,-0.083497,1.237939
53,700980188,0.842482,-0.417038,-0.222117,-0.258787,-0.973848,0.388173,1.545981
54,701013522,0.842123,-0.416815,-0.218729,-0.263163,-0.645499,0.227143,1.461999
55,701046856,0.842785,-0.413126,-0.221909,-0.264198,-0.443835,0.126829,0.900788
56,701080190,0.844014,-0.407298,-0.230039,-0.262364,-0.720885,0.172876,0.430902
57,701113524,0.845029,-0.401075,-0.241964,-0.257917,0.117215,-0.759784,0.053843
58,701146858,0.846720,-0.395173,-0.246767,-0.256932,0.895886,-0.755922,0.732338
59,701180192,0.850627,-0.387166,-0.238954,-0.263515,-0.421517,-0.283667,0.353047
60,701213526,0.852257,-0.382497,-0.236809,-0.266982,-0.869812,-1.069073,-0.093679
61,701246860,0.852402,-0.380193,-0.239025,-0.267835,-0.981824,-0.428221,0.808615
62,701280194,0.852198,-0.378222,-0.243379,-0.267352,-0.094532,-0.699983,0.603620
63,701313528,0.852435,-0.377338,-0.243522,-0.267713,-0.210571,-0.552306,1.029627
64,701346862,0.851865,-0.378629,-0.244842,-0.266501,-0.168065,0.540406,1.219562
65,701380196,0.851987,-0.381999,-0.244048,-0.261990,0.011281,-0.914429,3.141514
66,701413530,0.853256,-0.386220,-0.242197,-0.253244,-0.467865,-0.206788,3.794046
67,701446864,0.853670,-0.389876,-0.246269,-0.242073,0.897277,-0.598405,3.376106
68,701480198,0.854267,-0.392177,-0.246609,-0.235826,0.577673,-1.132791,2.998819
69,701513532,0.854595,-0.393449,-0.246179,-0.232949,-0.365540,-0.196268,1.569679
70,701546866,0.853345,-0.394893,-0.250785,-0.230157,-0.300500,-0.192139,1.195920
71,701580200,0.851290,-0.396295,-0.257555,-0.227868,-0.008068,-0.127243,0.487566
72,701613534,0.849338,-0.398075,-0.261997,-0.226986,-0.018548,0.038501,0.649310
73,701646868,0.848070,-0.399287,-0.265958,-0.224981,-0.805056,0.042054,-0.017588
74,701680202,0.846637,-0.400905,-0.272327,-0.219824,0.149426,-0.397827,0.101431
75,701713536,0.845431,-0.402702,-0.276940,-0.215371,-0.119759,-0.244330,0.339293
76,701746870,0.844115,-0.404240,-0.282592,-0.210251,-0.355395,-0.543152,0.148026
77,701780204,0.842182,-0.406365,-0.288835,-0.205367,0.414865,-0.253499,-0.392747
78,701813538,0.840186,-0.409220,-0.292457,-0.202728,0.062162,-0.091984,-0.107598
79,701846872,0.839032,-0.411778,-0.293317,-0.201081,0.073540,-0.348042,-0.549248
80,701880206,0.837475,-0.415313,-0.293287,-0.200340,0.262712,0.337258,-0.252777
81,701913540,0.836480,-0.417694,-0.292941,-0.200054,-0.545299,-0.158622,-0.260835
82,701946874,0.835366,-0.419382,-0.295270,-0.197743,-0.018526,-0.363247,-0.544474
83,701980208,0.833309,-0.421622,-0.299640,-0.195063,0.131421,0.411673,-0.476757
84,702013542,0.831793,-0.423215,-0.302688,-0.193374,-0.130197,0.234016,0.069346
85,702046876,0.830713,-0.424554,-0.304894,-0.191607,-0.063521,0.183825,-0.307305
86,702080210,0.828969,-0.426604,-0.308685,-0.188512,-0.213091,0.256476,0.315894
87,702113544,0.827545,-0.428125,-0.312549,-0.184921,-0.127785,0.129560,-0.051423
88,702146878,0.825786,-0.429841,-0.316392,-0.182248,0.431573,0.726188,-0.129626
89,702180212,0.824354,-0.431359,-0.318183,-0.182028,-0.129490,0.807902,0.047154
90,702213546,0.823389,-0.431939,-0.319798,-0.182191,-0.005344,0.654370,-0.427070
91,702246880,0.822821,-0.431954,-0.320610,-0.183288,0.461448,0.490785,-0.397118
92,702280214,0.822846,-0.431715,-0.319892,-0.184985,0.135497,-0.170802,-0.473477
93,702313548,0.822612,-0.431454,-0.320352,-0.185835,0.043678,0.284157,-0.411609
94,702346882,0.822749,-0.429908,-0.321450,-0.186912,-0.107984,-0.116258,-0.445352
95,702380216,0.823021,-0.427627,-0.323235,-0.187867,0.053458,-0.385972,-0.372746
96,702413550,0.823140,-0.425254,-0.325625,-0.188605,-0.053529,-0.341841,-0.595160
97,702446884,0.822931,-0.422941,-0.328627,-0.189507,-0.111295,-0.254867,-0.548762
98,702480218,0.822539,-0.420897,-0.331807,-0.190218,-0.007804,-0.334323,-0.399829
99,702513552,0.822184,-0.419374,-0.334588,-0.190246,-0.061598,-0.943880,-0.720509
100,702546886,0.820625,-0.419662,-0.338200,-0.189957,0.675122,-0.966981,-0.798473
101,702580220,0.818805,-0.420534,-0.339779,-0.193040,-0.090419,-0.730352,-0.630842
102,702613554,0.816461,-0.421911,-0.341267,-0.197291,0.000119,-0.329553,-1.024879
103,702646888,0.815461,-0.423569,-0.338252,-0.202981,-0.383222,-0.027244,-0.581781
104,702680222,0.815108,-0.424628,-0.335991,-0.205924,-0.608116,-0.264584,-1.089918
105,702713556,0.813307,-0.426742,-0.338119,-0.205186,-0.034277,-0.303846,-0.887204
106,702746890,0.811846,-0.428707,-0.340413,-0.203071,-0.781040,-0.554469,-0.193308
107,702780224,0.812326,-0.428181,-0.342247,-0.199144,-0.284851,-0.583163,-0.791802
108,702813558,0.813774,-0.427813,-0.340883,-0.196343,0.583711,-0.600782,-1.364453
109,702846892,0.815980,-0.428430,-0.335435,-0.195219,-0.781111,-0.069339,-0.745557
110,702880226,0.817702,-0.429105,-0.332680,-0.191207,-0.889981,0.344936,-1.135063
