sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:14:36_856 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,699246820,0.570324,-0.698548,0.351205,-0.251829,0.006429,-0.026954,0.282495
2,699280154,0.571519,-0.697722,0.350814,-0.251955,0.205390,0.141407,0.468058
3,699313488,0.574564,-0.695591,0.349984,-0.252074,0.399078,0.170603,0.465250
4,699346822,0.578704,-0.692071,0.349614,-0.252804,0.541277,0.220371,0.375554
5,699380156,0.583874,-0.687107,0.349615,-0.254452,0.473911,0.126569,0.493573
6,699413490,0.591707,-0.680408,0.348539,-0.255831,0.462545,0.325197,0.556401
7,699446824,0.603620,-0.671564,0.344762,-0.256487,1.408171,0.687602,0.225132
8,699480158,0.620585,-0.658763,0.338127,-0.258025,1.624738,1.652103,-0.091136
9,699513492,0.639778,-0.644316,0.329718,-0.258513,0.638107,0.212401,-0.178663
10,699546826,0.658656,-0.632917,0.317074,-0.255057,0.506208,0.484390,-0.367251
11,699580160,0.682110,-0.617795,0.299081,-0.252203,0.203668,-2.070696,-0.489442
12,699613494,0.698208,-0.604636,0.287912,-0.253040,-0.741647,-3.783484,-1.468705
13,699646828,0.709813,-0.592514,0.281275,-0.256864,-0.506890,0.935544,1.517169
14,699680162,0.723432,-0.578190,0.271161,-0.262326,0.753581,0.850471,-0.639460
15,699713496,0.737276,-0.558421,0.264785,-0.272910,-0.402472,-0.876764,-1.728788
16,699746830,0.751154,-0.540388,0.256594,-0.279125,-1.554181,2.120166,0.301295
17,699780164,0.766410,-0.520590,0.246972,-0.283917,0.320325,0.320552,-0.228963
18,699813498,0.778943,-0.499609,0.243781,-0.290192,-1.125395,-0.539776,-0.890983
19,699846832,0.792523,-0.477167,0.238043,-0.295898,-1.971049,-0.808921,0.310227
20,699880166,0.808281,-0.454772,0.225820,-0.298113,-0.228201,0.029590,0.059275
21,699913500,0.823706,-0.436658,0.208145,-0.295830,-0.833626,-0.502823,-0.676989
22,699946834,0.836669,-0.412964,0.198144,-0.300310,-0.231247,-1.684350,-0.770735
23,699980168,0.846822,-0.386877,0.199399,-0.305712,0.940538,-0.934264,-0.423868
24,700013502,0.855202,-0.361470,0.199611,-0.313249,-0.866886,0.727154,-0.425583
25,700046836,0.863940,-0.340630,0.188662,-0.319353,0.686679,-0.161498,-0.680719
26,700080170,0.873105,-0.318791,0.179214,-0.322403,0.246556,-1.035435,-0.014385
27,700113504,0.880515,-0.296154,0.173585,-0.326887,-0.585467,-0.128016,-0.211411
28,700146838,0.887631,-0.273942,0.166809,-0.330520,-1.022191,0.512917,0.340431
29,700180172,0.895873,-0.252427,0.158105,-0.329691,-0.661253,0.391858,0.425252
30,700213506,0.903047,-0.233550,0.148300,-0.328587,0.747860,0.090911,-0.455873
31,700246840,0.909234,-0.214224,0.141572,-0.327658,0.508464,-0.336722,0.108537
32,700280174,0.914394,-0.197727,0.133733,-0.326961,0.207532,0.432663,-0.061538
33,700313508,0.918890,-0.182902,0.124919,-0.326473,-0.045391,-0.863231,-0.053598
34,700346842,0.922873,-0.167958,0.119141,-0.325426,0.042753,-0.139720,0.594256
35,700380176,0.926393,-0.154710,0.111341,-0.324753,0.175598,-0.481955,0.370311
36,700413510,0.929591,-0.142088,0.103420,-0.324001,-0.136824,-0.610500,0.230075
37,700446844,0.932688,-0.130076,0.096479,-0.322282,-0.197286,0.079765,0.169572
38,700480178,0.935565,-0.118139,0.088837,-0.320733,-0.082442,-0.597355,0.412141
39,700513512,0.938086,-0.106048,0.083414,-0.319049,-0.242951,-0.630609,0.260050
40,700546846,0.940274,-0.094012,0.078229,-0.317693,0.026428,-0.550736,0.164487
41,700580180,0.942058,-0.082544,0.071906,-0.317087,-0.735113,-0.963415,0.460490
42,700613514,0.943934,-0.071466,0.063056,-0.316080,-0.992059,-0.332491,0.429077
43,700646848,0.945760,-0.059192,0.055596,-0.314554,-0.555718,-0.414411,0.323547
44,700680182,0.947989,-0.047951,0.048670,-0.310885,-1.082265,0.782118,1.106146
45,700713516,0.950508,-0.039831,0.038218,-0.305758,0.639551,-0.260897,-0.026917
46,700746850,0.952430,-0.030668,0.032189,-0.301499,0.910280,-0.244767,-0.472432
47,700780184,0.953667,-0.023076,0.026060,-0.298846,0.448059,-0.216265,0.102574
48,700813518,0.954356,-0.015657,0.020129,-0.297583,0.621743,-0.425996,0.110967
49,700846852,0.954660,-0.009298,0.016486,-0.297098,0.005728,-0.249362,0.471903
50,700880186,0.954741,-0.003501,0.012101,-0.297175,-0.000461,-0.828985,0.526034
51,700913520,0.954734,0.002042,0.007640,-0.297358,-0.067162,-0.053297,0.193258
52,700946854,0.954459,0.005365,0.002094,-0.298288,-0.000316,-0.911842,0.400729
53,700980188,0.954107,0.010091,-0.001253,-0.299297,0.539999,-0.565637,0.244109
54,701013522,0.953492,0.014138,-0.003446,-0.301070,-0.230809,-0.112921,0.506233
55,701046856,0.953085,0.016723,-0.007769,-0.302144,0.297655,-0.665272,0.329282
56,701080190,0.952833,0.018816,-0.009296,-0.302772,0.242482,0.477325,-0.044291
57,701113524,0.952831,0.019793,-0.011573,-0.302635,0.199484,-0.224918,0.324873
58,701146858,0.953449,0.019842,-0.013170,-0.300613,0.437639,-0.158769,0.058049
59,701180192,0.954216,0.019725,-0.013613,-0.298158,0.568521,-0.294432,0.011646
60,701213526,0.955131,0.019490,-0.011933,-0.295302,0.028388,-0.533299,0.341271
61,701246860,0.956142,0.018973,-0.010141,-0.292115,-0.207805,-0.917298,1.071188
62,701280194,0.957140,0.017799,-0.007754,-0.288974,-0.035821,-0.631723,0.481479
63,701313528,0.958038,0.015442,-0.003767,-0.286203,-0.860178,-0.326003,1.377912
64,701346862,0.958834,0.009731,-0.001127,-0.283801,-0.214692,1.321484,0.717433
65,701380196,0.959406,0.000369,0.000077,-0.282030,-0.802101,-0.693369,0.954157
66,701413530,0.960372,-0.009915,0.004552,-0.278511,0.202989,-0.725518,2.106273
67,701446864,0.960817,-0.022465,0.011619,-0.276030,0.973907,-0.496989,0.913379
68,701480198,0.960470,-0.037730,0.019084,-0.275157,0.723533,-0.805179,0.865600
69,701513532,0.959614,-0.053841,0.030007,-0.274486,0.333885,-0.170310,0.686248
70,701546866,0.958179,-0.070872,0.041933,-0.274069,0.179813,-0.522259,0.747711
71,701580200,0.956024,-0.088908,0.053112,-0.274399,0.513637,-0.844120,0.326388
72,701613534,0.953102,-0.107527,0.064279,-0.275508,0.269996,-0.969607,0.418425
73,701646868,0.949317,-0.126279,0.074801,-0.277952,0.873446,-1.046651,0.341293
74,701680202,0.944683,-0.144655,0.085272,-0.281742,0.302825,-1.045238,0.260935
75,701713536,0.939044,-0.163199,0.095959,-0.286975,-0.004456,-0.536682,-0.063516
76,701746870,0.932985,-0.181539,0.105813,-0.292210,-0.242509,-0.240443,-0.313321
77,701780204,0.926683,-0.199542,0.115584,-0.296788,-0.240860,-0.219072,-0.145875
78,701813538,0.919885,-0.217024,0.126837,-0.301041,0.058906,-0.152729,-0.550855
79,701846872,0.912960,-0.234104,0.137557,-0.304596,-0.106273,0.579730,-0.373604
80,701880206,0.906151,-0.251507,0.144841,-0.307662,0.138357,-0.595316,-0.502033
81,701913540,0.899137,-0.268196,0.152797,-0.310287,-0.190042,-0.101455,0.019489
82,701946874,0.891756,-0.283899,0.161507,-0.313192,-0.165446,0.275121,-0.607196
83,701980208,0.884753,-0.298938,0.168294,-0.315480,-0.204839,-0.355403,-0.475074
84,702013542,0.877332,-0.314797,0.176102,-0.316514,-0.419385,-0.496291,0.385140
85,702046876,0.869964,-0.329794,0.183814,-0.317194,0.184896,-0.937563,-0.349736
86,702080210,0.861853,-0.344718,0.190597,-0.319456,-0.011773,-1.063373,0.218925
87,702113544,0.853768,-0.360313,0.195629,-0.320912,-0.543497,0.146513,0.559245
88,702146878,0.846276,-0.376290,0.199528,-0.320021,-0.253046,-0.063226,-0.312438
89,702180212,0.838725,-0.392394,0.201754,-0.319162,0.057843,-0.389586,-0.708795
90,702213546,0.830404,-0.406879,0.206488,-0.319755,-0.238749,0.118912,-0.359232
