sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:08:51_649 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,354039916,-0.443499,0.462598,0.421369,-0.641682,-0.277905,-0.437596,0.172461
2,354073250,-0.440528,0.462019,0.422726,-0.643251,-0.317904,-0.271949,0.065330
3,354106584,-0.437183,0.460887,0.424150,-0.645404,-0.322788,-0.115372,0.070686
4,354139918,-0.433886,0.459773,0.425050,-0.647827,-0.387413,0.026785,0.136553
5,354173252,-0.430957,0.458901,0.425364,-0.650190,-0.384223,0.133783,0.166961
6,354206586,-0.428322,0.458022,0.425466,-0.652480,-0.301865,0.131371,0.127555
7,354239920,-0.425458,0.456429,0.426081,-0.655063,-0.312138,0.118136,0.080206
8,354273254,-0.422438,0.453958,0.427270,-0.657954,-0.283807,0.117104,-0.017660
9,354306588,-0.419622,0.451024,0.428702,-0.660837,-0.235230,0.113506,-0.046063
10,354339922,-0.417381,0.448001,0.430013,-0.663456,-0.144023,0.103568,-0.060394
11,354373256,-0.415897,0.445121,0.431121,-0.665602,-0.038063,0.104949,0.001860
12,354406590,-0.415077,0.442460,0.431994,-0.667320,0.052339,0.068118,0.040854
13,354439924,-0.414585,0.440006,0.432658,-0.668817,0.189806,0.042544,0.091401
14,354473258,-0.414218,0.437993,0.433000,-0.670143,0.326970,0.102285,0.075364
15,354506592,-0.413793,0.436660,0.433262,-0.671106,0.325330,-0.031394,-0.098459
16,354539926,-0.412681,0.434747,0.434395,-0.672299,0.258114,-0.200728,-0.278373
17,354573260,-0.410646,0.431666,0.436601,-0.674099,0.300240,-0.082996,-0.297753
18,354606594,-0.408509,0.428553,0.438958,-0.675851,0.343269,0.008409,-0.247657
19,354639928,-0.406859,0.426043,0.441009,-0.677096,0.342081,0.024128,-0.222589
20,354673262,-0.405879,0.424362,0.442806,-0.677567,0.397237,-0.031006,0.015820
21,354706596,-0.405142,0.422815,0.445031,-0.677518,0.544656,-0.095647,0.428867
22,354739930,-0.404414,0.420917,0.448162,-0.677070,0.446023,-0.057521,0.737748
23,354773264,-0.403811,0.419358,0.451327,-0.676295,0.326592,-0.159483,0.449867
24,354806598,-0.402847,0.419034,0.453383,-0.675695,0.195718,-0.278294,0.037842
25,354839932,-0.400967,0.419585,0.454309,-0.675849,0.078921,-0.355620,-0.296375
26,354873266,-0.398519,0.420420,0.454717,-0.676504,-0.040562,-0.313556,-0.445633
27,354906600,-0.396301,0.420875,0.455544,-0.676968,-0.052875,-0.299879,-0.458617
28,354939934,-0.395145,0.420662,0.457226,-0.676641,-0.004883,-0.235670,-0.307308
29,354973268,-0.395738,0.420602,0.459357,-0.674887,0.170691,-0.158293,-0.035407
30,355006602,-0.397965,0.421939,0.461039,-0.671588,0.254931,-0.287216,0.018264
31,355039936,-0.400037,0.423951,0.462429,-0.668125,0.216662,-0.620829,0.057467
32,355073270,-0.400138,0.424696,0.464400,-0.666221,0.214423,-0.756292,0.216535
33,355106604,-0.398072,0.423555,0.467157,-0.666258,0.094445,-0.619792,0.397991
34,355139938,-0.395214,0.421472,0.469753,-0.667454,-0.017572,-0.441183,0.445135
35,355173272,-0.393288,0.420107,0.470824,-0.668696,-0.044842,-0.289842,0.336517
36,355206606,-0.393348,0.420622,0.469509,-0.669262,-0.071673,-0.196732,0.311221
37,355239940,-0.395542,0.423323,0.465841,-0.668828,0.015927,-0.189899,0.298364
38,355273274,-0.399139,0.427708,0.460702,-0.667460,0.133004,-0.240890,0.316574
39,355306608,-0.402662,0.432221,0.455730,-0.665848,0.168157,-0.331738,0.349716
