sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:08:51_653 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,354039916,0.728402,-0.564636,0.116437,-0.370220,-0.003571,0.055914,0.075299
2,354073250,0.728815,-0.564190,0.116759,-0.369984,0.045626,-0.050479,0.212209
3,354106584,0.729243,-0.563358,0.117325,-0.370229,-0.002498,-0.123953,0.173196
4,354139918,0.729886,-0.562495,0.117160,-0.370328,-0.356792,0.189826,0.075933
5,354173252,0.731147,-0.562539,0.114862,-0.368489,-0.207416,0.116482,0.061010
6,354206586,0.732670,-0.562950,0.112065,-0.365686,-0.251596,0.200956,0.071592
7,354239920,0.734408,-0.563838,0.108778,-0.361803,-0.131185,-0.028467,0.134407
8,354273254,0.736167,-0.564657,0.105262,-0.357973,0.113423,-0.013800,0.334307
9,354306588,0.738212,-0.564769,0.101675,-0.354604,0.045789,-0.109657,0.131333
10,354339922,0.740078,-0.564787,0.098320,-0.351620,-0.038389,0.035787,0.108127
11,354373256,0.741820,-0.564842,0.094978,-0.348768,0.244572,-0.115534,0.207155
12,354406590,0.743078,-0.564256,0.093369,-0.347471,0.202987,-0.128027,0.075326
13,354439924,0.743995,-0.563540,0.092281,-0.346960,0.016509,-0.149204,-0.211287
14,354473258,0.744597,-0.563661,0.090612,-0.345912,-0.145798,-0.183460,-0.150211
15,354506592,0.744980,-0.564549,0.088649,-0.344143,0.050819,0.091144,0.215180
16,354539926,0.745700,-0.564874,0.086962,-0.342476,0.078794,0.420597,0.291778
17,354573260,0.747314,-0.564722,0.083461,-0.340072,0.072060,0.700161,0.294964
18,354606594,0.750012,-0.564126,0.077221,-0.336575,0.165044,0.751024,0.286421
19,354639928,0.752473,-0.564206,0.070192,-0.332463,-0.157294,-0.065841,-0.287767
20,354673262,0.754547,-0.564521,0.062107,-0.328818,0.750682,0.233203,0.751978
21,354706596,0.756975,-0.563983,0.054700,-0.325457,-0.544731,0.135455,0.346774
22,354739930,0.759210,-0.564077,0.048917,-0.320979,-0.159965,-0.349486,0.599987
23,354773264,0.760417,-0.563707,0.048145,-0.318883,0.007377,-0.533620,0.391043
24,354806598,0.760297,-0.562127,0.052869,-0.321202,-0.245078,-0.228111,-0.096874
25,354839932,0.759597,-0.560140,0.059875,-0.325075,-0.770539,0.074466,-0.355299
26,354873266,0.758778,-0.559357,0.065868,-0.327170,-0.901748,0.387501,-0.239054
27,354906600,0.758618,-0.560248,0.068228,-0.325530,-0.730590,0.691228,0.076700
28,354939934,0.759246,-0.562346,0.066590,-0.320752,-0.192562,0.398018,0.526721
29,354973268,0.760196,-0.564137,0.063946,-0.315858,0.239026,0.423443,0.669204
30,355006602,0.761432,-0.564418,0.062124,-0.312726,0.687160,0.290905,0.404170
31,355039936,0.762026,-0.563528,0.062808,-0.312747,0.415702,0.224900,0.171004
32,355073270,0.762433,-0.562420,0.063200,-0.313668,0.153996,0.216144,0.097035
33,355106604,0.762845,-0.561366,0.063494,-0.314495,0.065316,-0.206569,-0.099814
34,355139938,0.762780,-0.560867,0.064462,-0.315345,0.024717,-0.258305,-0.098461
35,355173272,0.761986,-0.560793,0.066464,-0.316977,0.012150,-0.101675,-0.109085
36,355206606,0.760438,-0.560912,0.070103,-0.319689,0.020499,0.146093,-0.088082
37,355239940,0.758197,-0.561221,0.075149,-0.323302,0.148619,0.337705,0.193478
38,355273274,0.755962,-0.561091,0.081162,-0.327282,-0.302852,0.611978,0.457508
39,355306608,0.756294,-0.558791,0.087315,-0.328863,-1.149022,1.466630,0.170868
40,355339942,0.756429,-0.558622,0.089581,-0.328231,0.637730,0.380915,0.792071
41,355373276,0.754564,-0.558101,0.094744,-0.331938,0.353971,-0.455198,0.362081
42,355406610,0.751586,-0.557598,0.100286,-0.337859,0.149101,-0.303731,0.178784
43,355439944,0.748500,-0.557006,0.105291,-0.344107,0.015013,-0.091397,-0.171318
44,355473278,0.746263,-0.556684,0.107940,-0.348634,-0.015106,0.328037,-0.152991
45,355506612,0.744627,-0.556918,0.108733,-0.351502,0.412363,-0.299012,-0.209197
46,355539946,0.742542,-0.557561,0.110282,-0.354398,-0.051803,0.247368,0.029470
47,355573280,0.740939,-0.557420,0.112262,-0.357341,-0.088702,-0.191961,0.134477
48,355606614,0.739997,-0.555786,0.115417,-0.360817,-0.361099,0.011509,0.001234
49,355639948,0.739223,-0.554653,0.116778,-0.363695,-0.213630,-0.011123,0.366838
50,355673282,0.738784,-0.553296,0.117399,-0.366445,-0.192206,0.246577,0.364247
51,355706616,0.738694,-0.551773,0.117565,-0.368862,-0.224985,0.041075,0.027402
52,355739950,0.739285,-0.550986,0.115686,-0.369448,-0.624124,0.365769,-0.049813
53,355773284,0.740640,-0.551682,0.111235,-0.367054,-0.365738,0.215901,-0.072334
54,355806618,0.741659,-0.553366,0.106996,-0.363707,0.033098,0.003323,-0.028125
55,355839952,0.741993,-0.555184,0.104687,-0.360916,0.118452,0.085435,0.068336
56,355873286,0.742093,-0.556496,0.104100,-0.358854,0.117131,0.086261,0.086979
57,355906620,0.742133,-0.557383,0.104558,-0.357257,0.093089,0.050106,0.126478
58,355939954,0.742126,-0.557985,0.105511,-0.356051,0.157127,-0.152300,0.242975
59,355973288,0.741843,-0.558473,0.106688,-0.355525,0.243549,-0.399436,0.263555
60,356006622,0.741013,-0.558923,0.108054,-0.356136,0.343198,-0.311781,0.170362
61,356039956,0.739826,-0.559174,0.109451,-0.357778,0.286147,-0.261174,0.142362
62,356073290,0.738547,-0.559267,0.110717,-0.359881,0.277780,-0.125447,0.057569
63,356106624,0.737430,-0.559244,0.111517,-0.361954,0.168574,0.037794,0.056003
64,356139958,0.736659,-0.559150,0.111550,-0.363654,0.030505,0.181812,0.098086
65,356173292,0.736143,-0.559131,0.110920,-0.364918,-0.071283,0.164433,0.179681
66,356206626,0.735486,-0.559089,0.110782,-0.366348,-0.113636,0.276430,0.316975
67,356239960,0.734617,-0.558652,0.112039,-0.368370,-0.209466,0.361629,0.284046
68,356273294,0.733715,-0.557937,0.114239,-0.370569,-0.226524,0.400114,0.248062
69,356306628,0.733468,-0.557163,0.115405,-0.371858,-0.088209,1.158403,0.702682
70,356339962,0.737487,-0.559920,0.098117,-0.364662,-0.869771,5.890115,2.609530
71,356373296,0.751894,-0.574708,0.015012,-0.322714,-6.764223,8.404597,2.137647
72,356406630,0.759590,-0.588610,-0.119734,-0.249456,-1.049816,-3.084955,1.496472
73,356439964,0.748493,-0.588339,-0.232344,-0.199086,5.421905,-3.349806,4.351130
74,356473298,0.735833,-0.574669,-0.308089,-0.182730,2.963641,-0.269499,2.414970
75,356506632,0.726349,-0.554597,-0.365390,-0.177012,1.149004,0.067032,-0.478055
76,356539966,0.717995,-0.534416,-0.411329,-0.172323,1.064338,1.087914,-1.850036
77,356573300,0.716670,-0.513443,-0.440056,-0.170628,-0.509629,0.653637,-2.884582
78,356606634,0.725111,-0.493994,-0.447113,-0.174003,1.720268,-1.163530,-1.722576
79,356639968,0.745668,-0.477644,-0.424958,-0.187749,0.776956,-1.545265,-1.900756
80,356673302,0.774701,-0.462047,-0.376725,-0.210792,-0.243049,-3.930391,-3.215121
81,356706636,0.790132,-0.458067,-0.341901,-0.221299,0.379371,-4.173555,-4.062648
82,356739970,0.793657,-0.466457,-0.317277,-0.227737,1.854747,-5.111152,-0.875661
83,356773304,0.796534,-0.477475,-0.276470,-0.247222,1.923087,-5.294013,-0.631277
84,356806638,0.798047,-0.487913,-0.215843,-0.280138,0.459703,-4.815290,-1.088875
85,356839972,0.794663,-0.494707,-0.143948,-0.321025,-0.558922,-3.441947,-0.077254
86,356873306,0.786630,-0.491822,-0.063023,-0.367907,-1.817597,-2.123356,-0.599526
87,356906640,0.772519,-0.486343,0.008886,-0.408179,-3.866054,0.433257,-1.295461
88,356939974,0.755177,-0.491343,0.053804,-0.430580,-3.315934,1.014647,-1.195557
89,356973308,0.735928,-0.507577,0.080886,-0.440721,-2.144994,0.927843,0.447987
90,357006642,0.716168,-0.525665,0.103932,-0.447192,-0.555147,0.250634,1.861886
91,357039976,0.697840,-0.541123,0.124560,-0.452429,-0.295967,6.340256,2.613937
92,357073310,0.696168,-0.562509,0.110656,-0.432079,-0.693506,17.583649,4.006049
93,357106644,0.708694,-0.578223,0.075629,-0.397108,4.818688,-3.952246,2.729117
94,357139978,0.712517,-0.571381,0.083531,-0.398583,1.311815,-1.873056,0.029783
95,357173312,0.714486,-0.559039,0.104999,-0.407387,-0.011162,0.519336,-0.842301
96,357206646,0.718694,-0.552650,0.115600,-0.405830,-0.804917,1.770622,-0.715359
97,357239980,0.727867,-0.553786,0.108669,-0.389520,-0.760223,1.138837,-0.021982
98,357273314,0.739077,-0.558904,0.090283,-0.365026,0.029606,-0.472830,0.268078
99,357306648,0.748892,-0.564199,0.069922,-0.340520,0.540860,-1.942220,0.202378
100,357339982,0.755629,-0.566620,0.057436,-0.323529,0.926668,-2.564183,0.186702
101,357373316,0.759429,-0.566381,0.054433,-0.315468,0.612095,-1.851845,0.102818
102,357406650,0.760003,-0.566852,0.053920,-0.313321,0.885904,-2.002543,0.145883
103,357439984,0.757927,-0.568314,0.054542,-0.315585,0.492671,-1.521644,0.130856
104,357473318,0.754070,-0.570287,0.056171,-0.320935,0.387630,-1.366799,0.052340
105,357506652,0.749260,-0.572528,0.058721,-0.327683,0.172302,-1.138518,0.009912
106,357539986,0.744042,-0.575263,0.061234,-0.334257,-0.018795,-0.820617,-0.081777
107,357573320,0.738714,-0.578965,0.062699,-0.339370,-0.092462,-0.398030,-0.002521
108,357606654,0.733685,-0.583723,0.062236,-0.342204,0.059166,0.592348,0.389454
109,357639988,0.729214,-0.588027,0.061631,-0.344495,0.131026,1.746778,0.907443
110,357673322,0.725782,-0.588922,0.065414,-0.349479,-0.202009,3.025781,1.198983
111,357706656,0.724407,-0.586832,0.071099,-0.354698,-0.248282,1.799373,0.672585
