sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:08:51_634 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,354039916,0.587225,-0.744550,0.275322,-0.158150,0.174895,-0.009394,0.075212
2,354073250,0.586992,-0.745380,0.274852,-0.155905,0.123041,0.044942,0.102756
3,354106584,0.586494,-0.746169,0.274874,-0.153956,-0.018653,0.164036,0.111642
4,354139918,0.586084,-0.746874,0.274713,-0.152380,0.172204,0.118135,0.092919
5,354173252,0.585777,-0.747973,0.273751,-0.149878,-0.019011,0.057909,0.088588
6,354206586,0.585474,-0.749268,0.272594,-0.146666,-0.268759,-0.004316,0.168015
7,354239920,0.585548,-0.750214,0.271390,-0.143742,0.186825,-0.108005,0.091889
8,354273254,0.585532,-0.751215,0.270112,-0.140957,0.141148,-0.019989,0.082716
9,354306588,0.585341,-0.752253,0.269161,-0.138005,-0.012724,-0.053030,0.162920
10,354339922,0.585430,-0.752820,0.268591,-0.135621,0.229367,-0.057159,0.080063
11,354373256,0.585213,-0.753341,0.268553,-0.133725,0.000815,-0.006429,0.118681
12,354406590,0.584931,-0.753794,0.268757,-0.131987,-0.075377,0.076303,0.166228
13,354439924,0.584984,-0.754108,0.268696,-0.130073,0.137416,0.023075,0.082262
14,354473258,0.584893,-0.754457,0.268790,-0.128248,0.029085,-0.045345,0.087739
15,354506592,0.584556,-0.755093,0.268740,-0.126133,-0.068969,-0.074757,0.179112
16,354539926,0.584621,-0.755625,0.268155,-0.123870,0.163560,-0.039537,0.133070
17,354573260,0.585067,-0.756222,0.266841,-0.120921,0.257363,0.027774,0.091883
18,354606594,0.585237,-0.756868,0.265967,-0.117948,0.172539,-0.069351,0.114076
19,354639928,0.585394,-0.756978,0.266036,-0.116292,0.286974,-0.090438,-0.037513
20,354673262,0.584655,-0.756939,0.267754,-0.116322,-0.314250,0.424779,0.126954
21,354706596,0.582079,-0.757814,0.270804,-0.116482,-1.278772,0.915367,0.558749
22,354739930,0.581937,-0.757562,0.272162,-0.115664,-0.699420,0.619042,0.142521
23,354773264,0.581826,-0.757383,0.273254,-0.114818,-0.205360,0.083538,-0.031791
24,354806598,0.581730,-0.757538,0.273264,-0.114253,-0.047399,-0.414523,0.002930
25,354839932,0.582042,-0.757906,0.271848,-0.113597,-0.437204,-0.013146,0.092889
26,354873266,0.582555,-0.758317,0.269883,-0.112915,-0.104752,0.021026,0.129569
27,354906600,0.583473,-0.758395,0.267817,-0.112564,0.530445,-0.246530,0.060097
28,354939934,0.583832,-0.758785,0.266043,-0.112287,0.011778,-0.067325,0.229003
29,354973268,0.584301,-0.759056,0.264395,-0.111905,-0.227476,0.151689,0.194642
30,355006602,0.585067,-0.759097,0.262609,-0.111834,-0.354869,-0.047499,0.095961
31,355039936,0.585670,-0.759158,0.261061,-0.111885,-0.222480,-0.440430,0.101601
32,355073270,0.586092,-0.759233,0.259804,-0.112088,-0.217098,0.053905,0.131271
33,355106604,0.586538,-0.759074,0.258963,-0.112778,-0.115465,0.578256,0.202935
34,355139938,0.586749,-0.758482,0.259259,-0.114967,0.023396,0.565782,0.099004
35,355173272,0.586618,-0.758046,0.259784,-0.117299,-0.194002,0.298177,0.130547
36,355206606,0.586776,-0.757861,0.259360,-0.118635,-0.412372,0.196425,0.150110
37,355239940,0.587083,-0.757601,0.258702,-0.120203,-0.259588,0.165826,0.079012
38,355273274,0.587160,-0.757358,0.258291,-0.122223,-0.240238,0.082001,0.095161
39,355306608,0.587356,-0.757005,0.257915,-0.124248,-0.180734,-0.000720,0.151740
40,355339942,0.587858,-0.756205,0.257827,-0.126901,0.072418,-0.119212,0.055163
41,355373276,0.587936,-0.755394,0.258285,-0.130386,0.126804,-0.149901,-0.010546
42,355406610,0.587635,-0.754991,0.258587,-0.133444,0.054897,-0.072546,0.099142
43,355439944,0.587701,-0.754703,0.258173,-0.135568,0.056975,0.172533,0.209831
44,355473278,0.588146,-0.754137,0.257661,-0.137744,0.027256,0.340586,0.098327
45,355506612,0.588048,-0.753551,0.257919,-0.140849,0.046773,0.319664,0.099570
46,355539946,0.587363,-0.753079,0.258710,-0.144732,0.104429,0.300603,0.123523
47,355573280,0.586791,-0.752885,0.258742,-0.147965,0.107037,0.245642,0.180992
48,355606614,0.586778,-0.752986,0.257418,-0.149804,0.029957,0.101286,0.004639
49,355639948,0.586535,-0.753467,0.255720,-0.151235,-0.002382,-0.107821,0.088332
50,355673282,0.586149,-0.754100,0.253951,-0.152553,-0.003631,-0.033306,0.189789
51,355706616,0.586163,-0.754309,0.252343,-0.154126,0.113527,0.156844,0.177695
52,355739950,0.586221,-0.754241,0.251200,-0.156095,0.194246,-0.003139,0.120625
53,355773284,0.586155,-0.753948,0.250597,-0.158702,0.201422,-0.110330,0.145024
54,355806618,0.586114,-0.753558,0.250185,-0.161338,0.103317,-0.198094,0.098095
55,355839952,0.586103,-0.752931,0.250271,-0.164148,0.024409,-0.151925,0.095604
56,355873286,0.586046,-0.752122,0.250729,-0.167331,0.035836,0.018778,0.110522
57,355906620,0.586058,-0.751381,0.250957,-0.170249,0.123775,0.115392,0.254318
58,355939954,0.586587,-0.750638,0.250599,-0.172218,0.164045,0.174128,0.151590
59,355973288,0.587351,-0.749802,0.250072,-0.174014,0.230660,0.057806,0.060852
60,356006622,0.587876,-0.749037,0.249577,-0.176232,0.029756,-0.206323,0.077115
61,356039956,0.588416,-0.748437,0.248728,-0.178166,-0.240184,-0.167587,0.017326
62,356073290,0.588637,-0.747955,0.248236,-0.180139,-0.170871,-0.105913,0.065920
63,356106624,0.588884,-0.747518,0.247578,-0.182039,-0.077616,-0.059066,0.103992
64,356139958,0.589108,-0.747274,0.246494,-0.183781,0.016436,0.173082,0.058043
65,356173292,0.589036,-0.747041,0.245782,-0.185902,0.006374,0.188193,0.130500
66,356206626,0.589144,-0.746945,0.244568,-0.187538,-0.080671,0.131488,0.200946
67,356239960,0.589599,-0.746573,0.243262,-0.189278,0.019759,0.211849,0.138741
68,356273294,0.590399,-0.746063,0.241680,-0.190819,0.035888,0.262957,0.126629
69,356306628,0.591414,-0.745528,0.239813,-0.192114,-0.029524,0.200877,0.162125
70,356339962,0.592805,-0.744836,0.237646,-0.193200,-0.061732,0.209613,0.153723
71,356373296,0.594545,-0.743917,0.235334,-0.194222,-0.002109,0.259895,0.200175
72,356406630,0.596323,-0.742842,0.233227,-0.195423,0.019079,0.118347,0.098846
73,356439964,0.597868,-0.741584,0.231603,-0.197405,0.128381,-0.053707,0.070897
74,356473298,0.599565,-0.740357,0.229659,-0.199129,0.040624,-0.023114,0.332971
75,356506632,0.601780,-0.739188,0.226903,-0.199944,-0.015151,0.084678,0.210769
76,356539966,0.604074,-0.737719,0.224549,-0.201109,0.214065,0.117903,0.138043
77,356573300,0.606264,-0.735901,0.222945,-0.202955,0.210027,0.046384,0.133538
78,356606634,0.608391,-0.734076,0.221549,-0.204718,0.041151,-0.015471,0.095755
79,356639968,0.610492,-0.732577,0.219941,-0.205566,-0.126700,0.076669,-0.014832
