sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:10:45_226 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,467642188,0.548995,-0.670616,0.397451,-0.301517,0.058075,-0.096779,0.118487
2,467675522,0.548890,-0.670012,0.398109,-0.302180,-0.019710,-0.092723,0.122906
3,467708856,0.548710,-0.669518,0.398717,-0.302802,-0.079787,-0.021179,0.083582
4,467742190,0.548398,-0.669048,0.399412,-0.303487,-0.061994,0.069823,0.147252
5,467775524,0.547991,-0.668301,0.400467,-0.304478,0.029424,-0.068194,0.115099
6,467808858,0.547390,-0.667391,0.401774,-0.305832,0.077435,-0.065443,0.129777
7,467842192,0.546754,-0.666461,0.403086,-0.307265,0.015658,0.002669,0.112105
8,467875526,0.546173,-0.665488,0.404328,-0.308773,-0.060612,0.067668,0.102180
9,467908860,0.545665,-0.664510,0.405435,-0.310322,-0.031332,0.006756,0.181800
10,467942194,0.544908,-0.663177,0.406993,-0.312458,-0.068219,-0.001948,0.050456
11,467975528,0.544115,-0.661698,0.408672,-0.314773,-0.002567,-0.038062,0.205822
12,468008862,0.543820,-0.660093,0.409954,-0.316980,0.019623,-0.030355,0.161209
13,468042196,0.543733,-0.658463,0.411060,-0.319078,-0.074303,-0.008744,0.154037
14,468075530,0.543446,-0.656423,0.412585,-0.321792,-0.073386,-0.067492,0.184585
15,468108864,0.543268,-0.654197,0.414109,-0.324656,-0.100386,-0.016551,0.073137
16,468142198,0.543001,-0.652312,0.415357,-0.327290,-0.095360,0.072766,0.140516
17,468175532,0.543182,-0.650773,0.415900,-0.329358,-0.094769,0.213200,0.072190
18,468208866,0.543615,-0.649459,0.416101,-0.330978,-0.156038,0.391072,0.091841
19,468242200,0.544184,-0.648682,0.415661,-0.332117,-0.185747,0.437064,0.102662
20,468275534,0.545004,-0.648782,0.414146,-0.332470,-0.185672,0.501856,0.090489
21,468308868,0.546779,-0.650006,0.410937,-0.331146,-0.154609,0.231682,0.309562
22,468342202,0.550184,-0.651400,0.406182,-0.328621,-0.002674,-0.172797,0.371920
23,468375536,0.555361,-0.651330,0.400914,-0.326515,0.422500,-0.470317,0.511668
24,468408870,0.561621,-0.648265,0.396941,-0.326762,0.696919,-1.003132,0.684788
25,468442204,0.566369,-0.641690,0.397279,-0.331105,1.261308,-1.123831,0.480736
26,468475538,0.569010,-0.632422,0.401720,-0.338956,1.587680,-0.594004,0.829661
27,468508872,0.571023,-0.619643,0.408251,-0.351152,1.786827,-0.225502,1.157868
28,468542206,0.573806,-0.605733,0.413410,-0.364590,1.001179,0.321089,0.676091
29,468575540,0.576606,-0.593731,0.416326,-0.376406,0.139465,1.072253,-0.971866
30,468608874,0.577755,-0.585273,0.417454,-0.386508,-2.216958,1.283501,-0.796734
31,468642208,0.579651,-0.581369,0.416353,-0.390725,-2.811551,0.737543,-1.227622
32,468675542,0.578881,-0.582929,0.417593,-0.388210,-2.356383,-0.049044,-1.504600
33,468708876,0.576343,-0.589347,0.417369,-0.382496,-0.645279,-0.715393,-0.577303
34,468742210,0.574312,-0.596965,0.415180,-0.376064,0.588685,-0.620319,-0.075658
35,468775544,0.574213,-0.604431,0.411581,-0.368164,1.072520,-0.863837,0.350662
36,468808878,0.571851,-0.607743,0.412523,-0.365323,0.579171,-2.376412,-0.262863
37,468842212,0.564907,-0.603624,0.422401,-0.371614,-0.009706,-0.882353,0.853487
38,468875546,0.558176,-0.592294,0.438980,-0.380690,-0.445442,-0.275208,0.816669
39,468908880,0.553028,-0.582511,0.452892,-0.386952,0.646055,-1.008135,0.443887
