sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:06:47_417 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,229804098,0.777500,-0.353212,-0.212777,0.474823,1.863389,0.076316,-0.631729
2,229837432,0.775987,-0.353279,-0.218127,0.474820,1.786566,0.621511,0.855921
3,229870766,0.774838,-0.352821,-0.221080,0.475671,0.985233,0.153877,1.285693
4,229904100,0.774346,-0.352406,-0.222669,0.476038,0.852932,0.760891,-0.050338
5,229937434,0.775110,-0.354168,-0.222454,0.473582,0.053638,0.361643,-0.096714
6,229970768,0.776453,-0.356995,-0.221505,0.469688,-0.482908,-0.560448,-0.043213
7,230004102,0.776779,-0.357160,-0.225216,0.467252,-0.244635,-0.903688,-0.532354
8,230037436,0.775865,-0.356765,-0.230913,0.466291,-0.174110,-1.058792,0.463046
9,230070770,0.774813,-0.355717,-0.236433,0.466074,0.502652,-0.019483,0.213709
10,230104104,0.774593,-0.356387,-0.239001,0.464616,1.193227,0.103752,-0.811536
11,230137438,0.774302,-0.360125,-0.241141,0.461100,0.040727,-0.063812,0.500383
12,230170772,0.774821,-0.363884,-0.241441,0.457101,-0.142070,0.063455,0.745683
13,230204106,0.776263,-0.369015,-0.238611,0.452000,0.439746,-0.205950,-0.275729
14,230237440,0.778147,-0.375058,-0.235299,0.445476,0.750338,0.498793,-0.673798
15,230270774,0.780343,-0.382337,-0.230929,0.437666,-0.539969,0.438597,0.587006
16,230304108,0.782237,-0.387130,-0.228340,0.431382,-0.133150,0.828899,0.375438
17,230337442,0.783223,-0.392140,-0.226352,0.426083,0.068912,0.057036,-0.311594
18,230370776,0.781874,-0.395663,-0.230000,0.423342,-0.125846,0.621455,0.369853
19,230404110,0.779751,-0.397598,-0.235935,0.422178,0.136206,0.515794,0.676890
20,230437444,0.777667,-0.399522,-0.240986,0.421352,-0.021432,0.121866,0.588123
21,230470778,0.776105,-0.401418,-0.245278,0.419950,-0.134289,0.340824,0.370206
22,230504112,0.775593,-0.403616,-0.248569,0.416844,0.036384,0.271205,-0.019435
23,230537446,0.775839,-0.406096,-0.251393,0.412259,0.016330,0.234338,0.041195
24,230570780,0.776700,-0.408459,-0.253979,0.406680,-0.029255,0.294324,0.225793
25,230604114,0.778276,-0.410638,-0.256115,0.400081,0.001450,0.273604,0.341509
26,230637448,0.780544,-0.413734,-0.256952,0.391850,0.048473,0.379800,0.203133
27,230670782,0.782827,-0.417855,-0.257576,0.382398,-0.092008,0.525482,0.180972
28,230704116,0.784428,-0.421803,-0.259689,0.373245,-0.254965,0.722447,0.168623
29,230737450,0.784756,-0.424491,-0.264525,0.366041,0.021312,0.683848,0.308646
30,230770784,0.784256,-0.425815,-0.270781,0.360968,-0.055695,0.611493,0.456176
31,230804118,0.784428,-0.424694,-0.276983,0.357189,0.310950,0.322263,-0.436889
32,230837452,0.784967,-0.422650,-0.282238,0.354303,0.741409,0.470569,-0.202859
33,230870786,0.787206,-0.421997,-0.282818,0.349622,0.125723,0.345253,-0.024352
34,230904120,0.789415,-0.421387,-0.282780,0.345381,-0.701981,0.530308,0.651902
35,230937454,0.790617,-0.419735,-0.285572,0.342331,-0.394420,0.634851,0.308954
36,230970788,0.791503,-0.418639,-0.289189,0.338569,-0.055073,0.547645,0.320755
