sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:06:47_421 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,229804098,-0.159638,0.052692,-0.368245,0.914406,1.542482,0.986266,-1.641518
2,229837432,-0.167745,0.063637,-0.371023,0.911129,1.037141,0.065358,-0.789575
3,229870766,-0.174457,0.069511,-0.373928,0.908248,-0.446692,-1.796345,1.767309
4,229904100,-0.178397,0.073447,-0.374044,0.907124,0.269037,-1.013402,1.069645
5,229937434,-0.179257,0.073530,-0.375526,0.906335,-0.676281,-0.394297,-0.231345
6,229970768,-0.176221,0.069998,-0.379522,0.905545,1.233269,-0.048463,0.050043
7,230004102,-0.175185,0.067799,-0.382893,0.904494,0.464614,-0.818803,1.380666
8,230037436,-0.171928,0.061782,-0.384220,0.904987,-0.330581,-0.994667,0.801148
9,230070770,-0.166416,0.053758,-0.387626,0.905077,0.075111,0.457001,-0.570308
10,230104104,-0.164382,0.052986,-0.391957,0.903628,0.832335,0.815606,-2.077816
11,230137438,-0.165846,0.057655,-0.400006,0.899538,-2.152563,0.588556,-1.813643
12,230170772,-0.162601,0.055084,-0.412160,0.894793,-0.728119,0.258702,-0.753720
13,230204106,-0.162635,0.059540,-0.422049,0.889878,1.866314,-0.269449,3.287317
14,230237440,-0.170475,0.074709,-0.421375,0.887582,1.809820,0.650937,2.163287
15,230270774,-0.177967,0.086181,-0.421400,0.885057,-0.146007,2.471706,-0.715302
16,230304108,-0.182545,0.091617,-0.425933,0.881401,-0.189811,1.938690,-0.110457
17,230337442,-0.185500,0.095144,-0.431195,0.877844,0.069207,0.518558,0.541289
18,230370776,-0.187805,0.100617,-0.433816,0.875450,-0.287883,-0.005608,0.253860
19,230404110,-0.189549,0.107153,-0.436424,0.872999,-0.209243,-0.282679,-0.281435
20,230437444,-0.189436,0.111221,-0.440722,0.870351,0.053980,-0.263477,-0.202394
21,230470778,-0.188067,0.114552,-0.444892,0.868091,0.166922,0.137966,0.555758
22,230504112,-0.185476,0.118789,-0.447441,0.866768,0.611095,0.482269,0.459284
23,230537446,-0.181769,0.122349,-0.448036,0.866751,0.516385,0.167671,0.364990
24,230570780,-0.176999,0.125658,-0.447314,0.867638,0.241550,0.000583,0.113945
25,230604114,-0.171915,0.128124,-0.446299,0.868821,0.218316,-0.354720,0.611115
26,230637448,-0.167562,0.130998,-0.444188,0.870323,0.114210,-0.217761,0.375686
27,230670782,-0.163834,0.134196,-0.442442,0.871435,0.251870,-0.378579,0.383754
28,230704116,-0.160831,0.137605,-0.440734,0.872327,0.118253,-0.141563,0.103729
29,230737450,-0.157392,0.139963,-0.439412,0.873246,0.139796,0.066049,0.158866
30,230770784,-0.153099,0.140179,-0.437720,0.874822,0.394907,0.275033,0.105308
31,230804118,-0.148014,0.138403,-0.435319,0.877176,0.285120,-0.084147,-0.259949
32,230837452,-0.142314,0.133789,-0.433179,0.879890,-0.134447,-0.182605,-0.189892
33,230870786,-0.136522,0.128521,-0.430242,0.883029,0.361888,0.125981,0.118007
34,230904120,-0.133192,0.126338,-0.426259,0.885779,0.541004,-0.371170,0.975696
35,230937454,-0.132835,0.128108,-0.420886,0.888145,0.109200,-0.440509,0.303939
36,230970788,-0.131808,0.129114,-0.416677,0.890135,0.144492,-0.388676,0.043499
37,231004122,-0.129199,0.128626,-0.413838,0.891911,0.309156,0.020801,0.252981
38,231037456,-0.125499,0.127185,-0.412604,0.893216,0.176927,0.043134,-0.908473
39,231070790,-0.120162,0.122762,-0.413752,0.894038,0.364964,-0.599719,0.265338
40,231104124,-0.115374,0.119244,-0.414703,0.894703,0.200799,-0.425241,0.392390
41,231137458,-0.111433,0.117002,-0.415008,0.895357,0.141919,-0.286387,0.043866
