sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:06:47_402 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,229804098,-0.452268,0.496317,-0.618367,0.408347,0.000864,0.062342,0.020476
2,229837432,-0.452684,0.497140,-0.617864,0.407645,0.011656,0.144462,0.111344
3,229870766,-0.452890,0.497714,-0.617507,0.407255,-0.007794,0.183181,0.171622
4,229904100,-0.453236,0.498132,-0.617123,0.406943,-0.066599,0.026273,0.114830
5,229937434,-0.453524,0.498345,-0.616919,0.406669,-0.193421,-0.155858,0.082491
6,229970768,-0.453810,0.498413,-0.616814,0.406425,-0.193882,-0.030276,0.081420
7,230004102,-0.453689,0.498193,-0.617091,0.406412,-0.093955,0.056003,0.092767
8,230037436,-0.453324,0.497744,-0.617616,0.406571,-0.118490,-0.074577,0.102802
9,230070770,-0.452711,0.497230,-0.618351,0.406765,-0.112585,-0.043058,0.070702
10,230104104,-0.452200,0.496869,-0.618931,0.406892,0.198748,0.038374,0.260112
11,230137438,-0.452479,0.496483,-0.618896,0.407106,0.532824,0.172702,0.185388
12,230170772,-0.451817,0.495560,-0.619738,0.407685,-0.069301,0.131383,-0.013001
13,230204106,-0.451129,0.495069,-0.620340,0.408128,-0.094585,0.065845,0.322033
14,230237440,-0.451327,0.495015,-0.619925,0.408604,0.046734,0.203141,0.262562
15,230270774,-0.451733,0.495520,-0.619175,0.408681,-0.331465,0.457277,-0.095077
16,230304108,-0.451679,0.496425,-0.618614,0.408492,-0.522700,0.598174,0.301460
17,230337442,-0.452032,0.496855,-0.617643,0.409048,-0.030441,0.287635,-0.106776
18,230370776,-0.451479,0.497454,-0.617210,0.409584,0.019224,0.325782,0.137949
