sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:33:02_769 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1805168938,-0.455912,0.652346,0.128274,-0.591722,-0.069163,-0.369550,0.091441
2,1805202272,-0.453479,0.651820,0.127752,-0.594278,-0.066012,-0.328591,0.212738
3,1805235606,-0.450198,0.651260,0.126307,-0.597685,-0.037007,-0.428134,0.390559
4,1805268940,-0.445095,0.650802,0.123475,-0.602578,0.091704,-0.476400,0.517740
5,1805302274,-0.438213,0.650574,0.118959,-0.608745,0.091098,-0.330963,0.462260
6,1805335608,-0.430690,0.650425,0.113286,-0.615320,0.061315,-0.122722,0.187067
7,1805368942,-0.423386,0.650130,0.106993,-0.621794,-0.007778,-0.060791,-0.043804
8,1805402276,-0.416361,0.649713,0.100429,-0.628037,-0.011620,0.002830,-0.166399
9,1805435610,-0.409910,0.649164,0.094050,-0.633809,-0.002477,0.268663,-0.236048
10,1805468944,-0.404533,0.648737,0.088292,-0.638511,-0.004484,0.408118,-0.323189
11,1805502278,-0.400115,0.648387,0.083744,-0.642252,0.037714,0.422756,-0.366943
12,1805535612,-0.396142,0.648035,0.080846,-0.645434,-0.022989,0.453573,-0.441925
13,1805568946,-0.392705,0.647550,0.079829,-0.648143,-0.128432,0.520445,-0.388273
14,1805602280,-0.390010,0.646854,0.080634,-0.650360,-0.117075,0.484112,-0.348688
15,1805635614,-0.387941,0.646647,0.082217,-0.651605,0.014945,0.396251,-0.263804
16,1805668948,-0.386487,0.647772,0.082727,-0.651287,-0.174606,0.223519,-0.100093
17,1805702282,-0.384945,0.647865,0.083864,-0.651961,-0.331656,-0.362240,0.096868
18,1805735616,-0.383171,0.646567,0.085957,-0.654019,-0.186266,-0.383761,-0.148528
19,1805768950,-0.382007,0.646522,0.086105,-0.654725,-0.248236,-0.671258,0.000684
20,1805802284,-0.380308,0.646199,0.086067,-0.656036,-0.376531,-0.853008,0.060831
21,1805835618,-0.377802,0.644715,0.086487,-0.658883,-0.247168,-0.736691,-0.120535
22,1805868952,-0.375712,0.643640,0.085912,-0.661201,-0.220782,-0.609076,-0.278963
23,1805902286,-0.373971,0.642930,0.085090,-0.662982,-0.246472,-0.732861,-0.385390
24,1805935620,-0.371424,0.641077,0.086181,-0.666061,-0.233796,-0.539503,-0.685400
25,1805968954,-0.369157,0.639121,0.087845,-0.668976,-0.123782,-0.252900,-0.863900
26,1806002288,-0.367720,0.638221,0.089492,-0.670407,-0.082632,-0.219691,-1.077400
27,1806035622,-0.366555,0.637634,0.091684,-0.671307,-0.193839,-0.254623,-1.414423
28,1806068956,-0.365645,0.637161,0.093629,-0.671984,-0.341586,-0.208848,-1.834428
29,1806102290,-0.365482,0.636644,0.095047,-0.672363,-0.429671,-0.143495,-2.091758
30,1806135624,-0.366139,0.636160,0.095904,-0.672342,-0.265713,0.004126,-2.468627
31,1806168958,-0.367040,0.635627,0.095998,-0.672342,-0.410397,-0.049088,-2.655063
32,1806202292,-0.367477,0.634551,0.096844,-0.672998,-0.219023,0.126049,-2.481698
33,1806235626,-0.367915,0.632176,0.100476,-0.674460,-0.161547,0.641769,-2.240256
34,1806268960,-0.369726,0.630182,0.104993,-0.674647,-0.039949,0.785705,-1.863143
35,1806302294,-0.372503,0.628948,0.110056,-0.673463,-0.104499,0.507957,-1.007401
36,1806335628,-0.373898,0.624874,0.119837,-0.674812,-0.207510,0.482108,-0.855238
37,1806368962,-0.374482,0.620505,0.130723,-0.676496,0.077252,0.549426,-1.010736
38,1806402296,-0.374831,0.616282,0.141279,-0.678039,-0.277669,0.311352,-0.486135
39,1806435630,-0.374601,0.609949,0.153350,-0.681263,-0.103740,0.245403,-0.453340
40,1806468964,-0.374355,0.603269,0.164957,-0.684626,-0.040637,0.420469,-0.451146
41,1806502298,-0.374745,0.597311,0.174324,-0.687311,0.048707,0.548508,-0.352502
42,1806535632,-0.375571,0.591909,0.182152,-0.689499,0.132772,0.348219,0.376310
43,1806568966,-0.376450,0.586007,0.190291,-0.691860,0.163235,0.436923,0.782970
44,1806602300,-0.378023,0.580097,0.197745,-0.693889,-0.172796,0.851468,1.037567
45,1806635634,-0.381886,0.576847,0.200165,-0.693790,-0.290447,0.574534,1.502344
46,1806668968,-0.386293,0.574266,0.199998,-0.693538,-0.047349,0.158578,1.745411
47,1806702302,-0.389460,0.570267,0.200969,-0.694786,-0.192772,0.277232,1.641272
48,1806735636,-0.392544,0.567102,0.200474,-0.695783,0.154861,0.131831,1.497036
49,1806768970,-0.395338,0.564723,0.198898,-0.696588,0.271150,0.068474,1.566334
50,1806802304,-0.397472,0.562211,0.197441,-0.697819,0.252435,0.135279,1.490899
51,1806835638,-0.400023,0.560584,0.194512,-0.698492,0.287437,0.181240,1.385674
52,1806868972,-0.403077,0.559311,0.190661,-0.698818,0.425533,0.099339,1.213825
53,1806902306,-0.406221,0.558182,0.186826,-0.698937,0.554380,0.110030,1.123634
54,1806935640,-0.409105,0.557574,0.183291,-0.698676,0.374995,0.087276,0.942495
55,1806968974,-0.411377,0.557270,0.180330,-0.698354,0.466643,0.063107,0.989562
56,1807002308,-0.412479,0.556329,0.178589,-0.698902,0.045887,-0.016240,0.904763
