sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:33:02_756 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1805135604,0.776703,-0.599750,-0.055929,-0.184139,0.646064,0.082001,0.168527
2,1805168938,0.777110,-0.598687,-0.058586,-0.185056,0.480245,0.018620,0.181215
3,1805202272,0.777300,-0.597673,-0.061326,-0.186642,0.384407,-0.048993,0.182759
4,1805235606,0.777215,-0.596767,-0.064015,-0.188978,0.246095,-0.135915,0.192277
5,1805268940,0.776800,-0.596086,-0.066346,-0.192002,0.134922,-0.179422,0.137290
6,1805302274,0.775967,-0.595803,-0.067913,-0.195668,0.022355,-0.319477,0.186904
7,1805335608,0.774644,-0.595956,-0.068295,-0.200257,-0.054262,-0.329135,-0.012761
8,1805368942,0.772800,-0.596641,-0.067357,-0.205589,-0.122452,-0.285944,-0.165419
9,1805402276,0.770672,-0.597775,-0.065465,-0.210827,-0.356651,-0.163587,-0.285547
10,1805435610,0.768506,-0.599423,-0.063315,-0.214676,-0.355435,-0.041973,-0.285127
11,1805468944,0.766579,-0.601353,-0.060778,-0.216888,-0.356775,0.155833,-0.213768
12,1805502278,0.764961,-0.603439,-0.058214,-0.217511,-0.249277,0.194322,-0.150277
13,1805535612,0.763667,-0.605497,-0.056027,-0.216911,-0.169429,0.279811,0.165255
14,1805568946,0.762670,-0.607306,-0.054511,-0.215747,0.002017,0.248221,0.281841
15,1805602280,0.761806,-0.608812,-0.053317,-0.214849,0.151400,0.207905,0.346881
16,1805635614,0.760947,-0.610071,-0.052445,-0.214537,0.172349,0.157591,0.243111
17,1805668948,0.759958,-0.611275,-0.051969,-0.214731,0.444107,0.078050,0.235741
18,1805702282,0.758782,-0.612349,-0.051398,-0.215965,0.619122,0.130023,0.149863
19,1805735616,0.757351,-0.613473,-0.050251,-0.218057,0.609217,0.031193,-0.048535
20,1805768950,0.755568,-0.614803,-0.048720,-0.220829,0.793710,0.108894,-0.037032
21,1805802284,0.753816,-0.615926,-0.047401,-0.223949,0.653132,0.437212,-0.057834
22,1805835618,0.752380,-0.616523,-0.047009,-0.227195,0.871591,0.475193,0.134117
23,1805868952,0.751079,-0.616948,-0.048175,-0.230085,0.638954,0.425635,0.003391
24,1805902286,0.749580,-0.617355,-0.050033,-0.233460,0.827003,0.524608,-0.041094
25,1805935620,0.747962,-0.617300,-0.051656,-0.238388,0.857424,0.531042,-0.180527
26,1805968954,0.746129,-0.617081,-0.053005,-0.244328,0.415953,0.393529,-0.527751
27,1806002288,0.744285,-0.616920,-0.054461,-0.249975,0.248061,0.762834,-0.645340
28,1806035622,0.743280,-0.616146,-0.057214,-0.254223,0.064525,0.765924,-1.463963
29,1806068956,0.742754,-0.615510,-0.063236,-0.255868,0.330088,0.535953,-2.069637
30,1806102290,0.742363,-0.614982,-0.068632,-0.256879,0.774046,0.330094,-2.028924
31,1806135624,0.742289,-0.613569,-0.070279,-0.260009,0.273982,0.325401,-2.346363
32,1806168958,0.742136,-0.611774,-0.071719,-0.264246,0.484060,0.078937,-2.306341
33,1806202292,0.741662,-0.609646,-0.070650,-0.270706,0.288747,-0.158044,-1.865469
34,1806235626,0.742309,-0.605691,-0.065204,-0.279049,-0.635281,0.636557,-1.430071
35,1806268960,0.744000,-0.601422,-0.061845,-0.284491,-1.137878,-0.169436,-1.492002
36,1806302294,0.745737,-0.598107,-0.059955,-0.287322,-0.858536,-0.260849,-0.380672
37,1806335628,0.748630,-0.593036,-0.055496,-0.291177,-1.153333,-0.094249,-0.353837
38,1806368962,0.751791,-0.587995,-0.053340,-0.293649,-1.131715,-0.286218,-0.642971
39,1806402296,0.755397,-0.582282,-0.048461,-0.296611,-0.721979,-0.793162,-0.266214
40,1806435630,0.758931,-0.576316,-0.039833,-0.300502,-1.473628,-0.377943,-0.447632
41,1806468964,0.761838,-0.572505,-0.035363,-0.300989,-1.185160,-0.024011,-0.383037
42,1806502298,0.764426,-0.570213,-0.034949,-0.298818,-0.885731,-0.308270,-0.548281
43,1806535632,0.766561,-0.568748,-0.034738,-0.296155,-0.623004,-0.011895,0.375504
44,1806568966,0.769615,-0.566095,-0.031764,-0.293639,-1.058922,0.097249,0.687960
45,1806602300,0.773166,-0.563757,-0.031378,-0.288811,-0.659783,0.081724,1.065118
46,1806635634,0.776564,-0.561426,-0.031130,-0.284225,-0.267071,-0.041152,1.627513
47,1806668968,0.779925,-0.558695,-0.029149,-0.280591,-0.621253,-0.232114,1.603148
48,1806702302,0.782965,-0.556685,-0.027251,-0.276277,-0.230194,-0.332164,1.574699
49,1806735636,0.785934,-0.554290,-0.022950,-0.273034,0.528521,-0.634226,1.683427
50,1806768970,0.788155,-0.551367,-0.014484,-0.273132,0.431339,-0.728086,1.561524
51,1806802304,0.789277,-0.549285,-0.007879,-0.274353,0.509412,-0.560225,1.732952
52,1806835638,0.790020,-0.547679,-0.004521,-0.275501,0.462464,-0.632295,1.184392
53,1806868972,0.790467,-0.546460,-0.002479,-0.276662,0.440653,-0.664570,1.172114
54,1806902306,0.790768,-0.545022,-0.000607,-0.278641,0.158230,-0.363724,1.191072
55,1806935640,0.790873,-0.543950,-0.000308,-0.280433,0.256836,-0.401673,0.766356
56,1806968974,0.790671,-0.543370,0.000998,-0.282119,0.006456,-0.378789,0.864177
57,1807002308,0.791039,-0.542385,0.003327,-0.282963,-0.465753,0.257048,0.745118
58,1807035642,0.792125,-0.541633,0.003598,-0.281357,-0.305444,0.060806,1.051045
59,1807068976,0.793377,-0.541631,0.000530,-0.277837,-0.330921,-0.069401,1.448402
60,1807102310,0.794874,-0.541474,-0.003538,-0.273813,-0.082779,-0.182179,1.333548
