sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:33:02_774 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1805168938,0.627309,-0.770150,0.051823,-0.103289,-0.005418,0.023718,0.162017
2,1805202272,0.627566,-0.770027,0.051335,-0.102884,-0.006501,-0.029663,0.175853
3,1805235606,0.627804,-0.769870,0.051091,-0.102730,-0.011868,-0.066215,0.109827
4,1805268940,0.628039,-0.769644,0.051167,-0.102943,-0.002248,0.007951,0.129923
5,1805302274,0.628273,-0.769420,0.051271,-0.103138,0.003750,0.045600,0.142349
6,1805335608,0.628459,-0.769233,0.051457,-0.103308,-0.082830,0.006293,0.135172
7,1805368942,0.628669,-0.769006,0.051722,-0.103590,-0.003313,0.060902,0.146135
8,1805402276,0.629221,-0.768488,0.051953,-0.103962,0.016065,0.027587,0.137686
9,1805435610,0.629726,-0.767988,0.052327,-0.104411,-0.017358,-0.004129,0.126037
10,1805468944,0.629924,-0.767700,0.052935,-0.105028,-0.047357,-0.000483,0.108891
11,1805502278,0.630039,-0.767452,0.053673,-0.105775,-0.092243,0.027957,0.137094
12,1805535612,0.630302,-0.767140,0.054065,-0.106267,-0.079755,0.039317,0.143308
13,1805568946,0.630418,-0.766993,0.054223,-0.106563,-0.080216,-0.003793,0.074374
14,1805602280,0.630416,-0.766921,0.054516,-0.106945,-0.045799,0.100660,0.140650
15,1805635614,0.630764,-0.766581,0.054618,-0.107278,-0.033296,0.179795,0.168973
16,1805668948,0.631354,-0.766086,0.054424,-0.107441,-0.045301,0.020803,0.127889
17,1805702282,0.631541,-0.765899,0.054356,-0.107707,-0.091409,-0.074188,0.080545
18,1805735616,0.631708,-0.765753,0.054233,-0.107832,-0.076649,0.098331,0.170169
19,1805768950,0.632713,-0.765090,0.053245,-0.107127,-0.066168,0.259601,0.134743
20,1805802284,0.634868,-0.763641,0.051179,-0.105719,-0.079706,0.257853,0.230033
21,1805835618,0.638077,-0.761157,0.049202,-0.105251,0.078233,0.160964,0.297124
22,1805868952,0.642186,-0.757736,0.047847,-0.105570,0.160170,0.409640,0.201847
23,1805902286,0.647197,-0.753474,0.046692,-0.105984,0.174049,0.950583,0.135975
24,1805935620,0.654630,-0.747017,0.044902,-0.106818,0.103328,1.237038,0.506629
25,1805968954,0.664790,-0.737970,0.042642,-0.107875,0.165551,1.398080,0.479577
26,1806002288,0.676158,-0.727564,0.040281,-0.108805,0.533135,0.867181,-0.630676
27,1806035622,0.685730,-0.717905,0.039091,-0.113404,1.019617,-0.039906,0.122452
28,1806068956,0.696899,-0.705952,0.040126,-0.119810,1.722304,-1.709486,-0.311908
29,1806102290,0.708942,-0.691949,0.045189,-0.128711,-0.176777,-1.155120,0.116945
30,1806135624,0.721246,-0.677608,0.048201,-0.135384,-0.230760,-0.664436,0.292573
31,1806168958,0.733345,-0.663420,0.048073,-0.140598,0.578691,-0.719018,-0.295728
32,1806202292,0.746555,-0.647552,0.045943,-0.145679,-0.433901,0.269216,0.054509
33,1806235626,0.760127,-0.630544,0.044728,-0.150404,-0.681425,-0.243045,-0.303916
34,1806268960,0.772017,-0.615252,0.045027,-0.153062,-0.913046,-0.165936,0.058166
35,1806302294,0.783536,-0.601073,0.039546,-0.152379,-0.764798,0.196820,0.405405
36,1806335628,0.794792,-0.585887,0.034380,-0.154472,0.246761,-0.178674,-0.345963
37,1806368962,0.805175,-0.571285,0.031885,-0.155920,-0.223515,0.390348,-0.144081
38,1806402296,0.815520,-0.556376,0.028573,-0.156704,-0.338823,0.324620,0.206163
39,1806435630,0.826084,-0.540237,0.024951,-0.158451,-0.209321,0.665439,-0.560553
40,1806468964,0.836253,-0.523830,0.022317,-0.160582,-0.774985,0.896113,-0.594670
41,1806502298,0.846853,-0.506458,0.019211,-0.161157,-0.209903,0.582441,-0.405725
42,1806535632,0.857117,-0.489130,0.014128,-0.160948,0.577500,-0.149647,-0.822506
43,1806568966,0.866697,-0.471331,0.009777,-0.163064,0.156956,-0.351499,-1.418576
44,1806602300,0.876222,-0.452513,0.006420,-0.165610,-0.243243,0.714630,0.322647
45,1806635634,0.885223,-0.433940,0.001654,-0.167557,0.092739,-0.717320,0.060238
46,1806668968,0.893194,-0.416302,-0.001753,-0.169987,-0.376212,-0.339218,-1.327807
47,1806702302,0.900539,-0.399127,-0.005939,-0.172315,-0.546583,0.221273,0.308613
48,1806735636,0.907466,-0.382426,-0.011290,-0.173579,-0.024462,-0.516624,0.958256
49,1806768970,0.913440,-0.367014,-0.015825,-0.175153,0.157129,-0.729118,0.034001
50,1806802304,0.918363,-0.353643,-0.018962,-0.176599,-0.119522,-0.593710,0.019355
51,1806835638,0.922662,-0.341574,-0.022841,-0.177483,0.155358,-0.733550,0.672513
52,1806868972,0.926660,-0.329720,-0.027704,-0.178377,0.401300,-0.947766,1.054071
53,1806902306,0.930226,-0.318550,-0.032401,-0.179322,0.460434,-0.693850,0.450631
54,1806935640,0.933203,-0.308750,-0.035966,-0.180316,0.485724,-0.574784,0.191201
55,1806968974,0.935827,-0.299645,-0.038847,-0.181472,0.158167,-0.644326,0.681967
56,1807002308,0.938161,-0.291050,-0.042145,-0.182671,0.405368,-0.745572,0.442035
57,1807035642,0.940301,-0.282907,-0.043979,-0.184020,0.415465,-0.541833,-0.159458
58,1807068976,0.942094,-0.275893,-0.045163,-0.185210,-0.115228,-0.444870,0.495289
59,1807102310,0.943633,-0.269652,-0.047405,-0.186008,0.062885,-0.498201,0.860429
60,1807135644,0.944946,-0.264498,-0.048014,-0.186584,0.029668,-0.482329,0.138009
61,1807168978,0.945957,-0.261122,-0.047450,-0.186358,-0.455530,-0.575416,0.632948
62,1807202312,0.946805,-0.258768,-0.047902,-0.185215,-0.279540,-0.744322,1.184175
63,1807235646,0.947345,-0.257845,-0.048826,-0.183496,0.133072,-0.714734,0.895222
64,1807268980,0.947552,-0.258297,-0.047755,-0.182067,0.148032,-0.883107,1.154969
65,1807302314,0.947573,-0.259473,-0.045816,-0.180778,-0.084118,-0.936292,0.928029
66,1807335648,0.947116,-0.262449,-0.044422,-0.179219,0.035971,-0.710429,0.752194
67,1807368982,0.946402,-0.266378,-0.043827,-0.177330,0.076490,-0.760100,0.774650
68,1807402316,0.945511,-0.270758,-0.042810,-0.175691,0.401647,-0.392449,0.193348
69,1807435650,0.944235,-0.276392,-0.040166,-0.174397,0.280911,-0.136976,0.284063
70,1807468984,0.942736,-0.282694,-0.037115,-0.173077,-0.100515,-0.463952,0.397033
71,1807502318,0.941101,-0.289311,-0.033667,-0.171743,0.020719,-0.310643,0.117106
72,1807535652,0.939084,-0.297019,-0.030038,-0.170294,-0.054748,-0.302034,0.318437
73,1807568986,0.936804,-0.305292,-0.026697,-0.168767,0.268671,-0.506089,0.489220
74,1807602320,0.934240,-0.313990,-0.022790,-0.167594,0.403481,-0.380183,0.513449
75,1807635654,0.931175,-0.323749,-0.019642,-0.166476,0.095957,-0.411676,0.231934
76,1807668988,0.927765,-0.333863,-0.016320,-0.165897,0.225744,-0.294076,0.112221
77,1807702322,0.923972,-0.344606,-0.013025,-0.165391,0.227574,-0.422326,0.322547
78,1807735656,0.919594,-0.356472,-0.009267,-0.164894,0.130850,-0.381249,0.121679
79,1807768990,0.914592,-0.369511,-0.005023,-0.164194,-0.027919,-0.373283,0.045346
80,1807802324,0.909111,-0.383177,-0.001194,-0.163375,-0.044100,-0.364287,0.122877
81,1807835658,0.903111,-0.397512,0.002026,-0.162396,0.129857,-0.386962,0.072821
82,1807868992,0.896507,-0.412593,0.004965,-0.161302,0.154070,-0.469660,0.052686
83,1807902326,0.889582,-0.427664,0.008065,-0.160259,0.052984,-0.478174,-0.018503
84,1807935660,0.882237,-0.442902,0.010727,-0.159314,-0.196805,-0.584315,-0.003359
85,1807968994,0.874541,-0.458277,0.012331,-0.158142,-0.191076,-0.366918,-0.012011
