sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:29:12_723 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1575097670,-0.512718,0.656835,0.068871,-0.548581,0.787979,-0.516886,0.574003
2,1575131004,-0.515913,0.655656,0.072267,-0.546556,0.632096,-0.662639,0.188668
3,1575164338,-0.520190,0.655281,0.071968,-0.542980,0.517025,-1.031491,-0.160664
4,1575197672,-0.524267,0.655778,0.068436,-0.538898,0.592610,-1.254077,0.051924
5,1575231006,-0.527500,0.656670,0.063999,-0.535190,0.654870,-1.290096,0.454351
6,1575264340,-0.529710,0.657978,0.059021,-0.531964,0.656570,-1.148546,0.383767
7,1575297674,-0.530236,0.660374,0.052071,-0.529189,0.432399,-1.123271,-0.000981
8,1575331008,-0.527915,0.663283,0.044644,-0.528549,0.154853,-0.956682,-0.342301
9,1575364342,-0.523039,0.666027,0.038130,-0.530453,0.124695,-0.545698,-0.415306
10,1575397676,-0.517203,0.668480,0.032745,-0.533442,0.303717,-0.080830,-0.300416
11,1575431010,-0.512231,0.670883,0.028294,-0.535472,0.412394,0.219568,-0.271111
12,1575464344,-0.508833,0.673370,0.025247,-0.535743,0.296052,0.328835,-0.249881
13,1575497678,-0.506407,0.675815,0.024000,-0.535020,0.156291,0.321247,-0.067321
14,1575531012,-0.503904,0.678105,0.024198,-0.534477,-0.042420,0.420253,0.080670
15,1575564346,-0.500812,0.680027,0.025511,-0.534880,-0.155704,0.560853,0.169172
16,1575597680,-0.497467,0.681434,0.027689,-0.536100,-0.293356,0.763544,0.187303
17,1575631014,-0.494586,0.682127,0.030756,-0.537715,-0.406348,0.830489,0.040773
18,1575664348,-0.492620,0.682206,0.034001,-0.539222,-0.502405,0.878920,-0.120566
19,1575697682,-0.492056,0.681879,0.036376,-0.539996,-0.520347,0.825854,-0.015345
20,1575731016,-0.492658,0.681052,0.037976,-0.540381,-0.441397,0.619434,0.020592
21,1575764350,-0.494123,0.679699,0.039243,-0.540655,-0.304719,0.539381,0.048653
22,1575797684,-0.496285,0.678032,0.040449,-0.540679,-0.202396,0.360464,0.065585
23,1575831018,-0.498850,0.676178,0.041704,-0.540545,-0.145318,0.208937,0.033056
