sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:29:12_709 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1575097670,0.786219,-0.595052,-0.123921,-0.111446,0.351827,1.167575,1.040915
2,1575131004,0.785311,-0.597316,-0.123612,-0.105939,0.044536,1.415040,0.196670
3,1575164338,0.783895,-0.600179,-0.120684,-0.103606,0.403079,1.232593,-0.198604
4,1575197672,0.781887,-0.604017,-0.112745,-0.105393,0.392508,1.276314,0.105496
5,1575231006,0.779712,-0.608169,-0.100748,-0.109699,0.333802,1.431735,0.250701
6,1575264340,0.778004,-0.611505,-0.087365,-0.114640,0.333893,1.510553,0.026043
7,1575297674,0.777162,-0.613395,-0.075590,-0.118555,0.569647,1.426220,-0.190475
8,1575331008,0.777352,-0.613737,-0.066205,-0.121129,0.838118,1.200666,-0.205547
9,1575364342,0.778414,-0.612796,-0.059058,-0.122756,1.201157,0.856225,0.097576
10,1575397676,0.780001,-0.610898,-0.053305,-0.124756,1.472676,0.574037,0.724251
11,1575431010,0.782058,-0.607744,-0.050019,-0.128587,1.336589,0.366280,1.252587
12,1575464344,0.784580,-0.602937,-0.051687,-0.135034,1.067162,-0.006981,1.295904
13,1575497678,0.787203,-0.596605,-0.058780,-0.144645,0.663499,-0.221207,1.208930
14,1575531012,0.789570,-0.589171,-0.069614,-0.156888,0.203758,-0.531082,0.871855
15,1575564346,0.791390,-0.581334,-0.081778,-0.170499,-0.366009,-0.787426,0.633835
16,1575597680,0.792603,-0.573719,-0.094179,-0.183741,-0.834985,-1.001774,0.027341
17,1575631014,0.793066,-0.567097,-0.105789,-0.195600,-1.012822,-1.004039,-0.597749
18,1575664348,0.792868,-0.561888,-0.114696,-0.206135,-1.155455,-1.025944,-0.988109
19,1575697682,0.792170,-0.558399,-0.120448,-0.214835,-1.390527,-1.039219,-1.204350
20,1575731016,0.791147,-0.556948,-0.122995,-0.220841,-1.606210,-0.999427,-1.296168
21,1575764350,0.789989,-0.557590,-0.122952,-0.223377,-1.797549,-0.944903,-1.005973
22,1575797684,0.788781,-0.559973,-0.121538,-0.222456,-1.748798,-0.942224,-0.798197
23,1575831018,0.787399,-0.563871,-0.118834,-0.218940,-1.564165,-0.801257,-0.593843
24,1575864352,0.785858,-0.568930,-0.114378,-0.213697,-1.471740,-0.614903,-0.367684
25,1575897686,0.784205,-0.574801,-0.108625,-0.206956,-1.286215,-0.455561,-0.180473
26,1575931020,0.782565,-0.581111,-0.101740,-0.198887,-1.079696,-0.246594,0.065565
27,1575964354,0.781131,-0.587397,-0.094615,-0.189345,-0.896722,-0.032377,0.360040
28,1575997688,0.780007,-0.593258,-0.088534,-0.178324,-0.609180,0.089843,0.536027
29,1576031022,0.779189,-0.598457,-0.084031,-0.166302,-0.253499,0.219265,0.646368
30,1576064356,0.778621,-0.602871,-0.080900,-0.154127,0.104048,0.343958,0.754653
31,1576097690,0.778343,-0.606324,-0.081266,-0.141256,0.120247,1.003532,0.922386
