sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:30:47_510 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1669899566,-0.503774,0.658747,0.077230,-0.553443,-0.183055,-0.026916,-0.077940
2,1669932900,-0.504058,0.659152,0.079417,-0.552392,-0.232521,-0.058545,0.044859
3,1669966234,-0.504611,0.659445,0.081492,-0.551234,-0.216003,-0.098438,0.095311
4,1669999568,-0.505363,0.659703,0.082910,-0.550022,-0.275991,-0.192668,0.087882
5,1670032902,-0.505993,0.659851,0.083762,-0.549137,-0.290231,-0.328211,0.078765
6,1670066236,-0.506162,0.659770,0.084707,-0.548933,-0.289683,-0.342973,0.112345
7,1670099570,-0.505959,0.659568,0.085522,-0.549237,-0.257681,-0.331311,0.117628
8,1670132904,-0.505464,0.659319,0.085825,-0.549943,-0.275653,-0.368466,0.009261
9,1670166238,-0.504652,0.658918,0.085993,-0.551143,-0.254212,-0.454025,0.007074
10,1670199572,-0.503196,0.658020,0.086576,-0.553450,-0.204012,-0.673421,0.298847
11,1670232906,-0.500513,0.656625,0.087296,-0.557413,-0.213516,-0.561625,0.372056
12,1670266240,-0.497266,0.655662,0.086241,-0.561600,-0.177095,-0.420466,0.186500
13,1670299574,-0.493915,0.655237,0.083377,-0.565473,-0.191387,-0.430391,0.062334
14,1670332908,-0.490161,0.654603,0.080288,-0.569904,-0.267327,-0.501604,0.125860
15,1670366242,-0.485857,0.653497,0.077445,-0.575227,-0.278901,-0.448334,0.108231
16,1670399576,-0.480725,0.651921,0.074420,-0.581690,-0.303912,-0.632869,0.380171
17,1670432910,-0.474214,0.649939,0.070945,-0.589632,-0.469085,-0.951446,0.573215
18,1670466244,-0.465071,0.647200,0.067343,-0.600254,-0.675198,-1.258885,1.272471
19,1670499578,-0.452995,0.645092,0.058639,-0.612545,-0.797674,-1.520018,2.133749
20,1670532912,-0.436854,0.641437,0.043844,-0.629122,-1.215496,-2.070965,3.074115
21,1670566246,-0.417189,0.634952,0.022127,-0.649845,-2.624186,-1.812882,3.582439
22,1670599580,-0.394900,0.626860,-0.010710,-0.671554,-2.891754,-1.799667,4.239211
23,1670632914,-0.368492,0.611765,-0.048277,-0.698302,-2.868692,-1.485530,4.892624
24,1670666248,-0.339168,0.587378,-0.087339,-0.729605,-1.916933,-0.816027,4.290586
25,1670699582,-0.307125,0.556885,-0.129490,-0.760779,-0.902306,0.453863,3.299632
26,1670732916,-0.273087,0.519925,-0.171590,-0.790985,0.589367,0.830442,2.714589
27,1670766250,-0.238317,0.474610,-0.207892,-0.821420,1.482823,1.416976,0.823391
28,1670799584,-0.204028,0.428542,-0.241283,-0.846466,1.468462,1.630596,-0.859705
29,1670832918,-0.172155,0.379544,-0.268627,-0.868416,2.651101,1.521035,-1.000495
30,1670866252,-0.143444,0.328906,-0.289152,-0.887488,1.956756,0.903901,-3.054964
31,1670899586,-0.116338,0.285345,-0.307060,-0.900420,1.649385,0.621447,-3.115907
32,1670932920,-0.091808,0.245423,-0.320677,-0.910222,1.757621,0.338109,-2.377579
33,1670966254,-0.070890,0.205933,-0.329063,-0.918849,1.006508,-0.333668,-3.003545
34,1670999588,-0.050787,0.173548,-0.336698,-0.924086,0.627396,-0.032695,-2.034427
35,1671032922,-0.032172,0.145753,-0.344588,-0.926811,0.759379,0.231953,-1.172016
36,1671066256,-0.017865,0.115395,-0.350412,-0.929288,0.207349,-0.300475,-1.377378
37,1671099590,-0.005858,0.088778,-0.356315,-0.930120,-0.922735,-0.526884,-1.404141
38,1671132924,0.005158,0.069692,-0.363355,-0.929026,-0.529340,-0.529371,-0.918261
39,1671166258,0.012554,0.051135,-0.368183,-0.928261,-0.374796,-0.735360,-0.462409
40,1671199592,0.016140,0.032306,-0.369854,-0.928387,-1.243361,-1.128495,-0.681719
41,1671232926,0.019298,0.021857,-0.370729,-0.928283,-1.364633,-1.409793,-0.419078
42,1671266260,0.021278,0.017229,-0.369661,-0.928763,-0.275574,-1.027045,0.196588
43,1671299594,0.020059,0.011597,-0.365239,-0.930625,0.065303,-0.717689,0.095701
44,1671332928,0.016149,0.005136,-0.358139,-0.933514,-0.230731,-0.766578,-0.080030
45,1671366262,0.010231,0.000224,-0.349332,-0.936943,-0.667053,-0.249883,-0.426609
46,1671399596,0.001887,-0.001268,-0.340584,-0.940211,-0.287354,0.285953,-0.404123
47,1671432930,-0.010856,-0.003639,-0.331190,-0.943494,-0.224793,0.911028,-0.951063
48,1671466264,-0.023029,-0.000646,-0.323900,-0.945810,0.357910,1.422416,-1.313578
49,1671499598,-0.035541,0.002148,-0.316941,-0.947776,0.873466,2.214843,-0.907851
50,1671532932,-0.044778,0.006593,-0.313354,-0.948557,1.357509,3.131662,-0.940019
51,1671566266,-0.049396,0.010358,-0.314702,-0.947847,2.546738,3.675768,-1.039398
52,1671599600,-0.049062,0.009691,-0.320207,-0.946026,2.638957,3.704144,-1.444978
53,1671632934,-0.043106,0.007148,-0.329596,-0.943110,1.835774,3.097513,-2.228727
