sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:30:47_495 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1669899566,0.800215,-0.575441,-0.104914,-0.132365,0.036171,0.018604,0.210106
2,1669932900,0.800459,-0.576860,-0.101989,-0.126886,0.219658,-0.011317,0.299547
3,1669966234,0.800641,-0.578233,-0.099006,-0.121747,0.434157,0.005868,0.308803
4,1669999568,0.800787,-0.579434,-0.096061,-0.117355,0.614937,0.044908,0.309324
5,1670032902,0.800905,-0.580363,-0.093648,-0.113859,0.711923,0.044502,0.299289
6,1670066236,0.801023,-0.580963,-0.091994,-0.111293,0.792354,0.065144,0.315586
7,1670099570,0.801145,-0.581222,-0.091195,-0.109706,0.857766,0.090618,0.265882
8,1670132904,0.801269,-0.581133,-0.091222,-0.109244,0.883352,0.042438,0.258958
9,1670166238,0.801316,-0.580825,-0.092018,-0.109866,0.789001,-0.011542,0.162829
10,1670199572,0.801229,-0.580459,-0.093164,-0.111463,0.731461,0.053180,0.227657
11,1670232906,0.801088,-0.579949,-0.094618,-0.113882,0.581900,0.014881,0.211220
12,1670266240,0.800923,-0.579269,-0.096272,-0.117067,0.457260,0.021690,0.198357
13,1670299574,0.800780,-0.578401,-0.098246,-0.120642,0.254225,0.015314,0.164031
14,1670332908,0.800646,-0.577442,-0.100511,-0.124212,0.183720,-0.038909,0.180663
15,1670366242,0.800518,-0.576446,-0.102684,-0.127832,0.077304,-0.056856,0.198116
16,1670399576,0.800356,-0.575496,-0.104684,-0.131449,0.001224,-0.048725,0.198004
17,1670432910,0.800240,-0.574514,-0.106410,-0.135020,-0.107148,-0.040104,0.235005
18,1670466244,0.800199,-0.573471,-0.107902,-0.138470,-0.095331,-0.079468,0.295815
19,1670499578,0.800229,-0.572217,-0.109868,-0.141896,-0.104727,-0.045829,0.364326
20,1670532912,0.800324,-0.570700,-0.112319,-0.145503,-0.013694,-0.044076,0.248497
21,1670566246,0.800476,-0.569003,-0.114512,-0.149544,0.178412,0.003392,0.243312
22,1670599580,0.800654,-0.567128,-0.116689,-0.153971,0.248961,0.012436,0.274801
23,1670632914,0.800942,-0.564769,-0.119203,-0.159130,0.491267,0.079243,0.669996
24,1670666248,0.801310,-0.561557,-0.123400,-0.165325,0.555993,0.083250,0.582198
25,1670699582,0.801473,-0.557825,-0.128995,-0.172733,0.674257,0.097906,0.461955
26,1670732916,0.801560,-0.553591,-0.134317,-0.181662,0.641929,0.054594,0.500757
27,1670766250,0.801683,-0.548701,-0.139669,-0.191644,0.391963,0.048894,0.461909
28,1670799584,0.801878,-0.543130,-0.145767,-0.201885,0.248427,-0.035917,0.371305
29,1670832918,0.802364,-0.536739,-0.151902,-0.212253,0.101686,-0.145980,0.360957
30,1670866252,0.803076,-0.529721,-0.158183,-0.222368,-0.225166,-0.297309,0.205417
31,1670899586,0.803651,-0.522666,-0.165649,-0.231367,-0.413663,-0.460052,0.129557
32,1670932920,0.804137,-0.515623,-0.173490,-0.239587,-0.322481,-0.603413,0.292029
33,1670966254,0.804795,-0.508140,-0.179437,-0.248806,-0.266240,-0.682333,0.396976
34,1670999588,0.805239,-0.500652,-0.184446,-0.258691,-0.532642,-0.585910,0.112698
35,1671032922,0.805383,-0.493650,-0.189403,-0.267952,-0.440475,-0.474650,0.334549
36,1671066256,0.806307,-0.485764,-0.191700,-0.277774,-0.381399,-0.302673,0.540172
37,1671099590,0.807868,-0.476652,-0.192721,-0.288121,-0.321825,-0.234720,0.520836
38,1671132924,0.809372,-0.467218,-0.194861,-0.297753,-0.345428,-0.081084,0.481599
39,1671166258,0.810867,-0.457425,-0.197629,-0.306927,-0.032156,-0.057413,1.007089
40,1671199592,0.812863,-0.446265,-0.199320,-0.316823,-0.029577,0.082702,0.798084
41,1671232926,0.814935,-0.433924,-0.201103,-0.327343,0.190894,0.155958,1.184402
42,1671266260,0.816958,-0.419737,-0.203294,-0.339228,0.607274,0.326011,2.137587
43,1671299594,0.820054,-0.401083,-0.202084,-0.354698,0.955206,0.429342,2.553933
44,1671332928,0.822920,-0.378377,-0.201962,-0.372625,0.214512,1.225041,2.336570
45,1671366262,0.823472,-0.354199,-0.210777,-0.389890,0.889506,1.145365,2.821101
46,1671399596,0.824865,-0.323214,-0.216471,-0.410214,1.307258,0.596480,3.439316
47,1671432930,0.826867,-0.284352,-0.217946,-0.433518,0.428670,1.120737,2.876678
48,1671466264,0.824805,-0.243157,-0.228199,-0.456619,0.431128,0.611067,2.692282
49,1671499598,0.820817,-0.195884,-0.235547,-0.482089,0.915084,-0.714770,2.787705
50,1671532932,0.816826,-0.139201,-0.231969,-0.509522,-0.062591,-0.516901,2.004464
51,1671566266,0.809318,-0.078981,-0.228594,-0.535271,-0.822751,-0.433284,0.856119
52,1671599600,0.798263,-0.018084,-0.225723,-0.558123,0.135009,-1.628283,-0.250091
53,1671632934,0.786770,0.046181,-0.214313,-0.577005,-0.464665,-1.062817,-1.072825
54,1671666268,0.772421,0.106932,-0.203471,-0.592060,-0.355760,-0.253827,-1.211379
55,1671699602,0.756682,0.162319,-0.193281,-0.603101,0.434108,-1.073619,-1.951553
56,1671732936,0.742293,0.214725,-0.178834,-0.609029,0.608591,0.743982,-1.420306
57,1671766270,0.727440,0.257859,-0.168390,-0.613180,0.749381,1.340558,-1.106551
58,1671799604,0.713606,0.290627,-0.161903,-0.616517,1.087171,0.492771,-1.339846
