sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:30:47_514 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1669899566,0.653800,-0.750175,0.068241,-0.071600,0.000533,0.098102,0.134782
2,1669932900,0.653956,-0.750131,0.068033,-0.070832,0.029395,0.096454,0.133189
3,1669966234,0.653995,-0.750106,0.068210,-0.070568,-0.003184,0.102124,0.121059
4,1669999568,0.654162,-0.749997,0.068225,-0.070162,-0.108129,0.060768,0.164762
5,1670032902,0.654429,-0.749855,0.067908,-0.069497,-0.013012,-0.047686,0.095565
6,1670066236,0.654679,-0.749709,0.067666,-0.068943,0.044762,-0.001530,0.137019
7,1670099570,0.654944,-0.749521,0.067615,-0.068522,0.018871,0.024215,0.130117
8,1670132904,0.655137,-0.749371,0.067667,-0.068265,0.014956,0.062393,0.145313
9,1670166238,0.655341,-0.749241,0.067577,-0.067826,-0.004208,0.078885,0.142501
10,1670199572,0.655656,-0.748997,0.067545,-0.067508,0.057952,0.097523,0.131594
11,1670232906,0.655960,-0.748769,0.067471,-0.067150,0.070456,0.061166,0.103213
12,1670266240,0.656022,-0.748710,0.067670,-0.067007,-0.031811,-0.021679,0.099488
13,1670299574,0.656139,-0.748654,0.067612,-0.066546,-0.023143,0.067313,0.139029
14,1670332908,0.656287,-0.748597,0.067391,-0.065945,0.079064,0.149892,0.142830
15,1670366242,0.656436,-0.748503,0.067352,-0.065571,0.132076,0.100445,0.115798
16,1670399576,0.656480,-0.748428,0.067729,-0.065593,0.080740,0.046870,0.105000
17,1670432910,0.656490,-0.748337,0.068379,-0.065855,0.084299,0.041576,0.098207
18,1670466244,0.656362,-0.748350,0.069191,-0.066145,0.011362,0.009467,0.091403
19,1670499578,0.656151,-0.748455,0.069932,-0.066262,-0.039654,-0.029950,0.116590
20,1670532912,0.655918,-0.748595,0.070542,-0.066343,0.029944,0.019117,0.095709
21,1670566246,0.655600,-0.748783,0.071278,-0.066574,0.011568,0.008015,0.126287
22,1670599580,0.655189,-0.749023,0.072197,-0.066933,0.011640,0.042087,0.173176
23,1670632914,0.654535,-0.749455,0.073221,-0.067380,-0.003138,0.009043,0.136551
24,1670666248,0.654004,-0.749790,0.074110,-0.067848,-0.039866,0.086605,0.155059
25,1670699582,0.653451,-0.750098,0.075180,-0.068578,0.050211,0.155382,0.158829
26,1670732916,0.652717,-0.750544,0.076346,-0.069406,-0.089322,0.049739,0.089738
27,1670766250,0.651733,-0.751218,0.077415,-0.070168,-0.177980,-0.056463,0.069765
