sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:27:10_211 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1452628554,0.788502,-0.503330,0.054534,0.349205,0.100231,0.297251,0.168386
2,1452661888,0.788679,-0.503254,0.058053,0.348347,-0.069965,0.290861,0.274011
3,1452695222,0.789139,-0.502936,0.061745,0.347125,0.155055,0.544180,0.211768
4,1452728556,0.790103,-0.502449,0.066366,0.344779,-0.013535,0.307151,0.002807
5,1452761890,0.791024,-0.501878,0.069484,0.342879,-0.232478,-0.124612,0.069861
6,1452795224,0.791651,-0.501333,0.070982,0.341920,-0.010830,-0.101937,-0.047231
7,1452828558,0.792218,-0.500948,0.073231,0.340696,-0.003808,0.059482,0.214128
8,1452861892,0.792949,-0.500297,0.075306,0.339495,-0.107557,-0.098883,-0.014631
9,1452895226,0.793585,-0.499695,0.076772,0.338567,-0.034129,0.046602,0.010877
10,1452928560,0.794069,-0.499287,0.078236,0.337697,-0.011729,0.171701,0.190796
11,1452961894,0.794629,-0.498710,0.080221,0.336767,-0.055354,0.145037,0.267660
12,1452995228,0.795194,-0.498009,0.081979,0.336046,-0.096259,-0.031454,0.037792
13,1453028562,0.795561,-0.497485,0.082933,0.335719,0.015787,-0.060429,0.007907
14,1453061896,0.795897,-0.497119,0.083995,0.335202,-0.020255,-0.007403,0.091321
15,1453095230,0.796299,-0.496624,0.085271,0.334657,-0.098625,-0.025089,0.133380
16,1453128564,0.796631,-0.496131,0.086484,0.334287,0.017499,0.128775,0.120159
17,1453161898,0.797022,-0.495590,0.088198,0.333709,-0.106487,0.201441,0.240527
18,1453195232,0.797369,-0.495076,0.089476,0.333303,-0.108116,0.055040,0.130974
19,1453228566,0.797560,-0.494694,0.090573,0.333116,0.027537,0.062389,0.052750
20,1453261900,0.797616,-0.494465,0.091863,0.332968,-0.056092,0.063204,0.111036
21,1453295234,0.797585,-0.494371,0.092677,0.332957,-0.110371,0.061912,0.146565
22,1453328568,0.797616,-0.494275,0.093915,0.332678,-0.055312,0.115267,0.157408
23,1453361902,0.797766,-0.494175,0.095224,0.332096,-0.073130,0.062366,0.126094
24,1453395236,0.797923,-0.494042,0.096214,0.331629,-0.103394,-0.028543,0.185028
25,1453428570,0.797898,-0.494072,0.096648,0.331518,-0.102567,0.070397,0.156946
26,1453461904,0.797869,-0.494144,0.097293,0.331294,-0.128460,0.118844,0.223910
27,1453495238,0.797862,-0.494234,0.097410,0.331141,-0.072837,0.070898,0.066095
28,1453528572,0.797899,-0.494325,0.097616,0.330857,-0.010376,0.037604,0.055402
29,1453561906,0.797891,-0.494502,0.097949,0.330512,-0.005654,-0.084936,0.024401
30,1453595240,0.797716,-0.494900,0.098075,0.330301,-0.099759,0.063943,0.199350
31,1453628574,0.797596,-0.495187,0.098369,0.330073,-0.035375,0.120705,0.124108
