sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:27:10_196 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1452595220,-0.138233,0.207310,-0.415184,0.874951,0.183818,0.239610,0.232981
2,1452628554,-0.139641,0.208236,-0.414556,0.874806,0.131828,0.119917,0.143235
3,1452661888,-0.141351,0.209496,-0.413750,0.874612,-0.092179,0.046791,0.082163
4,1452695222,-0.142720,0.210469,-0.413050,0.874487,0.034256,0.140206,0.127058
5,1452728556,-0.143936,0.211386,-0.412547,0.874304,0.200232,0.078235,0.222936
6,1452761890,-0.145342,0.212451,-0.411955,0.874092,-0.015534,-0.018676,0.205372
7,1452795224,-0.146404,0.212809,-0.411588,0.874000,-0.092291,0.048494,0.230843
8,1452828558,-0.147135,0.212979,-0.411520,0.873869,-0.000333,0.105286,0.123908
9,1452861892,-0.147752,0.212955,-0.411567,0.873748,0.027656,0.062598,0.214049
10,1452895226,-0.148307,0.212839,-0.411602,0.873666,0.052771,0.126530,0.108725
11,1452928560,-0.148732,0.212593,-0.411873,0.873526,0.090573,0.120418,0.116761
12,1452961894,-0.149224,0.212350,-0.412234,0.873331,0.078887,0.098374,0.197802
13,1452995228,-0.150149,0.213178,-0.412372,0.872905,0.019691,0.113600,0.113070
14,1453028562,-0.151243,0.214307,-0.412424,0.872415,0.020584,0.070449,0.174854
15,1453061896,-0.151934,0.214264,-0.412744,0.872154,-0.095908,0.138175,0.111898
16,1453095230,-0.152299,0.214114,-0.413254,0.871886,0.108791,0.126800,0.210459
17,1453128564,-0.152636,0.213969,-0.413548,0.871723,0.108661,0.099110,0.212136
18,1453161898,-0.152844,0.213583,-0.413927,0.871602,0.049174,0.083774,0.122183
19,1453195232,-0.153072,0.213176,-0.414325,0.871472,0.066598,0.091005,0.172936
20,1453228566,-0.153374,0.213044,-0.414674,0.871285,0.007840,0.112566,0.183441
21,1453261900,-0.153457,0.213146,-0.414993,0.871094,0.067191,0.106835,0.146232
22,1453295234,-0.153347,0.212852,-0.415390,0.870996,0.054148,0.074870,0.220231
23,1453328568,-0.153511,0.212509,-0.415782,0.870863,0.148137,0.205968,-0.004603
24,1453361902,-0.154041,0.212801,-0.415972,0.870608,0.095674,0.125540,0.168630
25,1453395236,-0.154698,0.213632,-0.415998,0.870275,-0.013038,0.159333,0.064766
26,1453428570,-0.155189,0.214393,-0.416199,0.869905,0.021834,0.112668,0.079988
27,1453461904,-0.155871,0.215541,-0.416517,0.869347,0.200787,0.057069,0.217023
28,1453495238,-0.156841,0.217307,-0.416571,0.868706,0.148259,0.041978,0.181661
29,1453528572,-0.156893,0.217362,-0.416985,0.868484,0.024833,0.169469,0.129644
30,1453561906,-0.156816,0.217594,-0.417387,0.868247,-0.029505,0.146754,0.083782
31,1453595240,-0.156794,0.218155,-0.417802,0.867911,0.074364,0.157991,0.127719
32,1453628574,-0.156712,0.218662,-0.418197,0.867608,0.021254,0.066943,0.199227
33,1453661908,-0.156500,0.219048,-0.418451,0.867426,0.141675,0.123438,0.142225
34,1453695242,-0.156448,0.219756,-0.418716,0.867129,0.049872,0.067473,0.207112
35,1453728576,-0.156494,0.220944,-0.418772,0.866791,-0.022937,0.052661,0.201733
36,1453761910,-0.156186,0.221538,-0.418958,0.866605,0.020784,0.126251,0.144382
37,1453795244,-0.155953,0.222330,-0.419094,0.866379,0.141540,0.148638,0.058745
38,1453828578,-0.156057,0.223586,-0.419151,0.866009,0.049255,0.056350,0.291389
39,1453861912,-0.156411,0.225485,-0.418960,0.865545,0.080493,0.042524,0.160587
40,1453895246,-0.156566,0.227346,-0.418893,0.865062,0.166596,0.132079,0.142133
41,1453928580,-0.156468,0.228784,-0.419053,0.864623,-0.065595,0.097452,0.039171
42,1453961914,-0.155948,0.229393,-0.419508,0.864336,0.078485,0.049246,0.192971
43,1453995248,-0.155383,0.230147,-0.419796,0.864097,0.097605,0.100194,0.154378
44,1454028582,-0.154719,0.230842,-0.420209,0.863830,-0.029243,0.034898,0.211547
45,1454061916,-0.153878,0.231344,-0.420628,0.863642,0.130374,0.036657,0.221117
46,1454095250,-0.153313,0.231959,-0.420790,0.863499,0.131796,0.144529,0.083603
47,1454128584,-0.152965,0.232678,-0.420925,0.863301,-0.117528,0.055155,0.146177
48,1454161918,-0.152420,0.233110,-0.421007,0.863241,-0.036206,0.125905,0.175472
49,1454195252,-0.151991,0.233613,-0.421009,0.863180,0.039969,0.034424,0.283506
50,1454228586,-0.151914,0.234547,-0.420686,0.863097,0.022815,0.062088,0.136715
51,1454261920,-0.151909,0.235169,-0.420364,0.863086,0.071107,0.080148,0.185045
52,1454295254,-0.152138,0.235527,-0.419877,0.863185,0.022981,0.006446,0.235657
53,1454328588,-0.152712,0.236556,-0.419257,0.863103,-0.017640,0.142625,0.061134
54,1454361922,-0.153208,0.237714,-0.418859,0.862890,-0.023635,-0.019074,0.233974
55,1454395256,-0.153256,0.238443,-0.418728,0.862744,0.054512,-0.037101,0.237228
56,1454428590,-0.152652,0.238435,-0.418893,0.862774,0.135880,0.013982,0.265228
57,1454461924,-0.151716,0.238285,-0.419101,0.862879,0.057482,0.115965,0.127590
58,1454495258,-0.150822,0.237818,-0.419314,0.863061,0.089723,0.042040,0.207622
59,1454528592,-0.150707,0.236833,-0.419366,0.863327,-0.045789,0.068829,0.068884
60,1454561926,-0.151180,0.237053,-0.419229,0.863250,-0.185080,0.080226,0.280300
61,1454595260,-0.151401,0.237490,-0.419009,0.863198,0.379641,-0.026340,0.027241
62,1454628594,-0.151795,0.236753,-0.418818,0.863424,0.490882,0.012419,-0.117773
63,1454661928,-0.152447,0.238091,-0.418054,0.863312,0.108939,0.214704,0.080068
64,1454695262,-0.152578,0.239331,-0.417069,0.863422,-0.038637,-0.288072,0.011270
65,1454728596,-0.152026,0.238831,-0.417247,0.863572,0.490193,-0.113825,0.034647
