sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:27:10_217 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1452595220,-0.291933,0.404754,-0.563281,0.658532,-0.114628,-0.040313,0.261591
2,1452628554,-0.292874,0.405356,-0.562722,0.658222,-0.029143,-0.010658,0.132566
3,1452661888,-0.293334,0.405616,-0.562519,0.658030,-0.042075,0.020611,0.047650
4,1452695222,-0.293277,0.405410,-0.562728,0.658004,-0.090531,0.068666,0.116050
5,1452728556,-0.293283,0.405069,-0.562876,0.658086,-0.025804,0.188904,0.082102
6,1452761890,-0.293437,0.404822,-0.562914,0.658135,0.006191,0.231611,0.074133
7,1452795224,-0.293319,0.404497,-0.563151,0.658186,-0.010333,0.134194,0.168376
8,1452828558,-0.292992,0.404133,-0.563505,0.658252,0.007068,0.138781,0.109554
9,1452861892,-0.292904,0.403889,-0.563742,0.658238,0.015854,0.086821,0.109802
10,1452895226,-0.292904,0.403595,-0.563880,0.658300,-0.044858,0.032468,0.163104
11,1452928560,-0.292941,0.403341,-0.563876,0.658442,-0.073463,0.044673,0.189273
12,1452961894,-0.293183,0.403330,-0.563646,0.658539,-0.071384,0.090338,0.154814
13,1452995228,-0.293323,0.403375,-0.563501,0.658572,-0.075528,0.095597,0.138750
14,1453028562,-0.293328,0.403308,-0.563510,0.658604,-0.095781,0.114357,0.127515
15,1453061896,-0.293436,0.403265,-0.563481,0.658607,-0.098582,0.115187,0.112117
16,1453095230,-0.293590,0.403236,-0.563421,0.658607,-0.076188,0.123450,0.079989
17,1453128564,-0.293664,0.403024,-0.563426,0.658699,-0.028658,0.079212,0.129042
18,1453161898,-0.293616,0.402727,-0.563606,0.658749,-0.003711,0.073848,0.200628
19,1453195232,-0.293671,0.402552,-0.563709,0.658743,-0.023968,0.071874,0.158647
20,1453228566,-0.293842,0.402404,-0.563729,0.658740,-0.025716,0.054449,0.158610
21,1453261900,-0.294090,0.402375,-0.563585,0.658770,-0.062158,0.037634,0.220528
22,1453295234,-0.294529,0.402538,-0.563176,0.658825,-0.079366,0.058912,0.179770
23,1453328568,-0.295165,0.402800,-0.562603,0.658869,-0.059044,0.114232,0.081526
24,1453361902,-0.295684,0.403040,-0.562242,0.658798,-0.071064,0.137803,0.107482
25,1453395236,-0.295966,0.403131,-0.562093,0.658743,-0.023553,0.121619,0.181532
26,1453428570,-0.296503,0.403530,-0.561741,0.658557,0.013095,0.128845,0.153556
