sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:51:43_601 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2925991354,0.152837,0.122428,0.649065,-0.735096,0.565104,-0.009498,0.092991
2,2926024688,0.157184,0.124819,0.647111,-0.735500,0.382900,-0.019894,-0.016094
3,2926058022,0.161888,0.127071,0.645144,-0.735822,0.211193,-0.034980,0.002578
4,2926091356,0.166748,0.129027,0.643265,-0.736041,0.052040,-0.069444,-0.030247
5,2926124690,0.171370,0.130719,0.641608,-0.736127,-0.138880,-0.139474,-0.065517
6,2926158024,0.175263,0.132226,0.640182,-0.736183,-0.218004,-0.246648,-0.088236
7,2926191358,0.178177,0.133421,0.638920,-0.736365,-0.254615,-0.332015,-0.098717
8,2926224692,0.180339,0.134130,0.637919,-0.736577,-0.180532,-0.579764,-0.051747
9,2926258026,0.181933,0.133467,0.637196,-0.736931,0.046121,-0.903303,-0.027287
10,2926291360,0.182396,0.132442,0.636478,-0.737621,0.031554,-1.111338,-0.024613
11,2926324694,0.180905,0.132849,0.635258,-0.738966,0.442377,-1.199971,-0.099418
12,2926358028,0.179061,0.132038,0.633567,-0.741009,0.948103,-1.443819,0.012173
13,2926391362,0.176925,0.130402,0.630741,-0.744216,0.598221,-0.914306,-0.458165
14,2926424696,0.173201,0.132331,0.626642,-0.748204,0.698700,-0.550215,-1.021219
15,2926458030,0.169710,0.137186,0.622683,-0.751428,1.460421,-0.878327,-1.084467
16,2926491364,0.168798,0.142361,0.618074,-0.754470,1.574388,-0.416020,-1.460779
17,2926524698,0.171171,0.147653,0.612027,-0.757840,1.598668,-0.501569,-2.208292
18,2926558032,0.176926,0.152386,0.604741,-0.761422,1.438655,-0.778277,-2.369092
19,2926591366,0.183953,0.156102,0.596436,-0.765544,0.814771,-0.463094,-2.688193
20,2926624700,0.191363,0.159617,0.587665,-0.769774,0.733493,-0.492025,-3.139700
21,2926658034,0.198864,0.162704,0.578852,-0.773893,0.041937,-0.454149,-2.707983
22,2926691368,0.203879,0.167360,0.569734,-0.778348,-0.466230,-0.088652,-3.178538
23,2926724702,0.206092,0.174927,0.561261,-0.782248,-0.044187,-0.554206,-3.006745
24,2926758036,0.206822,0.183947,0.553476,-0.785526,-0.014510,-0.353608,-2.944357
25,2926791370,0.208226,0.190203,0.545988,-0.788899,0.155933,-0.216477,-2.858627
26,2926824704,0.209599,0.194454,0.539494,-0.791961,-0.437167,0.092350,-1.848947
27,2926858038,0.209265,0.197456,0.534873,-0.794436,-0.884139,0.373731,-0.366265
28,2926891372,0.208550,0.198105,0.530698,-0.797258,-0.919361,1.106319,-0.317455
29,2926924706,0.208514,0.202448,0.525187,-0.799822,-0.390727,1.238566,-0.584609
30,2926958040,0.211461,0.207652,0.518599,-0.802010,-0.033333,1.096212,0.192500
31,2926991374,0.214170,0.209586,0.513483,-0.804077,-0.817620,1.190741,0.856632
32,2927024708,0.212143,0.217656,0.510983,-0.804063,-0.548883,1.122454,0.209350
33,2927058042,0.210291,0.230476,0.508901,-0.802295,1.371241,1.149890,2.929459
34,2927091376,0.215472,0.230445,0.506060,-0.802726,1.200248,0.784701,2.736486
35,2927124710,0.225028,0.224834,0.503468,-0.803325,-0.091017,0.533943,1.184834
36,2927158044,0.231738,0.226540,0.502798,-0.801355,-0.655266,0.800840,2.303750
37,2927191378,0.236204,0.232128,0.503614,-0.797932,-0.490601,0.524814,3.234056
38,2927224712,0.240750,0.238731,0.506041,-0.793075,-1.555510,0.673605,3.474587
39,2927258046,0.243568,0.245543,0.512015,-0.786272,-1.039537,0.290895,4.996665
40,2927291380,0.248061,0.240652,0.520511,-0.780781,-0.108260,0.260723,6.871119
41,2927324714,0.256624,0.224576,0.525364,-0.779552,-0.383244,0.194239,6.203886
42,2927358048,0.262764,0.212776,0.527115,-0.779635,-1.384784,-0.173262,4.971126
43,2927391382,0.260361,0.213555,0.529050,-0.778917,-1.186719,-0.012252,4.357343
44,2927424716,0.252166,0.219205,0.531064,-0.778673,-0.498921,0.448650,3.555160
45,2927458050,0.242016,0.223785,0.532936,-0.779312,-0.250460,0.684434,3.132572
46,2927491384,0.230608,0.227814,0.535641,-0.779749,-0.738980,1.190409,2.767031
47,2927524718,0.216435,0.233593,0.539589,-0.779380,-0.986195,1.553996,2.393996
48,2927558052,0.202724,0.234990,0.545446,-0.778570,-0.247825,0.885938,2.714486
49,2927591386,0.190070,0.230586,0.552665,-0.777987,-0.855754,1.186151,1.805853
50,2927624720,0.176419,0.231434,0.560229,-0.775537,-0.264610,0.423714,1.668657
51,2927658054,0.167279,0.231511,0.567751,-0.772061,0.736554,-0.251446,2.228992
52,2927691388,0.164898,0.223967,0.573819,-0.770310,-0.237356,0.494562,1.161545
53,2927724722,0.161163,0.220031,0.578449,-0.768771,-0.849963,0.536398,-0.319898
54,2927758056,0.156249,0.219278,0.585300,-0.764805,0.038729,-0.341168,0.333152
55,2927791390,0.151762,0.216125,0.593404,-0.760348,-0.565824,0.586563,-0.158601
56,2927824724,0.145907,0.215914,0.601289,-0.755343,-0.672599,0.053993,-1.072853
57,2927858058,0.140845,0.219259,0.607825,-0.750091,-0.709114,-0.230162,-1.766163
58,2927891392,0.135053,0.224979,0.612399,-0.745729,-0.669039,0.027919,-2.601449
59,2927924726,0.128711,0.229005,0.616526,-0.742216,-0.196876,-0.529557,-2.699573
60,2927958060,0.124939,0.225773,0.622330,-0.739000,0.401498,-0.926832,-2.763687
61,2927991394,0.126288,0.213339,0.630298,-0.735704,0.873031,-1.376516,-3.033000
62,2928024728,0.130195,0.198789,0.637812,-0.732617,0.167507,-1.127833,-3.666950
63,2928058062,0.131791,0.192141,0.642579,-0.729934,0.040966,-1.051726,-3.479343
64,2928091396,0.131421,0.191202,0.644329,-0.728704,0.815653,-1.614941,-2.634803
65,2928124730,0.130248,0.189432,0.645072,-0.728720,0.849148,-1.656462,-2.283287
66,2928158064,0.128202,0.183907,0.646521,-0.729213,0.481482,-1.161488,-1.035809
67,2928191398,0.124548,0.175023,0.648667,-0.730126,0.368635,-0.787456,-0.909130
68,2928224732,0.119502,0.165667,0.651405,-0.730715,0.709089,-0.788094,-1.393325
69,2928258066,0.113669,0.157722,0.654266,-0.730848,0.962047,-0.765700,-1.464780
70,2928291400,0.107127,0.151500,0.656406,-0.731233,1.078228,-0.468848,-1.375653
71,2928324734,0.100506,0.145814,0.657787,-0.732087,1.449522,-0.539310,-1.060238
72,2928358068,0.094372,0.138991,0.659018,-0.733123,1.805276,-0.505840,-0.566581
73,2928391402,0.088862,0.130836,0.660462,-0.734013,2.117193,-0.362336,-0.060990
74,2928424736,0.084784,0.121851,0.661926,-0.734722,2.359670,-0.069588,0.334948
75,2928458070,0.083076,0.112999,0.663019,-0.735347,2.677226,0.061737,0.489428
76,2928491404,0.085494,0.104198,0.663388,-0.736036,2.957432,0.121031,0.623898
77,2928524738,0.092577,0.097291,0.662295,-0.737108,2.631449,0.313074,0.641473
78,2928558072,0.103909,0.095159,0.659004,-0.738824,2.041712,0.431947,0.754628
79,2928591406,0.118297,0.098974,0.653156,-0.741348,1.366393,0.487236,0.870435
