sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:51:43_593 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2925991354,0.701900,-0.523726,-0.401057,0.268714,0.057094,0.240019,0.256642
2,2926024688,0.703663,-0.521624,-0.401942,0.266864,0.057881,0.097020,0.212905
3,2926058022,0.705493,-0.519332,-0.402941,0.264990,0.015535,-0.031840,0.203220
4,2926091356,0.707315,-0.516915,-0.404071,0.263129,0.011244,-0.113663,0.139951
5,2926124690,0.709078,-0.514408,-0.405287,0.261422,-0.044478,-0.220665,0.067918
6,2926158024,0.710662,-0.511950,-0.406504,0.260052,0.020218,-0.296863,-0.003794
7,2926191358,0.712062,-0.509878,-0.407319,0.259017,0.000790,-0.362593,-0.043204
8,2926224692,0.712924,-0.508476,-0.407847,0.258571,-0.032923,-0.401360,-0.056691
9,2926258026,0.713037,-0.508125,-0.407953,0.258783,-0.239223,-0.113312,0.089889
10,2926291360,0.712904,-0.507822,-0.407974,0.259707,-0.248521,-0.198582,0.023710
11,2926324694,0.712048,-0.505320,-0.410800,0.262467,-0.544799,0.208520,0.134630
12,2926358028,0.709465,-0.500385,-0.418261,0.267093,-0.679008,0.859751,0.373661
13,2926391362,0.707715,-0.494000,-0.426156,0.271111,-0.273754,1.206115,0.185575
14,2926424696,0.709488,-0.488054,-0.429492,0.271980,-0.512722,1.454634,-0.117058
15,2926458030,0.714322,-0.482937,-0.428217,0.270467,-1.305520,0.670191,-0.455392
16,2926491364,0.719129,-0.473876,-0.429671,0.271448,-0.780609,-0.062170,-1.691672
17,2926524698,0.723203,-0.460920,-0.435846,0.273082,-0.978749,0.849354,-2.138273
18,2926558032,0.727441,-0.447945,-0.442006,0.273518,-1.051207,0.647923,-2.252688
19,2926591366,0.730768,-0.434474,-0.449503,0.274162,-0.432828,0.901658,-2.705280
20,2926624700,0.735753,-0.422014,-0.454780,0.271577,-0.427711,1.504496,-2.593141
21,2926658034,0.743594,-0.412004,-0.454848,0.265406,-0.200631,0.679482,-3.213971
22,2926691368,0.750577,-0.402467,-0.455386,0.259394,0.103130,0.138736,-3.198775
23,2926724702,0.756762,-0.394367,-0.456188,0.252361,-0.033706,0.641274,-3.118083
