sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:51:43_603 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2925991354,-0.513127,0.589534,0.502866,-0.369160,-0.300506,-0.068623,0.177349
2,2926024688,-0.514472,0.588625,0.502398,-0.369375,-0.072256,-0.061727,0.094095
3,2926058022,-0.516203,0.587861,0.501444,-0.369472,0.009847,-0.008609,0.181834
4,2926091356,-0.518790,0.587238,0.499659,-0.369258,-0.010605,0.071538,0.155929
5,2926124690,-0.520879,0.586978,0.497894,-0.369116,-0.045766,0.007922,0.052657
6,2926158024,-0.522464,0.586479,0.496770,-0.369183,0.024772,0.008650,0.046718
7,2926191358,-0.523370,0.586165,0.496177,-0.369195,-0.028813,-0.031195,0.052249
8,2926224692,-0.524557,0.585587,0.495560,-0.369257,-0.188112,-0.008329,0.246801
9,2926258026,-0.526542,0.583768,0.494867,-0.370240,-0.674307,0.225099,0.305675
10,2926291360,-0.529611,0.580579,0.493929,-0.372125,-0.572390,0.233362,0.280491
11,2926324694,-0.533197,0.576903,0.492631,-0.374435,-0.397866,0.189307,0.087868
12,2926358028,-0.537665,0.571748,0.491355,-0.377615,-0.546640,-0.112328,0.279741
13,2926391362,-0.543263,0.563294,0.490471,-0.383413,-0.279972,-0.141908,0.242571
14,2926424696,-0.549430,0.550751,0.490691,-0.392460,-0.769675,-0.315974,0.098426
15,2926458030,-0.555270,0.532634,0.492903,-0.406233,-0.772508,-0.157931,0.033402
16,2926491364,-0.561566,0.509944,0.495279,-0.423440,-0.204764,-0.413878,-0.309082
17,2926524698,-0.569888,0.485748,0.494917,-0.440836,0.336856,0.968091,-0.099647
18,2926558032,-0.581512,0.458499,0.490310,-0.459589,-1.702353,2.365590,-0.365049
19,2926591366,-0.598203,0.438051,0.477343,-0.471605,2.770948,0.356592,-0.260049
20,2926624700,-0.615680,0.420020,0.460699,-0.481955,1.143596,0.040855,-0.222267
