sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:48:48_522 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2750921186,0.100990,0.129072,0.657473,-0.735438,1.127510,0.677200,2.950760
2,2750954520,0.073283,0.110395,0.673346,-0.727356,2.145102,0.292301,2.476640
3,2750987854,0.048642,0.100529,0.685085,-0.719850,2.723355,0.013375,1.597408
4,2751021188,0.026928,0.100623,0.692159,-0.714188,3.325872,-0.114189,0.939553
5,2751054522,0.008732,0.107296,0.694856,-0.711046,3.858746,-0.375860,0.341374
6,2751087856,-0.005317,0.115972,0.694711,-0.709858,4.058123,-0.642546,-0.099821
7,2751121190,-0.014995,0.123717,0.693269,-0.709822,4.065559,-0.791608,-0.485910
8,2751154524,-0.020892,0.129902,0.691357,-0.710432,4.014133,-0.791194,-0.777216
9,2751187858,-0.022806,0.134280,0.689290,-0.711567,3.984429,-0.787687,-0.866196
10,2751221192,-0.020222,0.137260,0.686912,-0.713374,3.756776,-0.658756,-0.693246
11,2751254526,-0.013575,0.140638,0.683706,-0.715949,3.379786,-0.425187,-0.277794
12,2751287860,-0.003673,0.145990,0.679267,-0.719214,3.001476,-0.296010,0.244863
13,2751321194,0.009310,0.153521,0.673650,-0.722869,2.553729,-0.145889,0.705813
14,2751354528,0.025551,0.162937,0.666756,-0.726797,1.805802,0.100312,0.977891
15,2751387862,0.044001,0.175343,0.658213,-0.730803,0.804344,0.429264,1.219269
16,2751421196,0.064427,0.190307,0.648350,-0.734353,0.061148,0.381756,0.878613
17,2751454530,0.088036,0.204177,0.638455,-0.736841,-0.368381,0.332869,0.572209
18,2751487864,0.115798,0.212000,0.629720,-0.738308,-0.743204,0.208839,0.478810
19,2751521198,0.146229,0.212021,0.622519,-0.739008,-1.438963,0.099121,0.117479
20,2751554532,0.175898,0.206786,0.616945,-0.738699,-2.132537,0.022025,-0.358748
21,2751587866,0.201099,0.200003,0.612873,-0.737525,-2.507945,-0.061720,-0.806808
22,2751621200,0.220089,0.193379,0.610254,-0.736040,-2.540264,-0.198821,-1.166907
23,2751654534,0.232914,0.186707,0.609129,-0.734746,-2.453403,-0.320917,-1.243554
24,2751687868,0.240292,0.179611,0.609442,-0.733879,-2.415291,-0.331569,-1.222878
25,2751721202,0.242473,0.172864,0.611186,-0.733331,-2.449282,-0.277827,-1.060573
26,2751754536,0.239457,0.167457,0.614387,-0.732902,-2.255447,-0.239454,-0.843371
27,2751787870,0.232243,0.162273,0.619022,-0.732489,-1.777137,-0.275507,-0.564190
28,2751821204,0.222370,0.155762,0.624730,-0.732121,-1.449945,-0.174232,-0.378378
29,2751854538,0.210560,0.148173,0.631185,-0.731651,-1.166257,-0.129140,-0.108415
30,2751887872,0.197369,0.140137,0.638102,-0.730911,-0.761198,-0.139341,0.171813
31,2751921206,0.183390,0.132218,0.645102,-0.729883,-0.356564,-0.086002,0.418831
32,2751954540,0.169069,0.125599,0.651636,-0.728704,0.015314,-0.081261,0.484303
33,2751987874,0.155024,0.121392,0.657253,-0.727495,0.398927,-0.012593,0.491354
34,2752021208,0.141892,0.119703,0.661720,-0.726405,0.750167,0.017840,0.450446
35,2752054542,0.129985,0.120115,0.665027,-0.725544,1.063678,-0.000599,0.361644
36,2752087876,0.119460,0.121966,0.667449,-0.724820,1.280528,0.007802,0.255019
37,2752121210,0.110054,0.124731,0.669292,-0.724139,1.373371,0.040884,0.103234
38,2752154544,0.101385,0.127151,0.671091,-0.723318,1.821161,-0.128720,-0.141976
39,2752187878,0.094320,0.127711,0.672955,-0.722443,1.853477,0.206430,-0.482980
40,2752221212,0.086387,0.128445,0.675319,-0.721098,2.138259,-0.052066,-0.865169
41,2752254546,0.076063,0.131178,0.678947,-0.718357,3.208489,-0.411904,-0.371218
42,2752287880,0.068915,0.131377,0.682729,-0.715451,4.359511,-0.169162,0.125449
43,2752321214,0.072186,0.122905,0.685591,-0.713896,4.778587,0.115306,0.859429
44,2752354548,0.085593,0.108196,0.686269,-0.714144,3.953415,0.380611,1.405788
45,2752387882,0.103922,0.096525,0.683649,-0.715895,2.821153,0.285990,1.882825
46,2752421216,0.122646,0.095001,0.677078,-0.719373,1.704929,0.450302,1.895493
47,2752454550,0.139953,0.104819,0.666823,-0.724412,0.812667,0.474801,1.700972
48,2752487884,0.156507,0.122491,0.653659,-0.730226,0.170828,0.472011,1.276048
49,2752521218,0.173539,0.143382,0.638376,-0.736071,-0.498985,0.512911,0.667298
50,2752554552,0.191193,0.163768,0.621861,-0.741561,-1.261677,0.656829,0.130132
51,2752587886,0.208176,0.181496,0.605328,-0.746524,-2.070321,0.783164,-0.316656
52,2752621220,0.222253,0.196096,0.590392,-0.750724,-2.640689,0.796920,-0.938829
53,2752654554,0.231572,0.207907,0.578767,-0.753775,-2.717137,0.776352,-1.831992
54,2752687888,0.235731,0.216938,0.571582,-0.755421,-2.541244,0.639848,-2.479362
55,2752721222,0.235250,0.222228,0.569024,-0.755965,-2.400617,0.475087,-2.488269
56,2752754556,0.230697,0.222433,0.570400,-0.756270,-2.317813,0.305027,-2.267236
57,2752787890,0.222417,0.217456,0.574883,-0.756803,-2.409133,0.159127,-1.625546
58,2752821224,0.209505,0.209116,0.581616,-0.757694,-2.596736,0.100499,-0.981953
59,2752854558,0.191473,0.200383,0.590517,-0.757941,-2.664109,-0.596582,0.183177
60,2752887892,0.164535,0.198327,0.598621,-0.758450,-4.216949,0.186916,-0.585714
61,2752921226,0.125817,0.211204,0.605619,-0.756828,-2.979899,-0.255525,-0.067350
