sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:48:48_513 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2750887852,0.717879,-0.570772,-0.338884,0.209841,-0.082065,-0.551968,2.507038
2,2750921186,0.700714,-0.576938,-0.341366,0.244170,0.345212,0.296232,2.449656
3,2750954520,0.683728,-0.574648,-0.352712,0.279100,0.732714,1.290540,1.919553
4,2750987854,0.667702,-0.565179,-0.370340,0.312412,1.141208,2.097486,1.414435
5,2751021188,0.653533,-0.551676,-0.389378,0.341964,1.266634,2.906882,0.784320
6,2751054522,0.642121,-0.538151,-0.405240,0.365871,1.327040,3.388463,0.197260
7,2751087856,0.633876,-0.527435,-0.416045,0.383311,1.248861,3.579645,-0.201168
8,2751121190,0.628438,-0.520909,-0.422024,0.394489,1.071868,3.685951,-0.453744
9,2751154524,0.625434,-0.518874,-0.424269,0.399507,0.809306,3.669948,-0.377666
10,2751187858,0.624668,-0.518991,-0.425061,0.399712,0.768273,3.181654,-0.256495
11,2751221192,0.625655,-0.517989,-0.427554,0.396797,0.678217,2.832324,-0.262475
12,2751254526,0.628294,-0.515845,-0.431748,0.390833,0.500596,2.812934,0.132794
13,2751287860,0.633122,-0.514574,-0.434884,0.381120,0.491043,2.572402,0.570393
14,2751321194,0.640606,-0.514712,-0.435812,0.367111,0.235512,1.996104,1.238495
15,2751354528,0.650212,-0.513603,-0.436512,0.350572,0.099019,0.769229,1.381502
16,2751387862,0.659524,-0.507503,-0.441659,0.335280,-0.097587,-0.699546,0.668717
17,2751421196,0.666386,-0.497030,-0.452920,0.322120,-0.251281,-0.802980,0.174887
18,2751454530,0.672870,-0.487848,-0.462929,0.308148,-0.268118,-0.341694,0.218599
19,2751487864,0.681938,-0.483996,-0.464449,0.291553,-0.066186,-0.489476,0.099052
20,2751521198,0.692984,-0.485134,-0.457938,0.273344,-0.208276,-1.247797,0.041126
21,2751554532,0.703678,-0.488839,-0.447799,0.255651,-0.413307,-1.863808,-0.121124
