sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:48:48_523 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2750921186,-0.497836,0.614045,0.486496,-0.372064,-0.055522,-0.056395,0.161829
2,2750954520,-0.496112,0.614229,0.487582,-0.372641,-0.164047,0.043425,0.205885
3,2750987854,-0.494673,0.614480,0.488418,-0.373045,-0.150648,0.063037,0.220839
4,2751021188,-0.493669,0.614692,0.488997,-0.373268,-0.128937,0.045173,0.203440
5,2751054522,-0.493056,0.614736,0.489424,-0.373445,-0.178531,0.114614,0.204481
6,2751087856,-0.492691,0.614569,0.489701,-0.373839,-0.108182,0.152764,0.166057
7,2751121190,-0.492459,0.614319,0.489888,-0.374309,0.003201,0.109949,0.151290
8,2751154524,-0.492518,0.614216,0.489800,-0.374517,0.120772,0.015149,0.149439
9,2751187858,-0.492773,0.614371,0.489377,-0.374480,0.279831,-0.049276,0.062204
10,2751221192,-0.492831,0.614520,0.489024,-0.374619,0.405735,-0.091816,0.117991
11,2751254526,-0.492960,0.614493,0.488716,-0.374896,0.292059,-0.076938,0.122225
12,2751287860,-0.493045,0.614330,0.488500,-0.375333,0.037670,0.023535,0.148435
13,2751321194,-0.492919,0.614274,0.488275,-0.375881,-0.115036,0.073366,0.150589
14,2751354528,-0.492917,0.614196,0.487915,-0.376480,-0.069707,0.097717,0.161170
15,2751387862,-0.493294,0.614030,0.487350,-0.376989,0.057875,0.011306,0.078658
16,2751421196,-0.493850,0.613862,0.486674,-0.377407,0.160229,0.006246,0.096631
17,2751454530,-0.494202,0.613703,0.486138,-0.377894,0.044311,0.006007,0.127050
18,2751487864,-0.494627,0.613436,0.485645,-0.378407,-0.086791,0.072263,0.088284
19,2751521198,-0.495117,0.613281,0.485114,-0.378699,-0.087743,0.040644,0.028590
20,2751554532,-0.495187,0.612978,0.484991,-0.379254,-0.044284,-0.145631,0.163483
21,2751587866,-0.495072,0.612399,0.485060,-0.380249,-0.144334,-0.149361,0.167834
22,2751621200,-0.495122,0.611667,0.485165,-0.381228,-0.065429,0.019417,0.062620
23,2751654534,-0.494939,0.610939,0.485601,-0.382076,-0.165392,0.022896,0.166570
24,2751687868,-0.494600,0.610033,0.486187,-0.383216,-0.415717,-0.121323,0.226521
25,2751721202,-0.493722,0.608592,0.487378,-0.385122,-0.323594,-0.149317,0.185921
26,2751754536,-0.492122,0.607229,0.488995,-0.387265,-0.066749,-0.107739,0.159247
27,2751787870,-0.491403,0.606322,0.489681,-0.388730,0.121269,0.198492,0.154496
28,2751821204,-0.491471,0.605377,0.489821,-0.389939,-0.004888,0.428749,0.114680
29,2751854538,-0.491907,0.604424,0.489593,-0.391153,-0.206059,0.336511,0.177307
30,2751887872,-0.492302,0.603728,0.489155,-0.392276,-0.079997,0.062176,0.137228
31,2751921206,-0.492369,0.603612,0.488647,-0.393003,0.181414,-0.173448,-0.028760
32,2751954540,-0.492036,0.603646,0.488544,-0.393496,0.259314,-0.126508,0.075769
33,2751987874,-0.491047,0.603074,0.489310,-0.394655,0.030762,-0.077599,0.108996
34,2752021208,-0.489959,0.602002,0.490206,-0.396528,-0.328542,0.068430,0.155416
35,2752054542,-0.488913,0.600716,0.491162,-0.398580,-0.334528,0.270286,0.143531
36,2752087876,-0.487843,0.600087,0.491866,-0.399968,0.031855,0.143587,0.101546
37,2752121210,-0.486472,0.599591,0.492767,-0.401272,0.319467,-0.057824,-0.038625
38,2752154544,-0.484413,0.598136,0.494725,-0.403518,0.324105,-0.233557,-0.040954
39,2752187878,-0.482293,0.595539,0.497485,-0.406495,0.170239,0.041636,-0.015647
40,2752221212,-0.480464,0.592130,0.500975,-0.409343,0.112632,-0.055771,0.000750
41,2752254546,-0.478019,0.588540,0.505335,-0.412016,0.528002,-0.441286,0.162521
42,2752287880,-0.475709,0.585704,0.509404,-0.413717,0.736548,-0.353323,0.199783
43,2752321214,-0.473374,0.584439,0.512618,-0.414214,0.542936,-0.528177,0.144051
44,2752354548,-0.471554,0.583856,0.515010,-0.414145,-0.153246,-0.519809,0.440890
45,2752387882,-0.470837,0.583288,0.515937,-0.414607,-1.255025,-0.204307,0.442062
46,2752421216,-0.472495,0.582674,0.515083,-0.414646,-1.980824,0.046048,0.308177
47,2752454550,-0.475497,0.582846,0.513056,-0.413484,-1.270557,0.013059,0.088986
48,2752487884,-0.480419,0.585616,0.509078,-0.408769,-0.306125,0.027541,0.070694
49,2752521218,-0.485833,0.588567,0.505078,-0.403055,0.002072,-0.624767,0.155751
50,2752554552,-0.491007,0.589956,0.502079,-0.398476,-0.157843,-1.160216,0.126950
51,2752587886,-0.495230,0.590192,0.500340,-0.395072,-0.239873,-1.343647,0.115007
52,2752621220,-0.499658,0.589063,0.498982,-0.392894,-0.118467,-0.731023,0.251620
53,2752654554,-0.506173,0.586935,0.496563,-0.390798,0.054427,0.080839,0.121921
54,2752687888,-0.513086,0.584653,0.493995,-0.388451,-0.090708,0.289527,0.045148
55,2752721222,-0.517175,0.581861,0.494007,-0.387203,-0.009550,0.372949,-0.046616
56,2752754556,-0.519737,0.579715,0.495150,-0.385528,0.171637,0.327602,0.297034
