sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:50:01_186 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2823555972,-0.653686,0.653819,0.051673,-0.377549,0.259863,-0.637149,-0.352670
2,2823589306,-0.653862,0.656596,0.044473,-0.373320,0.159323,-0.387903,-0.425564
3,2823622640,-0.652219,0.659520,0.042955,-0.371212,0.106194,-0.152536,-0.348797
4,2823655974,-0.649395,0.662343,0.045201,-0.370869,-0.003209,0.165072,-0.131517
5,2823689308,-0.645979,0.664938,0.049108,-0.371694,-0.231522,0.469095,0.064342
6,2823722642,-0.641911,0.668348,0.052305,-0.372190,0.033591,0.880267,-0.073960
7,2823755976,-0.638189,0.673822,0.051056,-0.368879,-0.071983,0.846657,0.055886
8,2823789310,-0.634894,0.679267,0.048259,-0.364932,-0.564111,0.696207,0.118789
9,2823822644,-0.632366,0.683723,0.045280,-0.361366,-0.818306,0.695633,0.158463
10,2823855978,-0.630575,0.687965,0.041296,-0.356894,-0.908326,0.849391,0.078238
11,2823889312,-0.629227,0.692895,0.034036,-0.350445,-1.878841,-0.140101,0.463108
12,2823922646,-0.626855,0.695005,0.032168,-0.350692,-2.544645,-1.082618,0.937730
13,2823955980,-0.624070,0.694163,0.033196,-0.357172,-2.476987,-1.121434,0.707853
14,2823989314,-0.619339,0.692283,0.032420,-0.368933,-3.752033,-2.516392,1.739964
15,2824022648,-0.613187,0.685151,0.033580,-0.391714,-3.850906,-2.773146,2.422096
16,2824055982,-0.605706,0.675246,0.027446,-0.420011,-3.597471,-3.415476,3.185420
17,2824089316,-0.594604,0.660022,0.017067,-0.458829,-4.182737,-4.477393,5.158109
18,2824122650,-0.578533,0.636002,0.006519,-0.510644,-2.438346,-3.981111,5.406046
19,2824155984,-0.558267,0.605188,-0.009822,-0.567440,-0.678536,-3.553625,5.553514
20,2824189318,-0.532840,0.566539,-0.030381,-0.627847,-0.024437,-2.693798,7.064550
21,2824222652,-0.500559,0.522070,-0.055814,-0.688308,2.147640,-1.204834,5.553480
22,2824255986,-0.462016,0.472369,-0.087629,-0.745473,3.206316,0.027678,4.013296
23,2824289320,-0.421326,0.416499,-0.119638,-0.796680,3.552782,1.315364,0.977146
24,2824322654,-0.381657,0.357389,-0.149772,-0.839153,3.396240,1.535265,-2.449121
25,2824355988,-0.347684,0.299254,-0.177172,-0.870731,3.057984,1.201679,-5.164538
26,2824389322,-0.319719,0.250482,-0.197742,-0.892153,0.907180,0.794777,-6.404683
27,2824422656,-0.292956,0.229216,-0.208268,-0.904577,0.918722,0.538859,-5.656998
28,2824455990,-0.273145,0.218458,-0.198417,-0.915586,2.751240,0.886764,-5.598491
29,2824489324,-0.263239,0.205350,-0.174529,-0.926324,2.833465,2.578915,-6.317235
30,2824522658,-0.256585,0.202560,-0.150546,-0.932989,1.509325,3.571891,-6.382404
31,2824555992,-0.251783,0.208555,-0.127891,-0.936351,3.650520,4.798689,-2.283054
32,2824589326,-0.250576,0.201817,-0.099645,-0.941569,2.675865,5.565236,-2.474775
33,2824622660,-0.246109,0.203297,-0.078214,-0.944448,0.331706,6.251396,-1.780647
34,2824655994,-0.237434,0.215034,-0.065497,-0.945037,0.473434,4.773733,-1.646069
35,2824689328,-0.229297,0.222145,-0.057609,-0.945915,0.316245,2.836749,0.221636
