sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:50:01_177 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2823555972,0.506486,-0.607624,0.289854,-0.538754,0.700733,0.177421,-0.068245
2,2823589306,0.498103,-0.602668,0.304194,-0.544204,0.789743,0.111850,0.413118
3,2823622640,0.490189,-0.595697,0.318950,-0.550579,0.666067,0.189811,0.745377
4,2823655974,0.483398,-0.588351,0.331193,-0.557214,0.444317,0.406740,0.844095
5,2823689308,0.478086,-0.582836,0.338667,-0.563069,0.331299,0.479226,0.903903
6,2823722642,0.474187,-0.579763,0.341206,-0.567985,0.173952,0.433701,0.840364
7,2823755976,0.471501,-0.578489,0.340238,-0.572086,0.023978,0.527527,0.764603
8,2823789310,0.470058,-0.579335,0.335875,-0.574988,-0.344456,0.525654,0.541817
9,2823822644,0.469552,-0.581780,0.327713,-0.577636,-0.454340,0.168277,0.704832
10,2823855978,0.469668,-0.583237,0.317260,-0.581893,-0.075437,0.067089,1.181686
11,2823889312,0.470166,-0.584694,0.303957,-0.587105,-0.432241,0.632144,0.951743
12,2823922646,0.471666,-0.587252,0.284974,-0.592843,-0.621338,0.645517,0.997132
13,2823955980,0.472926,-0.588737,0.261128,-0.601289,-0.007126,0.705608,2.280928
14,2823989314,0.474352,-0.589411,0.231561,-0.611532,-0.648834,1.355468,2.066401
15,2824022648,0.475821,-0.591135,0.193430,-0.621889,-0.441221,0.987330,3.053522
16,2824055982,0.479163,-0.588738,0.150539,-0.633353,-0.244002,1.210456,4.639436
17,2824089316,0.485188,-0.583619,0.103595,-0.642850,-1.179862,1.845973,3.840142
18,2824122650,0.490765,-0.572038,0.055024,-0.654906,-1.443048,1.154997,3.449327
19,2824155984,0.499972,-0.545033,0.011440,-0.672936,-1.268238,1.685743,1.031453
20,2824189318,0.513797,-0.513350,-0.028732,-0.686779,-1.590715,2.045560,-0.072106
21,2824222652,0.528447,-0.484084,-0.073038,-0.693598,-1.086504,1.563789,0.166003
22,2824255986,0.543335,-0.450962,-0.115335,-0.698659,-1.036444,0.055647,0.964148
