sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:50:01_187 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2823589306,-0.529549,0.679927,-0.392980,0.320697,0.318681,0.267147,0.125530
2,2823622640,-0.528749,0.677262,-0.395806,0.324163,0.406046,0.217560,0.151298
3,2823655974,-0.528118,0.675011,-0.397992,0.327195,0.388772,0.319796,0.165691
4,2823689308,-0.528011,0.672998,-0.399324,0.329881,0.264284,0.176093,0.121912
5,2823722642,-0.527593,0.670966,-0.400932,0.332726,0.087269,0.022195,0.076456
6,2823755976,-0.526513,0.668615,-0.403378,0.336194,0.117275,-0.002850,0.089995
7,2823789310,-0.525315,0.666088,-0.405827,0.340113,0.223379,-0.013535,0.180502
8,2823822644,-0.524106,0.663526,-0.408054,0.344296,0.522335,-0.021765,0.135328
9,2823855978,-0.522284,0.660266,-0.411197,0.349554,0.536081,0.387519,0.065815
10,2823889312,-0.520549,0.658064,-0.413327,0.353757,0.284831,0.568042,0.040545
11,2823922646,-0.519905,0.658058,-0.413202,0.354858,-0.045180,0.648943,-0.013488
12,2823955980,-0.519900,0.659779,-0.411595,0.353537,-0.381542,0.560072,0.125875
13,2823989314,-0.520063,0.662240,-0.409163,0.351512,-0.194611,0.417226,0.063250
14,2824022648,-0.520619,0.665220,-0.405832,0.348915,0.027378,0.128522,0.115355
15,2824055982,-0.521252,0.668881,-0.401895,0.345511,0.093216,-0.063586,0.047497
16,2824089316,-0.521744,0.673020,-0.397700,0.341561,0.119090,-0.128676,0.150146
17,2824122650,-0.522095,0.676520,-0.393880,0.338524,0.152370,-0.049780,0.185663
18,2824155984,-0.522345,0.679402,-0.390279,0.336531,-0.072604,0.010220,0.066753
19,2824189318,-0.522156,0.682417,-0.386865,0.334662,-0.402558,0.144324,0.130783
20,2824222652,-0.522019,0.686180,-0.382997,0.331617,-0.584476,0.318108,0.111169
21,2824255986,-0.522716,0.690409,-0.377859,0.327611,-0.377198,0.269164,0.219119
22,2824289320,-0.524076,0.694512,-0.371829,0.323640,0.045979,0.213630,0.115894
23,2824322654,-0.525373,0.698512,-0.365718,0.319871,0.055153,0.172825,0.247810
24,2824355988,-0.526387,0.701785,-0.360416,0.317045,0.141804,0.127392,0.222519
25,2824389322,-0.527389,0.704047,-0.355675,0.315715,0.155294,-0.011742,0.187597
26,2824422656,-0.528635,0.705756,-0.350643,0.315444,0.221944,-0.045657,0.239097
27,2824455990,-0.530974,0.706746,-0.344621,0.315935,0.314412,0.139336,0.241528
28,2824489324,-0.534148,0.706525,-0.338460,0.317734,0.540817,0.220788,0.395187
29,2824522658,-0.537460,0.705221,-0.332593,0.321223,0.724376,0.168518,0.388573
30,2824555992,-0.540891,0.703408,-0.326358,0.325802,0.865553,0.202943,0.530168
31,2824589326,-0.545410,0.700933,-0.318818,0.331025,1.260057,0.316977,0.560135
32,2824622660,-0.553442,0.697711,-0.306509,0.336090,2.086037,0.572031,0.603466
33,2824655994,-0.565764,0.692992,-0.288423,0.341305,1.020843,-0.043332,1.126447
34,2824689328,-0.577734,0.685536,-0.273622,0.348422,-0.140658,-0.291717,0.785113
35,2824722662,-0.587455,0.678193,-0.262316,0.355168,-1.318475,-0.844808,-0.258924
36,2824755996,-0.592111,0.670204,-0.260587,0.363770,-3.314987,-2.075941,-1.237864
37,2824789330,-0.589524,0.667112,-0.265752,0.369868,-4.354761,-2.526848,-1.686281
38,2824822664,-0.582523,0.674271,-0.267734,0.366534,-2.955062,-1.933841,-1.260345
39,2824855998,-0.577219,0.684083,-0.265475,0.358293,-2.060141,0.022129,-0.684269
40,2824889332,-0.574560,0.693406,-0.262958,0.346301,-0.671858,0.543175,-0.238232
41,2824922666,-0.572677,0.698753,-0.265377,0.336694,1.132952,-0.011084,-0.064720
42,2824956000,-0.568841,0.698321,-0.276415,0.335210,3.236277,0.149742,1.207623
43,2824989334,-0.564973,0.696980,-0.286770,0.335842,2.664840,-2.110417,-0.158324
44,2825022668,-0.551044,0.699165,-0.302602,0.340519,-0.082291,-1.872969,0.555011
45,2825056002,-0.547796,0.705058,-0.302373,0.333745,-0.047681,1.971344,0.915247
46,2825089336,-0.552926,0.704784,-0.300583,0.327421,-0.813234,1.974107,-0.157333
47,2825122670,-0.552646,0.707916,-0.300460,0.321191,-0.538799,0.431797,-0.033870
48,2825156004,-0.551018,0.712210,-0.299327,0.315501,0.518632,0.176310,0.376968
49,2825189338,-0.551167,0.718429,-0.295403,0.304656,0.487447,-0.613334,0.447445
50,2825222672,-0.552799,0.722729,-0.292105,0.294539,0.527155,-0.689459,0.594822
51,2825256006,-0.554164,0.724083,-0.290572,0.290133,0.242220,0.090492,-0.078732
52,2825289340,-0.553177,0.725110,-0.291589,0.288424,-0.171691,0.587286,0.184400
53,2825322674,-0.552644,0.726201,-0.292955,0.285302,-0.249990,-0.153549,0.224718
54,2825356008,-0.552892,0.726466,-0.293818,0.283250,0.020513,-0.461989,0.189567
55,2825389342,-0.553918,0.725454,-0.294282,0.283359,-0.250659,-0.029356,0.280640
56,2825422676,-0.553851,0.723945,-0.296686,0.284837,-0.610185,0.015594,0.082865
57,2825456010,-0.552423,0.722570,-0.300818,0.286762,-0.104428,-0.181975,0.046744
58,2825489344,-0.551239,0.721512,-0.304189,0.288146,-0.112606,-0.043391,0.144111
59,2825522678,-0.550594,0.720130,-0.307142,0.289698,-0.312052,0.225881,0.099416
60,2825556012,-0.550187,0.718592,-0.309717,0.291544,-0.098125,0.239721,0.152499
61,2825589346,-0.549693,0.716999,-0.312451,0.293475,0.034541,0.065227,0.117956
62,2825622680,-0.548997,0.714980,-0.315729,0.296181,0.067163,-0.145479,0.129292
63,2825656014,-0.548401,0.712838,-0.318786,0.299161,0.073081,-0.084206,0.186233
64,2825689348,-0.547830,0.710256,-0.322146,0.302727,-0.027356,0.112815,0.109968
65,2825722682,-0.547018,0.707796,-0.325704,0.306131,-0.172676,0.101122,0.109215
66,2825756016,-0.546154,0.705318,-0.329397,0.309423,-0.119880,-0.055495,0.230640
67,2825789350,-0.545430,0.702691,-0.333136,0.312657,0.098983,-0.298310,0.198126
68,2825822684,-0.544834,0.699604,-0.337171,0.316273,0.179454,-0.563814,0.265024
69,2825856018,-0.544386,0.695616,-0.341830,0.320807,0.075795,-0.755842,0.326689
70,2825889352,-0.543630,0.690387,-0.347833,0.326875,0.007395,-0.799865,0.250807
71,2825922686,-0.542003,0.683917,-0.355584,0.334743,-0.108320,-0.640032,0.124733
72,2825956020,-0.539737,0.676532,-0.364398,0.343809,-0.226600,-0.240664,0.142169
73,2825989354,-0.537108,0.668652,-0.373609,0.353324,-0.362660,0.100201,0.028788
74,2826022688,-0.534190,0.661669,-0.382163,0.361649,-0.380496,0.590814,-0.133695
75,2826056022,-0.531657,0.656692,-0.388735,0.367402,-0.198905,0.778785,0.095856
