sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:47:02_631 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2645019068,-0.788372,0.477484,0.129027,-0.365826,0.494252,-0.604018,-0.001698
2,2645052402,-0.788114,0.475285,0.122872,-0.371323,-0.380919,-0.473330,0.340230
3,2645085736,-0.787975,0.473123,0.116848,-0.376293,-0.370203,-0.035905,-0.001786
4,2645119070,-0.787878,0.471328,0.111268,-0.380416,-0.216330,0.169853,0.062008
5,2645152404,-0.788267,0.469840,0.104231,-0.383431,-0.364610,-0.085770,0.002168
6,2645185738,-0.789131,0.468015,0.096386,-0.385931,-0.699782,0.368921,0.236270
7,2645219072,-0.789569,0.466046,0.089995,-0.388950,-0.883562,0.958337,0.380833
8,2645252406,-0.789278,0.463510,0.087772,-0.393057,-0.353423,0.503004,0.095716
9,2645285740,-0.788064,0.461862,0.088404,-0.397268,-1.281712,0.637522,0.882666
10,2645319074,-0.785986,0.463221,0.087922,-0.399901,-0.790413,0.361074,0.195038
11,2645352408,-0.783784,0.464613,0.087384,-0.402715,-0.296476,-0.022746,0.092544
12,2645385742,-0.782740,0.464082,0.086391,-0.405563,-0.110550,0.343850,-0.019344
13,2645419076,-0.782191,0.462121,0.085610,-0.409012,-0.596946,-0.088909,-0.035037
14,2645452410,-0.781494,0.460688,0.085569,-0.411958,-0.474391,0.288872,0.608863
15,2645485744,-0.781644,0.460040,0.085400,-0.412434,-1.002382,-0.057863,0.528290
16,2645519078,-0.781229,0.460136,0.086568,-0.412870,-0.386789,0.127907,0.017344
17,2645552412,-0.780609,0.459527,0.089215,-0.414154,-0.028928,-0.462405,-0.088181
18,2645585746,-0.781406,0.456648,0.092614,-0.415090,-0.618745,0.064550,0.488356
19,2645619080,-0.783087,0.455056,0.092749,-0.413638,-0.354365,0.451377,-0.202741
20,2645652414,-0.785011,0.453700,0.091578,-0.411736,-0.547343,-0.578600,0.536540
21,2645685748,-0.786452,0.451936,0.091966,-0.410838,0.053891,0.029234,-0.164648
22,2645719082,-0.787937,0.450349,0.092751,-0.409558,-0.860784,-0.085797,0.391500
23,2645752416,-0.789235,0.449283,0.093680,-0.408015,-0.841202,-0.278443,0.813342
24,2645785750,-0.790341,0.448425,0.094678,-0.406585,0.154037,-0.278152,-0.608897
25,2645819084,-0.790801,0.447846,0.097334,-0.405701,-0.280213,-0.498736,0.287353
26,2645852418,-0.791269,0.447136,0.100110,-0.404895,-0.319188,-0.003494,0.048834
27,2645885752,-0.792168,0.446253,0.102804,-0.403432,-0.104863,0.449489,0.790573
28,2645919086,-0.793507,0.447358,0.102294,-0.399690,0.323858,-0.566532,-0.592505
