sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:47:02_622 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2644985734,0.120049,-0.182409,0.455350,-0.863120,-0.358485,0.346470,0.160103
2,2645019068,0.122070,-0.179189,0.457732,-0.862250,0.306571,0.128955,0.173764
3,2645052402,0.126114,-0.177827,0.460707,-0.860364,0.435334,-0.617533,0.700811
4,2645085736,0.132028,-0.178033,0.464268,-0.857515,0.150189,-0.269329,0.025469
5,2645119070,0.136953,-0.176123,0.469291,-0.854397,0.020133,-0.077061,0.036834
6,2645152404,0.139990,-0.172987,0.474859,-0.851464,1.068269,0.251101,-0.225279
7,2645185738,0.142962,-0.170145,0.478891,-0.849282,-0.482740,-0.641129,0.476113
8,2645219072,0.145527,-0.165592,0.482417,-0.847750,-0.038684,-0.108580,0.362534
9,2645252406,0.148965,-0.163982,0.485480,-0.845715,-0.310590,-0.257409,0.016889
10,2645285740,0.153372,-0.163305,0.487843,-0.843695,0.005064,-0.379048,0.446587
11,2645319074,0.157352,-0.161794,0.490333,-0.841808,0.482502,-0.359414,0.013015
12,2645352408,0.159584,-0.157827,0.493033,-0.840563,0.550968,-0.437131,0.442694
13,2645385742,0.161051,-0.153144,0.494507,-0.840284,-0.092759,0.642228,0.065999
14,2645419076,0.164067,-0.152652,0.493821,-0.840193,-0.224038,1.049304,-0.693882
15,2645452410,0.168059,-0.155793,0.491905,-0.839951,-0.371426,-0.382828,0.623960
16,2645485744,0.172029,-0.158511,0.489507,-0.840041,0.236345,0.198340,0.026156
17,2645519078,0.175004,-0.160392,0.488027,-0.839930,0.543122,-0.114396,0.167974
18,2645552412,0.176563,-0.160952,0.487253,-0.839946,0.802844,0.050524,0.013240
19,2645585746,0.177392,-0.161517,0.486484,-0.840108,0.525870,0.116982,0.312360
