sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:43:49_083 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2451481864,-0.459026,0.377898,0.436665,-0.675138,-0.226888,-0.482880,0.106219
2,2451515198,-0.455547,0.384021,0.430826,-0.677785,-0.387371,-0.417500,0.151906
3,2451548532,-0.450717,0.387297,0.426893,-0.681628,-0.659322,-0.050258,-0.067066
4,2451581866,-0.445694,0.390160,0.423772,-0.685236,-0.712932,0.331602,-0.223035
5,2451615200,-0.441047,0.393742,0.421260,-0.687738,-0.719145,0.476624,-0.356358
6,2451648534,-0.436920,0.397139,0.419967,-0.689208,-0.729093,0.410298,-0.233104
7,2451681868,-0.433185,0.398738,0.420881,-0.690084,-0.774690,0.310681,-0.084843
8,2451715202,-0.429757,0.397918,0.424287,-0.690616,-0.872764,0.233316,-0.023195
9,2451748536,-0.426631,0.395034,0.429638,-0.690901,-0.953588,0.276334,0.080656
10,2451781870,-0.423809,0.390786,0.436065,-0.691027,-0.974413,0.241382,0.165628
11,2451815204,-0.421439,0.385445,0.442675,-0.691273,-0.955439,0.152471,0.239610
12,2451848538,-0.420082,0.379831,0.448347,-0.691551,-0.966522,0.161718,0.122587
13,2451881872,-0.420765,0.375552,0.452112,-0.691021,-0.877958,0.239526,0.036450
14,2451915206,-0.423964,0.373314,0.453785,-0.689180,-0.650521,0.122735,-0.083832
15,2451948540,-0.429226,0.372520,0.453619,-0.686457,-0.360109,-0.132449,-0.057201
16,2451981874,-0.435794,0.372718,0.451925,-0.683322,-0.151240,-0.141249,-0.039790
17,2452015208,-0.443350,0.374652,0.448129,-0.679894,-0.065500,-0.258207,0.245597
18,2452048542,-0.451465,0.379295,0.440922,-0.676684,0.033039,-0.529770,0.154415
19,2452081876,-0.459895,0.388029,0.429799,-0.673202,-0.012499,-0.592668,-0.167284
20,2452115210,-0.467687,0.400236,0.415519,-0.669643,0.162854,-0.652313,-0.488651
21,2452148544,-0.473983,0.414400,0.399094,-0.666585,0.261384,-0.952842,-0.862983
22,2452181878,-0.478520,0.429696,0.381068,-0.664203,-0.001109,-1.089198,-1.406868
23,2452215212,-0.481757,0.443963,0.362443,-0.662904,-0.196128,-1.108750,-1.895428
24,2452248546,-0.484113,0.457709,0.343512,-0.661917,0.036619,-0.958631,-2.352978
25,2452281880,-0.485123,0.470680,0.325338,-0.661264,0.139831,-1.001241,-2.431316
