sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:43:49_084 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2451448530,-0.577748,0.715645,-0.325391,0.219504,0.355899,-0.033296,0.058110
2,2451481864,-0.577141,0.714509,-0.326096,0.223715,0.296847,0.015933,0.167925
3,2451515198,-0.577080,0.713067,-0.326617,0.227679,0.321789,0.132840,0.140939
4,2451548532,-0.577470,0.711115,-0.327431,0.231592,0.459147,0.158169,0.231234
5,2451581866,-0.578552,0.708521,-0.328292,0.235588,0.436726,-0.024000,0.251483
6,2451615200,-0.580442,0.705582,-0.328674,0.239199,0.248008,-0.120680,0.080439
7,2451648534,-0.582091,0.702944,-0.329011,0.242474,0.135803,-0.220023,0.043893
8,2451681868,-0.583515,0.700643,-0.329278,0.245330,0.167616,-0.082722,0.127324
9,2451715202,-0.584897,0.698523,-0.329443,0.247853,0.153476,0.007752,0.023038
10,2451748536,-0.586006,0.696864,-0.329523,0.249787,0.017917,-0.004787,0.092263
11,2451781870,-0.586419,0.696251,-0.329334,0.250774,0.032716,0.155360,0.038785
12,2451815204,-0.586698,0.696385,-0.328481,0.250871,0.261424,0.121575,0.176304
13,2451848538,-0.586270,0.697224,-0.327709,0.250549,0.286266,0.306880,0.027358
14,2451881872,-0.586165,0.697613,-0.327138,0.250457,0.335043,0.474717,0.105817
15,2451915206,-0.586610,0.697933,-0.326171,0.249787,0.351538,0.315788,0.236731
16,2451948540,-0.586467,0.698541,-0.325545,0.249238,0.069115,0.288480,0.006489
17,2451981874,-0.587173,0.698525,-0.324558,0.248905,-0.036026,0.307974,0.151264
18,2452015208,-0.589298,0.697611,-0.322967,0.248518,0.195358,0.296774,0.297062
19,2452048542,-0.593168,0.695461,-0.320739,0.248222,0.301587,0.318226,0.256005
20,2452081876,-0.598988,0.691477,-0.318469,0.248298,-0.004603,0.512830,0.322077
21,2452115210,-0.606598,0.685574,-0.316676,0.248487,0.083975,0.788924,0.342854
22,2452148544,-0.617253,0.677993,-0.313461,0.247120,0.772494,1.468842,0.569174
23,2452181878,-0.630806,0.668863,-0.308972,0.243399,1.511055,0.949330,0.308119
24,2452215212,-0.644583,0.659197,-0.304996,0.238644,1.369299,0.179180,-0.344624
25,2452248546,-0.659331,0.647058,-0.300833,0.236854,1.461576,1.721950,0.035444
26,2452281880,-0.676366,0.632136,-0.293795,0.237949,0.988398,-1.919086,-0.483603
27,2452315214,-0.691025,0.612405,-0.293204,0.247947,0.753217,-0.587020,-0.321018
28,2452348548,-0.703917,0.591656,-0.295230,0.259395,0.278876,0.695628,0.132650
29,2452381882,-0.716356,0.569696,-0.297117,0.272037,-1.120956,-1.539638,-1.700415
30,2452415216,-0.730720,0.547003,-0.296303,0.281144,-1.231136,0.745341,-0.192886
31,2452448550,-0.744251,0.529360,-0.287272,0.288697,0.454674,-0.789037,-0.246709
32,2452481884,-0.755881,0.513760,-0.279010,0.294703,-0.834302,0.256390,-1.347130
33,2452515218,-0.767623,0.497132,-0.271471,0.299868,-0.942841,0.437156,-0.070760
34,2452548552,-0.777917,0.482644,-0.263146,0.304395,-1.037358,0.378411,-0.425137
35,2452581886,-0.788160,0.468361,-0.256334,0.306164,-1.743168,0.671369,-0.760313
36,2452615220,-0.799531,0.454081,-0.248349,0.304772,0.296692,-0.345842,-0.049083
37,2452648554,-0.810365,0.438102,-0.241935,0.304704,-0.399574,-0.559527,-0.003750
38,2452681888,-0.821053,0.421431,-0.236534,0.303844,1.101163,-1.190650,-0.929349
39,2452715222,-0.830810,0.403305,-0.233315,0.304410,0.696103,-1.314489,0.708912
40,2452748556,-0.840988,0.383148,-0.229049,0.305738,-0.221196,-1.611623,1.123815
41,2452781890,-0.849354,0.366721,-0.223620,0.306771,0.425034,-0.601745,0.389303
42,2452815224,-0.857310,0.350104,-0.217146,0.308702,-0.898353,-0.856514,1.398256
43,2452848558,-0.865507,0.332777,-0.207743,0.311451,-0.597718,-1.061922,0.811154
44,2452881892,-0.873205,0.316353,-0.197142,0.313960,-0.185475,-0.557180,0.167772
45,2452915226,-0.879420,0.300007,-0.187814,0.318347,0.881265,-0.617498,1.205724
46,2452948560,-0.885279,0.281730,-0.177684,0.324562,0.346246,-0.207527,0.275854
47,2452981894,-0.889572,0.266013,-0.167996,0.331176,-0.312149,0.596744,-1.315132
48,2453015228,-0.893398,0.250190,-0.159836,0.337194,-1.391957,0.218897,0.104377
49,2453048562,-0.898376,0.231864,-0.148908,0.342036,-0.691257,0.549857,0.736627
50,2453081896,-0.901800,0.216324,-0.134891,0.348951,1.176039,-0.250929,-0.682274
51,2453115230,-0.903437,0.201895,-0.122706,0.357750,0.052275,-0.840383,0.180813
52,2453148564,-0.904041,0.188881,-0.110074,0.367314,-0.099926,-0.205462,-0.061424
53,2453181898,-0.904353,0.177245,-0.096120,0.376155,-0.194615,-0.614935,0.215436
54,2453215232,-0.904562,0.167185,-0.083365,0.383236,-0.009644,0.068291,0.542633
55,2453248566,-0.905368,0.157263,-0.073840,0.387461,-1.678715,0.102192,1.354846
56,2453281900,-0.907457,0.147817,-0.068826,0.387216,-1.525661,0.718548,-1.654249
57,2453315234,-0.909212,0.143086,-0.063037,0.385860,0.129091,-0.281038,0.817502
58,2453348568,-0.910043,0.140671,-0.057983,0.385581,1.115738,-1.723070,1.425684
59,2453381902,-0.909725,0.139252,-0.055884,0.387155,1.342612,-0.897459,0.354321
60,2453415236,-0.908673,0.141408,-0.056733,0.388717,-0.440835,-0.473468,0.145678
61,2453448570,-0.907662,0.147218,-0.061522,0.388192,-1.214466,-0.088191,0.822135
62,2453481904,-0.907457,0.155425,-0.069771,0.384057,-1.951451,-1.123562,3.316958
63,2453515238,-0.908332,0.163718,-0.080844,0.376291,-0.537992,-1.211398,1.317878
64,2453548572,-0.908591,0.174780,-0.094409,0.367427,-0.412338,-0.534125,0.084159
65,2453581906,-0.907434,0.190346,-0.106358,0.359196,0.569294,-0.343657,-0.228677
66,2453615240,-0.904961,0.208722,-0.120235,0.350751,0.025950,-0.571758,1.007379
67,2453648574,-0.901598,0.227126,-0.135614,0.342265,-0.144215,-0.319472,1.049321
68,2453681908,-0.897723,0.244275,-0.151336,0.333951,0.947107,-0.589277,-0.185895
69,2453715242,-0.892869,0.259546,-0.168237,0.327291,0.448399,-0.451001,0.351197
70,2453748576,-0.887745,0.274747,-0.181739,0.321553,-0.039034,-0.453506,-0.578368
71,2453781910,-0.881936,0.290315,-0.192484,0.317581,0.359782,-0.345044,-0.774216
72,2453815244,-0.874976,0.307531,-0.201696,0.314902,0.249852,-0.509749,-0.589128
