sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:41:30_594 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2312979094,-0.471997,0.425091,0.415410,-0.651115,-0.454627,0.089540,-0.126363
2,2313012428,-0.476932,0.420789,0.419473,-0.647699,-0.474843,0.008722,-0.101812
3,2313045762,-0.481510,0.415004,0.424706,-0.644627,-0.383066,0.294370,-0.422939
4,2313079096,-0.486315,0.410591,0.429411,-0.640716,-0.259981,0.047257,-0.193827
5,2313112430,-0.490972,0.407555,0.433104,-0.636604,-0.333372,-0.016193,-0.060987
6,2313145764,-0.494953,0.405836,0.435571,-0.632926,-0.259205,-0.220883,0.061053
7,2313179098,-0.497613,0.404901,0.437171,-0.630332,-0.238905,-0.396122,0.055513
8,2313212432,-0.498525,0.404223,0.438264,-0.629285,-0.308311,-0.512753,-0.043048
9,2313245766,-0.497814,0.403891,0.438878,-0.629634,-0.336781,-0.569274,-0.147997
10,2313279100,-0.495785,0.403841,0.439124,-0.631093,-0.379142,-0.585703,-0.092453
11,2313312434,-0.492852,0.403871,0.439119,-0.633371,-0.404186,-0.524024,0.162653
12,2313345768,-0.489510,0.404052,0.438807,-0.636057,-0.422637,-0.434494,0.345565
13,2313379102,-0.486050,0.404523,0.438087,-0.638901,-0.490130,-0.325227,0.369619
14,2313412436,-0.482382,0.405599,0.436938,-0.641780,-0.506770,-0.333097,0.319044
15,2313445770,-0.477931,0.406526,0.436038,-0.645126,-0.520655,-0.317623,0.209614
16,2313479104,-0.472343,0.406314,0.436138,-0.649294,-0.486214,-0.330085,0.145476
17,2313512438,-0.465732,0.404269,0.437609,-0.654338,-0.585227,-0.250422,0.094768
18,2313545772,-0.458637,0.400638,0.440198,-0.659822,-0.553035,-0.198022,0.185403
19,2313579106,-0.451505,0.395436,0.443752,-0.665475,-0.543270,-0.147214,0.380244
20,2313612440,-0.444933,0.388842,0.447699,-0.671119,-0.542789,-0.061706,0.384233
21,2313645774,-0.439503,0.381728,0.451370,-0.676303,-0.396828,-0.020159,0.168105
22,2313679108,-0.435351,0.374434,0.454618,-0.680875,-0.204702,-0.082130,0.110899
23,2313712442,-0.432366,0.366694,0.457607,-0.684975,-0.021765,-0.091540,0.037230
24,2313745776,-0.430421,0.358573,0.460318,-0.688672,0.182895,-0.052253,0.018584
25,2313779110,-0.429564,0.350604,0.462487,-0.691850,0.355738,0.052339,0.009881
26,2313812444,-0.429956,0.343467,0.463756,-0.694333,0.483421,0.072055,0.026390
27,2313845778,-0.431635,0.337514,0.463932,-0.696090,0.657718,0.072656,0.005395
28,2313879112,-0.434417,0.333017,0.462865,-0.697235,0.796028,0.127980,-0.016650
29,2313912446,-0.438331,0.330435,0.460492,-0.697585,0.938939,0.216846,0.051324
30,2313945780,-0.443275,0.330204,0.456623,-0.697113,0.947297,0.250795,-0.159790
31,2313979114,-0.449030,0.332639,0.451530,-0.695588,1.140994,0.227970,-0.215502
32,2314012448,-0.454789,0.336894,0.446063,-0.693322,1.264575,0.149719,-0.174812
33,2314045782,-0.459455,0.341587,0.441450,-0.690898,1.365849,0.072938,-0.062120
34,2314079116,-0.461952,0.345444,0.438780,-0.689015,1.350508,-0.001256,-0.027408
35,2314112450,-0.461473,0.347655,0.438641,-0.688311,1.220382,-0.041322,-0.080934
36,2314145784,-0.458153,0.348562,0.440640,-0.688792,1.050331,0.026691,-0.092579
37,2314179118,-0.452826,0.349065,0.443889,-0.689974,0.786016,0.036466,-0.058604
38,2314212452,-0.446261,0.349795,0.447660,-0.691443,0.590445,0.012282,0.000813
39,2314245786,-0.438946,0.350766,0.451636,-0.693046,0.373695,-0.036704,0.051673
40,2314279120,-0.431291,0.351915,0.455616,-0.694664,0.195020,-0.029513,0.133740
41,2314312454,-0.423715,0.353247,0.459357,-0.696184,-0.018796,-0.019765,0.213328
42,2314345788,-0.416568,0.354979,0.462620,-0.697455,-0.218159,-0.034134,0.231341
43,2314379122,-0.409998,0.357455,0.465259,-0.698327,-0.391198,-0.072096,0.209959
44,2314412456,-0.403936,0.360349,0.467505,-0.698873,-0.542652,-0.168067,0.264953
45,2314445790,-0.398264,0.362913,0.469679,-0.699343,-0.691434,-0.242699,0.180046
46,2314479124,-0.393097,0.364875,0.471876,-0.699766,-0.779208,-0.291609,0.006009
47,2314512458,-0.388594,0.365961,0.474202,-0.700142,-0.871620,-0.356228,-0.031579
48,2314545792,-0.385093,0.365915,0.476692,-0.700410,-0.917049,-0.346960,0.022600
49,2314579126,-0.383321,0.364898,0.478946,-0.700375,-1.099713,-0.286344,0.057336
50,2314612460,-0.384608,0.364671,0.479647,-0.699307,-1.213535,-0.219878,0.086935
51,2314645794,-0.388567,0.365468,0.478812,-0.697271,-0.705213,-0.408742,0.204174
52,2314679128,-0.393336,0.364790,0.478194,-0.695374,-0.601697,-0.350952,0.314703
53,2314712462,-0.398816,0.363615,0.477390,-0.693417,-0.482318,-0.232571,0.416922
54,2314745796,-0.404706,0.362276,0.475932,-0.691705,-0.399851,-0.268923,0.339474
55,2314779130,-0.410833,0.361330,0.473436,-0.690300,-0.299703,-0.204284,0.078184
56,2314812464,-0.417076,0.361493,0.469946,-0.688854,-0.129955,-0.212626,0.151932
57,2314845798,-0.423194,0.361821,0.466144,-0.687532,0.034832,-0.276503,0.218763
58,2314879132,-0.429097,0.361579,0.462465,-0.686485,0.169636,-0.190042,0.083790
59,2314912466,-0.434793,0.361339,0.458785,-0.685496,0.259774,-0.057546,-0.048436
60,2314945800,-0.440238,0.361801,0.454976,-0.684314,0.366194,-0.051679,-0.105602
61,2314979134,-0.445179,0.362844,0.451291,-0.683004,0.474580,-0.086242,-0.132429
62,2315012468,-0.449007,0.363588,0.448479,-0.681954,0.600807,-0.134566,-0.074857
63,2315045802,-0.451345,0.363213,0.447051,-0.681548,0.665986,-0.144237,-0.017195
64,2315079136,-0.452193,0.361814,0.446932,-0.681809,0.664679,-0.046850,0.066494
65,2315112470,-0.451955,0.360332,0.447514,-0.682370,0.603188,0.061907,0.132435
66,2315145804,-0.451156,0.359839,0.448030,-0.682819,0.517173,0.058804,0.119994
67,2315179138,-0.449871,0.360335,0.448436,-0.683139,0.453366,-0.028163,0.120575
68,2315212472,-0.447916,0.361059,0.449037,-0.683647,0.383508,-0.117425,0.061749
69,2315245806,-0.445219,0.361347,0.450145,-0.684527,0.301487,-0.142649,0.019708
70,2315279140,-0.441938,0.360913,0.451811,-0.685784,0.200016,-0.171474,-0.010232
71,2315312474,-0.438448,0.359856,0.453828,-0.687245,0.104116,-0.159755,0.021449
72,2315345808,-0.435216,0.358494,0.455867,-0.688660,0.026535,-0.112208,0.082817
73,2315379142,-0.432674,0.357236,0.457471,-0.689851,-0.042796,-0.078203,0.143051
74,2315412476,-0.431197,0.356581,0.458239,-0.690605,-0.083115,-0.009641,0.240567
75,2315445810,-0.430866,0.356831,0.458031,-0.690821,-0.094877,-0.015032,0.273603
76,2315479144,-0.431264,0.357847,0.457085,-0.690673,-0.076187,-0.019678,0.250263
77,2315512478,-0.431635,0.358967,0.455988,-0.690585,-0.064407,-0.068893,0.270944
78,2315545812,-0.431457,0.359487,0.455364,-0.690837,-0.047709,-0.083627,0.227277
79,2315579146,-0.430561,0.358911,0.455627,-0.691522,-0.064610,-0.118183,0.149860
80,2315612480,-0.429166,0.357261,0.456672,-0.692554,-0.119284,-0.088195,-0.015003
81,2315645814,-0.427783,0.355231,0.457996,-0.693578,-0.140374,-0.017355,-0.189182
82,2315679148,-0.426807,0.353723,0.459090,-0.694227,-0.125185,-0.014411,-0.323957
83,2315712482,-0.426382,0.352931,0.459880,-0.694369,-0.081570,0.002108,-0.430761
84,2315745816,-0.426336,0.352711,0.460643,-0.694002,0.051835,-0.030784,-0.377193
85,2315779150,-0.426398,0.352483,0.461795,-0.693314,0.142316,-0.045365,-0.075315
86,2315812484,-0.426263,0.351738,0.463420,-0.692691,0.181795,0.008199,0.127547
87,2315845818,-0.425614,0.350870,0.465014,-0.692462,0.091392,0.074832,0.261640
88,2315879152,-0.424308,0.351021,0.465657,-0.692755,-0.005753,0.226268,0.107009
