sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:41:30_585 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2312945760,0.633448,-0.484594,0.329131,-0.505558,-0.600156,-0.884956,-0.180382
2,2312979094,0.631140,-0.488764,0.329703,-0.504055,-0.461674,-0.783745,-0.097078
3,2313012428,0.628085,-0.493788,0.330568,-0.502406,-0.214309,-0.773172,-0.004829
4,2313045762,0.623769,-0.498318,0.333385,-0.501448,0.016008,-0.662038,-0.053664
5,2313079096,0.617993,-0.501646,0.339075,-0.501467,0.221580,-0.477240,0.116953
6,2313112430,0.611217,-0.503580,0.347246,-0.502240,0.343746,-0.272389,0.412777
7,2313145764,0.604206,-0.504469,0.356762,-0.503162,0.465753,-0.002509,0.702448
8,2313179098,0.598213,-0.504896,0.365864,-0.503358,0.599850,0.247014,0.886020
9,2313212432,0.594380,-0.505435,0.372794,-0.502272,0.799575,0.499504,0.814337
10,2313245766,0.593558,-0.507000,0.375789,-0.499427,0.928856,0.604813,0.631467
11,2313279100,0.595543,-0.509618,0.374715,-0.495188,0.952123,0.478732,0.583456
12,2313312434,0.599443,-0.512309,0.371135,-0.490377,0.982322,0.255567,0.636906
13,2313345768,0.604127,-0.514213,0.367070,-0.485674,1.004134,0.006786,0.723742
14,2313379102,0.608876,-0.514684,0.364041,-0.481508,0.971853,-0.002038,0.587307
15,2313412436,0.613867,-0.514461,0.361309,-0.477448,0.873810,0.046623,0.225163
16,2313445770,0.619391,-0.514578,0.357319,-0.473172,0.745278,-0.017012,-0.033604
17,2313479104,0.625235,-0.515003,0.351771,-0.469164,0.749698,-0.204665,-0.181044
18,2313512438,0.630514,-0.514773,0.346217,-0.466474,0.718242,-0.338236,-0.173482
19,2313545772,0.635047,-0.513495,0.341570,-0.465158,0.540685,-0.352236,-0.137425
20,2313579106,0.639295,-0.511838,0.337227,-0.464335,0.302432,-0.262846,0.066181
21,2313612440,0.644033,-0.510589,0.331714,-0.463131,0.100784,-0.219144,0.111537
22,2313645774,0.649571,-0.510300,0.323896,-0.461245,-0.087649,-0.294560,0.076941
23,2313679108,0.655612,-0.511180,0.313424,-0.458953,-0.218090,-0.424744,0.010502
24,2313712442,0.661101,-0.512758,0.301565,-0.457261,-0.281994,-0.625082,-0.116285
25,2313745776,0.664775,-0.514283,0.290492,-0.457389,-0.365670,-0.729130,-0.237972
26,2313779110,0.665841,-0.515440,0.281858,-0.459932,-0.476643,-0.677393,-0.245612
27,2313812444,0.664122,-0.516249,0.276408,-0.464792,-0.655956,-0.480469,-0.145764
28,2313845778,0.659831,-0.516985,0.274137,-0.471384,-0.754813,-0.156435,0.060962
29,2313879112,0.653200,-0.517608,0.275003,-0.479363,-0.819605,0.123591,0.216649
30,2313912446,0.644638,-0.517646,0.278687,-0.488694,-0.832521,0.429394,0.295683
31,2313945780,0.634796,-0.516765,0.284407,-0.499103,-0.977746,0.890527,0.151504
32,2313979114,0.626875,-0.515639,0.289016,-0.507561,-1.195053,3.387388,0.256164
33,2314012448,0.624855,-0.516060,0.288952,-0.509656,-0.990638,3.587924,0.192608
34,2314045782,0.628077,-0.518024,0.285673,-0.505535,-0.795930,2.925390,-0.115351
35,2314079116,0.632121,-0.520846,0.283121,-0.498989,-0.238578,1.129294,0.110928
36,2314112450,0.634039,-0.521154,0.286880,-0.494062,-0.060078,0.197852,0.061417
37,2314145784,0.634100,-0.518325,0.297107,-0.490905,-0.319289,0.152916,0.050437
38,2314179118,0.633766,-0.513921,0.309837,-0.488089,-0.556279,0.623557,0.046983
39,2314212452,0.635684,-0.511467,0.318706,-0.482429,-0.485391,0.860325,0.171733
40,2314245786,0.640174,-0.511904,0.322123,-0.473680,-0.157545,0.323210,0.237262
41,2314279120,0.645645,-0.513607,0.322835,-0.463824,0.132467,-0.203205,0.233485
42,2314312454,0.650598,-0.515153,0.323428,-0.454684,0.347256,-0.537413,0.130087
43,2314345788,0.654406,-0.516092,0.324786,-0.447125,0.485651,-0.637055,0.023197
44,2314379122,0.657121,-0.516700,0.326504,-0.441148,0.544533,-0.636047,0.072631
45,2314412456,0.659028,-0.517304,0.327879,-0.436553,0.664838,-0.694877,0.054944
46,2314445790,0.660073,-0.518014,0.328800,-0.433427,0.729874,-0.764721,0.026190
47,2314479124,0.660079,-0.518799,0.329444,-0.431989,0.742464,-0.771080,-0.038445
48,2314512458,0.659007,-0.519725,0.329858,-0.432195,0.762303,-0.717361,0.017418
49,2314545792,0.656899,-0.520756,0.330225,-0.433882,0.771700,-0.585663,0.053754
50,2314579126,0.653916,-0.521684,0.330692,-0.436905,0.728417,-0.456772,-0.007303
51,2314612460,0.650228,-0.522441,0.331210,-0.441093,0.719080,-0.295723,-0.005405
52,2314645794,0.645854,-0.522941,0.331946,-0.446342,0.685580,-0.158287,0.163014
53,2314679128,0.640918,-0.522831,0.333220,-0.452594,0.644306,0.022100,0.341804
54,2314712462,0.635730,-0.521887,0.335020,-0.459616,0.574403,0.204665,0.410220
55,2314745796,0.630767,-0.520087,0.336765,-0.467158,0.477724,0.378091,0.399781
