sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:41:30_595 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2312979094,-0.601851,0.615117,-0.353338,0.366825,-0.012120,-0.118725,-0.552890
2,2313012428,-0.600422,0.616168,-0.354084,0.366683,0.045655,0.237153,-0.548365
3,2313045762,-0.598808,0.617807,-0.354961,0.365715,0.102373,0.482747,-0.268139
4,2313079096,-0.597549,0.619630,-0.355558,0.364108,0.174151,0.638453,-0.054371
5,2313112430,-0.596252,0.621267,-0.356578,0.362444,0.176704,0.341507,-0.021871
6,2313145764,-0.595568,0.622407,-0.357770,0.360432,0.252100,0.563233,0.107303
7,2313179098,-0.595489,0.623601,-0.358559,0.357703,0.450169,0.433370,0.090253
8,2313212432,-0.595166,0.625499,-0.359082,0.354388,0.416127,0.336705,0.034151
9,2313245766,-0.595491,0.628150,-0.358485,0.349725,0.087500,0.103192,-0.242703
10,2313279100,-0.594868,0.631214,-0.358388,0.345341,0.614270,-0.463088,0.366864
11,2313312434,-0.594671,0.634661,-0.356792,0.340987,0.782353,0.228367,0.707111
12,2313345768,-0.593487,0.638680,-0.355532,0.336839,0.620714,0.427597,0.885449
13,2313379102,-0.593257,0.643172,-0.353417,0.330868,0.337206,0.501744,0.517299
14,2313412436,-0.593258,0.647039,-0.351917,0.324872,0.561038,0.077852,0.187733
15,2313445770,-0.592816,0.650432,-0.351262,0.319569,0.351734,-0.245297,0.035773
16,2313479104,-0.591836,0.654438,-0.350472,0.314025,0.065566,-0.171592,0.007152
17,2313512438,-0.589748,0.659747,-0.349560,0.307799,-0.304456,-0.065604,0.056302
18,2313545772,-0.587359,0.666330,-0.347825,0.300056,-0.312158,0.053198,0.190285
19,2313579106,-0.585300,0.673457,-0.345177,0.291092,0.006331,-0.313083,0.208037
20,2313612440,-0.582891,0.679994,-0.343160,0.282999,0.054507,-0.273583,0.198444
21,2313645774,-0.580453,0.685893,-0.341478,0.275716,0.140579,-0.406144,-0.005855
22,2313679108,-0.577785,0.690796,-0.340675,0.270012,-0.306925,-0.064411,0.158577
23,2313712442,-0.575615,0.694893,-0.340212,0.264665,-0.668187,0.079907,0.100111
24,2313745776,-0.574127,0.698596,-0.339546,0.258942,-0.226055,-0.089512,0.107459
25,2313779110,-0.572324,0.701653,-0.339502,0.254691,-0.140614,-0.094609,0.137646
26,2313812444,-0.570518,0.704085,-0.339881,0.251508,-0.405792,0.048793,0.215055
27,2313845778,-0.568594,0.706289,-0.340542,0.248777,-0.501586,0.253998,0.151147
28,2313879112,-0.567083,0.708270,-0.341018,0.245925,-0.551291,0.194868,0.185431
29,2313912446,-0.565875,0.710191,-0.341100,0.243039,-0.385587,-0.131866,0.079977
30,2313945780,-0.564130,0.712147,-0.341369,0.240981,-0.145713,-0.141025,0.093003
31,2313979114,-0.562959,0.713488,-0.341547,0.239499,-0.324086,-0.006166,0.203494
32,2314012448,-0.563746,0.713885,-0.340788,0.237536,-0.121537,0.112201,0.091116
33,2314045782,-0.563877,0.713881,-0.341026,0.236896,-0.111809,0.008316,0.222069
34,2314079116,-0.565013,0.713445,-0.340471,0.236299,-0.292824,0.024119,0.190849
35,2314112450,-0.568455,0.712116,-0.338522,0.234851,-0.326560,0.074829,0.177003
36,2314145784,-0.573218,0.710243,-0.335824,0.232809,0.106773,-0.035044,-0.010837
37,2314179118,-0.577273,0.707796,-0.334414,0.232272,-0.000210,0.031230,0.116315
38,2314212452,-0.580485,0.705116,-0.333983,0.233036,0.164535,0.228811,0.231504
39,2314245786,-0.583745,0.701816,-0.333887,0.234986,0.084371,0.113350,0.146083
40,2314279120,-0.587019,0.698389,-0.333865,0.237061,-0.153332,-0.216119,-0.005757
41,2314312454,-0.588667,0.696655,-0.333746,0.238238,-0.077401,-0.451936,0.080673
42,2314345788,-0.588773,0.695760,-0.334276,0.239843,0.086084,-0.330344,0.104688
43,2314379122,-0.588413,0.694978,-0.335113,0.241819,0.106767,0.020091,0.178249
44,2314412456,-0.588115,0.694003,-0.336176,0.243861,0.209856,0.124994,0.155806
45,2314445790,-0.587736,0.692740,-0.337627,0.246347,0.174943,0.146510,0.170316
46,2314479124,-0.587581,0.691155,-0.339152,0.249062,0.141164,0.195641,0.137626
47,2314512458,-0.587328,0.689429,-0.340926,0.252001,0.115769,0.162897,0.057640
48,2314545792,-0.587166,0.687641,-0.342615,0.254957,0.145079,0.212461,0.036937
49,2314579126,-0.587071,0.685818,-0.344087,0.258084,0.171711,0.086965,-0.005522
50,2314612460,-0.586474,0.684436,-0.345486,0.261223,-0.000060,0.148151,0.061049
51,2314645794,-0.585576,0.683612,-0.346795,0.263648,-0.502903,0.248377,0.083899
52,2314679128,-0.584801,0.683448,-0.347766,0.264513,-0.211879,-0.217681,0.040557
53,2314712462,-0.582916,0.683940,-0.349029,0.265736,0.358376,-0.141004,0.197474
54,2314745796,-0.580988,0.684584,-0.349673,0.267450,0.186915,-0.379439,0.120706
55,2314779130,-0.579188,0.685263,-0.349977,0.269209,-0.323037,-0.031988,-0.024835
56,2314812464,-0.578079,0.685616,-0.350099,0.270532,-0.210268,0.168129,0.099956
57,2314845798,-0.577158,0.686144,-0.350102,0.271156,0.076085,-0.016265,0.161518
58,2314879132,-0.576250,0.686695,-0.349800,0.272080,0.031524,-0.154254,0.104368
59,2314912466,-0.575472,0.687329,-0.349054,0.273083,-0.095294,-0.090573,0.200077
60,2314945800,-0.574421,0.687891,-0.348662,0.274377,-0.048789,-0.063723,0.074971
61,2314979134,-0.573292,0.688017,-0.348776,0.276269,0.111298,0.208906,0.183372
62,2315012468,-0.572200,0.687695,-0.349335,0.278620,0.152922,0.277217,0.204347
63,2315045802,-0.571478,0.687228,-0.349697,0.280791,0.031534,0.268545,0.138664
64,2315079136,-0.570813,0.686639,-0.349925,0.283291,0.020421,0.182270,0.134410
65,2315112470,-0.570231,0.686114,-0.349939,0.285705,-0.089565,-0.025676,0.157119
66,2315145804,-0.569520,0.685958,-0.349606,0.287900,-0.196685,-0.164967,0.100410
67,2315179138,-0.568563,0.686068,-0.349040,0.290207,-0.225778,0.095900,0.174122
68,2315212472,-0.567557,0.686219,-0.348400,0.292579,-0.008029,0.326447,0.237391
69,2315245806,-0.567046,0.685829,-0.347721,0.295278,0.079401,0.286286,0.294813
70,2315279140,-0.566332,0.684947,-0.347846,0.298531,-0.148020,-0.014526,0.113701
71,2315312474,-0.565886,0.683738,-0.348116,0.301815,-0.217529,0.146911,0.126269
72,2315345808,-0.566401,0.682126,-0.347647,0.305020,0.000661,0.377077,0.230095
73,2315379142,-0.567557,0.680486,-0.346618,0.307694,-0.016940,-0.035917,0.318065
74,2315412476,-0.568578,0.679127,-0.345685,0.309854,-0.188181,-0.396991,0.125155
75,2315445810,-0.569434,0.677790,-0.344882,0.312096,-0.107351,-0.147782,0.048174
76,2315479144,-0.570000,0.676781,-0.344026,0.314191,-0.083002,-0.165893,0.162436
77,2315512478,-0.570581,0.675921,-0.342893,0.316219,-0.226716,-0.073420,0.269077
78,2315545812,-0.571472,0.675432,-0.341035,0.317661,-0.190270,-0.168404,0.344457
79,2315579146,-0.572847,0.675036,-0.338489,0.318746,-0.050848,-0.056673,0.248979
80,2315612480,-0.574618,0.674160,-0.335899,0.320150,0.070496,-0.086813,0.096246
81,2315645814,-0.576735,0.672571,-0.333626,0.322055,0.002345,-0.035903,0.051266
82,2315679148,-0.579660,0.670285,-0.331271,0.323996,-0.051798,0.304675,-0.010009
83,2315712482,-0.584335,0.667318,-0.328166,0.324880,-0.001602,0.279720,0.018044
84,2315745816,-0.589376,0.663789,-0.325222,0.325963,0.229815,-0.172787,0.456895
85,2315779150,-0.594038,0.659735,-0.322632,0.328297,0.126284,-0.226292,0.366615
86,2315812484,-0.598900,0.655997,-0.319404,0.330106,-0.209325,-0.276241,-0.033997
87,2315845818,-0.603399,0.653172,-0.315804,0.330978,-0.464029,-0.301658,-0.215103
88,2315879152,-0.607009,0.651120,-0.312810,0.331261,-0.325644,-0.040168,-0.312706
89,2315912486,-0.609640,0.650648,-0.310264,0.329749,-0.204021,0.039641,-0.384484
90,2315945820,-0.611387,0.651052,-0.308332,0.327520,0.041479,-0.017759,0.095425
91,2315979154,-0.613128,0.650669,-0.306944,0.326329,0.427104,-0.139570,0.218076
92,2316012488,-0.613308,0.650240,-0.307504,0.326321,0.464010,0.105436,0.291712
93,2316045822,-0.613251,0.649797,-0.308477,0.326391,0.420691,0.209770,0.405668
94,2316079156,-0.614136,0.648180,-0.309665,0.326816,0.353501,0.231112,0.173314
95,2316112490,-0.615132,0.646024,-0.311610,0.327365,0.250475,0.381120,0.082836
96,2316145824,-0.617485,0.642699,-0.313384,0.327784,0.068371,0.301791,-0.083599
97,2316179158,-0.619065,0.639951,-0.315957,0.327710,-0.075065,-0.303448,-0.305256
98,2316212492,-0.618973,0.638713,-0.319231,0.327126,-0.271815,-0.850666,-0.156991
99,2316245826,-0.618503,0.638178,-0.321281,0.327053,0.507675,-0.494746,0.250326
100,2316279160,-0.617398,0.640058,-0.321279,0.325463,0.165370,-0.335213,0.110856
101,2316312494,-0.615103,0.643224,-0.320771,0.324067,0.591097,-0.209262,0.498402
102,2316345828,-0.613715,0.645798,-0.319612,0.322722,0.580197,0.054187,0.345503
103,2316379162,-0.611974,0.647280,-0.320042,0.322632,0.580074,-0.081578,0.253543
104,2316412496,-0.610059,0.647502,-0.322066,0.323796,0.122472,0.256869,0.076558
105,2316445830,-0.609090,0.647612,-0.323464,0.324007,-0.085470,0.236761,0.010406
106,2316479164,-0.609375,0.648124,-0.323513,0.322394,-0.076642,0.055340,-0.012761
107,2316512498,-0.609199,0.648964,-0.323968,0.320576,0.231424,-0.337451,0.080460
108,2316545832,-0.608234,0.649776,-0.325145,0.319570,0.429329,-0.263108,0.225731
109,2316579166,-0.607663,0.650287,-0.325998,0.318747,0.436502,-0.005645,0.260307
110,2316612500,-0.607136,0.650912,-0.326700,0.317755,0.298008,-0.169106,0.196896
111,2316645834,-0.606430,0.651496,-0.327764,0.316809,0.079022,-0.097742,-0.010888
112,2316679168,-0.605615,0.652193,-0.329019,0.315630,0.061138,-0.195045,0.044659
113,2316712502,-0.604676,0.653296,-0.330081,0.314038,0.197437,-0.126626,0.091477
114,2316745836,-0.603700,0.654593,-0.330903,0.312344,0.293481,0.173793,0.315381
115,2316779170,-0.602932,0.656014,-0.331630,0.310069,0.034969,0.241774,0.269665
116,2316812504,-0.602673,0.657462,-0.332087,0.306999,-0.048506,0.323802,0.157302
117,2316845838,-0.602530,0.658900,-0.332535,0.303695,0.121030,0.224341,0.192394
118,2316879172,-0.602330,0.660631,-0.332699,0.300129,0.058168,-0.083132,0.134500
119,2316912506,-0.601506,0.662679,-0.332906,0.297021,-0.127734,-0.190454,0.125375
120,2316945840,-0.599636,0.665505,-0.333325,0.294000,-0.211931,0.092797,0.110628
121,2316979174,-0.597750,0.668995,-0.333206,0.290027,-0.036883,0.257235,0.071350
122,2317012508,-0.596035,0.672237,-0.333180,0.286064,0.248792,0.424076,0.160852
123,2317045842,-0.594912,0.674554,-0.333319,0.282765,0.162269,0.522414,0.270059
124,2317079176,-0.594968,0.676097,-0.332913,0.279423,0.053165,0.390752,0.112531
125,2317112510,-0.595293,0.677131,-0.332594,0.276593,-0.127571,0.210653,0.043106
126,2317145844,-0.595246,0.678432,-0.332393,0.273731,-0.174275,0.007470,0.068270
127,2317179178,-0.595277,0.679653,-0.331964,0.271144,-0.056819,0.255700,0.047528
128,2317212512,-0.594985,0.681072,-0.331577,0.268687,-0.055486,0.172051,0.189835
129,2317245846,-0.594655,0.682725,-0.330919,0.266020,0.075124,0.246999,0.020838
130,2317279180,-0.594492,0.683979,-0.330262,0.263971,0.043391,0.122301,0.346048
131,2317312514,-0.593498,0.685509,-0.330208,0.262302,-0.158885,0.082804,0.076508
132,2317345848,-0.592437,0.687017,-0.330217,0.260739,0.012799,-0.122235,0.093087
133,2317379182,-0.591081,0.688499,-0.330400,0.259673,-0.113371,-0.075335,0.103340
134,2317412516,-0.589407,0.689976,-0.330881,0.258943,-0.167005,0.126881,0.215525
135,2317445850,-0.587627,0.691552,-0.331534,0.257948,-0.142003,-0.146852,0.094908
136,2317479184,-0.585515,0.693095,-0.332560,0.257287,-0.114794,-0.226570,0.092864
137,2317512518,-0.583252,0.694151,-0.334017,0.257695,-0.119306,-0.039944,0.186655
138,2317545852,-0.581742,0.694779,-0.335080,0.258035,-0.355806,-0.203892,0.011850
139,2317579186,-0.579527,0.695589,-0.336817,0.258575,-0.377646,-0.149578,0.064715
140,2317612520,-0.577116,0.696400,-0.338611,0.259439,-0.174758,0.132745,0.200739
141,2317645854,-0.575764,0.696810,-0.339620,0.260025,-0.037749,0.122665,0.081134
142,2317679188,-0.574517,0.696978,-0.340631,0.261007,-0.238444,0.150219,0.113015
143,2317712522,-0.573661,0.697101,-0.341166,0.261859,-0.280879,0.126649,0.072583
144,2317745856,-0.573081,0.697415,-0.341071,0.262415,-0.230231,-0.199978,0.085472
145,2317779190,-0.572124,0.698194,-0.340698,0.262918,-0.187505,-0.164332,0.123715
146,2317812524,-0.570890,0.698952,-0.340485,0.263860,0.031800,-0.019211,0.140301
147,2317845858,-0.569872,0.699288,-0.340467,0.265190,0.063537,0.119430,0.128170
148,2317879192,-0.568748,0.699320,-0.340921,0.266929,0.062425,0.143759,0.255345
149,2317912526,-0.568050,0.699070,-0.341201,0.268708,0.044656,0.063391,0.165782
150,2317945860,-0.567865,0.698784,-0.340913,0.270205,-0.032847,-0.123588,0.042886
151,2317979194,-0.567394,0.698397,-0.340930,0.272167,-0.082770,-0.134401,0.190965
152,2318012528,-0.566885,0.698293,-0.340755,0.273708,-0.075039,-0.194561,0.058702
153,2318045862,-0.566452,0.698271,-0.340386,0.275115,0.009957,-0.121150,0.072902
154,2318079196,-0.566025,0.698102,-0.340072,0.276806,0.123429,-0.186682,0.264326
155,2318112530,-0.565645,0.697748,-0.339794,0.278810,0.004780,-0.165825,0.083494
156,2318145864,-0.565324,0.697275,-0.339467,0.281036,-0.069230,-0.111988,0.061786
157,2318179198,-0.565009,0.696897,-0.338971,0.283194,0.051015,0.023822,0.395753
158,2318212532,-0.565753,0.696561,-0.337187,0.284664,0.118609,-0.136689,0.203411
159,2318245866,-0.566130,0.696374,-0.335562,0.286288,-0.126791,-0.110757,0.240227
160,2318279200,-0.566299,0.695609,-0.334943,0.288529,-0.376801,0.197852,0.066375
161,2318312534,-0.566286,0.694691,-0.335036,0.290649,-0.252574,0.125964,0.124140
162,2318345868,-0.566481,0.693459,-0.335142,0.293080,-0.038538,-0.041464,0.122012
163,2318379202,-0.565841,0.692121,-0.336029,0.296444,-0.269747,-0.254580,0.145226
164,2318412536,-0.565089,0.690968,-0.336800,0.299676,-0.445117,0.007793,-0.079993
