sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:42:37_244 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2379613760,0.574642,0.120943,-0.179992,-0.789156,0.895241,2.279650,-1.607785
2,2379647094,0.577268,0.171476,-0.191557,-0.775027,1.746389,1.681820,-2.736722
3,2379680428,0.588411,0.212544,-0.197861,-0.754621,1.777688,2.164048,-3.367952
4,2379713762,0.606300,0.236366,-0.201561,-0.732058,1.629821,1.919181,-3.874595
5,2379747096,0.629333,0.240331,-0.205065,-0.710024,0.593840,1.710634,-4.977355
6,2379780430,0.653817,0.223047,-0.213850,-0.690685,-1.072734,0.442179,-5.696740
7,2379813764,0.676526,0.186585,-0.230482,-0.674078,-1.917691,-2.683519,-6.813998
8,2379847098,0.696841,0.148058,-0.241283,-0.658998,-2.526287,-8.530683,-6.885537
9,2379880432,0.711440,0.121154,-0.233519,-0.651650,-3.709532,-10.914342,-7.148554
10,2379913766,0.709829,0.096645,-0.218708,-0.662551,-3.331700,-11.479328,-7.137814
11,2379947100,0.691707,0.075646,-0.195983,-0.690951,-3.443074,-10.147736,-4.902125
12,2379980434,0.660542,0.051664,-0.173304,-0.728687,-3.432501,-5.456642,-1.991947
13,2380013768,0.622411,0.022940,-0.157733,-0.766291,-2.871018,-2.853732,0.877183
14,2380047102,0.585329,0.001820,-0.145854,-0.797570,-2.074333,0.898785,4.381315
15,2380080436,0.554169,-0.011661,-0.142312,-0.820068,0.634603,4.877187,7.339245
16,2380113770,0.532573,-0.020275,-0.151326,-0.832502,2.250546,6.681712,8.202509
17,2380147104,0.520701,-0.022836,-0.173344,-0.835646,3.176677,7.398351,8.093143
18,2380180438,0.516342,-0.018720,-0.203373,-0.831676,2.921153,7.496811,7.005653
19,2380213772,0.517779,-0.009367,-0.236473,-0.822133,1.656640,5.682083,4.477399
20,2380247106,0.524423,0.005959,-0.267234,-0.808415,0.874227,4.515060,1.776721
21,2380280440,0.535787,0.023386,-0.294923,-0.790829,0.725669,2.458583,-0.360269
22,2380313774,0.549362,0.037808,-0.321347,-0.770397,1.095181,-0.038719,-1.331415
23,2380347108,0.557934,0.037810,-0.353762,-0.749758,1.291223,-0.709052,-2.976078
24,2380380442,0.551689,0.010555,-0.399691,-0.731969,3.051830,-4.146682,-5.212567
25,2380413776,0.545931,-0.015835,-0.427321,-0.720493,4.546532,-8.260484,-5.361964
26,2380447110,0.544363,-0.034141,-0.429240,-0.719903,4.568912,-8.544647,-5.433671
27,2380480444,0.540526,-0.056096,-0.415617,-0.729350,3.833711,-6.440889,-5.594896
28,2380513778,0.527277,-0.094086,-0.398290,-0.744645,2.595763,-5.376881,-4.795797
29,2380547112,0.509365,-0.141951,-0.375170,-0.761347,1.366060,-5.875819,-3.713911
30,2380580446,0.490184,-0.191083,-0.342709,-0.778307,0.179448,-4.402718,-2.325852
31,2380613780,0.468793,-0.240071,-0.303443,-0.794056,-0.117928,-3.662423,-1.305975
32,2380647114,0.448279,-0.281591,-0.254603,-0.809280,-0.813887,-3.691121,-0.115337
33,2380680448,0.428761,-0.308959,-0.195960,-0.826022,-1.695767,-2.390796,1.087788
34,2380713782,0.407195,-0.325549,-0.132537,-0.843000,-3.519364,-2.177315,2.382667
35,2380747116,0.381444,-0.325157,-0.065750,-0.862818,-4.903692,-1.003760,4.057049
36,2380780450,0.348579,-0.300923,0.002060,-0.887659,-4.977827,-0.538876,3.917361
37,2380813784,0.306073,-0.242399,0.075383,-0.917542,-6.582570,0.428921,3.053732
38,2380847118,0.250413,-0.143433,0.153152,-0.945129,-0.507950,2.720782,7.806841
39,2380880452,0.195423,-0.073348,0.213158,-0.954462,4.012543,5.854366,-3.286031
40,2380913786,0.153484,-0.038191,0.257494,-0.953250,-4.829465,6.606634,-0.163591
41,2380947120,0.122294,0.008110,0.281872,-0.951594,0.847892,5.220238,2.404245
42,2380980454,0.105211,0.041611,0.294148,-0.949042,1.712341,4.135381,0.940803
