sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:42:37_253 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2379647094,-0.570825,0.671934,-0.342889,0.324180,0.513700,0.466401,0.460115
2,2379680428,-0.572079,0.669940,-0.342322,0.326684,0.343661,0.139946,0.778257
3,2379713762,-0.573548,0.667487,-0.341928,0.329530,-0.082957,-0.311786,0.743134
4,2379747096,-0.575555,0.665308,-0.340787,0.331615,-0.305132,-0.305454,0.311860
5,2379780430,-0.578054,0.664110,-0.338002,0.332518,-0.232794,-0.396128,0.238029
6,2379813764,-0.580381,0.662606,-0.335625,0.333870,-0.179459,-0.591118,-0.033033
7,2379847098,-0.581597,0.660162,-0.335725,0.336485,-0.439931,-0.793617,-0.412825
8,2379880432,-0.581591,0.657123,-0.337986,0.340160,-0.268859,-0.858696,-0.450015
9,2379913766,-0.580050,0.653793,-0.342182,0.344979,-0.167211,-1.042415,-0.239614
10,2379947100,-0.577668,0.650906,-0.346692,0.349897,-0.074799,-0.494715,-0.064185
11,2379980434,-0.576090,0.648320,-0.349662,0.354315,0.510003,-0.137994,0.063895
12,2380013768,-0.574450,0.644915,-0.352303,0.360522,1.113807,-0.118995,0.304929
13,2380047102,-0.572122,0.641180,-0.355219,0.367950,0.980315,0.293495,0.348817
14,2380080436,-0.569590,0.638098,-0.357786,0.374687,0.388045,0.383749,0.108921
15,2380113770,-0.568786,0.634405,-0.358946,0.381015,0.131971,0.916619,-0.021461
16,2380147104,-0.570213,0.629474,-0.359523,0.386477,-0.207124,1.270935,-0.003963
17,2380180438,-0.572141,0.627070,-0.359533,0.387524,-0.301468,1.369291,-0.307711
18,2380213772,-0.573762,0.626486,-0.359658,0.385953,-0.145936,0.539824,-0.485319
19,2380247106,-0.576766,0.624590,-0.359769,0.384443,0.149230,0.517350,0.045561
20,2380280440,-0.581698,0.622060,-0.358896,0.381920,0.537105,-1.700848,-0.593975
21,2380313774,-0.583452,0.623174,-0.358363,0.377910,0.704674,-0.830683,0.439849
22,2380347108,-0.587622,0.622379,-0.356403,0.374598,0.628704,-0.396585,0.291771
23,2380380442,-0.585576,0.624431,-0.358615,0.372269,0.570348,-1.394908,0.169788
24,2380413776,-0.582124,0.627202,-0.361150,0.370570,0.122401,-1.009825,0.313550
25,2380447110,-0.578695,0.629538,-0.363685,0.369498,0.758058,-0.113686,0.305349
26,2380480444,-0.574662,0.631142,-0.367670,0.369113,0.468161,0.117534,-0.212219
27,2380513778,-0.571224,0.631317,-0.372592,0.369215,0.397856,0.284071,-0.093367
28,2380547112,-0.568358,0.631096,-0.377940,0.368579,-0.057764,-0.436899,0.118587
29,2380580446,-0.563670,0.630547,-0.385314,0.369082,0.165143,-1.190039,0.528698
30,2380613780,-0.556937,0.629766,-0.394393,0.371041,-0.092515,-1.038427,0.191703
31,2380647114,-0.550032,0.628969,-0.403746,0.372631,-0.150388,-0.827241,-0.024348
32,2380680448,-0.542636,0.627797,-0.414180,0.373997,-0.203689,-0.925688,0.285731
33,2380713782,-0.533849,0.625778,-0.426371,0.376320,-0.287959,-0.669223,-0.224374
34,2380747116,-0.523681,0.623673,-0.440054,0.378345,-0.397338,0.147868,0.003049
35,2380780450,-0.517609,0.620241,-0.450952,0.379508,-0.449367,0.091564,0.714395
36,2380813784,-0.513416,0.614233,-0.461338,0.382480,1.216002,-0.114152,0.531709
37,2380847118,-0.508610,0.607254,-0.472586,0.386295,0.595516,0.089571,-0.137804
38,2380880452,-0.502447,0.597613,-0.485742,0.393017,-0.042432,0.084013,0.144048
39,2380913786,-0.496048,0.588620,-0.498084,0.399220,-0.570866,1.730030,0.195989
40,2380947120,-0.491959,0.582695,-0.506597,0.402248,-1.035078,1.575152,0.382585
41,2380980454,-0.489912,0.579785,-0.511465,0.402791,-0.800864,1.095179,0.020467
42,2381013788,-0.489726,0.580199,-0.513095,0.400341,0.105138,-0.121163,0.112694
43,2381047122,-0.487402,0.579359,-0.516795,0.399633,0.109908,-1.024256,-0.232212
44,2381080456,-0.483589,0.577453,-0.522052,0.400191,0.047842,0.400873,0.156617
45,2381113790,-0.481356,0.575822,-0.525924,0.400165,-0.293801,1.077077,0.427815
46,2381147124,-0.479632,0.574361,-0.529138,0.400097,-0.036386,0.843435,0.272997
47,2381180458,-0.478581,0.574659,-0.530966,0.398503,-0.159300,0.633481,-0.121171
48,2381213792,-0.478230,0.576315,-0.531419,0.395921,0.015127,0.650381,-0.013664
49,2381247126,-0.477826,0.579251,-0.530814,0.392923,0.041636,0.366563,0.082211
50,2381280460,-0.478107,0.583566,-0.528613,0.389147,-0.027003,0.241001,0.234842
51,2381313794,-0.478432,0.588472,-0.525823,0.385116,0.198319,0.531291,0.149246
52,2381347128,-0.478559,0.593912,-0.522812,0.380682,0.271476,0.722715,0.224518
53,2381380462,-0.479354,0.600260,-0.518370,0.375768,0.252226,0.646593,0.290548
54,2381413796,-0.480869,0.608108,-0.511894,0.370048,0.010728,0.819005,0.175277
55,2381447130,-0.483103,0.617985,-0.502963,0.362955,-0.264681,1.046168,0.197682
56,2381480464,-0.486271,0.629553,-0.491471,0.354487,-0.447317,1.086287,0.145163
57,2381513798,-0.490688,0.642787,-0.477257,0.343916,-0.622610,0.988315,0.142946
58,2381547132,-0.495439,0.656766,-0.461298,0.332272,-0.604946,0.254580,0.100518
59,2381580466,-0.499805,0.669999,-0.445266,0.320993,-0.710550,-0.117281,-0.015117
60,2381613800,-0.503097,0.681390,-0.431074,0.311091,-0.410533,-0.518263,-0.104684
61,2381647134,-0.504623,0.691692,-0.418629,0.302769,-0.486119,0.068354,-0.011790
62,2381680468,-0.507275,0.700887,-0.405619,0.294796,-0.674602,0.341283,0.262583
63,2381713802,-0.510926,0.708758,-0.392977,0.286684,-0.292642,-0.129651,0.378559
64,2381747136,-0.514643,0.715237,-0.381391,0.279502,0.580859,0.014443,0.100739
