sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:39:22_467 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2184843198,0.802695,-0.473190,-0.138756,0.335436,-0.313560,-0.510365,0.523026
2,2184876532,0.802247,-0.472680,-0.143914,0.335056,0.043169,-0.188765,0.208300
3,2184909866,0.802254,-0.472907,-0.147364,0.333211,0.154530,0.064269,0.190961
4,2184943200,0.802761,-0.473034,-0.150832,0.330244,0.171161,0.245542,0.104621
5,2184976534,0.804045,-0.473670,-0.153231,0.325066,0.113187,0.242258,-0.046476
6,2185009868,0.806382,-0.473873,-0.155522,0.317813,0.120955,0.451349,0.039803
7,2185043202,0.809969,-0.473375,-0.156423,0.308865,0.197073,0.571563,-0.198763
8,2185076536,0.814527,-0.472994,-0.155321,0.297819,0.435549,0.383856,-0.492277
9,2185109870,0.818935,-0.472659,-0.155346,0.286017,-0.596956,-0.287647,0.236250
10,2185143204,0.822577,-0.472435,-0.157108,0.274750,-0.551478,0.294632,0.199290
11,2185176538,0.825825,-0.472556,-0.158752,0.263632,-0.474498,0.598260,0.429551
12,2185209872,0.828883,-0.472628,-0.159741,0.253097,-0.304793,0.567120,0.306240
13,2185243206,0.831324,-0.472592,-0.160922,0.244254,-0.305644,0.462188,-0.014383
14,2185276540,0.833040,-0.472145,-0.163459,0.237497,-0.401705,0.639575,0.296451
15,2185309874,0.834897,-0.471015,-0.165576,0.231679,-0.371282,0.793638,0.353277
16,2185343208,0.836846,-0.469786,-0.166466,0.226448,-0.589900,0.195217,0.482159
17,2185376542,0.838018,-0.469338,-0.167442,0.222283,-0.492495,0.073274,-0.102757
18,2185409876,0.837774,-0.469065,-0.171569,0.220628,-0.625557,0.557647,0.220521
19,2185443210,0.836737,-0.468479,-0.178286,0.220483,-0.354941,0.767450,-0.008653
20,2185476544,0.834836,-0.467613,-0.187091,0.222223,-0.440835,0.981605,0.122097
21,2185509878,0.832196,-0.466269,-0.197440,0.225963,-0.039419,0.514541,-0.179809
22,2185543212,0.829114,-0.465570,-0.207629,0.229572,-0.201753,0.137174,-0.085761
23,2185576546,0.826396,-0.464708,-0.217101,0.232340,-0.416408,-0.143761,0.633622
24,2185609880,0.825185,-0.465038,-0.220099,0.233161,0.199723,0.297859,-0.258815
25,2185643214,0.824353,-0.465714,-0.220593,0.234287,0.308477,0.652927,-0.459991
26,2185676548,0.823020,-0.466442,-0.219691,0.238337,0.026954,0.642119,0.102165
27,2185709882,0.821282,-0.466884,-0.217715,0.245181,-0.476271,0.434872,-0.144820
28,2185743216,0.819565,-0.467022,-0.214175,0.253638,-0.376152,0.388925,0.603168
29,2185776550,0.818370,-0.467962,-0.207208,0.261430,-0.478843,0.328997,0.267243
30,2185809884,0.817004,-0.469266,-0.199041,0.269585,-1.035486,0.232778,0.386768
31,2185843218,0.815414,-0.470706,-0.189927,0.278321,-0.409036,0.210822,0.090795
32,2185876552,0.813108,-0.472057,-0.180991,0.288548,-0.307247,-0.052486,-0.186448
33,2185909886,0.810238,-0.473936,-0.171804,0.298968,-0.867167,-0.259179,0.298058
34,2185943220,0.807214,-0.476112,-0.161661,0.309171,-0.400554,0.196096,0.169652
35,2185976554,0.804254,-0.479211,-0.150987,0.317384,-0.152960,-0.164086,0.326182
36,2186009888,0.801017,-0.481762,-0.142997,0.325312,-0.502522,0.310749,0.720036
37,2186043222,0.798739,-0.483008,-0.136141,0.331940,-0.402595,-0.274998,0.503537
38,2186076556,0.796268,-0.484858,-0.129587,0.337751,-0.076343,-0.407856,0.409699
39,2186109890,0.794426,-0.486320,-0.122975,0.342429,-0.437544,0.002593,-0.042493
40,2186143224,0.792966,-0.486647,-0.119487,0.346557,0.270474,0.259628,0.391901
41,2186176558,0.791509,-0.486183,-0.117985,0.351023,0.569404,0.035457,-0.794312
42,2186209892,0.790353,-0.484725,-0.118450,0.355462,-0.026644,-0.445006,-0.126915
43,2186243226,0.790097,-0.481102,-0.120609,0.360194,0.011464,-0.031532,0.107928
44,2186276560,0.790873,-0.478244,-0.120425,0.362352,-0.498737,-0.511946,0.750710
45,2186309894,0.793123,-0.476045,-0.118030,0.361116,-0.584266,-0.369781,1.212255
46,2186343228,0.795942,-0.475046,-0.113547,0.357651,-0.880890,-0.320960,0.058586
47,2186376562,0.798893,-0.473028,-0.111174,0.354476,0.149914,0.911385,0.068253
48,2186409896,0.801970,-0.470975,-0.109117,0.350883,-0.376118,0.659197,-0.131553
49,2186443230,0.804361,-0.467388,-0.110615,0.349736,-0.117703,0.492795,-0.460849
50,2186476564,0.806589,-0.464003,-0.112767,0.348422,-0.407499,0.283160,0.678202
51,2186509898,0.809039,-0.461064,-0.113120,0.346525,-0.867994,-0.092389,0.086684
