sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:39:22_458 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2184843198,0.007329,-0.004738,-0.435896,0.899957,-0.053884,0.109056,0.128319
2,2184876532,0.011268,-0.000718,-0.432648,0.901494,0.173750,0.278020,-0.097716
3,2184909866,0.014990,0.005518,-0.429246,0.903048,0.309218,0.229111,0.184377
4,2184943200,0.018867,0.013607,-0.425134,0.904834,-0.159448,0.141645,0.296470
5,2184976534,0.023809,0.021224,-0.420705,0.906639,0.398443,0.330184,0.108639
6,2185009868,0.029278,0.027764,-0.415936,0.908500,0.457149,0.028367,0.237382
7,2185043202,0.034389,0.035375,-0.411157,0.910231,0.260796,0.011995,0.423521
8,2185076536,0.039538,0.040114,-0.407209,0.911599,-0.352646,-0.230850,-0.088600
9,2185109870,0.045032,0.041925,-0.405365,0.912084,-0.001619,-0.706363,0.493949
10,2185143204,0.049409,0.042286,-0.404434,0.912254,-0.393798,-0.223718,0.144413
11,2185176538,0.053539,0.040759,-0.403977,0.912293,-0.044830,0.152827,0.034019
12,2185209872,0.057677,0.038633,-0.403296,0.912435,-0.585063,0.047300,-0.125751
13,2185243206,0.062630,0.036530,-0.402305,0.912632,0.189494,0.119417,0.024522
14,2185276540,0.066855,0.036423,-0.400921,0.912945,0.255788,-0.383094,0.316394
15,2185309874,0.070483,0.037953,-0.399466,0.913248,0.360961,-0.226721,-0.406664
16,2185343208,0.074856,0.035821,-0.399925,0.912785,0.206984,-0.415050,0.134582
17,2185376542,0.079144,0.031194,-0.401069,0.912091,1.463495,-0.902251,1.204966
18,2185409876,0.080789,0.029914,-0.402154,0.911512,0.536733,-0.467606,0.196133
19,2185443210,0.080488,0.028925,-0.403346,0.911043,0.683692,-0.451015,-0.046043
20,2185476544,0.078984,0.030267,-0.403477,0.911074,-0.543261,-0.091928,0.151929
21,2185509878,0.079563,0.025722,-0.403429,0.911184,-0.624154,0.446494,-0.511600
22,2185543212,0.081113,0.018925,-0.402995,0.911406,0.671135,0.087771,0.185360
23,2185576546,0.079704,0.017443,-0.402107,0.911952,0.086334,0.171542,0.124408
24,2185609880,0.076377,0.017501,-0.401589,0.912464,0.520049,-0.382179,0.336134
25,2185643214,0.072357,0.018014,-0.400965,0.913056,0.650213,-0.590524,0.200998
26,2185676548,0.068148,0.017550,-0.400725,0.913494,1.535849,0.069175,0.317249
27,2185709882,0.064082,0.017965,-0.400114,0.914048,1.006984,-0.497691,0.208200
28,2185743216,0.060624,0.018854,-0.399100,0.914709,0.687896,-0.812891,0.471686
29,2185776550,0.057402,0.017844,-0.398093,0.915375,1.329110,-0.431262,0.979127
30,2185809884,0.052704,0.018782,-0.397124,0.916060,1.060166,-0.531447,0.750185
31,2185843218,0.046899,0.021963,-0.396763,0.916461,0.631258,0.101630,0.169147
32,2185876552,0.043333,0.023904,-0.397653,0.916202,-0.902180,-0.134400,0.159447
33,2185909886,0.039738,0.025967,-0.400275,0.915167,0.820057,0.185961,-1.003509
34,2185943220,0.036645,0.024952,-0.403974,0.913697,-0.156960,-0.400068,0.340856
35,2185976554,0.033254,0.023198,-0.408410,0.911900,0.611026,-0.414900,0.158218
36,2186009888,0.028522,0.022157,-0.412843,0.910088,0.750198,-0.239225,0.331524
37,2186043222,0.021635,0.023197,-0.417890,0.907946,0.785299,-0.028762,0.674628
38,2186076556,0.014391,0.023886,-0.423806,0.905326,-1.012068,-0.383829,1.265247
39,2186109890,0.006595,0.021955,-0.430257,0.902417,-0.426490,0.165488,0.134596
40,2186143224,-0.002793,0.020860,-0.435808,0.899795,0.670699,0.190585,0.109460
41,2186176558,-0.013203,0.021560,-0.438988,0.898139,-0.255549,0.566171,-1.527451
42,2186209892,-0.021376,0.020289,-0.442209,0.896430,-0.374816,0.800842,-0.407435
43,2186243226,-0.029039,0.020066,-0.443938,0.895364,1.084110,0.361591,0.295499
44,2186276560,-0.037685,0.025039,-0.444916,0.894431,0.257426,-0.592596,0.312447
45,2186309894,-0.044778,0.026876,-0.446198,0.893411,0.785917,-0.163136,0.521456
46,2186343228,-0.049972,0.026842,-0.449055,0.891704,0.662646,0.022682,0.300833
47,2186376562,-0.051748,0.024547,-0.451613,0.890376,-0.165821,-0.600995,0.187661
48,2186409896,-0.050243,0.019656,-0.454356,0.889187,0.376263,0.117530,0.218374
49,2186443230,-0.047444,0.015383,-0.455579,0.888799,-0.309878,-0.134805,-0.086860
50,2186476564,-0.044214,0.013294,-0.455836,0.888867,-0.076048,0.131699,-0.132892
51,2186509898,-0.041141,0.010394,-0.455480,0.889236,0.952683,-0.022193,-0.447528
52,2186543232,-0.040630,0.010295,-0.453927,0.890054,0.455046,-0.166693,0.165346
53,2186576566,-0.039859,0.011807,-0.450514,0.891803,0.505305,-0.155044,0.151318
54,2186609900,-0.038390,0.013018,-0.445688,0.894272,-0.011486,0.155222,0.170193
55,2186643234,-0.035940,0.014947,-0.440160,0.897077,0.944570,0.089187,0.243643
56,2186676568,-0.033391,0.018455,-0.433325,0.900432,0.288464,0.294010,0.455484
57,2186709902,-0.029207,0.023391,-0.425516,0.904179,0.146848,0.181699,-0.124258
58,2186743236,-0.023827,0.030612,-0.416248,0.908425,-0.472953,-0.075567,0.064529
59,2186776570,-0.015895,0.038887,-0.406418,0.912723,-0.908398,0.946485,0.395329
60,2186809904,-0.005642,0.049230,-0.397565,0.916237,-0.854406,1.288047,-0.039899
61,2186843238,0.005689,0.059598,-0.391073,0.918412,-0.375813,0.802393,0.425573
62,2186876572,0.016460,0.068124,-0.389953,0.918166,-0.831496,1.246269,0.500083
63,2186909906,0.028532,0.069443,-0.393136,0.916412,0.341911,-0.528299,0.900865
64,2186943240,0.042280,0.058237,-0.397378,0.914831,1.595107,-0.965625,0.105843
65,2186976574,0.056052,0.047207,-0.399904,0.913625,1.250401,-1.582233,-0.711491
66,2187009908,0.069546,0.034686,-0.403399,0.911720,-0.309930,-0.256233,-0.201394
67,2187043242,0.083776,0.019383,-0.407010,0.909369,-0.110709,0.413800,-0.280008
68,2187076576,0.094496,0.010766,-0.411828,0.906287,0.476873,0.598877,0.634606
69,2187109910,0.099759,0.009766,-0.414957,0.904305,0.365936,-0.201672,0.508490
70,2187143244,0.100660,0.012793,-0.417004,0.903225,0.712245,-0.336575,-0.336044
71,2187176578,0.099743,0.014499,-0.418586,0.902569,0.129921,0.147278,0.209933
72,2187209912,0.099712,0.012050,-0.418515,0.902641,0.389050,-0.016339,-0.537770
73,2187243246,0.099042,0.008759,-0.418161,0.902917,0.539546,-0.273985,0.883726
74,2187276580,0.094725,0.007787,-0.416671,0.904077,1.154314,0.104931,0.873301
75,2187309914,0.086454,0.011312,-0.413943,0.906120,0.599642,-0.130854,0.088421
76,2187343248,0.075332,0.018142,-0.410432,0.908595,-0.133540,-0.956014,0.642102
77,2187376582,0.062630,0.026664,-0.407303,0.910755,0.342642,0.206681,0.131109
78,2187409916,0.048224,0.037730,-0.404491,0.912492,-0.220957,0.556374,-0.337476
79,2187443250,0.034080,0.048001,-0.402326,0.913604,-1.029399,-0.437283,-0.148932
80,2187476584,0.021250,0.053183,-0.401138,0.914228,0.308612,0.171759,-0.189892
81,2187509918,0.010275,0.056071,-0.401463,0.914102,0.355257,0.344297,-0.313098
82,2187543252,0.000908,0.056396,-0.404147,0.912956,0.455343,0.338754,0.409593
83,2187576586,-0.007802,0.057357,-0.409056,0.910674,-0.193616,0.136391,0.977037
84,2187609920,-0.017862,0.060412,-0.416617,0.906899,-0.220180,0.060904,1.932518
85,2187643254,-0.028355,0.061225,-0.423024,0.903605,0.400391,-0.869360,0.696317
86,2187676588,-0.038140,0.059176,-0.429019,0.900550,0.284824,0.965898,-1.709619
87,2187709922,-0.045157,0.056819,-0.435210,0.897401,-0.697695,1.160971,-0.635920
88,2187743256,-0.050637,0.054234,-0.440248,0.894807,-0.278007,1.536882,0.523226
89,2187776590,-0.055860,0.053085,-0.442018,0.893692,-0.269379,0.336770,0.246598
90,2187809924,-0.061661,0.053965,-0.443286,0.892629,-0.168278,-0.271450,-0.207384
91,2187843258,-0.066233,0.053101,-0.446194,0.890903,-0.084249,-0.212601,-0.030587
92,2187876592,-0.067934,0.049773,-0.450553,0.888771,-0.008764,0.445250,-0.353284
93,2187909926,-0.066636,0.045690,-0.454877,0.886884,0.102719,0.380058,0.235469
94,2187943260,-0.063205,0.041565,-0.458171,0.885641,0.512195,0.339025,0.760932
95,2187976594,-0.060211,0.039496,-0.458671,0.885686,0.899395,0.102517,0.612436
96,2188009928,-0.058692,0.041294,-0.456930,0.886605,0.226830,0.290405,-0.710402
