sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-01_14:39:22_468 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2184876532,0.198977,-0.247805,0.751579,-0.578041,-0.217509,0.344917,0.003466
2,2184909866,0.196486,-0.246792,0.750956,-0.580132,-0.196563,0.443943,0.094114
3,2184943200,0.194117,-0.246269,0.750257,-0.582054,-0.157845,0.342441,0.047860
4,2184976534,0.191487,-0.245337,0.749426,-0.584385,0.072035,0.001911,0.075185
5,2185009868,0.188427,-0.243644,0.748652,-0.587074,0.370497,0.033450,0.389144
6,2185043202,0.186469,-0.241791,0.747038,-0.590510,0.813345,-0.186067,0.424771
7,2185076536,0.186223,-0.239817,0.744099,-0.595086,1.282946,-0.443258,0.493925
8,2185109870,0.187078,-0.236417,0.739373,-0.602028,1.820491,-1.081603,0.925159
9,2185143204,0.190580,-0.232672,0.731162,-0.612329,2.158784,-1.640386,1.037121
10,2185176538,0.197286,-0.229477,0.719305,-0.625317,1.854649,-1.706327,0.776525
11,2185209872,0.205680,-0.227545,0.705858,-0.638502,1.221204,-0.776045,0.359628
12,2185243206,0.214772,-0.227326,0.692527,-0.650080,2.033990,0.926556,0.484799
13,2185276540,0.233452,-0.234436,0.680918,-0.653370,3.114057,3.546840,0.657647
14,2185309874,0.256063,-0.246628,0.671002,-0.650664,-0.371165,3.768128,-0.992383
15,2185343208,0.270887,-0.257280,0.664781,-0.646912,-1.232609,1.439394,-1.153316
16,2185376542,0.287417,-0.269566,0.658258,-0.641423,-0.801534,-0.642747,-0.402824
17,2185409876,0.309346,-0.284388,0.649486,-0.633718,-1.324390,-1.117602,-0.077558
18,2185443210,0.328104,-0.294774,0.641146,-0.628005,-0.434018,-1.194535,0.080464
19,2185476544,0.340603,-0.299719,0.636063,-0.624166,-0.425668,-0.561887,0.396867
20,2185509878,0.353022,-0.303207,0.630224,-0.621499,-0.543280,-0.597035,0.465527
21,2185543212,0.367445,-0.306747,0.621555,-0.620130,-0.704342,-0.860858,-0.148037
22,2185576546,0.380239,-0.308565,0.613224,-0.619810,-0.206294,-0.664564,-0.382966
23,2185609880,0.390824,-0.309927,0.607554,-0.618127,-0.777976,-0.087681,-0.796504
24,2185643214,0.400972,-0.311214,0.602573,-0.615854,-0.090816,-0.336220,-0.262207
25,2185676548,0.412693,-0.313222,0.596736,-0.612768,-0.008582,-0.850719,-0.638108
26,2185709882,0.420797,-0.314379,0.594114,-0.609201,0.449888,-1.757095,-0.366081
27,2185743216,0.425392,-0.314726,0.594860,-0.605089,-0.422217,-1.530570,-0.788484
28,2185776550,0.426771,-0.313908,0.599658,-0.599784,0.682583,-0.046117,-0.543907
29,2185809884,0.426004,-0.314783,0.605846,-0.593620,0.686937,-0.721939,-0.570634
30,2185843218,0.423283,-0.316462,0.612890,-0.587410,0.255820,-0.599480,-0.059321
31,2185876552,0.415845,-0.320923,0.623239,-0.579359,-1.935778,-2.393112,1.893617
32,2185909886,0.415008,-0.327023,0.625090,-0.574534,2.520816,-0.058345,2.433053
33,2185943220,0.415264,-0.332468,0.630466,-0.565275,-0.127328,-1.581053,0.365088
34,2185976554,0.409835,-0.331351,0.639374,-0.559861,-0.369725,-0.876777,-0.647483
35,2186009888,0.404777,-0.329163,0.647520,-0.555453,-0.681330,-0.646937,-0.326984
36,2186043222,0.397361,-0.325594,0.657271,-0.551443,-1.732425,-0.156353,1.571971
37,2186076556,0.383661,-0.319495,0.672587,-0.546219,-2.215876,0.490149,-0.880315
38,2186109890,0.369509,-0.311550,0.687330,-0.542199,-1.705388,0.201277,-0.593003
39,2186143224,0.352953,-0.302229,0.703682,-0.537509,-1.600871,-0.047359,-0.598199
40,2186176558,0.332569,-0.292457,0.720871,-0.533117,-0.396843,1.293143,0.169270
41,2186209892,0.312280,-0.283636,0.736508,-0.528762,0.467120,1.426162,0.626999
42,2186243226,0.293925,-0.274898,0.750133,-0.524730,0.676216,1.252424,0.672724
43,2186276560,0.279163,-0.265542,0.761160,-0.521722,0.981588,1.166820,0.077610
44,2186309894,0.264527,-0.254280,0.771425,-0.519877,0.899175,0.386245,-0.048030
45,2186343228,0.250249,-0.242740,0.780807,-0.518454,0.452989,0.798544,0.585438
46,2186376562,0.239297,-0.234018,0.788328,-0.516250,0.483630,0.941263,-0.059155
47,2186409896,0.229952,-0.229240,0.794137,-0.513730,0.464851,-0.040075,0.066452
48,2186443230,0.220951,-0.225576,0.799183,-0.511474,0.669830,-0.350696,0.309677
49,2186476564,0.207649,-0.218799,0.805617,-0.509894,-0.004349,-0.797444,0.116543
50,2186509898,0.192533,-0.210972,0.811704,-0.509471,1.006471,-0.990902,0.155437
51,2186543232,0.179829,-0.204879,0.815892,-0.509910,1.861901,0.570591,-0.065679
52,2186576566,0.169707,-0.200838,0.818969,-0.510054,1.408140,0.282768,-0.010151
53,2186609900,0.160077,-0.198298,0.821982,-0.509314,0.524643,0.065751,-0.146404
54,2186643234,0.148745,-0.196101,0.825552,-0.507824,0.086238,-0.250158,0.098735
55,2186676568,0.134650,-0.192596,0.829482,-0.506693,0.403896,0.059714,-0.135778
56,2186709902,0.118609,-0.187114,0.833305,-0.506482,1.333627,-0.306366,0.036069
57,2186743236,0.101781,-0.181145,0.836519,-0.507015,2.380360,-0.667466,0.690057
58,2186776570,0.087112,-0.178043,0.837984,-0.508426,3.842740,-1.825584,0.614830
59,2186809904,0.079100,-0.179534,0.836779,-0.511189,4.753690,-1.606644,1.201665
60,2186843238,0.081306,-0.185433,0.830664,-0.518655,5.521705,-3.135242,1.742576
61,2186876572,0.093644,-0.193817,0.817601,-0.534037,5.114882,-6.233027,1.304019
62,2186909906,0.114061,-0.207463,0.788299,-0.567922,4.833341,-6.580052,0.202258
63,2186943240,0.121636,-0.204647,0.762409,-0.601713,2.935114,4.953410,1.201187
