SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
98127273,0.42753,1.044149,0.326008,-0.950335,-0.209594,0.247978,0.690153,-1.205883,0.128665,0
98160607,0.331346,0.539901,0.14466,-0.354341,-0.093095,0.215154,0.631336,-0.958896,-0.077105,0
98193941,0.26797,0.053697,-0.072104,-0.147633,0.050958,0.2666,0.454564,-0.992278,-0.049832,0
98227275,0.223795,-0.215489,-0.148702,-0.353144,-0.33747,0.797069,0.129285,-1.29021,0.261617,0
98260609,0.315129,-0.034143,-0.171253,-0.40227,-0.678184,1.02526,-0.062154,-0.831396,0.150153,0
98293943,0.542858,0.053408,-0.014353,-0.293933,-0.886377,1.119182,-0.06575,-0.879187,0.417268,0
98327277,0.581596,-0.274273,0.238242,-0.075323,-1.313316,1.598867,-0.110398,-0.982735,0.912959,0
98360611,0.409302,-0.303762,0.346967,-0.139092,-1.124732,1.601202,-0.178088,-0.31866,0.914926,0
98393945,0.344896,0.153973,0.221933,-0.118108,-0.91181,1.687752,-0.145775,0.284842,0.3066,0
98427279,0.292457,0.514318,0.044259,0.237505,-0.722121,1.641896,-0.028001,-0.395066,0.68005,0
98460613,0.282462,0.397418,-0.150235,0.036623,-0.259363,1.988106,-0.364327,-1.13911,1.21841,0
98493947,0.523734,0.599407,0.159794,-0.180454,-0.148382,2.019415,-0.483886,-0.967998,1.325715,0
98527281,0.600503,0.43271,0.355748,-0.228242,-0.120981,1.955054,-0.817744,-1.143286,1.796183,0
98560615,0.234139,0.317222,0.393065,-0.285602,0.39304,1.409547,-0.892686,-0.692833,2.076007,0
98593949,0.181071,0.191638,0.591409,-0.015236,0.777373,0.585827,-0.505342,-0.116111,2.091346,0
98627283,-0.045599,-0.078532,0.727839,-0.065493,1.002377,0.136087,-0.187102,0.488424,1.815454,0
98660617,-0.084232,-0.263053,0.143798,0.195596,1.184739,-0.234295,0.308289,0.697387,2.289597,0
98693951,-0.109976,-0.086287,-0.193799,0.007094,1.274355,-1.398879,0.269203,1.151037,1.114112,0
