SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
187494457,0.06513,-0.0207,0.064411,-0.081818,0.067787,-0.093854,-0.119757,-0.32042,0.080263,0
187527791,-0.046171,-0.029225,0.07566,-0.024442,0.094358,-0.069182,-0.252261,-0.35544,0.24609,0
187561125,0.076359,-0.039082,0.128725,-0.070813,0.100664,-0.199053,-0.425926,0.48253,0.268662,0
187594459,0.020553,-0.147627,0.118006,-0.060253,0.030867,-0.125594,-0.677767,0.498764,0.659991,0
187627793,-0.10204,-0.171151,0.259142,-0.108347,0.016114,-0.133312,-0.445277,0.519926,0.656734,0
187661127,0.026211,-0.101152,0.157396,-0.044286,-0.058106,-0.030151,-0.197101,0.539387,0.727771,0
187694461,0.021013,-0.116308,0.103168,-0.081788,-0.011447,-0.054741,0.035646,0.221776,0.562865,0
187727795,0.026127,-0.27576,0.175174,-0.030684,0.008619,-0.289755,0.14596,-0.015304,-0.720217,0
187761129,-0.460997,-0.367377,0.467906,-0.130716,0.119954,-0.232944,0.080288,0.214096,-0.552711,0
187794463,-0.257422,-0.275278,0.608542,-0.04419,0.230175,-0.206416,-0.159103,-0.338869,-0.045056,0
187827797,-0.13527,-0.447494,0.184807,-0.219008,-0.068699,-0.394527,0.104527,0.191348,-0.268311,0
187861131,-0.297519,-0.524697,-0.042056,-0.326486,-0.326,-0.322984,0.269247,-0.108871,-0.674256,0
187894465,-0.323929,-0.464546,-0.162951,-0.390527,-0.312317,-0.319965,0.283206,-0.175709,-1.050549,0
187927799,-0.147674,-0.611822,-0.68068,-0.48275,-0.429233,-0.527367,0.222724,-0.243692,-1.058637,0
187961133,-0.291896,-0.571609,-0.850886,-0.623183,-0.597077,-0.679154,0.250249,-0.373212,-1.026822,0
187994467,-0.301637,-0.398446,-1.077147,-0.736143,-0.86703,-0.43038,0.447419,-0.508354,-1.258454,0
188027801,-0.208094,0.083979,-0.925398,-0.475512,-0.976053,0.419302,0.709304,-0.396647,-0.994584,0
188061135,0.045156,0.613292,-0.249164,-0.039096,-0.687565,0.560961,0.890656,-0.134669,-0.804108,0
188094469,0.304937,0.543696,0.039708,0.066982,-0.332819,0.735916,0.911608,-0.317275,-0.594222,0
188127803,0.639667,0.501993,-0.212177,0.394843,-0.301475,0.745659,0.399013,-0.374731,-0.756845,0
188161137,0.566854,0.501716,0.566053,0.388116,0.202962,0.578279,0.852814,-0.785896,-0.295217,0
188194471,0.546247,0.27499,-0.211823,0.705397,-0.726524,2.242253,1.229655,-0.164432,-0.176085,0
188227805,0.405252,0.21407,-0.481178,0.880873,-0.997106,1.7123,0.68017,-0.491432,0.77769,0
188261139,0.537456,0.337197,-0.097623,0.417982,-0.531176,1.527513,-0.013971,-0.753736,1.33863,0
188294473,0.33136,0.274338,-0.003413,0.277606,0.109179,0.92211,-0.171517,-0.301099,-0.567637,0
188327807,0.181667,0.128324,-0.501557,-0.075666,0.157292,-0.376611,-1.042636,0.491973,-0.000269,0
188361141,0.011611,0.101712,-0.788158,0.43511,0.494599,-1.54395,-2.097779,1.837632,0.931808,0
188394475,0.342573,0.327312,-0.816057,0.143145,1.299232,-2.67983,-1.811636,1.892431,0.585457,0
188427809,0.429571,0.359295,-0.64485,-0.04765,1.89628,-3.26467,-1.818692,1.505704,0.617937,0
188461143,0.36104,0.389545,-1.271715,0.014925,1.57326,-3.905235,-2.027056,1.241422,1.410024,0
188494477,-0.079463,0.142638,-1.711303,0.53141,1.0483,-3.82869,-2.033173,0.982705,0.796311,0
188527811,0.62333,-0.603751,-1.395434,-0.478753,0.894552,-4.311597,-1.351796,0.134697,1.338657,0
188561145,0.504735,-0.023966,-0.885537,0.170786,0.166177,0.398229,-0.372915,0.116015,0.023723,0
188594479,-0.226162,0.303651,-0.508896,1.879576,-0.625967,-1.092858,0.097753,-0.32281,-0.496818,0
188627813,-0.176649,0.219181,0.007583,0.445222,0.076596,-1.335281,0.248122,-0.25199,-1.151967,0
188661147,-0.120448,0.362808,-0.062819,-0.131105,0.601744,-0.218608,0.595391,-0.310884,-1.906963,0
188694481,-0.45152,0.560476,-0.15916,0.370503,-0.046229,2.052039,1.231178,-0.561118,-2.201892,0
188727815,-0.140619,0.185624,0.638031,-0.601537,-0.462778,1.970155,1.400533,-0.755914,-2.221794,0
188761149,0.348493,-0.367931,1.07175,-0.289306,-0.465689,1.095161,2.375635,-1.799366,-1.574458,0
188794483,0.403202,-0.416593,0.332131,-1.269022,-0.333141,0.186519,2.369947,-2.286532,-1.302799,0
188827817,-0.106109,-0.420009,0.607451,-2.135772,0.102121,0.56697,2.521563,-1.739534,-1.084985,0
188861151,-0.340873,-0.279158,-0.294986,-0.279541,-1.2046,2.747681,2.069451,-0.903604,-0.644308,0
188894485,-0.222168,-0.342983,-0.475704,0.975222,-2.099892,1.508143,1.515893,-0.213794,-0.620778,0
188927819,0.374564,0.084688,0.551766,0.330298,-1.194292,1.492666,0.415321,0.147513,0.073699,0
188961153,0.310594,-0.135116,0.1674,-0.480859,-0.100318,1.316771,-0.388631,1.671934,1.072107,0
188994487,0.517963,-0.431306,-0.401623,0.027671,-0.013055,-0.475574,-0.941545,0.102486,0.998674,0
189027821,-0.253812,-0.545883,0.078753,0.559552,0.817749,-1.911492,-2.611347,3.120813,0.470951,0
189061155,-0.033644,0.312029,0.345676,-0.495546,1.29315,-2.962366,-2.551406,2.211769,2.463689,0
189094489,0.581944,1.148291,0.841488,-0.579309,2.172046,-2.997879,-2.574383,1.4559,3.062185,0
189127823,0.497061,0.87698,0.505403,-0.464468,2.080489,-3.054706,-2.210772,1.167157,2.513237,0
189161157,0.203301,0.255851,-0.416487,0.01479,1.614516,-1.892561,-1.332295,0.593445,1.847596,0
189194491,-0.133168,0.274291,-0.864046,0.826207,0.719712,0.859188,-0.395342,0.24558,1.35815,0
