SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1628340105,-0.066891,-0.082748,-0.015243,0.005919,0.641175,-0.191264,-0.182967,0.16894,-0.02989,1
1628373439,-0.023287,-0.044595,-0.099891,0.044444,0.517898,-0.133128,-0.2114,0.114972,-0.082853,1
1628406773,-0.0476,-0.070305,0.212318,0.121443,0.408608,-0.046068,-0.271622,0.017622,0.092056,1
1628440107,-0.150237,-0.048727,0.270893,0.218943,0.242973,0.034863,-0.259127,-0.120692,0.275821,1
1628473441,-0.164186,-0.126883,0.444151,0.422667,0.124293,-0.028534,-0.250662,-0.211268,0.458725,1
1628506775,-0.407042,-0.166435,0.575386,0.604559,-0.016228,-0.097623,-0.067806,-0.407586,0.691349,1
1628540109,-0.419092,-0.167637,0.340566,0.777108,-0.106644,-0.156267,0.024908,-0.583987,0.602756,1
1628573443,-0.267735,-0.02869,0.119874,0.764604,-0.168867,-0.091589,0.114296,-0.719806,0.461981,1
1628606777,-0.019104,-0.031474,0.050043,0.563148,-0.22905,0.062182,-0.012026,-0.775444,0.342571,1
1628640111,0.319263,-0.016374,0.101332,0.306872,-0.346947,0.210287,-0.134448,-0.735384,0.195444,1
1628673445,0.482795,0.000467,0.052227,0.088033,-0.4192,0.217981,-0.040272,-0.501038,0.015368,1
1628706779,0.547337,-0.052556,-0.033297,-0.081795,-0.414104,0.153943,0.032029,-0.214878,-0.154284,1
1628740113,0.471972,-0.042839,-0.128616,-0.214252,-0.240413,0.029433,0.148519,0.055521,-0.203403,1
1628773447,0.389823,-0.043709,-0.136904,-0.382369,0.044728,-0.139063,0.152328,0.192196,-0.186704,1
1628806781,0.283927,-0.031734,-0.071747,-0.480446,0.329073,-0.19888,0.119785,0.349977,-0.085638,1
