SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1052092243,0.066009,0.027652,0.239703,-0.097765,-1.227843,-0.085795,0.790648,0.44307,0.26076,1
1052125577,0.111885,0.078076,0.143598,-0.078152,-1.262942,-0.089722,0.952706,0.469485,0.221981,1
1052158911,0.265639,0.167598,0.007501,-0.051442,-1.397195,-0.055005,0.980443,0.473003,0.193627,1
1052192245,0.203955,0.116778,0.268521,-0.104385,-1.363846,0.034176,0.899254,0.406613,0.29066,1
1052225579,0.104164,0.103676,0.327745,-0.123459,-1.105101,0.20289,0.658014,0.347345,0.39869,1
1052258913,0.115086,0.160047,0.106824,-0.102335,-0.734211,0.166924,0.499115,0.206488,0.429113,1
1052292247,0.233566,0.070182,0.17312,-0.060437,-0.455687,0.135183,0.311629,0.092102,0.367372,1
1052325581,0.220597,0.046166,0.188193,-0.044395,-0.17403,-0.014259,0.096726,-0.040482,0.292221,1
1052358915,0.123184,0.04674,0.093317,0.056699,0.032445,-0.038031,-0.072755,-0.191974,0.228138,1
1052392249,0.080628,0.089103,0.084312,0.108667,0.256962,-0.063049,-0.221151,-0.328179,0.143039,1
1052425583,0.058865,0.159304,0.031277,0.150607,0.459588,-0.091566,-0.383727,-0.447079,0.101347,1
1052458917,-0.063009,0.433628,0.066859,0.194119,0.634697,-0.197989,-0.320531,-0.764833,0.33321,1
1052492251,-0.174196,0.549535,0.183819,0.160405,0.788372,-0.249685,-1.091667,-1.114521,0.041985,1
1052525585,0.0302,0.180206,0.195853,0.155088,0.886246,-0.218376,-0.906002,-0.958789,0.148284,1
1052558919,0.160029,-0.028643,0.17312,0.062996,0.882578,-0.237361,-0.434615,-0.622713,0.332768,1
1052592253,0.01392,0.033239,-0.078008,-0.024468,0.80547,-0.237419,-0.246253,-0.334123,0.247657,1
1052625587,-0.203497,-0.270134,0.006078,-0.148488,0.648052,-0.297435,-0.269675,-0.006975,0.010301,1
1052658921,-0.154496,-0.328614,0.055587,-0.230083,0.485529,-0.332483,-0.187831,0.089109,0.043177,1
1052692255,-0.19525,-0.103376,0.022356,-0.28344,0.440683,-0.297847,0.043935,0.209426,0.109287,1
1052725589,-0.278027,-0.138559,0.010122,-0.320185,0.351847,-0.237963,0.221844,0.224421,0.127027,1
1052758923,-0.05361,-0.627364,0.138619,-0.367873,0.290188,-0.144289,0.479938,0.098574,0.261241,1
1052792257,0.136372,-0.533193,-0.037167,-0.422654,0.23041,-0.090391,0.364699,0.015808,0.094308,1
1052825591,0.04582,-0.471449,-0.058925,-0.421317,0.10755,-0.081858,0.4718,0.146012,0.13321,1
1052858925,-0.24619,-0.288196,0.140372,-0.394376,-0.020676,0.002834,0.573459,0.017246,0.248533,1
1052892259,-0.345702,-0.043761,0.177735,-0.323438,-0.003343,0.167685,0.440097,-0.104825,0.199364,1
1052925593,-0.149645,0.269637,0.152076,-0.17805,0.012558,0.083605,0.523962,-0.196511,0.263404,1
1052958927,-0.019482,0.222441,0.22715,-0.1466,0.038406,-0.020747,0.435889,-0.25839,0.140828,1
1052992261,0.299001,0.001583,0.15368,-0.027058,-0.102683,0.020407,0.253948,-0.232798,-0.023735,1
1053025595,0.786314,0.524815,0.12769,0.064051,-0.184005,0.104421,0.217898,-0.187491,-0.083397,1
1053058929,0.040758,0.637811,-0.120239,0.120986,-0.180446,0.198586,0.10284,-0.136238,-0.187502,1
1053092263,-0.312196,0.426824,-0.057987,0.152903,-0.049762,0.234056,-0.000837,-0.103035,-0.255865,1
1053125597,-0.168212,-0.011691,-0.205331,0.193942,0.017199,0.430957,0.046647,-0.009731,-0.198823,1
1053158931,-0.388388,-0.238239,-0.57968,0.199701,0.065272,0.541508,0.256592,0.023735,-0.082025,1
1053192265,-1.17715,-0.714112,-0.565011,0.212406,0.161113,0.549492,0.346263,0.104216,-0.059056,1
1053225599,-0.539046,-1.26408,-0.252936,0.208003,0.28779,0.4399,0.196404,0.070982,-0.215681,1
1053258933,0.052602,-1.694683,-0.119694,0.242808,0.26888,0.320518,0.252536,-0.019038,-0.155184,1
1053292267,-0.148588,-1.299336,0.065947,0.22483,0.36161,0.424906,0.345775,-0.043903,-0.050755,1
1053325601,0.071812,-1.042839,0.22102,0.223484,0.348789,0.308609,-0.00324,-0.098046,0.057865,1
1053358935,-0.006477,-1.355466,0.693071,0.0842,0.333468,0.189453,-0.518384,-0.245169,0.067358,1
1053392269,0.413246,-0.684256,0.676489,0.017337,0.283423,0.221885,-0.067359,0.124383,0.626813,1
1053425603,0.077317,-0.219996,0.521601,-0.18878,0.080524,0.114006,-0.067657,0.340509,0.955989,1
1053458937,-1.532578,-0.400954,0.192223,-0.345716,-0.069884,-0.161723,-0.964663,0.015947,0.616158,1
1053492271,-2.557963,-0.142408,-0.168661,-0.51566,-0.303865,-0.483982,-0.981038,0.099945,0.644011,1
1053525605,-3.163458,-0.530832,-0.123882,-0.682119,-0.586862,-0.640704,-1.348977,-0.065767,0.530507,1
1053558939,0.322189,0.901273,0.190217,-0.843716,-0.768139,-0.62854,-1.684491,-0.250611,0.530357,1
1053592273,-2.26734,-1.222195,0.260966,-1.011179,-0.788839,-0.708745,-1.956577,-0.434857,0.374491,1
1053625607,0.525782,-1.456006,0.222795,-1.231821,-0.818596,-0.827372,-2.283307,-0.542478,0.048907,1
1053658941,1.790854,-2.070302,0.18498,-1.386444,-1.009315,-0.742627,-2.432529,-0.57776,-0.292834,1
1053692275,1.072004,4.362638,2.01512,-1.690935,-1.024971,-0.500715,-2.602983,-0.345956,-0.178152,1
1053725609,1.979496,1.749802,0.546198,-1.645092,-1.060562,0.341544,-2.403802,-0.137205,0.757465,1
1053758943,2.698628,-2.956467,-1.217816,-1.439998,-1.20418,-0.302534,-2.253422,-0.087013,0.358159,1
1053792277,0.699716,0.245628,0.008783,-0.970504,-1.284346,-1.118496,-2.287962,0.099571,-0.593748,1
1053825611,-0.430005,2.068492,0.429339,-0.411714,-1.399982,-0.804264,-2.148475,0.175553,-0.70084,1
1053858945,0.237174,0.99911,-0.265845,0.231291,-1.203525,-0.329,-1.777241,0.46705,-0.040875,1
1053892279,0.181592,1.017022,-0.218822,2.049476,0.019737,0.460825,-1.536131,0.71869,0.177938,1
1053925613,0.210895,0.777992,0.222121,4.352376,1.782448,0.752135,-1.481716,1.025586,-0.14873,1
1053958947,0.279562,0.759996,0.317621,4.213093,0.882456,1.297801,-1.10049,1.543577,-0.381813,1
1053992281,-0.034252,1.061736,0.113041,2.731642,-0.446001,1.685829,0.137111,1.511467,-0.18969,1
1054025615,0.348666,0.312073,-0.188335,1.496701,-1.234586,1.432402,1.6671,1.060996,0.274428,1
1054058949,0.736548,1.19047,0.237069,0.630379,-1.510401,0.718935,2.4524,0.926337,0.328728,1
1054092283,0.889671,1.296956,0.07595,0.002403,-1.147145,0.125156,2.501751,0.747581,0.194919,1
1054125617,0.815871,0.323539,0.108643,-0.7851,-0.656157,-0.41128,2.815306,0.443251,0.341705,1
1054158951,0.325949,0.135323,0.124759,-0.752226,0.257409,-0.776755,3.43188,0.371401,0.383624,1
1054192285,0.149047,0.035485,0.117642,-0.76213,0.464665,-0.626329,3.885307,0.20934,0.289639,1
1054225619,-0.227554,0.266109,-0.071546,-0.594994,0.264086,-0.286078,3.948748,-0.022003,0.126177,1
1054258953,-0.246935,0.294941,0.037207,-0.575295,0.148746,-0.272632,3.779695,-0.177811,0.013074,1
1054292287,-0.04657,0.310999,0.112969,-0.286409,0.241487,-0.3002,3.567125,-0.379858,-0.064878,1
1054325621,0.089043,0.325895,0.088637,0.050755,0.420127,-0.457376,3.140888,-0.598862,-0.091011,1
1054358955,0.186918,0.075177,0.10158,0.225399,0.580918,-0.466372,2.503964,-0.767194,-0.018281,1
1054392289,0.323348,0.018855,0.123616,0.47185,0.587127,-0.388515,1.953516,-0.987067,0.038599,1
1054425623,0.398268,0.081368,0.070371,0.601619,0.66445,-0.427135,1.474189,-1.399774,0.3605,1
1054458957,0.378692,0.072876,0.059233,0.662146,0.644864,-0.525114,1.035144,-1.800719,0.642719,1
