SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2109522592,-0.17386,-0.223134,0.101126,-6.416451,3.12376,-3.037866,0.275519,0.476948,-0.382346,-0.05199,0.632063,1.084025,0
2109555926,-0.365884,-0.409979,0.168559,-6.367044,3.041245,-2.928221,0.032497,0.346747,-0.40605,-0.046624,0.397067,0.752783,0
2109589260,-0.419348,-0.032815,0.221975,-6.33275,3.311363,-3.090504,0.083325,0.266235,-0.22904,0.011886,0.211344,0.111228,0
2109622594,-0.226557,0.19998,0.172372,-6.26543,3.156928,-3.060385,0.132215,0.119983,-0.310263,-0.021369,0.161704,0.083659,0
2109655928,-0.062019,0.356078,0.086357,-6.337657,3.288961,-3.085757,0.098243,-0.001649,-5.7e-05,-0.053883,0.046919,0.072208,0
2109689262,-0.026197,0.152227,0.08045,-6.232692,3.267529,-3.019092,0.045456,0.053527,0.087565,-0.098957,-0.119154,0.116629,0
2109722596,0.301925,0.05686,0.138655,-6.301627,3.424327,-3.073232,0.054851,-0.00776,0.117919,-0.068765,-0.0684,0.254129,0
2109755930,0.357229,-0.034428,0.179962,-6.342407,3.439392,-3.102494,0.001462,-0.149274,0.103668,-0.005355,-0.077419,0.116203,0
2109789264,0.193733,-0.059854,0.168493,-6.276982,3.731926,-3.021085,-0.000265,-0.171863,0.258896,0.033689,-0.120532,0.130664,0
2109822598,-0.031001,-0.029881,0.173895,-6.159399,3.572666,-3.071777,0.043458,-0.148767,0.10651,-0.003494,-0.145924,0.148298,0
2109855932,0.002012,-0.039099,0.204061,-6.014405,3.582857,-3.158781,0.011106,0.012431,-0.176154,0.018222,0.064104,0.051851,0
2109889266,-0.538078,0.124839,0.339836,-5.964821,3.71417,-3.276369,-0.105165,0.301226,-0.859198,-0.381249,0.43792,0.052389,0
2109922600,-1.679552,0.075826,0.536021,-5.797023,3.652592,-3.471049,-0.336552,0.819135,-1.879663,-0.323361,0.847874,-0.013648,0
2109955934,-3.780136,0.162877,0.472338,-5.296134,3.334911,-4.311099,-0.106705,0.846946,-2.192739,-0.975412,1.707924,-0.165521,0
2109989268,-3.5148,-1.432404,-0.461615,-4.616731,2.996111,-4.550869,-0.063778,0.812661,-2.732743,-1.025151,1.689418,-0.390496,0
2110022602,1.367351,-3.066499,-0.152185,-4.263567,2.950954,-4.120738,-0.405269,0.911813,-2.702127,-0.969132,1.194257,-1.075172,0
2110055936,1.556369,-0.661392,-0.855,-4.327136,2.92306,-3.869747,0.227703,0.50751,-2.090555,-0.5973,0.59699,-1.625144,0
2110089270,0.950116,-0.706444,-0.306707,-5.010341,3.265288,-3.954854,0.869704,-0.680922,-1.209489,-0.041839,0.23474,-1.697492,0
2110122604,0.910538,-0.183708,0.66609,-5.660702,3.914381,-3.822999,1.66801,-1.640796,-1.42753,0.686254,-0.645389,-1.68332,0
2110155938,0.61986,1.787453,0.116824,-5.955119,4.339118,-3.630428,-0.075195,-1.330215,-0.761869,1.380335,-1.694355,-2.262236,0
