SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2163588388,0.23925,-0.052408,0.290418,-0.772412,0.072927,0.083599,-0.667421,-0.018359,0.038674,0.433441,1.139994,0.531866,1
2163621722,0.143232,-0.969444,0.209791,-0.849463,0.175702,0.401558,-0.633936,0.377413,0.22998,0.15302,0.965757,0.743465,1
2163655056,0.573796,-0.979708,0.280036,-0.695489,0.280156,0.549014,-0.618794,1.186906,-0.04118,-0.188388,0.739155,0.947257,1
2163688390,0.344756,-0.611323,0.311586,-0.574523,0.256949,0.607199,-0.334693,1.894158,-0.636655,-0.456149,0.565729,0.953071,1
2163721724,0.537155,-0.476823,0.26762,-0.453098,0.097178,0.551208,0.078105,1.963861,-0.980961,-0.620839,0.398577,0.772469,1
2163755058,0.02572,-0.008831,0.195889,-0.366724,0.014245,0.415301,0.489594,1.592401,-1.087234,-0.689206,0.179439,0.567423,1
2163788392,-0.197251,0.362779,0.161012,-0.243669,-0.02578,0.221223,0.803571,1.136288,-0.813281,-0.729547,-0.064455,0.382483,1
2163821726,-0.21103,0.11643,0.052913,-0.09755,0.026001,0.191612,1.031609,0.852812,-0.412308,-0.883335,-0.309538,0.226175,1
2163855060,-0.216175,0.004745,0.109368,0.079329,0.155273,0.16565,1.041066,0.750937,-0.052395,-1.01814,-0.593358,0.045292,1
2163888394,-0.08857,-0.066081,0.08574,0.173947,0.273948,0.193339,1.128099,0.468462,0.599862,-1.087769,-0.791674,-0.074145,1
2163921728,0.08391,-0.041093,0.179027,0.190695,0.326178,0.184969,1.080287,0.493751,0.48084,-1.028854,-0.918912,-0.158057,1
2163955062,0.138171,0.058968,0.129425,0.1387,0.31972,0.201363,0.761192,0.151177,0.322905,-0.928241,-0.977876,-0.099605,1
2163988396,-0.101568,0.359327,0.206046,-0.032683,0.399917,0.314363,0.51623,-0.300451,0.364635,-0.822037,-0.97453,0.169412,1
2164021730,-0.104732,0.085874,0.145463,-0.211574,0.293493,0.356747,0.340808,-0.569614,0.223649,-0.713014,-0.906446,0.403124,1
