sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:10:55_802 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,944238863,0.928612,-0.285698,-0.164138,-0.170654,0.539467,-0.233030,-0.015159
2,944272197,0.928726,-0.289350,-0.156009,-0.171503,0.746019,-0.109082,-0.178815
3,944305531,0.927393,-0.297563,-0.145648,-0.173763,0.828620,-0.031278,-0.638991
4,944338865,0.923882,-0.310978,-0.135497,-0.177153,0.012133,-0.163631,-0.218447
5,944372199,0.920183,-0.322946,-0.127564,-0.180844,-0.020864,-0.175727,0.075732
6,944405533,0.917382,-0.330823,-0.122333,-0.184418,-0.367472,-0.148698,0.094954
7,944438867,0.915083,-0.336227,-0.119314,-0.188006,-0.327999,-0.035150,0.249518
8,944472201,0.912938,-0.340856,-0.116980,-0.191536,-0.199442,-0.170086,0.203514
9,944505535,0.910550,-0.346248,-0.115051,-0.194376,-0.407705,-0.097931,0.172273
10,944538869,0.908077,-0.352073,-0.113978,-0.196109,-0.351196,-0.275794,0.398928
11,944572203,0.906033,-0.357106,-0.113802,-0.196565,-0.260816,-0.407889,0.397740
12,944605537,0.904870,-0.360384,-0.115213,-0.195108,-0.370258,-0.096282,0.453125
13,944638871,0.904647,-0.361792,-0.117424,-0.192197,-0.101072,-0.169914,0.550954
14,944672205,0.904698,-0.362861,-0.119564,-0.188591,-0.036642,-0.233155,0.435859
15,944705539,0.904709,-0.364388,-0.121939,-0.184017,0.049000,-0.110998,0.347201
16,944738873,0.904754,-0.366070,-0.124873,-0.178403,-0.022617,0.160588,0.730851
17,944772207,0.906560,-0.363415,-0.129656,-0.171101,-0.230052,-0.176831,1.031321
18,944805541,0.910859,-0.354384,-0.136086,-0.161979,-0.305941,0.032074,0.664276
19,944838875,0.916597,-0.340663,-0.143602,-0.152269,0.117383,0.126632,0.219583
20,944872209,0.921089,-0.329637,-0.149532,-0.143469,0.211812,0.719899,0.207796
21,944905543,0.923801,-0.323681,-0.152442,-0.136351,-0.030441,0.892842,0.667702
22,944938877,0.926169,-0.319626,-0.152006,-0.130201,-0.332949,0.794106,1.060739
23,944972211,0.928649,-0.316387,-0.148432,-0.124447,-0.883106,1.391026,1.011147
24,945005545,0.930489,-0.316429,-0.140368,-0.119869,-1.150144,2.247581,0.797880
