sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:10:55_793 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,944848570,0.181610,0.627648,-0.046757,0.755573,-0.325120,0.471183,0.307398
2,944865237,0.178354,0.630568,-0.048742,0.753789,-0.402110,0.529271,-0.061327
3,944898571,0.169593,0.636859,-0.049756,0.750449,-0.056445,0.670262,-0.408923
4,944931905,0.158962,0.642220,-0.047324,0.748361,-0.220417,0.737299,-0.736646
5,944965239,0.147746,0.648438,-0.042790,0.745566,-0.481613,0.143319,-0.587609
6,944998573,0.137763,0.655337,-0.036998,0.741746,-0.624299,0.086242,-0.299734
7,945031907,0.129121,0.662735,-0.032098,0.736940,-0.808162,-0.760093,-0.099345
8,945065241,0.123133,0.669416,-0.029104,0.732034,0.024683,-1.086413,0.610700
9,945098575,0.120774,0.673606,-0.030410,0.728522,0.754082,-0.187359,0.942555
10,945131909,0.118339,0.675715,-0.032180,0.726890,0.893620,-0.209578,0.989139
11,945165243,0.111262,0.677402,-0.028302,0.726599,0.256538,-0.370787,0.124188
12,945198577,0.104367,0.679443,-0.024857,0.725842,-0.171444,0.156194,-0.159397
13,945231911,0.095532,0.682236,-0.021636,0.724541,-0.043930,0.557689,0.047442
14,945265245,0.082173,0.685816,-0.016286,0.722938,0.137765,0.391742,0.271430
15,945298579,0.067952,0.689273,-0.010252,0.721235,0.110062,-0.041326,0.298495
16,945331913,0.054034,0.692575,-0.003998,0.719308,0.051993,-0.469759,0.353150
17,945365247,0.040622,0.695271,0.002245,0.717595,-0.088380,-0.652845,0.149563
18,945398581,0.028425,0.697866,0.007460,0.715625,0.141410,-0.315608,0.028772
19,945431915,0.016645,0.700736,0.011982,0.713126,0.098285,0.072494,0.163889
20,945465249,0.003548,0.703778,0.017111,0.710205,0.115508,0.171730,0.011118
21,945498583,-0.010582,0.707211,0.023078,0.706546,0.298627,-0.112059,0.074182
22,945531917,-0.024567,0.710766,0.028864,0.702407,0.162472,-0.428204,0.109626
23,945565251,-0.037689,0.714061,0.034032,0.698240,0.244891,-0.551901,0.112723
24,945598585,-0.048567,0.717410,0.037214,0.693959,0.297737,-0.374796,0.195970
25,945631919,-0.056807,0.720661,0.038187,0.689901,0.174378,-0.301077,0.129612
26,945665253,-0.063053,0.723500,0.037534,0.686413,0.205247,-0.226612,0.057029
27,945698587,-0.066992,0.726125,0.035266,0.683382,0.189204,-0.015687,0.302218
28,945731921,-0.069008,0.728488,0.031467,0.680847,0.040547,0.119461,0.219682
29,945765255,-0.069620,0.730770,0.026725,0.678539,-0.047892,-0.067908,-0.013325
30,945798589,-0.069151,0.733371,0.021718,0.675954,-0.168967,0.214405,0.143286
31,945831923,-0.068538,0.735762,0.017111,0.673546,-0.038932,0.172165,0.191214
32,945865257,-0.067417,0.737951,0.012488,0.671362,0.193630,0.278657,0.187862
33,945898591,-0.065533,0.739751,0.007194,0.669644,0.391396,0.166537,0.256157
34,945931925,-0.063235,0.740994,0.001712,0.668526,0.528682,0.297677,0.328722
35,945965259,-0.060946,0.741481,-0.003399,0.668192,0.245104,0.457704,0.371140
36,945998593,-0.059112,0.741267,-0.007901,0.668556,0.114495,0.223689,0.172720
37,946031927,-0.056564,0.740933,-0.012771,0.669071,-0.087051,-0.108172,0.087529
38,946065261,-0.052858,0.740963,-0.018471,0.669208,0.055671,0.073179,0.159315
39,946098595,-0.048454,0.741126,-0.024552,0.669166,0.108398,0.110653,0.289697
40,946131929,-0.044253,0.741034,-0.030266,0.669324,0.045754,0.196392,0.210216
41,946165263,-0.039797,0.740818,-0.036189,0.669548,0.054936,0.193402,0.276177
42,946198597,-0.034851,0.740478,-0.042348,0.669839,0.115090,0.260838,0.151140
43,946231931,-0.029866,0.740180,-0.048216,0.670012,0.002567,0.423474,0.166242
44,946265265,-0.025170,0.739821,-0.053730,0.670182,0.077095,0.307202,0.145236
45,946298599,-0.021015,0.739471,-0.058486,0.670314,0.352036,0.217247,0.255807
46,946331933,-0.017574,0.739109,-0.062315,0.670467,0.490867,0.225742,0.138252
47,946365267,-0.015187,0.738928,-0.065112,0.670458,0.540925,0.357201,0.116573
48,946398601,-0.014371,0.738930,-0.066188,0.670370,0.466234,0.326955,0.189385
49,946431935,-0.015314,0.739024,-0.065468,0.670315,0.534088,0.261316,0.144431
50,946465269,-0.017804,0.739280,-0.062969,0.670211,0.415457,0.155931,0.125489
51,946498603,-0.021631,0.739808,-0.058735,0.669900,0.194564,0.231230,0.158089
52,946531937,-0.026946,0.740434,-0.053098,0.669486,0.170020,0.132657,0.164736
53,946565271,-0.032749,0.741174,-0.046605,0.668892,0.032840,-0.101509,0.253799
54,946598605,-0.038581,0.741949,-0.039992,0.668149,0.036859,-0.038080,0.165758
55,946631939,-0.044044,0.742766,-0.033777,0.667246,0.130675,0.220578,0.214744
56,946665273,-0.049410,0.743446,-0.027431,0.666404,-0.008653,0.304509,0.248918
57,946698607,-0.054733,0.743977,-0.021089,0.665626,-0.123006,0.040728,0.134627
58,946731941,-0.059085,0.744626,-0.015552,0.664680,-0.240505,-0.083654,0.153713
59,946765275,-0.062435,0.745352,-0.010929,0.663651,-0.115719,0.044736,0.169682
60,946798609,-0.065339,0.746049,-0.006461,0.662646,-0.054465,0.199143,0.187604
61,946831943,-0.068607,0.746668,-0.001392,0.661648,-0.128135,0.264598,0.201922
