sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:06:41_548 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3399139328,-0.507106,0.459350,0.426244,0.591749,1.002627,-0.470994,-0.150233
2,3399172662,-0.502680,0.459960,0.421441,0.598454,0.533928,0.005223,-0.858630
3,3399205996,-0.497193,0.463309,0.416329,0.604007,0.250975,0.302140,-1.321245
4,3399239330,-0.492979,0.468317,0.411208,0.607099,-0.020980,0.922210,-1.257936
5,3399272664,-0.491169,0.472821,0.406047,0.608548,-0.592507,1.970453,-0.570980
6,3399305998,-0.492290,0.477320,0.402169,0.606702,-0.695806,1.948722,-0.421059
7,3399339332,-0.494190,0.483912,0.401342,0.600450,0.525345,1.159640,-0.623085
8,3399372666,-0.493533,0.492360,0.402399,0.593374,1.481675,0.364330,-0.481730
9,3399406000,-0.493131,0.500700,0.407142,0.583411,1.383557,-1.596591,1.917686
10,3399439334,-0.497021,0.505844,0.416439,0.568930,1.733330,-0.770808,4.469680
11,3399472668,-0.507087,0.500201,0.426694,0.557319,2.323758,0.790453,1.942149
12,3399506002,-0.508941,0.502512,0.431770,0.549588,-0.188423,-1.708641,-2.705947
13,3399539336,-0.508622,0.515465,0.432142,0.537460,-3.546617,-0.897364,-0.982761
14,3399572670,-0.507882,0.527089,0.431667,0.527170,-2.272183,-0.483345,0.257189
15,3399606004,-0.507812,0.533120,0.436282,0.517280,-0.822202,-1.642768,0.538352
16,3399639338,-0.512250,0.535178,0.439320,0.508127,-0.144659,-0.085555,0.334926
17,3399672672,-0.511788,0.542349,0.434604,0.505035,-0.423525,-0.240962,0.124901
18,3399706006,-0.505113,0.553292,0.423615,0.509205,-0.104828,-0.409247,0.271993
19,3399739340,-0.496928,0.565230,0.410619,0.514763,-0.182838,-0.322589,0.188190
20,3399772674,-0.489260,0.575705,0.400025,0.518824,-1.010239,-0.490558,-0.070446
21,3399806008,-0.481571,0.584797,0.392156,0.521849,-0.486136,-0.367483,-0.417645
22,3399839342,-0.472808,0.594564,0.385143,0.524044,-0.137589,-0.234815,-0.072632
23,3399872676,-0.462665,0.605118,0.376794,0.527077,-0.184811,0.087551,0.302744
24,3399906010,-0.453148,0.614156,0.368446,0.530781,-1.125579,0.302876,0.472796
25,3399939344,-0.447538,0.619337,0.362549,0.533573,-1.516783,0.362180,0.512369
26,3399972678,-0.445627,0.621200,0.358908,0.535465,-1.045059,-0.120300,0.293263
27,3400006012,-0.444226,0.622753,0.356151,0.536665,-0.214705,-0.501480,-0.206616
28,3400039346,-0.439339,0.626561,0.352487,0.538671,-0.121927,-0.548962,-0.202868
29,3400072680,-0.431844,0.632447,0.347520,0.541076,-0.411236,-0.212163,0.099733
30,3400106014,-0.423859,0.638534,0.342071,0.543706,-0.605897,0.222908,0.340306
31,3400139348,-0.416321,0.643542,0.336967,0.546804,0.004284,0.406954,0.346520
32,3400172682,-0.408425,0.648605,0.331169,0.550308,-0.292507,0.787994,0.149768
33,3400206016,-0.400388,0.653368,0.325349,0.554038,-0.503266,0.904146,0.444353
34,3400239350,-0.393361,0.656515,0.319350,0.558821,0.453767,0.322244,0.205783
35,3400272684,-0.386232,0.659151,0.312644,0.564454,0.065077,0.144333,-0.055274
36,3400306018,-0.379752,0.660796,0.307365,0.569802,-0.495783,-0.060538,-0.189853
37,3400339352,-0.375475,0.661145,0.305302,0.573329,-0.604581,-0.011879,-0.041405
38,3400372686,-0.372270,0.661191,0.305611,0.575200,-0.260872,-0.147224,0.001477
39,3400406020,-0.368955,0.661461,0.307504,0.576015,-0.054903,-0.229015,0.001571
40,3400439354,-0.364657,0.662472,0.309393,0.576579,0.217750,-0.222030,0.047508
41,3400472688,-0.359258,0.664282,0.310586,0.577244,0.059051,-0.025905,0.108507
42,3400506022,-0.353417,0.666331,0.311256,0.578127,0.269981,0.028449,0.205275
43,3400539356,-0.347487,0.667966,0.311744,0.579569,0.219839,0.113186,0.154608
44,3400572690,-0.342220,0.668938,0.312422,0.581215,0.158167,0.069293,0.098950
45,3400606024,-0.337537,0.669494,0.313199,0.582892,-0.119261,0.073479,0.175447
46,3400639358,-0.333748,0.669395,0.314363,0.584559,-0.154210,0.006278,0.192436
47,3400672692,-0.330955,0.668663,0.316005,0.586098,-0.160121,-0.059200,0.164052
48,3400706026,-0.328655,0.667613,0.317601,0.587724,0.025973,-0.159953,0.261356
49,3400739360,-0.327000,0.666094,0.319017,0.589600,0.085566,-0.356957,0.302855
50,3400772694,-0.325185,0.664265,0.319539,0.592379,0.165539,-0.427921,0.242657
