sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:15:17_645 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3915249650,0.039104,0.625553,-0.063168,0.776648,0.051909,0.435693,0.223959
2,3915282984,0.036036,0.621979,-0.059195,0.779973,-0.064945,0.105388,0.062093
3,3915316318,0.033294,0.617295,-0.054749,0.784129,-0.352420,-0.133844,-0.269238
4,3915349652,0.033044,0.611156,-0.051357,0.789162,-0.207781,-0.440113,-0.243586
5,3915382986,0.035837,0.603186,-0.050426,0.795209,-0.079391,-0.097783,-0.077855
6,3915416320,0.039121,0.593817,-0.049479,0.802135,0.090766,-0.164900,-0.040392
7,3915449654,0.042588,0.583390,-0.048868,0.809612,0.214483,-0.578464,-0.236629
8,3915482988,0.046762,0.572559,-0.051526,0.816916,0.353775,-0.406675,-0.316667
9,3915516322,0.050820,0.562557,-0.053647,0.823460,0.353620,-0.110391,-0.002125
10,3915549656,0.053930,0.553314,-0.051738,0.829625,0.633325,-0.160899,-0.038595
11,3915582990,0.057111,0.545341,-0.047268,0.834940,0.447276,-0.223452,-0.179308
12,3915616324,0.060260,0.538478,-0.041719,0.839457,0.208989,-0.015225,-0.212997
13,3915649658,0.062181,0.531678,-0.035116,0.843941,0.136748,0.065222,-0.026518
14,3915682992,0.063607,0.524467,-0.028945,0.848569,0.079376,0.055252,0.021935
15,3915716326,0.065899,0.517322,-0.024168,0.852918,0.322602,0.209917,-0.100166
16,3915749660,0.068961,0.509893,-0.020309,0.857239,0.390549,0.094991,-0.233550
17,3915782994,0.070855,0.503008,-0.016263,0.861230,0.306996,0.227072,-0.203752
18,3915816328,0.071562,0.496288,-0.011656,0.865135,-0.030336,0.269705,-0.022717
19,3915849662,0.072933,0.489589,-0.007763,0.868874,0.280860,-0.345266,-0.091146
20,3915882996,0.074219,0.483566,-0.004354,0.872155,0.359611,-0.042630,-0.027447
21,3915916330,0.075107,0.477263,-0.001277,0.875555,-0.188375,0.009819,-0.039564
22,3915949664,0.076302,0.471160,0.000799,0.878751,-0.098223,-0.309717,-0.067983
23,3915982998,0.077534,0.465387,0.002590,0.881712,0.061401,0.094686,0.257671
24,3916016332,0.078609,0.459548,0.005926,0.884658,-0.160193,0.384148,0.034195
25,3916049666,0.079423,0.453597,0.011328,0.887599,-0.359269,-0.006741,0.073081
26,3916083000,0.080354,0.447053,0.016893,0.890741,-0.695456,0.178560,0.188591
27,3916116334,0.082728,0.439709,0.021785,0.894067,-1.083373,-0.628732,0.219904
28,3916149668,0.088263,0.432106,0.026548,0.897111,-1.386314,-0.870915,0.518313
29,3916183002,0.096456,0.424732,0.031084,0.899639,-0.917713,-0.222968,0.505094
30,3916216336,0.106437,0.416842,0.039360,0.901878,0.322086,0.964584,0.024745
31,3916249670,0.114221,0.409705,0.051877,0.903561,0.329695,0.347967,-0.475387
32,3916283004,0.119628,0.402856,0.062154,0.905291,0.902001,0.295658,-0.206568
33,3916316338,0.124225,0.394603,0.068735,0.907827,1.176040,1.182667,-0.272353
34,3916349672,0.125718,0.385741,0.074031,0.911008,0.600540,0.113502,-0.668965
35,3916383006,0.125521,0.375610,0.078301,0.914904,0.778013,0.455474,-0.305231
36,3916416340,0.125250,0.364768,0.083819,0.918831,-0.220164,-0.426028,-0.275784
37,3916449674,0.127449,0.354202,0.089748,0.922096,-0.945485,-1.020123,-0.359661
38,3916483008,0.134963,0.343225,0.095222,0.924625,-1.167584,-0.758434,-0.664014
39,3916516342,0.146654,0.332536,0.103136,0.925901,-1.108642,0.361343,-0.236745
40,3916549676,0.159459,0.321052,0.110156,0.927029,0.573048,1.295109,-0.330056
41,3916583010,0.169487,0.307711,0.116749,0.928965,0.613484,1.391340,0.404903
42,3916616344,0.174314,0.292010,0.120683,0.932630,0.328132,0.966808,0.587560
43,3916649678,0.177088,0.273458,0.121885,0.937562,0.746493,0.220063,-0.107116
44,3916683012,0.180259,0.256031,0.124678,0.941503,0.512728,-0.308668,-0.155224
