sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:04:47_922 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,576398173,-0.630507,-0.640859,0.399291,0.179820,0.542632,-0.287231,-0.178232
2,576431507,-0.621540,-0.650681,0.402064,0.169277,0.439177,-0.320379,0.299431
3,576464841,-0.616932,-0.655915,0.403992,0.161142,0.632137,-0.010747,-0.162792
4,576498175,-0.616549,-0.657260,0.404755,0.155101,0.484603,-0.366940,-0.149470
5,576531509,-0.618572,-0.656256,0.405241,0.149941,0.716214,-0.526457,-0.710556
6,576564843,-0.620448,-0.655105,0.405960,0.145211,0.559812,-0.725743,-0.362321
7,576598177,-0.621359,-0.654721,0.406755,0.140750,0.628308,-0.716210,-0.540022
8,576631511,-0.619778,-0.656468,0.407816,0.136449,0.575918,-0.533188,0.398596
9,576664845,-0.618365,-0.657921,0.408468,0.133890,0.824979,-0.643683,-0.020942
10,576698179,-0.615211,-0.660930,0.408417,0.133757,1.353937,-0.704752,0.154090
11,576731513,-0.611109,-0.664224,0.408028,0.137378,1.580361,-0.641475,0.723978
12,576764847,-0.608137,-0.665909,0.407424,0.144037,1.274641,-0.395622,-0.633167
13,576798181,-0.602743,-0.668828,0.408522,0.149959,0.860608,-0.162121,-0.924726
14,576831515,-0.598104,-0.669887,0.411601,0.155294,0.788236,0.794684,-0.384295
15,576864849,-0.600433,-0.663645,0.415716,0.161997,-0.258540,-0.171890,-0.714786
16,576898183,-0.604473,-0.656343,0.419968,0.165714,0.028913,-0.201155,-0.470351
17,576931517,-0.606631,-0.651248,0.423890,0.167926,0.131431,-0.508753,-0.114413
18,576964851,-0.609235,-0.647160,0.424657,0.172308,-0.444710,-1.038735,1.500418
19,576998185,-0.613932,-0.641805,0.423014,0.179555,-0.108612,-0.949359,0.784666
