sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:04:47_913 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,576473313,0.247963,-0.742616,-0.177744,-0.596191,0.127706,0.118644,0.139342
2,576489980,0.248147,-0.741635,-0.177034,-0.597545,0.200255,0.129668,0.242502
3,576523314,0.248014,-0.739519,-0.175457,-0.600679,0.199187,0.164411,0.244031
4,576556648,0.247744,-0.737760,-0.174197,-0.603314,0.197636,0.093578,0.179163
5,576589982,0.247004,-0.736487,-0.173523,-0.605364,0.159862,-0.018685,0.247281
6,576623316,0.245576,-0.735756,-0.173051,-0.606967,0.048605,-0.035987,0.226796
7,576656650,0.244011,-0.735327,-0.172833,-0.608178,0.005525,-0.079460,0.122700
8,576689984,0.242520,-0.735156,-0.173035,-0.608925,-0.042352,-0.093525,0.145691
9,576723318,0.241104,-0.735306,-0.173500,-0.609173,-0.087404,-0.079085,0.115762
10,576756652,0.239659,-0.735785,-0.173881,-0.609056,-0.006777,-0.162377,0.096447
11,576789986,0.237485,-0.736708,-0.173786,-0.608819,0.101976,-0.213901,0.186967
12,576823320,0.234627,-0.737845,-0.173328,-0.608680,0.274482,-0.079357,0.278651
13,576856654,0.231741,-0.738840,-0.172910,-0.608699,0.236393,0.026167,0.217250
14,576889988,0.229099,-0.739454,-0.172913,-0.608953,0.106045,0.137202,0.303711
15,576923322,0.226668,-0.739709,-0.173344,-0.609430,-0.060377,0.099794,0.251302
16,576956656,0.224912,-0.739789,-0.174506,-0.609651,-0.229061,-0.029866,0.211399
17,576989990,0.223437,-0.739664,-0.176074,-0.609895,-0.149995,-0.201049,0.084630
18,577023324,0.221342,-0.739845,-0.177203,-0.610111,-0.132084,-0.207724,0.137541
19,577056658,0.218584,-0.740490,-0.177811,-0.610147,-0.170325,-0.243197,0.130639
20,577089992,0.216201,-0.741262,-0.178766,-0.609779,-0.110898,-0.113417,0.089309
21,577123326,0.214852,-0.741684,-0.180767,-0.609152,0.183231,0.110043,0.118111
22,577156660,0.214053,-0.741805,-0.183716,-0.608404,0.200846,0.075674,0.304648
23,577189994,0.213886,-0.741570,-0.187264,-0.607667,0.221725,0.289156,0.250221
24,577223328,0.213761,-0.741204,-0.191120,-0.606957,0.304230,0.086624,0.287146
25,577256662,0.213350,-0.740685,-0.194724,-0.606589,0.206874,-0.385052,0.212905
26,577289996,0.212414,-0.740428,-0.197353,-0.606381,-0.151249,-0.027181,0.125485
27,577323330,0.210871,-0.740664,-0.198872,-0.606135,-0.017082,-0.286981,-0.011630
28,577356664,0.208118,-0.741640,-0.199327,-0.605744,-0.104871,-0.655937,0.120096
29,577389998,0.204429,-0.743146,-0.199142,-0.605215,-0.066797,-0.366709,0.076010
30,577423332,0.201666,-0.744800,-0.198684,-0.604259,0.183515,-0.286597,0.105320
31,577456666,0.196734,-0.747114,-0.196480,-0.603749,0.365870,-0.479381,0.182400
32,577490000,0.192043,-0.749445,-0.194192,-0.603110,0.232127,-0.136085,0.092842
33,577523334,0.188653,-0.751555,-0.192275,-0.602168,0.080628,-0.280316,0.254915
34,577556668,0.184610,-0.753465,-0.190391,-0.601632,-0.107711,-0.195389,0.152112
35,577590002,0.182940,-0.754579,-0.190124,-0.600830,-0.244779,-0.239809,0.081174
36,577623336,0.180938,-0.755689,-0.189193,-0.600334,-0.332883,-0.341608,0.134852
37,577656670,0.177398,-0.757092,-0.187225,-0.600241,-0.404775,-0.791447,0.086971
38,577690004,0.174239,-0.758451,-0.185239,-0.600066,-0.451781,-0.349603,0.312832
39,577723338,0.169668,-0.759890,-0.181083,-0.600824,-0.133973,-0.650595,0.336445
40,577756672,0.162117,-0.761741,-0.174318,-0.602562,0.374223,-0.692658,0.188088
41,577790006,0.154852,-0.763679,-0.166756,-0.604159,0.038408,-0.711532,0.099102
42,577823340,0.147811,-0.765824,-0.158731,-0.605368,0.150152,-0.657847,0.112537
43,577856674,0.141394,-0.768234,-0.150589,-0.605927,0.424664,-0.554114,0.165860
44,577890008,0.136800,-0.770587,-0.143611,-0.605688,0.441171,-0.708954,0.318809
45,577923342,0.132276,-0.772522,-0.136751,-0.605815,0.530130,-0.566979,0.347518
46,577956676,0.128007,-0.774099,-0.130414,-0.606117,0.565425,-0.569717,0.388641
47,577990010,0.127295,-0.774826,-0.127507,-0.605955,0.514520,0.025503,0.347991
48,578023344,0.129992,-0.774372,-0.127848,-0.605892,0.160248,0.606625,0.044954
49,578056678,0.132747,-0.773814,-0.128557,-0.605857,-0.294357,0.559242,-0.029060
50,578090012,0.134053,-0.773855,-0.128598,-0.605509,-0.528911,-0.143173,0.146689
51,578123346,0.136948,-0.773675,-0.129484,-0.604902,-0.497890,-0.424287,0.149118
52,578156680,0.141161,-0.773372,-0.130479,-0.604106,-0.287556,-0.352772,0.163653
53,578190014,0.144361,-0.773274,-0.130217,-0.603532,-0.023804,-0.164268,0.231647
54,578223348,0.145434,-0.773567,-0.128604,-0.603245,-0.083541,-0.293225,0.195340
55,578256682,0.145924,-0.773775,-0.126376,-0.603330,-0.147951,-0.008615,0.163543
56,578290016,0.146575,-0.773727,-0.124177,-0.603690,-0.181236,-0.019392,0.123260
57,578323350,0.146750,-0.773575,-0.121732,-0.604340,-0.252869,-0.032099,0.330404
58,578356684,0.146572,-0.772953,-0.119660,-0.605592,-0.215766,0.279446,0.245923
59,578390018,0.147966,-0.772052,-0.119181,-0.606496,-0.478852,0.566059,0.163516
60,578423352,0.151213,-0.770819,-0.120666,-0.606970,-0.583439,0.348609,0.052572
61,578456686,0.155097,-0.769974,-0.123074,-0.606579,-0.839148,0.005400,0.085234
62,578490020,0.158621,-0.769588,-0.124854,-0.605794,-0.714218,-0.540395,-0.004316
63,578523354,0.161953,-0.769694,-0.125965,-0.604546,-0.380381,-0.726859,0.068875
64,578556688,0.165011,-0.770533,-0.126019,-0.602635,-0.201019,-0.457303,0.244241
65,578590022,0.166974,-0.771821,-0.124800,-0.600698,-0.002416,-0.159886,0.160844
66,578623356,0.168742,-0.772661,-0.123575,-0.599376,0.215740,0.308501,0.232020
67,578656690,0.171521,-0.772563,-0.123492,-0.598729,0.493201,0.532097,0.469398
68,578690024,0.175656,-0.771536,-0.124757,-0.598592,0.540360,0.459472,0.261505
69,578723358,0.179966,-0.769869,-0.126387,-0.599116,0.383338,0.235063,0.176053
70,578756692,0.183372,-0.768078,-0.127573,-0.600131,0.175908,0.106688,0.315882
71,578790026,0.186192,-0.766281,-0.128029,-0.601460,-0.051310,-0.140143,0.246987
72,578823360,0.189138,-0.764408,-0.128763,-0.602766,-0.403312,0.047905,0.128781
73,578856694,0.192152,-0.762314,-0.129820,-0.604236,-0.493667,0.285486,0.172769
74,578890028,0.195116,-0.760162,-0.130899,-0.605763,-0.455349,0.321554,0.098672
75,578923362,0.198362,-0.758271,-0.132396,-0.606753,-0.438573,0.232130,0.090599
76,578956696,0.201401,-0.756758,-0.133956,-0.607298,-0.245878,0.144568,0.146934
77,578990030,0.204345,-0.755439,-0.135589,-0.607594,-0.005810,0.025450,0.167853
78,579023364,0.206378,-0.754487,-0.136515,-0.607883,0.003781,0.041449,0.151602
79,579056698,0.208616,-0.753572,-0.137409,-0.608052,-0.062427,0.084094,0.102590
80,579090032,0.210528,-0.752641,-0.137986,-0.608416,0.004362,0.048798,0.197934
81,579123366,0.212195,-0.751699,-0.138539,-0.608875,-0.005992,0.083255,0.288886
82,579156700,0.214539,-0.750551,-0.139661,-0.609213,-0.104840,0.194253,0.183502
83,579190034,0.218024,-0.748980,-0.141804,-0.609415,-0.231207,0.451198,0.157428
84,579223368,0.222421,-0.746838,-0.145051,-0.609691,-0.142676,0.265388,0.264836
85,579256702,0.226961,-0.744387,-0.148812,-0.610108,-0.283861,0.129078,0.347685
86,579290036,0.231044,-0.741718,-0.152084,-0.611019,-0.017537,-0.044238,0.136548
